energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,5.46382246,0.01136288,0.91191537,0.67234660,0.30653712,1.33828142,1.51532722,0.10543315,1.68957614
-5.99399700,5.53123454,0.01107511,0.91634806,0.72576005,0.31471703,1.35610669,1.52929719,0.10162043,1.72925391
-5.98799400,5.62755290,0.01083270,0.92567482,0.78327251,0.32448747,1.38279854,1.55074364,0.09823847,1.77782261
-5.98199100,5.75033091,0.01063800,0.93963432,0.84413568,0.33564993,1.41783384,1.57919283,0.09528482,1.83423258
-5.97598799,5.89624358,0.01049138,0.95780652,0.90748149,0.34795827,1.46047333,1.61390750,0.09274369,1.89718287
-5.96998499,6.06117741,0.01039127,0.97962729,0.97233898,0.36112438,1.50977699,1.65391143,0.09058699,1.96515006
-5.96398199,6.24034948,0.01033429,1.00440827,1.03765540,0.37482534,1.56462627,1.69802298,0.08877584,2.03642555
-5.95797899,6.42845225,0.01031551,1.03136127,1.10232132,0.38871190,1.62375312,1.74489672,0.08726244,2.10916067
-5.95197599,6.61981951,0.01032865,1.05962632,1.16519905,0.40241806,1.68577494,1.79307144,0.08599214,2.18141820
-5.94597299,6.80860778,0.01036647,1.08830235,1.22515350,0.41557139,1.74923468,1.84102275,0.08490578,2.25122866
-5.93996998,6.98898650,0.01042106,1.11647943,1.28108453,0.42780382,1.81264470,1.88721838,0.08394208,2.31664944
-5.93396698,7.15532992,0.01048422,1.14327122,1.33195945,0.43876243,1.87453298,1.93017380,0.08304003,2.37582452
-5.92796398,7.30240333,0.01054781,1.16784651,1.37684459,0.44811989,1.93349001,1.96850617,0.08214119,2.42704248
-5.92196098,7.42553605,0.01060414,1.18945848,1.41493443,0.45558423,1.98821438,2.00098414,0.08119177,2.46879040
-5.91595798,7.52077431,0.01064621,1.20747061,1.44557716,0.46090739,2.03755531,2.02657176,0.08014449,2.49980146
-5.90995498,7.58500772,0.01066804,1.22137822,1.46829542,0.46389244,2.08055026,2.04446448,0.07896007,2.51909412
-5.90395198,7.61606414,0.01066484,1.23082461,1.48280120,0.46439899,2.11645578,2.05411588,0.07760831,2.52600132
-5.89794897,7.61276900,0.01063324,1.23561135,1.48900423,0.46234683,2.14477032,2.05525396,0.07606890,2.52018838
-5.89194597,7.57496693,0.01057130,1.23570216,1.48701333,0.45771738,2.16524761,2.04788647,0.07433159,2.50165879
-5.88594297,7.50350479,0.01047859,1.23122033,1.47713052,0.45055324,2.17790004,2.03229503,0.07239618,2.47074781
-5.87993997,7.40017742,0.01035613,1.22243977,1.45983823,0.44095565,2.18299155,2.00901850,0.07027198,2.42810421
-5.87393697,7.26763873,0.01020631,1.20977017,1.43577993,0.42908010,2.18102037,1.97882642,0.06797697,2.37466103
-5.86793397,7.10928260,0.01003270,1.19373700,1.40573519,0.41513038,2.17269207,1.94268386,0.06553673,2.31159686
-5.86193097,6.92909918,0.00983990,1.17495714,1.37059018,0.39935118,2.15888431,1.90170935,0.06298307,2.24028938
-5.85592796,6.73151338,0.00963325,1.15411154,1.33130497,0.38201974,2.14060476,1.85712795,0.06035260,2.16226348
-5.84992496,6.52121312,0.00941866,1.13191600,1.28887908,0.36343686,2.11894410,1.81022174,0.05768520,2.07913613
-5.84392196,6.30297515,0.00920230,1.10909148,1.24431678,0.34391757,2.09502657,1.76227996,0.05502246,1.99256068
-5.83791896,6.08149613,0.00899037,1.08633550,1.19859377,0.32378199,2.06996024,1.71455133,0.05240624,1.90417278
-5.83191596,5.86123661,0.00878886,1.06429582,1.15262648,0.30334657,2.04478956,1.66820062,0.04987731,1.81554028
-5.82591296,5.64628420,0.00860338,1.04354771,1.10724537,0.28291610,2.02045263,1.62427156,0.04747421,1.72811904
-5.81990995,5.44024158,0.00843897,1.02457591,1.06317330,0.26277672,1.99774507,1.58365772,0.04523227,1.64321609
-5.81390695,5.24614338,0.00829995,1.00776213,1.02100948,0.24319017,1.97729254,1.54708257,0.04318284,1.56196148
-5.80790395,5.06640438,0.00818992,0.99337845,0.98121971,0.22438924,1.95953300,1.51508956,0.04135284,1.48528922
-5.80190095,4.90279997,0.00811161,0.98158718,0.94413282,0.20657467,1.94470958,1.48804235,0.03976437,1.41392765
-5.79589795,4.75647799,0.00806699,0.97244675,0.90994320,0.18991342,1.93287426,1.46613501,0.03843470,1.34839882
-5.78989495,4.62799959,0.00805723,0.96592333,0.87871883,0.17453803,1.92390190,1.44941119,0.03737624,1.28902610
-5.78389195,4.51740512,0.00808281,0.96190754,0.85041417,0.16054735,1.91751358,1.43779103,0.03659683,1.23594895
-5.77788894,4.42430015,0.00814359,0.96023491,0.82488682,0.14800804,1.91330787,1.43110403,0.03609994,1.18914337
-5.77188594,4.34795560,0.00823890,0.96070909,0.80191688,0.13695692,1.91079779,1.42912575,0.03588510,1.14844655
-5.76588294,4.28741526,0.00836764,0.96312625,0.78122799,0.12740387,1.90945141,1.43161593,0.03594815,1.11358384
-5.75987994,4.24160430,0.00852837,0.96729907,0.76250856,0.11933507,1.90873350,1.43835574,0.03628164,1.08419659
-5.75387694,4.20943189,0.00871940,0.97307894,0.74543237,0.11271633,1.90814561,1.44918152,0.03687508,1.05986915
-5.74787394,4.18988211,0.00893880,0.98037474,0.72967745,0.10749648,1.90726234,1.46401287,0.03771515,1.04015380
-5.74187094,4.18208786,0.00918448,0.98916697,0.71494231,0.10361052,1.90576149,1.48287294,0.03878583,1.02459241
-5.73586793,4.18538389,0.00945420,0.99951626,0.70095915,0.10098244,1.90344648,1.50589952,0.04006851,1.01273412
-5.72986493,4.19933620,0.00974551,1.01156534,0.68750346,0.09952777,1.90025967,1.53334565,0.04154195,1.00414865
-5.72386193,4.22374669,0.01005578,1.02553428,0.67439994,0.09915563,1.89628596,1.56556932,0.04318229,0.99843500
-5.71785893,4.25863355,0.01038212,1.04170888,0.66152496,0.09977045,1.89174663,1.60301251,0.04496306,0.99522594
-5.71185593,4.30418919,0.01072134,1.06042285,0.64880565,0.10127332,1.88698400,1.64617016,0.04685512,0.99418861
-5.70585293,4.36071905,0.01106994,1.08203436,0.63621627,0.10356299,1.88243797,1.69555074,0.04882681,0.99502209
-5.69984992,4.42856593,0.01142404,1.10689848,0.62377232,0.10653673,1.87861622,1.75163032,0.05084409,0.99745278
-5.69384692,4.50802508,0.01177941,1.13533684,0.61152323,0.11009099,1.87606009,1.81480273,0.05287082,1.00122846
-5.68784392,4.59925629,0.01213144,1.16760633,0.59954417,0.11412208,1.87530834,1.88532868,0.05486921,1.00611212
-5.68184092,4.70219913,0.01247523,1.20386882,0.58792779,0.11852685,1.87686156,1.96328697,0.05680041,1.01187637
-5.67583792,4.81649754,0.01280564,1.24416374,0.57677643,0.12320351,1.88114929,2.04853110,0.05862522,1.01829916
-5.66983492,4.94143956,0.01311741,1.28838555,0.56619531,0.12805267,1.88850241,2.14065410,0.06030497,1.02516156
-5.66383192,5.07591680,0.01340528,1.33626754,0.55628717,0.13297847,1.89913254,2.23896452,0.06180246,1.03224763
-5.65782891,5.21840763,0.01366413,1.38737361,0.54714847,0.13789007,1.91311998,2.34247577,0.06308302,1.03934689
-5.65182591,5.36698622,0.01388918,1.44109882,0.53886726,0.14270318,1.93041127,2.44991036,0.06411556,1.04625902
-5.64582291,5.51935836,0.01407614,1.49667932,0.53152267,0.14734184,1.95082656,2.55972002,0.06487357,1.05280048
-5.63981991,5.67292327,0.01422139,1.55321175,0.52518581,0.15174019,1.97407661,2.67012157,0.06533609,1.05881271
-5.63381691,5.82485914,0.01432210,1.60968143,0.51992177,0.15584436,1.99978858,2.77914777,0.06548855,1.06417109
