energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.72956318,0.02073293,0.44415133,0.04554863,1.31379904,1.96369018,0.84665595,0.88744887,0.28199431
-5.99399700,3.67673928,0.02057068,0.43958888,0.04414679,1.29710004,1.95003311,0.83603940,0.88425022,0.27717253
-5.98799400,3.61217706,0.02028767,0.43424809,0.04263325,1.27563333,1.93190409,0.82264014,0.87757281,0.27142292
-5.98199100,3.53580785,0.01988876,0.42797353,0.04102246,1.24945205,1.90861708,0.80643102,0.86733330,0.26476415
-5.97598799,3.44773971,0.01938087,0.42062898,0.03932883,1.21867431,1.87958627,0.78742957,0.85349830,0.25722796
-5.96998499,3.34827183,0.01877271,0.41210396,0.03756662,1.18348605,1.84435654,0.76570068,0.83609023,0.24885944
-5.96398199,3.23790283,0.01807457,0.40231920,0.03574984,1.14414189,1.80262822,0.74135789,0.81519144,0.23971705
-5.95797899,3.11733260,0.01729798,0.39123079,0.03389219,1.10096392,1.75427504,0.71456308,0.79094639,0.22987206
-5.95197599,2.98745686,0.01645547,0.37883276,0.03200700,1.05433823,1.69935424,0.68552468,0.76356158,0.21940772
-5.94597299,2.84935461,0.01556018,0.36515805,0.03010727,1.00470923,1.63810878,0.65449418,0.73330321,0.20841784
-5.93996998,2.70426865,0.01462557,0.35027782,0.02820559,0.95257178,1.57096155,0.62176129,0.70049257,0.19700515
-5.93396698,2.55357990,0.01366509,0.33429923,0.02631416,0.89846148,1.49850214,0.58764761,0.66549920,0.18527921
-5.92796398,2.39877651,0.01269188,0.31736171,0.02444473,0.84294343,1.42146696,0.55249934,0.62873238,0.17335412
-5.92196098,2.24141908,0.01171851,0.29963213,0.02260857,0.78659987,1.34071410,0.51667909,0.59063100,0.16134609
-5.91595798,2.08310344,0.01075674,0.28129894,0.02081635,0.73001721,1.25719411,0.48055725,0.55165251,0.14937089
-5.90995498,1.92542268,0.00981734,0.26256577,0.01907811,0.67377309,1.17191840,0.44450322,0.51226136,0.13754137
-5.90395198,1.76992997,0.00890994,0.24364463,0.01740312,0.61842381,1.08592680,0.40887690,0.47291750,0.12596508
-5.89794897,1.61810372,0.00804292,0.22474920,0.01579979,0.56449281,1.00025579,0.37402069,0.43406530,0.11474217
-5.89194597,1.47131646,0.00722338,0.20608845,0.01427558,0.51246057,0.91590881,0.34025240,0.39612356,0.10396352
-5.88594297,1.33080857,0.00645710,0.18786072,0.01283688,0.46275618,0.83382976,0.30785929,0.35947683,0.09370928
-5.87993997,1.19766753,0.00574856,0.17024874,0.01148895,0.41575109,0.75488072,0.27709329,0.32446833,0.08404775
-5.87393697,1.07281337,0.00510103,0.15341550,0.01023588,0.37175481,0.67982428,0.24816779,0.29139475,0.07503474
-5.86793397,0.95699026,0.00451661,0.13750117,0.00908054,0.33101287,0.60931101,0.22125569,0.26050291,0.06671331
-5.86193097,0.85076418,0.00399637,0.12262112,0.00802462,0.29370685,0.54387190,0.19648898,0.23198828,0.05911383
-5.85592796,0.75452608,0.00354043,0.10886496,0.00706862,0.25995617,0.48391569,0.17395954,0.20599530,0.05225453
-5.84992496,0.66849994,0.00314809,0.09629656,0.00621197,0.22982162,0.42973040,0.15372108,0.18261918,0.04614217
-5.84392196,0.59275478,0.00281797,0.08495493,0.00545308,0.20331008,0.38148870,0.13579202,0.16190906,0.04077305
-5.83791896,0.52721959,0.00254808,0.07485583,0.00478945,0.18038021,0.33925620,0.12015915,0.14387218,0.03613418
-5.83191596,0.47170034,0.00233598,0.06599386,0.00421785,0.16094867,0.30300188,0.10678162,0.12847871,0.03220445
-5.82591296,0.42589788,0.00217884,0.05834510,0.00373438,0.14489672,0.27261005,0.09559536,0.11566707,0.02895592
-5.81990995,0.38942611,0.00207349,0.05186980,0.00333469,0.13207661,0.24789298,0.08651743,0.10534938,0.02635507
-5.81390695,0.36182944,0.00201658,0.04651531,0.00301405,0.12231780,0.22860359,0.07945027,0.09741680,0.02436393
-5.80790395,0.34259911,0.00200452,0.04221892,0.00276753,0.11543263,0.21444783,0.07428564,0.09174461,0.02294115
-5.80190095,0.33118790,0.00203361,0.03891056,0.00259014,0.11122136,0.20509614,0.07090817,0.08819691,0.02204298
-5.79589795,0.32702309,0.00210003,0.03651531,0.00247687,0.10947659,0.20019399,0.06919840,0.08663075,0.02162403
-5.78989495,0.32951741,0.00219984,0.03495570,0.00242285,0.10998691,0.19937118,0.06903537,0.08689976,0.02163796
-5.78389195,0.33807827,0.00232909,0.03415365,0.00242343,0.11253998,0.20224999,0.07029858,0.08885721,0.02203810
-5.77788894,0.35211521,0.00248373,0.03403220,0.00247419,0.11692488,0.20845216,0.07286949,0.09235849,0.02277783
-5.77188594,0.37104594,0.00265974,0.03451690,0.00257107,0.12293406,0.21760482,0.07663259,0.09726318,0.02381105
-5.76588294,0.39430114,0.00285308,0.03553702,0.00271033,0.13036483,0.22934550,0.08147594,0.10343660,0.02509245
-5.75987994,0.42132823,0.00305977,0.03702642,0.00288863,0.13902054,0.24332633,0.08729150,0.11075098,0.02657784
-5.75387694,0.45159444,0.00327593,0.03892427,0.00310298,0.14871149,0.25921759,0.09397498,0.11908634,0.02822441
-5.74787394,0.48458915,0.00349780,0.04117553,0.00335079,0.15925571,0.27671055,0.10142568,0.12833096,0.02999100
