energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.77842730,0.68263613,0.28676270,0.00203267,0.41372741,0.03947702,0.00018838
-5.99399700,0.81605688,0.71355219,0.30037599,0.00214835,0.43363958,0.04184213,0.00019805
-5.98799400,0.85277235,0.74349317,0.31337980,0.00225641,0.45322016,0.04423337,0.00020734
-5.98199100,0.88760987,0.77155406,0.32540320,0.00235462,0.47195990,0.04661615,0.00021601
-5.97598799,0.91969018,0.79690721,0.33610561,0.00244089,0.48939554,0.04895962,0.00022387
-5.96998499,0.94823799,0.81882040,0.34518483,0.00251336,0.50511956,0.05123727,0.00023073
-5.96398199,0.97259839,0.83667250,0.35238413,0.00257046,0.51878846,0.05342735,0.00023644
-5.95797899,0.99224981,0.84996622,0.35749809,0.00261095,0.53012916,0.05551312,0.00024087
-5.95197599,1.00681291,0.85833719,0.36037708,0.00263394,0.53894307,0.05748283,0.00024394
-5.94597299,1.01605477,0.86155919,0.36092989,0.00263894,0.54510789,0.05932949,0.00024559
-5.93996998,1.01988844,0.85954497,0.35912464,0.00262589,0.54857680,0.06105037,0.00024581
-5.93396698,1.01836753,0.85234286,0.35498781,0.00259509,0.54937524,0.06264635,0.00024462
-5.92796398,1.01167631,0.84012914,0.34860129,0.00254725,0.54759525,0.06412101,0.00024206
-5.92196098,1.00011565,0.82319641,0.34009783,0.00248344,0.54338782,0.06547973,0.00023823
-5.91595798,0.98408555,0.80193876,0.32965491,0.00240504,0.53695353,0.06672852,0.00023321
-5.90995498,0.96406507,0.77683413,0.31748727,0.00231370,0.52853193,0.06787309,0.00022715
-5.90395198,0.94059075,0.74842483,0.30383865,0.00221126,0.51839039,0.06891779,0.00022019
-5.89794897,0.91423450,0.71729711,0.28897288,0.00209971,0.50681269,0.06986475,0.00021247
-5.89194597,0.88558206,0.68406054,0.27316481,0.00198112,0.49408820,0.07071329,0.00020415
-5.88594297,0.85521294,0.64932836,0.25669156,0.00185758,0.48050198,0.07145944,0.00019540
-5.87993997,0.82368286,0.61369922,0.23982419,0.00173112,0.46632625,0.07209585,0.00018635
-5.87393697,0.79150919,0.57774131,0.22282036,0.00160367,0.45181370,0.07261193,0.00017716
-5.86793397,0.75915993,0.54197919,0.20591804,0.00147701,0.43719260,0.07299425,0.00016794
-5.86193097,0.72704646,0.50688370,0.18933057,0.00135275,0.42266396,0.07322731,0.00015881
-5.85592796,0.69551989,0.47286504,0.17324305,0.00123228,0.40840060,0.07329442,0.00014987
-5.84992496,0.66487099,0.44026905,0.15781015,0.00111675,0.39454792,0.07317878,0.00014120
-5.84392196,0.63533296,0.40937632,0.14315527,0.00100708,0.38122604,0.07286465,0.00013286
-5.83791896,0.60708666,0.38040392,0.12937091,0.00090397,0.36853305,0.07233854,0.00012488
-5.83191596,0.58026742,0.35350919,0.11652016,0.00080788,0.35654874,0.07159031,0.00011732
-5.82591296,0.55497278,0.32879503,0.10463896,0.00071907,0.34533856,0.07061415,0.00011018
-5.81990995,0.53127033,0.30631618,0.09373911,0.00063763,0.33495730,0.06940930,0.00010348
-5.81390695,0.50920504,0.28608605,0.08381165,0.00056347,0.32545206,0.06798062,0.00009722
-5.80790395,0.48880546,0.26808333,0.07483042,0.00049638,0.31686444,0.06633871,0.00009138
-5.80190095,0.47008847,0.25225835,0.06675572,0.00043604,0.30923149,0.06449985,0.00008597
-5.79589795,0.45306218,0.23853851,0.05953773,0.00038207,0.30258554,0.06248557,0.00008098
-5.78989495,0.43772707,0.22683290,0.05311970,0.00033400,0.29695296,0.06032192,0.00007637
-5.78389195,0.42407542,0.21703585,0.04744076,0.00029139,0.29235180,0.05803859,0.00007216
-5.77788894,0.41208921,0.20902945,0.04243829,0.00025372,0.28878877,0.05566771,0.00006831
-5.77188594,0.40173700,0.20268521,0.03804981,0.00022054,0.28625576,0.05324266,0.00006481
-5.76588294,0.39297017,0.19786505,0.03421449,0.00019136,0.28472628,0.05079677,0.00006164
