energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.46410762,0.00896231,0.22606776,0.12363893,0.02217921,0.57997566,1.29523598,0.36052298
-5.99399700,1.55394442,0.00935947,0.24921449,0.12818681,0.02168462,0.60120909,1.41908111,0.38432144
-5.98799400,1.64543382,0.00977595,0.27314133,0.13323655,0.02112665,0.62238582,1.54581596,0.40855685
-5.98199100,1.73774051,0.01021379,0.29758702,0.13885139,0.02051056,0.64341778,1.67394671,0.43296498
-5.97598799,1.82998966,0.01067482,0.32226768,0.14509983,0.01984373,0.66422996,1.80184755,0.45726884
-5.96998499,1.92128405,0.01116039,0.34688321,0.15205285,0.01913525,0.68476114,1.92779636,0.48118433
-5.96398199,2.01072544,0.01167125,0.37112470,0.15978087,0.01839545,0.70496519,2.05001741,0.50442706
-5.95797899,2.09743920,0.01220734,0.39468292,0.16835060,0.01763541,0.72481301,2.16672982,0.52672014
-5.95197599,2.18060151,0.01276763,0.41725744,0.17782187,0.01686648,0.74429488,2.27619985,0.54780274
-5.94597299,2.25946768,0.01334999,0.43856586,0.18824457,0.01609980,0.76342316,2.37679498,0.56743884
-5.93996998,2.33340008,0.01395111,0.45835302,0.19965582,0.01534599,0.78223490,2.46703734,0.58542589
-5.93396698,2.40189412,0.01456642,0.47639943,0.21207744,0.01461473,0.80079415,2.54565400,0.60160273
-5.92796398,2.46460053,0.01519008,0.49252873,0.22551384,0.01391458,0.81919354,2.61162165,0.61585643
-5.92196098,2.52134229,0.01581509,0.50661364,0.23995040,0.01325274,0.83755472,2.66420352,0.62812749
-5.91595798,2.57212493,0.01643328,0.51858016,0.25535237,0.01263498,0.85602734,2.70297637,0.63841307
-5.90995498,2.61713913,0.01703558,0.52840970,0.27166438,0.01206560,0.87478635,2.72784621,0.64676788
-5.90395198,2.65675480,0.01761213,0.53613902,0.28881049,0.01154743,0.89402736,2.73905170,0.65330257
-5.89794897,2.69150655,0.01815260,0.54185797,0.30669494,0.01108195,0.91396002,2.73715487,0.65817969
-5.89194597,2.72207093,0.01864640,0.54570500,0.32520334,0.01066941,0.93479959,2.72301938,0.66160709
-5.88594297,2.74923605,0.01908309,0.54786078,0.34420458,0.01030896,0.95675687,2.69777731,0.66382924
-5.87993997,2.77386505,0.01945260,0.54854009,0.36355306,0.00999885,0.98002687,2.66278584,0.66511672
-5.87393697,2.79685509,0.01974565,0.54798239,0.38309155,0.00973662,1.00477682,2.61957577,0.66575438
-5.86793397,2.81909385,0.01995403,0.54644155,0.40265422,0.00951926,1.03113405,2.56979435,0.66602880
-5.86193097,2.84141582,0.02007093,0.54417523,0.42207013,0.00934343,1.05917444,2.51514482,0.66621570
-5.85592796,2.86456065,0.02009117,0.54143426,0.44116678,0.00920560,1.08891227,2.45732556,0.66656786
-5.84992496,2.88913592,0.02001144,0.53845278,0.45977389,0.00910218,1.12029198,2.39797130,0.66730434
-5.84392196,2.91558617,0.01983048,0.53543930,0.47772704,0.00902969,1.15318267,2.33859905,0.66860135
-5.83791896,2.94417020,0.01954912,0.53256925,0.49487141,0.00898483,1.18737573,2.28056089,0.67058550
-5.83191596,2.97494775,0.01917039,0.52997928,0.51106515,0.00896458,1.22258610,2.22500531,0.67332959
-5.82591296,3.00777642,0.01869941,0.52776347,0.52618265,0.00896625,1.25845729,2.17284863,0.67685128
-5.81990995,3.04231914,0.01814330,0.52597165,0.54011726,0.00898753,1.29457024,2.12475706,0.68111454
-5.81390695,3.07806185,0.01751104,0.52460972,0.55278377,0.00902646,1.33045574,2.08113992,0.68603402
-5.80790395,3.11434044,0.01681321,0.52364203,0.56412016,0.00908152,1.36561015,2.04215360,0.69148180
-5.80190095,3.15037580,0.01606171,0.52299542,0.57408887,0.00915151,1.39951362,2.00771568,0.69729640
-5.79589795,3.18531483,0.01526950,0.52256490,0.58267732,0.00923561,1.43165025,1.97752794,0.70329329
-5.78989495,3.21827560,0.01445021,0.52222043,0.58989778,0.00933325,1.46152906,1.95110690,0.70927647
-5.78389195,3.24839404,0.01361784,0.52181452,0.59578645,0.00944412,1.48870498,1.92782020,0.71505052
-5.77788894,3.27486981,0.01278644,0.52119025,0.60040175,0.00956806,1.51279864,1.90692672,0.72043217
-5.77188594,3.29700879,0.01196973,0.52018935,0.60382197,0.00970500,1.53351398,1.88761869,0.72526112
-5.76588294,3.31426010,0.01118088,0.51865985,0.60614207,0.00985488,1.55065269,1.86906381,0.72940921
-5.75987994,3.32624544,0.01043215,0.51646306,0.60747002,0.01001754,1.56412473,1.85044542,0.73278764
-5.75387694,3.33277925,0.00973477,0.51347954,0.60792248,0.01019264,1.57395398,1.83099926,0.73535166
-5.74787394,3.33387855,0.00909865,0.50961384,0.60762023,0.01037959,1.58027891,1.81004525,0.73710267
-5.74187094,3.32976184,0.00853228,0.50479792,0.60668326,0.01057747,1.58334769,1.78701330,0.73808744
-5.73586793,3.32083701,0.00804264,0.49899294,0.60522593,0.01078492,1.58350802,1.76146222,0.73839460
-5.72986493,3.30767885,0.00763508,0.49218981,0.60335224,0.01100015,1.58119185,1.73309148,0.73814850
-5.72386193,3.29099722,0.00731330,0.48440811,0.60115149,0.01122084,1.57689569,1.70174552,0.73750083
-5.71785893,3.27159748,0.00707937,0.47569388,0.59869448,0.01144417,1.57115724,1.66741105,0.73662044
