energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.91347150,0.00996193,0.05217993,0.07494083,0.28167008,1.44776190,0.01172338,0.52799810
-5.99399700,1.89359830,0.01091558,0.05490927,0.08139620,0.28626960,1.41344199,0.01315106,0.53021287
-5.98799400,1.88506267,0.01200751,0.05834390,0.08909713,0.29528050,1.38483019,0.01470036,0.53698001
-5.98199100,1.88795977,0.01323686,0.06242852,0.09801208,0.30852539,1.36221677,0.01636236,0.54825363
-5.97598799,1.90218243,0.01460020,0.06710051,0.10809135,0.32578042,1.34576713,0.01812564,0.56391658
-5.96998499,1.92741024,0.01609134,0.07229015,0.11926550,0.34677605,1.33551138,0.01997631,0.58377861
-5.96398199,1.96310355,0.01770124,0.07792103,0.13144408,0.37119773,1.33133751,0.02189804,0.60757576
-5.95797899,2.00850271,0.01941794,0.08391053,0.14451479,0.39868686,1.33298885,0.02387223,0.63497102
-5.95197599,2.06263324,0.02122658,0.09017049,0.15834311,0.42884210,1.34006581,0.02587823,0.66555649
-5.94597299,2.12431704,0.02310949,0.09660809,0.17277260,0.46122133,1.35203227,0.02789361,0.69885710
-5.93996998,2.19218978,0.02504635,0.10312688,0.18762600,0.49534445,1.36822643,0.02989458,0.73433607
-5.93396698,2.26472420,0.02701439,0.10962799,0.20270699,0.53069712,1.38787582,0.03185637,0.77140193
-5.92796398,2.34025895,0.02898875,0.11601153,0.21780284,0.56673567,1.41011617,0.03375371,0.80941733
-5.92196098,2.41703218,0.03094288,0.12217808,0.23268793,0.60289329,1.43401337,0.03556134,0.84770925
-5.91595798,2.49321920,0.03284896,0.12803034,0.24712793,0.63858734,1.45858790,0.03725452,0.88558080
-5.90995498,2.56697305,0.03467856,0.13347477,0.26088470,0.67322799,1.48284095,0.03880954,0.92232405
-5.90395198,2.63646682,0.03640311,0.13842326,0.27372177,0.70622790,1.50578123,0.04020424,0.95723392
-5.89794897,2.69993662,0.03799467,0.14279477,0.28541017,0.73701286,1.52645171,0.04141849,0.98962256
-5.89194597,2.75572379,0.03942652,0.14651687,0.29573433,0.76503299,1.54395537,0.04243458,1.01883415
-5.88594297,2.80231514,0.04067387,0.14952715,0.30449808,0.78977432,1.55747910,0.04323763,1.04425939
-5.87993997,2.83837994,0.04171454,0.15177442,0.31153026,0.81077035,1.56631504,0.04381589,1.06534951
-5.87393697,2.86280263,0.04252951,0.15321973,0.31668976,0.82761310,1.56987876,0.04416097,1.08162933
-5.86793397,2.87471002,0.04310355,0.15383711,0.31986989,0.83996332,1.56772358,0.04426802,1.09270885
-5.86193097,2.87349234,0.04342565,0.15361406,0.32100171,0.84755938,1.55955086,0.04413582,1.09829301
-5.85592796,2.85881722,0.04348938,0.15255171,0.32005628,0.85022448,1.54521576,0.04376672,1.09818936
