energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.47037198,0.01579778,0.00000000,0.00272923,0.39563507,0.47080569,0.34475522,0.54038217,0.00000000
-5.99399700,1.48447513,0.01616820,0.00000000,0.00274082,0.39888081,0.47510060,0.34602339,0.54568491,0.00000000
-5.98799400,1.49766234,0.01649420,0.00000000,0.00274535,0.40150079,0.47965157,0.34686625,0.55122751,0.00000000
-5.98199100,1.50953097,0.01676799,0.00000000,0.00274265,0.40338612,0.48437620,0.34724270,0.55687941,0.00000000
-5.97598799,1.51972449,0.01698259,0.00000000,0.00273277,0.40444360,0.48919792,0.34712922,0.56252132,0.00000000
-5.96998499,1.52795207,0.01713208,0.00000000,0.00271604,0.40460038,0.49405176,0.34652244,0.56805286,0.00000000
-5.96398199,1.53400514,0.01721182,0.00000000,0.00269299,0.40380787,0.49888921,0.34544085,0.57339912,0.00000000
-5.95797899,1.53776966,0.01721858,0.00000000,0.00266437,0.40204445,0.50368177,0.34392538,0.57851566,0.00000000
-5.95197599,1.53923341,0.01715070,0.00000000,0.00263110,0.39931706,0.50842294,0.34203877,0.58339149,0.00000000
-5.94597299,1.53848764,0.01700815,0.00000000,0.00259422,0.39566132,0.51312839,0.33986377,0.58804986,0.00000000
-5.93996998,1.53572274,0.01679254,0.00000000,0.00255487,0.39114033,0.51783433,0.33750007,0.59254660,0.00000000
-5.93396698,1.53121821,0.01650705,0.00000000,0.00251425,0.38584207,0.52259394,0.33506023,0.59696608,0.00000000
-5.92796398,1.52532698,0.01615633,0.00000000,0.00247353,0.37987556,0.52747224,0.33266455,0.60141500,0.00000000
-5.92196098,1.51845514,0.01574634,0.00000000,0.00243385,0.37336591,0.53253943,0.33043528,0.60601409,0.00000000
-5.91595798,1.51103786,0.01528415,0.00000000,0.00239626,0.36644861,0.53786327,0.32849040,0.61088840,0.00000000
-5.90995498,1.50351289,0.01477765,0.00000000,0.00236165,0.35926321,0.54350091,0.32693713,0.61615658,0.00000000
-5.90395198,1.49629303,0.01423534,0.00000000,0.00233075,0.35194678,0.54949060,0.32586567,0.62191969,0.00000000
-5.89794897,1.48973911,0.01366596,0.00000000,0.00230406,0.34462751,0.55584398,0.32534347,0.62825048,0.00000000
-5.89194597,1.48413507,0.01307828,0.00000000,0.00228190,0.33741876,0.56253939,0.32541019,0.63518349,0.00000000
-5.88594297,1.47966658,0.01248079,0.00000000,0.00226428,0.33041386,0.56951670,0.32607386,0.64270684,0.00000000
