energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.74894165,0.03580653,0.10425039,0.17648034,1.03819974,0.59913786,0.05314816,0.78576070
-5.99399700,1.74229879,0.03506826,0.10246710,0.17568428,1.01888071,0.60745955,0.05279965,0.78040240
-5.98799400,1.73212393,0.03416999,0.10085377,0.17416873,0.99848880,0.61470092,0.05232319,0.77318142
-5.98199100,1.71912093,0.03313104,0.09951628,0.17197587,0.97785490,0.62100485,0.05173077,0.76437824
-5.97598799,1.70407455,0.03197259,0.09856763,0.16915840,0.95790564,0.62654773,0.05103466,0.75430030
-5.96998499,1.68783337,0.03071705,0.09812630,0.16577778,0.93964702,0.63153607,0.05024719,0.74327432
-5.96398199,1.67129154,0.02938749,0.09831443,0.16190228,0.92414521,0.63620235,0.04938041,0.73163845
-5.95797899,1.65536948,0.02800701,0.09925570,0.15760512,0.91250476,0.64079993,0.04844595,0.71973448
-5.95197599,1.64099371,0.02659814,0.10107315,0.15296246,0.90584426,0.64559710,0.04745484,0.70790035
-5.94597299,1.62907614,0.02518236,0.10388650,0.14805162,0.90526973,0.65087035,0.04641740,0.69646286
-5.93996998,1.62049295,0.02377959,0.10780934,0.14294929,0.91184597,0.65689688,0.04534326,0.68573105
-5.93396698,1.61606339,0.02240783,0.11294591,0.13773004,0.92656623,0.66394636,0.04424131,0.67598998
-5.92796398,1.61652869,0.02108285,0.11938762,0.13246491,0.95032069,0.67227237,0.04311972,0.66749536
-5.92196098,1.62253152,0.01981796,0.12720932,0.12722036,0.98386429,0.68210341,0.04198606,0.66046869
-5.91595798,1.63459636,0.01862391,0.13646540,0.12205727,1.02778486,0.69363400,0.04084729,0.65509328
-5.90995498,1.65311131,0.01750881,0.14718590,0.11703037,1.08247228,0.70701595,0.03970989,0.65151101
-5.90395198,1.67831174,0.01647815,0.15937262,0.11218770,1.14808992,0.72235033,0.03857996,0.64981986
