energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.70085876,0.00737748,0.31235639,0.45796296,0.45987517,0.66948509,0.00000000,0.22950106,0.15777658
-5.99399700,1.70946520,0.00763310,0.30575572,0.45411165,0.45105763,0.68185733,0.00000000,0.23606796,0.15992687
-5.98799400,1.72463790,0.00793278,0.30133663,0.45282103,0.44609317,0.69542510,0.00000000,0.24351259,0.16252392
-5.98199100,1.74650423,0.00827632,0.29923012,0.45415783,0.44520949,0.71007984,0.00000000,0.25181109,0.16554942
-5.97598799,1.77522191,0.00866338,0.29955078,0.45818217,0.44860320,0.72575956,0.00000000,0.26095184,0.16899284
-5.96998499,1.81096783,0.00909339,0.30239576,0.46494526,0.45643703,0.74244384,0.00000000,0.27093268,0.17285022
-5.96398199,1.85392241,0.00956546,0.30784340,0.47448673,0.46883683,0.76014648,0.00000000,0.28175732,0.17712246
-5.95797899,1.90425065,0.01007822,0.31595173,0.48683143,0.48588841,0.77890617,0.00000000,0.29343111,0.18181317
-5.95197599,1.96208060,0.01062971,0.32675681,0.50198608,0.50763433,0.79877579,0.00000000,0.30595640,0.18692633
-5.94597299,2.02748086,0.01121724,0.34027112,0.51993597,0.53407095,0.81981092,0.00000000,0.31932783,0.19246373
-5.93996998,2.10043851,0.01183734,0.35648205,0.54064209,0.56514602,0.84205819,0.00000000,0.33352774,0.19842244
-5.93396698,2.18083899,0.01248565,0.37535090,0.56403876,0.60075711,0.86554432,0.00000000,0.34852209,0.20479253
-5.92796398,2.26844961,0.01315690,0.39681231,0.59003235,0.64075115,0.89026638,0.00000000,0.36425711,0.21155501
-5.92196098,2.36290810,0.01384490,0.42077449,0.61850103,0.68492546,0.91618397,0.00000000,0.38065705,0.21868040
-5.91595798,2.46371715,0.01454260,0.44712035,0.64929592,0.73303038,0.94321377,0.00000000,0.39762305,0.22612774
-5.90995498,2.57024590,0.01524215,0.47570943,0.68224359,0.78477365,0.97122685,0.00000000,0.41503346,0.23384434
-5.90395198,2.68173871,0.01593503,0.50638095,0.71714990,0.83982645,1.00004898,0.00000000,0.43274558,0.24176625
