energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.28569953,0.00065322,0.11753298,0.08688020,0.00362228,0.55133316,0.02718451,0.12834621
-5.99399700,1.29027232,0.00071072,0.11825007,0.09063837,0.00377825,0.55272541,0.02800061,0.12906351
-5.98799400,1.28969201,0.00076901,0.11853489,0.09406230,0.00392139,0.55181450,0.02869314,0.12927441
-5.98199100,1.28385856,0.00082744,0.11837466,0.09710915,0.00404989,0.54856471,0.02925271,0.12896609
-5.97598799,1.27274550,0.00088525,0.11776210,0.09974063,0.00416213,0.54297481,0.02967193,0.12813284
-5.96998499,1.25640348,0.00094166,0.11669585,0.10192359,0.00425665,0.53507941,0.02994557,0.12677643
-5.96398199,1.23496130,0.00099581,0.11518067,0.10363058,0.00433218,0.52494904,0.03007060,0.12490626
-5.95797899,1.20862428,0.00104684,0.11322753,0.10484021,0.00438772,0.51268913,0.03004624,0.12253929
-5.95197599,1.17767018,0.00109389,0.11085339,0.10553750,0.00442248,0.49843765,0.02987387,0.11969967
-5.94597299,1.14244278,0.00113611,0.10808091,0.10571403,0.00443594,0.48236182,0.02955697,0.11641822
-5.93996998,1.10334338,0.00117272,0.10493796,0.10536807,0.00442785,0.46465383,0.02910095,0.11273165
-5.93396698,1.06082096,0.00120297,0.10145694,0.10450455,0.00439824,0.44552596,0.02851301,0.10868167
-5.92796398,1.01536105,0.00122626,0.09767411,0.10313497,0.00434739,0.42520515,0.02780190,0.10431397
-5.92196098,0.96747422,0.00124205,0.09362878,0.10127724,0.00427589,0.40392749,0.02697772,0.09967717
-5.91595798,0.91768439,0.00124999,0.08936244,0.09895535,0.00418458,0.38193260,0.02605169,0.09482170
-5.90995498,0.86651754,0.00124985,0.08491797,0.09619905,0.00407456,0.35945838,0.02503593,0.08979878
-5.90395198,0.81449120,0.00124156,0.08033883,0.09304336,0.00394719,0.33673610,0.02394319,0.08465935
-5.89794897,0.76210498,0.00122522,0.07566827,0.08952799,0.00380402,0.31398616,0.02278667,0.07945318
-5.89194597,0.70983240,0.00120109,0.07094864,0.08569671,0.00364683,0.29141443,0.02157978,0.07422809
-5.88594297,0.65811412,0.00116960,0.06622074,0.08159663,0.00347755,0.26920936,0.02033595,0.06902919
-5.87993997,0.60735268,0.00113130,0.06152331,0.07727731,0.00329823,0.24753991,0.01906840,0.06389834
-5.87393697,0.55790862,0.00108690,0.05689253,0.07278995,0.00311103,0.22655412,0.01779003,0.05887375
-5.86793397,0.51009809,0.00103717,0.05236164,0.06818644,0.00291815,0.20637840,0.01651320,0.05398958
-5.86193097,0.46419159,0.00098302,0.04796067,0.06351841,0.00272182,0.18711748,0.01524966,0.04927581
-5.85592796,0.42041403,0.00092536,0.04371618,0.05883632,0.00252421,0.16885484,0.01401036,0.04475809
-5.84992496,0.37894563,0.00086516,0.03965117,0.05418857,0.00232742,0.15165367,0.01280543,0.04045778
-5.84392196,0.33992377,0.00080341,0.03578496,0.04962071,0.00213346,0.13555813,0.01164410,0.03639200
-5.83791896,0.30344562,0.00074105,0.03213328,0.04517472,0.00194418,0.12059500,0.01053469,0.03257382
