energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,3.63650423,0.00711733,0.00000000,0.00707629,0.49831827,2.62539825,1.20585864,0.03251180,1.70722205
-5.99399700,3.68953067,0.00702780,0.00000000,0.00752178,0.50773646,2.59677539,1.23881068,0.03246288,1.72850186
-5.98799400,3.73472366,0.00694535,0.00000000,0.00798255,0.51683639,2.56538475,1.26878400,0.03236884,1.74507055
-5.98199100,3.77219846,0.00687370,0.00000000,0.00846123,0.52556689,2.53177935,1.29569010,0.03223720,1.75707688
-5.97598799,3.80215093,0.00681606,0.00000000,0.00896108,0.53386396,2.49643652,1.31948565,0.03207531,1.76474473
-5.96998499,3.82485364,0.00677508,0.00000000,0.00948593,0.54165279,2.45975488,1.34017210,0.03189023,1.76836816
-5.96398199,3.84065088,0.00675282,0.00000000,0.01004012,0.54885050,2.42205534,1.35779435,0.03168861,1.76830435
-5.95797899,3.84995255,0.00675070,0.00000000,0.01062835,0.55536939,2.38358567,1.37243835,0.03147661,1.76496478
-5.95197599,3.85322660,0.00676957,0.00000000,0.01125555,0.56112048,2.34452804,1.38422793,0.03125986,1.75880465
-5.94597299,3.85099010,0.00680970,0.00000000,0.01192664,0.56601731,2.30500872,1.39332061,0.03104334,1.75031097
-5.93996998,3.84379882,0.00687084,0.00000000,0.01264631,0.56997957,2.26510921,1.39990268,0.03083144,1.73998932
-5.93396698,3.83223525,0.00695223,0.00000000,0.01341877,0.57293655,2.22487788,1.40418350,0.03062782,1.72834992
-5.92796398,3.81689529,0.00705269,0.00000000,0.01424742,0.57483010,2.18434145,1.40638916,0.03043547,1.71589327
-5.92196098,3.79837377,0.00717066,0.00000000,0.01513458,0.57561701,2.14351554,1.40675565,0.03025658,1.70309581
-5.91595798,3.77724913,0.00730422,0.00000000,0.01608118,0.57527053,2.10241378,1.40552188,0.03009256,1.69039625
-5.90995498,3.75406796,0.00745117,0.00000000,0.01708648,0.57378125,2.06105505,1.40292254,0.02994392,1.67818296
-5.90395198,3.72932998,0.00760901,0.00000000,0.01814778,0.57115692,2.01946871,1.39918140,0.02981027,1.66678310
-5.89794897,3.70347438,0.00777503,0.00000000,0.01926027,0.56742166,1.97769780,1.39450520,0.02969022,1.65645402
-5.89194597,3.67686848,0.00794626,0.00000000,0.02041685,0.56261434,1.93580040,1.38907862,0.02958135,1.64737751
-5.88594297,3.64979968,0.00811954,0.00000000,0.02160810,0.55678650,1.89384949,1.38306072,0.02948018,1.63965727
-5.87993997,3.62247179,0.00829153,0.00000000,0.02282229,0.54999981,1.85193182,1.37658318,0.02938215,1.63332026
-5.87393697,3.59500645,0.00845873,0.00000000,0.02404556,0.54232348,1.81014634,1.36975066,0.02928165,1.62832181
-5.86793397,3.56745043,0.00861752,0.00000000,0.02526212,0.53383171,1.76860274,1.36264357,0.02917211,1.62455492
-5.86193097,3.53978909,0.00876423,0.00000000,0.02645469,0.52460145,1.72742073,1.35532331,0.02904612,1.62186347
-5.85592796,3.51196592,0.00889516,0.00000000,0.02760487,0.51471063,1.68673031,1.34783988,0.02889558,1.62005902
-5.84992496,3.48390770,0.00900669,0.00000000,0.02869377,0.50423697,1.64667357,1.34024174,0.02871195,1.61894061
-5.84392196,3.45555440,0.00909537,0.00000000,0.02970261,0.49325756,1.60740788,1.33258733,0.02848652,1.61831679
-5.83791896,3.42689220,0.00915802,0.00000000,0.03061334,0.48184895,1.56911055,1.32495782,0.02821070,1.61802882
-5.83191596,3.39798791,0.00919183,0.00000000,0.03140942,0.47008809,1.53198450,1.31747020,0.02787637,1.61797381
-5.82591296,3.36902261,0.00919446,0.00000000,0.03207639,0.45805350,1.49626462,1.31028988,0.02747626,1.61812649
-5.81990995,3.34032205,0.00916418,0.00000000,0.03260252,0.44582696,1.46222390,1.30364170,0.02700425,1.61855829
-5.81390695,3.31238146,0.00909995,0.00000000,0.03297937,0.43349506,1.43017890,1.29781858,0.02645569,1.61945221
-5.80790395,3.28588238,0.00900148,0.00000000,0.03320215,0.42115076,1.40049346,1.29318663,0.02582775,1.62111251
-5.80190095,3.26169958,0.00886932,0.00000000,0.03327003,0.40889434,1.37358013,1.29018611,0.02511955,1.62396799
-5.79589795,3.24089648,0.00870487,0.00000000,0.03318624,0.39683386,1.34989862,1.28932753,0.02433240,1.62856831
-5.78989495,3.22470814,0.00851038,0.00000000,0.03295804,0.38508469,1.32995072,1.29118255,0.02346982,1.63557288
-5.78389195,3.21451170,0.00828890,0.00000000,0.03259646,0.37376815,1.31427158,1.29636974,0.02253755,1.64573250
-5.77788894,3.21178476,0.00804425,0.00000000,0.03211595,0.36300921,1.30341735,1.30553533,0.02154347,1.65986413
