energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,9.16590169,-9.15717814,0.09818512,-0.09787025,1.92698285,-1.92693639,5.33321134,-5.33367490,2.50370173,-2.49726948,2.65325934,-2.64970967,0.00000000,-0.00000000,1.35301669,-1.35116182,0.27951319,-0.27950417
-5.99399700,9.19948827,-9.19773064,0.10064763,-0.10042265,1.91812621,-1.91975618,5.29387750,-5.29795290,2.51957748,-2.51538265,2.69281979,-2.69094350,0.00000000,-0.00000000,1.37037933,-1.36942963,0.27915493,-0.27933746
-5.98799400,9.19667489,-9.20178177,0.10266622,-0.10253461,1.89964183,-1.90290216,5.23535846,-5.24290846,2.52312357,-2.52116541,2.72536253,-2.72516919,0.00000000,-0.00000000,1.38332618,-1.38328591,0.27785552,-0.27822240
-5.98199100,9.15883586,-9.17058363,0.10421897,-0.10418279,1.87204263,-1.87685865,5.15949159,-5.17031640,2.51460458,-2.51484308,2.75090015,-2.75236934,0.00000000,-0.00000000,1.39191234,-1.39276963,0.27566184,-0.27620246
-5.97598799,9.08798339,-9.10603531,0.10529089,-0.10535077,1.83600201,-1.84227331,5.06843615,-5.08227985,2.49449401,-2.49685234,2.76958094,-2.77266312,0.00000000,-0.00000000,1.39627091,-1.39799820,0.27263795,-0.27333862
-5.96998499,8.98669330,-9.01061139,0.10587409,-0.10602925,1.79233128,-1.79993528,4.96461650,-4.98117475,2.46345399,-2.46782182,2.78168071,-2.78629888,0.00000000,-0.00000000,1.39660926,-1.39916411,0.26886213,-0.26970662
-5.96398199,8.85801688,-8.88727610,0.10596777,-0.10621608,1.74195385,-1.75074977,4.85065962,-4.86958843,2.42231036,-2.42854805,2.78759130,-2.79364321,0.00000000,-0.00000000,1.39320339,-1.39652966,0.26442377,-0.26539380
-5.95797899,8.70538296,-8.73938704,0.10557800,-0.10591608,1.68587721,-1.69571040,4.72932913,-4.75025427,2.37202454,-2.37996780,2.78780634,-2.79516734,0.00000000,-0.00000000,1.38639092,-1.39042018,0.25941997,-0.26049575
-5.95197599,8.53249428,-8.57059240,0.10471746,-0.10514078,1.62516400,-1.63587035,4.60345778,-4.62598447,2.31366334,-2.32312822,2.78290480,-2.79143100,0.00000000,-0.00000000,1.37656249,-1.38121579,0.25395217,-0.25511302
-5.94597299,8.34322202,-8.38472585,0.10340503,-0.10390802,1.56090317,-1.57231348,4.47588017,-4.49960273,2.24836807,-2.25915611,2.77353279,-2.78306459,0.00000000,-0.00000000,1.36415227,-1.36934194,0.24812288,-0.24934776
-5.93996998,8.14150222,-8.18570261,0.10166527,-0.10224146,1.49418234,-1.50612645,4.34936744,-4.37387861,2.17732425,-2.18922742,2.76038423,-2.77075003,0.00000000,-0.00000000,1.34962735,-1.35525903,0.24203271,-0.24330075
-5.93396698,7.93123732,-7.97742014,0.09952779,-0.10016999,1.42606219,-1.43837273,4.22656538,-4.25146510,2.10173277,-2.11453826,2.74418094,-2.75520092,0.00000000,-0.00000000,1.33347661,-1.33945128,0.23577766,-0.23706869
