energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.77014017,0.33058580,0.09077607,0.02134734,2.16986575,0.10602375,2.35311730,5.32124576,1.74550984
-5.99399700,7.96785779,0.34151874,0.09202168,0.02162865,2.24995758,0.10346915,2.39803676,5.49387139,1.80792615
-5.98799400,8.16420635,0.35214819,0.09328068,0.02191651,2.33094381,0.10116406,2.44199494,5.66604881,1.86959686
-5.98199100,8.35655088,0.36236681,0.09449619,0.02220740,2.41209622,0.09910619,2.48407509,5.83542248,1.93018767
-5.97598799,8.54234359,0.37207301,0.09561144,0.02249656,2.49272248,0.09728695,2.52336384,5.99977371,1.98940024
-5.96998499,8.71916939,0.38117213,0.09657123,0.02277811,2.57217479,0.09569154,2.55897213,6.15705960,2.04697218
-5.96398199,8.88478566,0.38957751,0.09732342,0.02304526,2.64985456,0.09429929,2.59005669,6.30544333,2.10267423
-5.95797899,9.03715506,0.39721151,0.09782040,0.02329060,2.72521315,0.09308426,2.61584167,6.44331466,2.15630479
-5.95197599,9.17447053,0.40400643,0.09802045,0.02350634,2.79774886,0.09201599,2.63563925,6.56930065,2.20768220
-5.94597299,9.29517195,0.40990531,0.09788891,0.02368467,2.86700059,0.09106050,2.64886866,6.68226659,2.25663524
-5.93996998,9.39795429,0.41486270,0.09739917,0.02381813,2.93253884,0.09018139,2.65507257,6.78130774,2.30299262
-5.93396698,9.48176753,0.41884523,0.09653341,0.02389987,2.99395490,0.08934109,2.65393018,6.86573326,2.34657207
-5.92796398,9.54580908,0.42183207,0.09528305,0.02392403,3.05084927,0.08850210,2.64526628,6.93504362,2.38717010
-5.92196098,9.58950988,0.42381516,0.09364887,0.02388595,3.10282044,0.08762831,2.62905575,6.98890346,2.42455312
-5.91595798,9.61251530,0.42479922,0.09164088,0.02378239,3.14945502,0.08668617,2.60542327,7.02711189,2.45845080
-5.90995498,9.61466272,0.42480154,0.08927779,0.02361163,3.19032035,0.08564587,2.57463811,7.04957242,2.48855234
-5.90395198,9.59595740,0.42385138,0.08658629,0.02337360,3.22496033,0.08448224,2.53710416,7.05626440,2.51450628
-5.89794897,9.55654825,0.42198920,0.08360001,0.02306978,3.25289526,0.08317563,2.49334557,7.04721805,2.53592400
-5.89194597,9.49670528,0.41926555,0.08035831,0.02270313,3.27362602,0.08171243,2.44398864,7.02249442,2.55238717
-5.88594297,9.41680002,0.41573963,0.07690491,0.02227796,3.28664261,0.08008544,2.38974073,6.98217161,2.56345899
-5.87993997,9.31728989,0.41147775,0.07328645,0.02179964,3.29143701,0.07829402,2.33136711,6.92633778,2.56869864
-5.87393697,9.19870736,0.40655151,0.06955097,0.02127442,3.28751962,0.07634396,2.26966674,6.85509127,2.56767847
-5.86793397,9.06165390,0.40103591,0.06574650,0.02070908,3.27443871,0.07424711,2.20544806,6.76854735,2.56000301
-5.86193097,8.90679879,0.39500740,0.06191964,0.02011068,3.25180163,0.07202089,2.13950568,6.66685098,2.54532877
-5.85592796,8.73488201,0.38854201,0.05811442,0.01948622,3.21929678,0.06968749,2.07259897,6.55019414,2.52338381
-5.84992496,8.54672021,0.38171347,0.05437116,0.01884244,3.17671497,0.06727303,2.00543335,6.41883646,2.49398586
-5.84392196,8.34321478,0.37459166,0.05072573,0.01818555,3.12396891,0.06480655,1.93864473,6.27312723,2.45705804
-5.83791896,8.12536029,0.36724115,0.04720887,0.01752107,3.06110963,0.06231891,1.87278766,6.11352697,2.41264119
-5.83191596,7.89425221,0.35972009,0.04384587,0.01685372,2.98833884,0.05984170,1.80832729,5.94062690,2.36090199
-5.82591296,7.65109222,0.35207936,0.04065640,0.01618733,2.90601630,0.05740606,1.74563520,5.75516462,2.30213645
-5.81990995,7.39719026,0.34436202,0.03765461,0.01552485,2.81466182,0.05504166,1.68498889,5.55803454,2.23676841
-5.81390695,7.13396209,0.33660309,0.03484939,0.01486837,2.71495141,0.05277565,1.62657458,5.35029220,2.16534314
-5.80790395,6.86292215,0.32882960,0.03224480,0.01421927,2.60770792,0.05063173,1.57049297,5.13315183,2.08851625
-5.80190095,6.58567137,0.32106094,0.02984061,0.01357825,2.49388628,0.04862946,1.51676724,4.90797690,2.00703861
-5.79589795,6.30388029,0.31330941,0.02763299,0.01294557,2.37455422,0.04678361,1.46535297,4.67626398,1.92173792
-5.78989495,6.01926821,0.30558096,0.02561519,0.01232113,2.25086919,0.04510372,1.41614923,4.43962062,1.83349795
-5.78389195,5.73357926,0.29787618,0.02377830,0.01170469,2.12405262,0.04359395,1.36901044,4.19973817,1.74323652
-5.77788894,5.44855689,0.29019137,0.02211195,0.01109597,1.99536263,0.04225300,1.32375846,3.95836092,1.65188331
-5.77188594,5.16591788,0.28251975,0.02060503,0.01049484,1.86606639,0.04107432,1.28019464,3.71725293,1.56035851
-5.76588294,4.88732770,0.27485277,0.01924630,0.00990135,1.73741337,0.04004649,1.23811140,3.47816431,1.46955344
-5.75987994,4.61437830,0.26718151,0.01802500,0.00931584,1.61061035,0.03915378,1.19730320,3.24279816,1.38031371
-5.75387694,4.34856978,0.25949810,0.01693132,0.00873899,1.48679927,0.03837685,1.15757671,3.01277998,1.29342579
-5.74787394,4.09129664,0.25179721,0.01595681,0.00817183,1.36703849,0.03769362,1.11876015,2.78963049,1.20960727
-5.74187094,3.84383940,0.24407753,0.01509469,0.00761568,1.25228801,0.03708019,1.08071154,2.57474298,1.12950087
-5.73586793,3.60736154,0.23634326,0.01434008,0.00707215,1.14339884,0.03651182,1.04332601,2.36936591,1.05367231
-5.72986493,3.38291169,0.22860544,0.01369018,0.00654305,1.04110654,0.03596395,1.00654197,2.17459093,0.98261148
-5.72386193,3.17143025,0.22088328,0.01314428,0.00603035,0.94602869,0.03541316,0.97034607,1.99134658,0.91673665
-5.71785893,2.97375963,0.21320520,0.01270380,0.00553602,0.85866600,0.03483807,0.93477687,1.82039720,0.85640077
-5.71185593,2.79065671,0.20560971,0.01237217,0.00506205,0.77940630,0.03422017,0.89992707,1.66234662,0.80189935
-5.70585293,2.62280617,0.19814596,0.01215470,0.00461028,0.70853105,0.03354441,0.86594417,1.51764585,0.75347896
-5.69984992,2.47083326,0.19087389,0.01205839,0.00418239,0.64622340,0.03279977,0.83302939,1.38660380,0.71134555
-5.69384692,2.33531445,0.18386401,0.01209160,0.00377982,0.59257738,0.03197954,0.80143486,1.26940017,0.67567205
-5.68784392,2.21678496,0.17719668,0.01226379,0.00340373,0.54760736,0.03108144,0.77145876,1.16609944,0.64660429
-5.68184092,2.11574196,0.17096093,0.01258513,0.00305498,0.51125733,0.03010759,0.74343867,1.07666515,0.62426520
-5.67583792,2.03264313,0.16525273,0.01306608,0.00273410,0.48340956,0.02906425,0.71774306,1.00097350,0.60875664
-5.66983492,1.96790012,0.16017290,0.01371693,0.00244134,0.46389226,0.02796148,0.69476099,0.93882586,0.60015900
-5.66383192,1.92186736,0.15582450,0.01454736,0.00217664,0.45248622,0.02681260,0.67489053,0.88995958,0.59852867
-5.65782891,1.89482681,0.15230991,0.01556597,0.00193969,0.44893018,0.02563362,0.65852593,0.85405699,0.60389354
-5.65182591,1.88696971,0.14972769,0.01677975,0.00172993,0.45292536,0.02444255,0.64604427,0.83075245,0.61624715
-5.64582291,1.89837665,0.14816921,0.01819366,0.00154663,0.46413904,0.02325874,0.63779188,0.81963775,0.63554197
-5.63981991,1.92899757,0.14771543,0.01981024,0.00138891,0.48220768,0.02210224,0.63407120,0.82026595,0.66168245
-5.63381691,1.97863331,0.14843363,0.02162919,0.00125578,0.50673985,0.02099318,0.63512862,0.83215433,0.69451867
-5.62781391,2.04692029,0.15037456,0.02364715,0.00114617,0.53731930,0.01995124,0.64114388,0.85478658,0.73384098
-5.62181091,2.13331980,0.15356988,0.02585745,0.00105900,0.57350842,0.01899525,0.65222147,0.88761490,0.77937656
-5.61580790,2.23711308,0.15803022,0.02825009,0.00099320,0.61485231,0.01814289,0.66838460,0.93006235,0.83078797
-5.60980490,2.35740297,0.16374374,0.03081172,0.00094770,0.66088362,0.01741054,0.68957195,0.98152560,0.88767437
-5.60380190,2.49312244,0.17067547,0.03352583,0.00092151,0.71112797,0.01681326,0.71563747,1.04137840,0.94957523
-5.59779890,2.64304992,0.17876731,0.03637300,0.00091370,0.76511002,0.01636484,0.74635328,1.10897567,1.01597662
-5.59179590,2.80583079,0.18793878,0.03933129,0.00092341,0.82235975,0.01607809,0.78141557,1.18365801,1.08631974
-5.58579290,2.98000391,0.19808848,0.04237673,0.00094988,0.88241862,0.01596506,0.82045326,1.26475656,1.16001122
-5.57978989,3.16403168,0.20909617,0.04548388,0.00099241,0.94484516,0.01603747,0.86303900,1.35159749,1.23643471
-5.57378689,3.35633207,0.22082544,0.04862642,0.00105040,1.00921960,0.01630706,0.90870206,1.44350595,1.31496285
-5.56778389,3.55531040,0.23312676,0.05177785,0.00112331,1.07514688,0.01678601,0.95694243,1.53980889,1.39496906
-5.56178089,3.75938920,0.24584092,0.05491206,0.00121063,1.14225785,0.01748733,1.00724548,1.63983626,1.47583836
-5.55577789,3.96703420,0.25880257,0.05800397,0.00131193,1.21020825,0.01842511,1.05909645,1.74292045,1.55697649
-5.54977489,4.17677497,0.27184384,0.06103006,0.00142674,1.27867536,0.01961477,1.11199414,1.84839363,1.63781684
-5.54377189,4.38721904,0.28479781,0.06396884,0.00155463,1.34735238,0.02107309,1.16546301,1.95558317,1.71782480
-5.53776888,4.59705876,0.29750179,0.06680115,0.00169510,1.41594080,0.02281818,1.21906324,2.06380525,1.79649939
-5.53176588,4.80507098,0.30980024,0.06951044,0.00184758,1.48414112,0.02486917,1.27239830,2.17235721,1.87337215
-5.52576288,5.01010969,0.32154723,0.07208282,0.00201145,1.55164262,0.02724586,1.32511967,2.28050931,1.94800358
-5.51975988,5.21109278,0.33260853,0.07450706,0.00218592,1.61811287,0.02996798,1.37692857,2.38749658,2.01997768
-5.51375688,5.40698416,0.34286308,0.07677441,0.00237011,1.68318784,0.03305449,1.42757477,2.49251189,2.08889510
-5.50775388,5.59677324,0.35220407,0.07887844,0.00256294,1.74646347,0.03652252,1.47685270,2.59470102,2.15436574
-5.50175088,5.77945345,0.36053954,0.08081462,0.00276317,1.80748952,0.04038626,1.52459513,2.69316069,2.21600160
-5.49574787,5.95400213,0.36779253,0.08258006,0.00296940,1.86576654,0.04465572,1.57066497,2.78694036,2.27341064
-5.48974487,6.11936370,0.37390095,0.08417305,0.00318003,1.92074628,0.04933537,1.61494580,2.87504845,2.32619249
-5.48374187,6.27443785,0.37881717,0.08559275,0.00339331,1.97183621,0.05442280,1.65733173,2.95646306,2.37393649
-5.47773887,6.41807436,0.38250747,0.08683879,0.00360735,2.01840802,0.05990744,1.69771739,3.03014758,2.41622260
-5.47173587,6.54907534,0.38495139,0.08791109,0.00382014,2.05981004,0.06576931,1.73598872,3.09507058,2.45262539
-5.46573287,6.66620560,0.38614103,0.08880956,0.00402964,2.09538315,0.07197804,1.77201507,3.15022956,2.48272100
-5.45972986,6.76821099,0.38608042,0.08953410,0.00423377,2.12447953,0.07849204,1.80564346,3.19467754,2.50609698
-5.45372686,6.85384421,0.38478503,0.09008451,0.00443052,2.14648334,0.08525814,1.83669513,3.22755149,2.52236445
-5.44772386,6.92189698,0.38228126,0.09046065,0.00461800,2.16083242,0.09221144,1.86496494,3.24810108,2.53117202
-5.44172086,6.97123713,0.37860614,0.09066254,0.00479452,2.16703980,0.09927575,1.89022354,3.25571653,2.53222059
-5.43571786,7.00084880,0.37380706,0.09069067,0.00495865,2.16471407,0.10636438,1.91222242,3.24995414,2.52527835
-5.42971486,7.00987377,0.36794158,0.09054626,0.00510928,2.15357737,0.11338151,1.93070162,3.23055807,2.51019496
-5.42371186,6.99765175,0.36107728,0.09023153,0.00524571,2.13348037,0.12022401,1.94539958,3.19747732,2.48691406
-5.41770885,6.96375770,0.35329152,0.08975006,0.00536764,2.10441311,0.12678370,1.95606479,3.15087715,2.45548349
-5.41170585,6.90803406,0.34467120,0.08910704,0.00547527,2.06651154,0.13294999,1.96246855,3.09114400,2.41606239
-5.40570285,6.83061641,0.33531230,0.08830948,0.00556928,2.02005924,0.13861292,1.96441808,3.01888403,2.36892485
-5.39969985,6.73195100,0.32531940,0.08736632,0.00565081,1.96548429,0.14366628,1.96176932,2.93491502,2.31445980
-5.39369685,6.61280330,0.31480488,0.08628850,0.00572146,1.90335154,0.14801094,1.95443865,2.84025218,2.25316697
-5.38769385,6.47425696,0.30388802,0.08508889,0.00578326,1.83435064,0.15155804,1.94241290,2.73608845,2.18564911
-5.38169085,6.31770302,0.29269386,0.08378206,0.00583859,1.75928040,0.15423208,1.92575695,2.62377021,2.11260077
-5.37568784,6.14481974,0.28135195,0.08238404,0.00589007,1.67903024,0.15597360,1.90461866,2.50476936,2.03479406
-5.36968484,5.95754379,0.26999496,0.08091191,0.00594055,1.59455937,0.15674150,1.87923068,2.38065305,1.95306195
-5.36368184,5.75803381,0.25875712,0.07938332,0.00599294,1.50687489,0.15651471,1.84990912,2.25305216,1.86827988
-5.35767884,5.54862782,0.24777276,0.07781603,0.00605017,1.41700920,0.15529328,1.81704909,2.12362963,1.78134637
-5.35167584,5.33179608,0.23717476,0.07622733,0.00611504,1.32599798,0.15309875,1.78111739,1.99404983,1.69316340
-5.34567284,5.11009117,0.22709312,0.07463351,0.00619020,1.23485903,0.14997377,1.74264277,1.86594965,1.60461738
-5.33966983,4.88609715,0.21765361,0.07304944,0.00627800,1.14457292,0.14598100,1.70220419,1.74091216,1.51656126
-5.33366683,4.66237955,0.20897659,0.07148807,0.00638049,1.05606576,0.14120139,1.66041782,1.62044333,1.42979865
-5.32766383,4.44143788,0.20117597,0.06996024,0.00649935,0.97019441,0.13573180,1.61792320,1.50595197,1.34507011
-5.32166083,4.22566211,0.19435829,0.06847439,0.00663589,0.88773447,0.12968218,1.57536945,1.39873307,1.26304239
-5.31565783,4.01729418,0.18862199,0.06703662,0.00679102,0.80937103,0.12317232,1.53340186,1.29995438,1.18430044
-5.30965483,3.81839554,0.18405675,0.06565073,0.00696531,0.73569215,0.11632843,1.49264951,1.21064592,1.10934259
-5.30365183,3.63082102,0.18074284,0.06431850,0.00715897,0.66718502,0.10927960,1.45371416,1.13169219,1.03857871
-5.29764882,3.45619928,0.17875054,0.06304008,0.00737194,0.60423447,0.10215430,1.41716067,1.06382640,0.97233111
-5.29164582,3.29591954,0.17813945,0.06181443,0.00760391,0.54712361,0.09507709,1.38350901,1.00762654,0.91083790
-5.28564282,3.15112415,0.17895768,0.06064000,0.00785437,0.49603639,0.08816559,1.35322792,0.96351272,0.85425846
-5.27963982,3.02270625,0.18124095,0.05951526,0.00812270,0.45106160,0.08152786,1.32672981,0.93174550,0.80268045
