energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.47936277,0.19125141,0.00201990,0.07210059,1.49760257,1.08154763,0.66466318
-5.99399700,2.60597940,0.19842548,0.00210848,0.07649018,1.57683252,1.14727065,0.70096629
-5.98799400,2.74134328,0.20681644,0.00220377,0.08115694,1.66098528,1.21639283,0.73960595
-5.98199100,2.88515663,0.21643813,0.00230588,0.08608437,1.74985274,1.28872503,0.78047332
-5.97598799,3.03693829,0.22728602,0.00241487,0.09124843,1.84311732,1.36403902,0.82339916
-5.96998499,3.19602629,0.23933627,0.00253070,0.09661744,1.94035419,1.44207392,0.86815362
-5.96398199,3.36158550,0.25254520,0.00265329,0.10215214,2.04103655,1.52254351,0.91444762
-5.95797899,3.53262003,0.26684941,0.00278248,0.10780602,2.14454364,1.60514395,0.96193598
-5.95197599,3.70798978,0.28216632,0.00291809,0.11352587,2.25017129,1.68956132,1.01022213
-5.94597299,3.88643071,0.29839533,0.00305990,0.11925251,2.35714442,1.77547877,1.05886432
-5.93996998,4.06657793,0.31541947,0.00320762,0.12492181,2.46463128,1.86258245,1.10738324
-5.93396698,4.24699104,0.33310751,0.00336097,0.13046582,2.57175885,1.95056621,1.15527089
-5.92796398,4.42618081,0.35131649,0.00351960,0.13581415,2.67762891,2.03913445,1.20200038
-5.92196098,4.60263659,0.36989463,0.00368313,0.14089542,2.78133450,2.12800323,1.24703662
-5.91595798,4.77485355,0.38868436,0.00385114,0.14563891,2.88197615,2.21689930,1.28984751
-5.90995498,4.94135944,0.40752559,0.00402312,0.14997617,2.97867787,2.30555750,1.32991545
-5.90395198,5.10074007,0.42625892,0.00419850,0.15384273,3.07060225,2.39371654,1.36674887
-5.89794897,5.25166324,0.44472872,0.00437662,0.15717977,3.15696487,2.48111372,1.39989360
-5.89194597,5.39290086,0.46278608,0.00455671,0.15993570,3.23704753,2.56747906,1.42894369
-5.88594297,5.52334902,0.48029135,0.00473789,0.16206763,3.31021048,2.65252962,1.45355149
-5.87993997,5.64204586,0.49711634,0.00491916,0.16354266,3.37590346,2.73596440,1.47343682
-5.87393697,5.74818736,0.51314604,0.00509939,0.16433895,3.43367566,2.81746083,1.48839480
-5.86793397,5.84114101,0.52827995,0.00527735,0.16444659,3.48318444,2.89667329,1.49830241
-5.86193097,5.92045741,0.54243287,0.00545169,0.16386812,3.52420301,2.97323428,1.50312331
-5.85592796,5.98587993,0.55553534,0.00562098,0.16261876,3.55662693,3.04675860,1.50291101
-5.84992496,6.03735249,0.56753370,0.00578377,0.16072637,3.58047939,3.11685092,1.49781013
-5.84392196,6.07502537,0.57838998,0.00593856,0.15823102,3.59591526,3.18311651,1.48805577
-5.83791896,6.09925921,0.58808149,0.00608390,0.15518429,3.60322369,3.24517519,1.47397085
-5.83191596,6.11062678,0.59660051,0.00621843,0.15164827,3.60282917,3.30267792,1.45596164
-5.82591296,6.10991255,0.60395396,0.00634094,0.14769423,3.59529072,3.35532534,1.43451124
-5.81990995,6.09810964,0.61016318,0.00645038,0.14340117,3.58129916,3.40288755,1.41017139
-5.81390695,6.07641376,0.61526391,0.00654600,0.13885403,3.56167189,3.44522387,1.38355261
-5.80790395,6.04621380,0.61930650,0.00662734,0.13414189,3.53734523,3.48230163,1.35531283
-5.80190095,6.00907842,0.62235616,0.00669427,0.12935598,3.50936381,3.51421266,1.32614489
-5.79589795,5.96673845,0.62449348,0.00674708,0.12458766,3.47886701,3.54118624,1.29676287
-5.78989495,5.92106450,0.62581483,0.00678644,0.11992647,3.44707218,3.56359758,1.26788787
-5.78389195,5.87403968,0.62643269,0.00681344,0.11545815,3.41525472,3.58197052,1.24023328
-5.77788894,5.82772723,0.62647574,0.00682960,0.11126283,3.38472511,3.59697409,1.21449000
-5.77188594,5.78423329,0.62608848,0.00683681,0.10741335,3.35680315,3.60941215,1.19131186
-5.76588294,5.74566522,0.62543034,0.00683732,0.10397372,3.33278982,3.62020619,1.17130171
-5.75987994,5.71408621,0.62467415,0.00683368,0.10099794,3.31393749,3.63037140,1.15499841
-5.75387694,5.69146710,0.62400389,0.00682867,0.09852888,3.30141916,3.64098677,1.14286519
-5.74787394,5.67963697,0.62361161,0.00682521,0.09659763,3.29629765,3.65316014,1.13527959
-5.74187094,5.68023396,0.62369374,0.00682631,0.09522298,3.29949598,3.66798951,1.13252546
-5.73586793,5.69465822,0.62444674,0.00683495,0.09441127,3.31176990,3.68652240,1.13478715
-5.72986493,5.72402901,0.62606228,0.00685400,0.09415659,3.33368380,3.70971493,1.14214619
-5.72386193,5.76914780,0.62872217,0.00688613,0.09444115,3.36559132,3.73839268,1.15458069
-5.71785893,5.83046955,0.63259326,0.00693374,0.09523607,3.40762137,3.77321526,1.17196735
-5.71185593,5.90808352,0.63782260,0.00699886,0.09650232,3.45967079,3.81464642,1.19408641
-5.70585293,6.00170530,0.64453303,0.00708314,0.09819202,3.52140402,3.86293135,1.22062904
-5.69984992,6.11068070,0.65281960,0.00718776,0.10024984,3.59226032,3.91808241,1.25120738
-5.69384692,6.23400202,0.66274679,0.00731345,0.10261459,3.67146834,3.97987421,1.28536660
-5.68784392,6.37033631,0.67434695,0.00746044,0.10522102,3.75806788,4.04784834,1.32259878
-5.68184092,6.51806480,0.68761973,0.00762850,0.10800154,3.85093800,4.12132764,1.36235809
-5.67583792,6.67533197,0.70253283,0.00781695,0.11088805,3.94883039,4.19943926,1.40407664
-5.66983492,6.84010204,0.71902365,0.00802472,0.11381371,4.05040674,4.28114544,1.44718050
-5.66383192,7.01022052,0.73700204,0.00825035,0.11671460,4.15427828,4.36528013,1.49110525
-5.65782891,7.18347772,0.75635360,0.00849213,0.11953117,4.25904591,4.45058980,1.53531035
-5.65182591,7.35767131,0.77694353,0.00874805,0.12220959,4.36333892,4.53577592,1.57929190
-5.64582291,7.53066474,0.79862066,0.00901597,0.12470273,4.46585058,4.61953711,1.62259318
-5.63981991,7.70043882,0.82122130,0.00929359,0.12697098,4.56536893,4.70060852,1.66481260
-5.63381691,7.86513389,0.84457277,0.00957854,0.12898267,4.66080137,4.77779669,1.70560876
-5.62781391,8.02308069,0.86849634,0.00986842,0.13071424,4.75119190,4.85000794,1.74470238
-5.62181091,8.17281884,0.89280935,0.01016078,0.13215008,4.83573059,4.91626936,1.78187522
-5.61580790,8.31310222,0.91732657,0.01045320,0.13328210,4.91375485,4.97574153,1.81696601
-5.60980490,8.44289186,0.94186063,0.01074324,0.13410909,4.98474295,5.02772293,1.84986371
-5.60380190,8.56133734,0.96622176,0.01102848,0.13463574,5.04830042,5.07164644,1.88049851
-5.59779890,8.66774854,0.99021682,0.01130646,0.13487166,5.10414059,5.10706893,1.90883104
-5.59179590,8.76156037,1.01364806,0.01157467,0.13483020,5.15206076,5.13365526,1.93484056
-5.58579290,8.84229318,1.03631164,0.01183057,0.13452727,5.19191575,5.15115852,1.95851261
-5.57978989,8.90951228,1.05799643,0.01207152,0.13398014,5.22359074,5.15939838,1.97982695
-5.57378689,8.96278963,1.07848321,0.01229480,0.13320633,5.24697545,5.15823953,1.99874655
-5.56778389,9.00167086,1.09754469,0.01249761,0.13222267,5.26194144,5.14757217,2.01520810
-5.56178089,9.02565039,1.11494648,0.01267705,0.13104446,5.26832423,5.12729614,2.02911492
-5.55577789,9.03415678,1.13044921,0.01283020,0.12968490,5.26591162,5.09731014,2.04033242
-5.54977489,9.02654995,1.14381189,0.01295414,0.12815465,5.25443919,5.05750679,2.04868687
-5.54377189,9.00213084,1.15479657,0.01304601,0.12646174,5.23359345,5.00777413,2.05396730
-5.53776888,8.96016370,1.16317404,0.01310307,0.12461161,5.20302271,4.94800332,2.05593089
-5.53176588,8.89990982,1.16873054,0.01312283,0.12260742,5.16235529,4.87810207,2.05431152
-5.52576288,8.82067131,1.17127516,0.01310313,0.12045051,5.11122407,4.79801278,2.04883130
