energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.76588294,7.14909169,-7.11477546,0.08060976,-0.08131776,1.00575557,-0.99594562,1.65568046,-1.63527268,0.90672814,-0.88245736,1.85562361,-1.83734144,0.42975874,-0.43693444,0.15997469,-0.16219868,2.89110778,-2.88981413
-5.75987994,7.15290919,-7.13669292,0.08001661,-0.08136507,1.01323796,-1.00849394,1.67794909,-1.66145261,0.90660869,-0.88760632,1.88409266,-1.86490503,0.42729597,-0.43547231,0.15742049,-0.16006320,2.88840065,-2.88994735
-5.75387694,7.14867712,-7.15068205,0.07905836,-0.08104799,1.01808347,-1.01851252,1.69990204,-1.68742974,0.90313762,-0.88953827,1.91492049,-1.89495688,0.42424954,-0.43342199,0.15465205,-0.15767415,2.88547768,-2.88976665
-5.74787394,7.13710994,-7.15734749,0.07774957,-0.08036864,1.02029718,-1.02593079,1.72153377,-1.71316752,0.89638674,-0.88823663,1.94803011,-1.92752127,0.42069029,-0.43085140,0.15172322,-0.15508436,2.88270708,-2.88970345
-5.74187094,7.11876419,-7.15712851,0.07611155,-0.07933580,1.01990525,-1.03069715,1.74279385,-1.73858051,0.88646733,-0.88372273,1.98319501,-1.96246647,0.41668199,-0.42782043,0.14868296,-0.15234259,2.88031229,-2.89004235
-5.73586793,7.09404028,-7.15029853,0.07417202,-0.07796508,1.01695546,-1.03278136,1.76359087,-1.76353803,0.87352858,-0.87605679,2.02004973,-1.99951038,0.41228134,-0.42438078,0.14557424,-0.14949239,2.87837438,-2.89091881
-5.72986493,7.06319802,-7.13697965,0.07196444,-0.07627869,1.01151804,-1.03217740,1.78379950,-1.78787126,0.85775552,-0.86533832,2.05810750,-2.03823398,0.40753856,-0.42057649,0.14243347,-0.14657125,2.87684325,-2.89232608
-5.72386193,7.02638390,-7.11717004,0.06952723,-0.07430503,1.00368652,-1.02890622,1.80327009,-1.81138336,0.83936645,-0.85170593,2.09678406,-2.07810158,0.40249863,-0.41644522,0.13929025,-0.14361027,2.87555624,-2.89413049
-5.71785893,6.98366702,-7.09078144,0.06690271,-0.07207805,0.99357849,-1.02301852,1.82183999,-1.83386163,0.81860973,-0.83533635,2.13542576,-2.11848660,0.39720294,-0.41202003,0.13616742,-0.14063408,2.87426250,-2.89609349
-5.71185593,6.93508030,-7.05768317,0.06413593,-0.06963634,0.98133611,-1.01459691,1.83934579,-1.85509098,0.79576011,-0.81644257,2.17334052,-2.15870114,0.39169108,-0.40733149,0.13308151,-0.13766112,2.87265116,-2.89789875
