energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.51302888,0.13852779,0.00000000,0.82249059,0.51272744,0.02683419,0.77356741
-5.99399700,1.46467490,0.12706355,0.00000000,0.78391594,0.49795098,0.02615633,0.75648962
-5.98799400,1.42131537,0.11678716,0.00000000,0.74806816,0.48499285,0.02560291,0.74110151
-5.98199100,1.38301384,0.10772340,0.00000000,0.71490880,0.47379163,0.02520073,0.72743557
-5.97598799,1.34973839,0.09987884,0.00000000,0.68434287,0.46425695,0.02497382,0.71548386
-5.96998499,1.32137123,0.09324286,0.00000000,0.65623023,0.45627542,0.02494256,0.70520235
-5.96398199,1.29771852,0.08778877,0.00000000,0.63039732,0.44971621,0.02512283,0.69651558
-5.95797899,1.27851985,0.08347490,0.00000000,0.60664878,0.44443597,0.02552522,0.68932103
-5.95197599,1.26345683,0.08024571,0.00000000,0.58477823,0.44028296,0.02615440,0.68349324
-5.94597299,1.25216069,0.07803292,0.00000000,0.56457777,0.43710031,0.02700870,0.67888723
-5.93996998,1.24421878,0.07675674,0.00000000,0.54584608,0.43472843,0.02807983,0.67534134
-5.93396698,1.23918009,0.07632704,0.00000000,0.52839461,0.43300657,0.02935273,0.67267952
-5.92796398,1.23656021,0.07664475,0.00000000,0.51205224,0.43177387,0.03080581,0.67071307
-5.92196098,1.23584605,0.07760334,0.00000000,0.49666820,0.43086993,0.03241122,0.66924224
-5.91595798,1.23650095,0.07909046,0.00000000,0.48211358,0.43013517,0.03413551,0.66805781
-5.90995498,1.23797051,0.08098973,0.00000000,0.46828176,0.42941134,0.03594037,0.66694301
-5.90395198,1.23968977,0.08318282,0.00000000,0.45508800,0.42854232,0.03778367,0.66567595
-5.89794897,1.24109194,0.08555158,0.00000000,0.44246847,0.42737529,0.03962059,0.66403284
-5.89194597,1.24161893,0.08798042,0.00000000,0.43037920,0.42576273,0.04140492,0.66179210
-5.88594297,1.24073361,0.09035879,0.00000000,0.41879491,0.42356490,0.04309049,0.65873938
-5.87993997,1.23793367,0.09258367,0.00000000,0.40770823,0.42065313,0.04463257,0.65467339
-5.87393697,1.23276650,0.09456215,0.00000000,0.39712903,0.41691366,0.04598928,0.64941242
-5.86793397,1.22484475,0.09621391,0.00000000,0.38708424,0.41225189,0.04712301,0.64280120
-5.86193097,1.21386154,0.09747349,0.00000000,0.37761779,0.40659699,0.04800161,0.63471785
-5.85592796,1.19960488,0.09829247,0.00000000,0.36879073,0.39990629,0.04859951,0.62508033
-5.84992496,1.18197012,0.09864127,0.00000000,0.36068129,0.39216965,0.04889858,0.61385217
-5.84392196,1.16096996,0.09851064,0.00000000,0.35338468,0.38341310,0.04888873,0.60104698
