energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,18.43220328,3.19019118,12.68465566,0.01145435,2.37420960,0.77778780,0.67809523,0.09263360,1.85601302
-5.99399700,18.38757931,3.20217482,12.69656379,0.01110111,2.35589763,0.77214419,0.66657810,0.09093815,1.82642700
-5.98799400,18.32482290,3.21229911,12.69066201,0.01076766,2.33318561,0.76699239,0.65583328,0.08931419,1.79824774
-5.98199100,18.24453055,3.21991835,12.66741285,0.01045523,2.30623008,0.76228323,0.64589526,0.08778666,1.77166579
-5.97598799,18.14721089,3.22435538,12.62733405,0.01016428,2.27520732,0.75794082,0.63676429,0.08637660,1.74679927
-5.96998499,18.03333778,3.22494130,12.57101317,0.00989469,2.24031532,0.75387050,0.62841317,0.08510139,1.72370559
-5.96398199,17.90340605,3.22105471,12.49912267,0.00964594,2.20177544,0.74996717,0.62079457,0.08397520,1.70239423
-5.95797899,17.75798664,3.21215858,12.41243442,0.00941727,2.15983371,0.74612338,0.61384865,0.08300941,1.68283988
-5.95197599,17.59777764,3.19783301,12.31183266,0.00920785,2.11476167,0.74223701,0.60751033,0.08221304,1.66499529
-5.94597299,17.42364838,3.17780231,12.19832405,0.00901694,2.06685657,0.73821803,0.60171615,0.08159315,1.64880290
-5.93996998,17.23667362,3.15195523,12.07304382,0.00884401,2.01644089,0.73399421,0.59641015,0.08115511,1.63420515
-5.93396698,17.03815577,3.12035745,11.93725691,0.00868880,1.96386106,0.72951556,0.59154862,0.08090276,1.62115267
-5.92796398,16.82963327,3.08325586,11.79235309,0.00855143,1.90948538,0.72475740,0.58710369,0.08083849,1.60961047
-5.92196098,16.61287440,3.04107459,11.63983547,0.00843235,1.85370093,0.71972205,0.58306546,0.08096312,1.59956187
-5.91595798,16.38985619,2.99440305,11.48130209,0.00833238,1.79690968,0.71443910,0.57944290,0.08127573,1.59101026
-5.90995498,16.16272910,2.94397681,11.31842048,0.00825267,1.73952361,0.70896442,0.57626349,0.08177334,1.58397886
-5.90395198,15.93376900,2.89065221,11.15289585,0.00819462,1.68195904,0.70337805,0.57357172,0.08245063,1.57850885
-5.89794897,15.70531860,2.83537606,10.98643387,0.00815981,1.62463027,0.69778106,0.57142683,0.08329952,1.57465603
-5.89194597,15.47972125,2.77915201,10.82069929,0.00814992,1.56794267,0.69229165,0.56989983,0.08430886,1.57248665
-5.88594297,15.25925047,2.72300499,10.65727238,0.00816666,1.51228544,0.68704068,0.56907018,0.08546422,1.57207257
-5.87993997,15.04603899,2.66794567,10.49760516,0.00821167,1.45802433,0.68216678,0.56902237,0.08674768,1.57348635
-5.87393697,14.84201100,2.61493624,10.34297972,0.00828648,1.40549462,0.67781140,0.56984267,0.08813789,1.57679654
-5.86793397,14.64882149,2.56485921,10.19447087,0.00839242,1.35499451,0.67411375,0.57161619,0.08961024,1.58206356
-5.86193097,14.46780581,2.51849035,10.05291530,0.00853061,1.30677942,0.67120611,0.57442455,0.09113719,1.58933632
-5.85592796,14.29994248,2.47647697,9.91888911,0.00870193,1.26105724,0.66920938,0.57834418,0.09268882,1.59864996
-5.84992496,14.14583116,2.43932208,9.79269513,0.00890703,1.21798493,0.66822925,0.58344542,0.09423353,1.61002461
-5.84392196,14.00568708,2.40737502,9.67436106,0.00914633,1.17766649,0.66835298,0.58979229,0.09573888,1.62346538
-5.83791896,13.87935229,2.38082866,9.56364870,0.00942007,1.14015245,0.66964683,0.59744309,0.09717249,1.63896338
-5.83191596,13.76632308,2.35972295,9.46007408,0.00972833,1.10544087,0.67215448,0.60645154,0.09850309,1.65649791
-5.82591296,13.66579214,2.34395429,9.36293769,0.01007111,1.07347990,0.67589610,0.61686848,0.09970145,1.67603934
-5.81990995,13.57670337,2.33329028,9.27136334,0.01044836,1.04417161,0.68086845,0.62874390,0.10074138,1.69755288
