energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.28239735,0.01493217,0.01697945,0.26714100,0.38662583,0.48967188,0.00000000,0.17636829,0.18646830
-5.99399700,1.28734690,0.01455911,0.01762477,0.26171268,0.38739392,0.48849103,0.00000000,0.17782203,0.18876898
-5.98799400,1.31345585,0.01455479,0.01871300,0.26062794,0.39345854,0.49495579,0.00000000,0.18299517,0.19462923
-5.98199100,1.36161153,0.01492574,0.02027930,0.26399591,0.40514738,0.50939832,0.00000000,0.19209664,0.20411485
-5.97598799,1.43245601,0.01567831,0.02236066,0.27187339,0.42269649,0.53204793,0.00000000,0.20532187,0.21726319
-5.96998499,1.52635581,0.01681855,0.02499485,0.28426231,0.44624224,0.56302113,0.00000000,0.22284681,0.23407807
-5.96398199,1.64337367,0.01835180,0.02821920,0.30110753,0.47581469,0.60231269,0.00000000,0.24482111,0.25452468
-5.95797899,1.78324323,0.02028228,0.03206925,0.32229500,0.51133267,0.64978799,0.00000000,0.27136078,0.27852492
-5.95197599,1.94534794,0.02261262,0.03657733,0.34765030,0.55260079,0.70517701,0.00000000,0.30254040,0.30595323
-5.94597299,2.12870538,0.02534320,0.04177101,0.37693789,0.59930866,0.76807048,0.00000000,0.33838515,0.33663331
-5.93996998,2.33195856,0.02847165,0.04767158,0.40986109,0.65103261,0.83791870,0.00000000,0.37886298,0.37033586
-5.93396698,2.55337550,0.03199213,0.05429246,0.44606308,0.70724025,0.91403328,0.00000000,0.42387728,0.40677777
-5.92796398,2.79085830,0.03589488,0.06163774,0.48512911,0.76729782,0.99559254,0.00000000,0.47326041,0.44562277
-5.92196098,3.04196279,0.04016563,0.06970081,0.52659011,0.83048077,1.08165060,0.00000000,0.52676866,0.48648387
-5.91595798,3.30392940,0.04478524,0.07846323,0.56992782,0.89598718,1.17115059,0.00000000,0.58407884,0.52892762
-5.90995498,3.57372530,0.04972946,0.08789385,0.61458157,0.96295424,1.26294180,0.00000000,0.64478708,0.57248024
-5.90395198,3.84809743,0.05496876,0.09794822,0.65995665,1.03047706,1.35580078,0.00000000,0.70841004,0.61663542
-5.89794897,4.12363555,0.06046846,0.10856847,0.70543418,1.09762970,1.44845589,0.00000000,0.77438876,0.66086388
-5.89194597,4.39684347,0.06618890,0.11968350,0.75038245,1.16348755,1.53961461,0.00000000,0.84209533,0.70462410
-5.88594297,4.66421643,0.07208589,0.13120971,0.79416921,1.22715033,1.62799299,0.00000000,0.91084222,0.74737408
-5.87993997,4.92232188,0.07811123,0.14305206,0.83617482,1.28776493,1.71234604,0.00000000,0.97989425,0.78858364
-5.87393697,5.16788057,0.08421346,0.15510563,0.87580559,1.34454707,1.79149804,0.00000000,1.04848277,0.82774670
-5.86793397,5.39784482,0.09033863,0.16725749,0.91250708,1.39680087,1.86437153,0.00000000,1.11582168,0.86439311
-5.86193097,5.60947049,0.09643119,0.17938886,0.94577667,1.44393555,1.93001380,0.00000000,1.18112463,0.89809954
-5.85592796,5.80037980,0.10243494,0.19137759,0.97517496,1.48547840,1.98761972,0.00000000,1.24362292,0.92849880
-5.84992496,5.96861211,0.10829391,0.20310062,1.00033564,1.52108345,2.03654994,0.00000000,1.30258326,0.95528741
-5.84392196,6.11266061,0.11395329,0.21443661,1.02097329,1.55053553,2.07634366,0.00000000,1.35732479,0.97823091
-5.83791896,6.23149347,0.11936028,0.22526842,1.03688886,1.57374958,2.10672547,0.00000000,1.40723469,0.99716682
-5.83191596,6.32455894,0.12446478,0.23548554,1.04797268,1.59076523,2.12760601,0.00000000,1.45178177,1.01200517
