energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,2.30806784,0.74815951,0.79486651,0.00401476,0.20133776,0.40404940,0.53421709,0.90958683,0.00000000
-5.99399700,2.32613592,0.73235391,0.82612011,0.00408410,0.21436324,0.39270107,0.52313589,0.89312164,0.00000000
-5.98799400,2.34666616,0.72035607,0.85884289,0.00413862,0.22893047,0.38148322,0.51134041,0.87592392,0.00000000
-5.98199100,2.36975378,0.71246973,0.89309183,0.00417615,0.24512538,0.37043485,0.49884121,0.85795938,0.00000000
-5.97598799,2.39551699,0.70896390,0.92892355,0.00419495,0.26302759,0.35958954,0.48566661,0.83921278,0.00000000
-5.96998499,2.42409877,0.71007178,0.96638979,0.00419375,0.28270703,0.34897685,0.47186530,0.81969398,0.00000000
-5.96398199,2.45566494,0.71598946,1.00553185,0.00417179,0.30422026,0.33862385,0.45750800,0.79944265,0.00000000
-5.95797899,2.49039836,0.72687416,1.04637408,0.00412885,0.32760641,0.32855632,0.44268796,0.77853135,0.00000000
-5.95197599,2.52848937,0.74284186,1.08891683,0.00406527,0.35288305,0.31879972,0.42752032,0.75706674,0.00000000
-5.94597299,2.57012286,0.76396439,1.13312931,0.00398189,0.38004213,0.30937979,0.41214031,0.73518876,0.00000000
-5.93996998,2.61546261,0.79026574,1.17894264,0.00388005,0.40904616,0.30032279,0.39670022,0.71306781,0.00000000
-5.93396698,2.66463368,0.82171787,1.22624376,0.00376154,0.43982489,0.29165535,0.38136549,0.69090012,0.00000000
-5.92796398,2.71770400,0.85823605,1.27487044,0.00362851,0.47227259,0.28340389,0.36630996,0.66890139,0.00000000
-5.92196098,2.77466607,0.89967394,1.32460798,0.00348343,0.50624616,0.27559388,0.35171059,0.64729921,0.00000000
-5.91595798,2.83542005,0.94581869,1.37518775,0.00332899,0.54156422,0.26824873,0.33774184,0.62632453,0.00000000
-5.90995498,2.89975939,0.99638650,1.42628794,0.00316806,0.57800718,0.26138862,0.32457018,0.60620278,0.00000000
-5.90395198,2.96735985,1.05101881,1.47753655,0.00300358,0.61531851,0.25502932,0.31234881,0.58714506,0.00000000
-5.89794897,3.03777294,1.10927978,1.52851662,0.00283852,0.65320703,0.24918107,0.30121296,0.56933997,0.00000000
-5.89194597,3.11042436,1.17065536,1.57877361,0.00267581,0.69135044,0.24384773,0.29127611,0.55294641,0.00000000
-5.88594297,3.18461786,1.23455428,1.62782459,0.00251829,0.72939980,0.23902614,0.28262707,0.53808793,0.00000000
-5.87993997,3.25954477,1.30031152,1.67516908,0.00236866,0.76698511,0.23470595,0.27532827,0.52484877,0.00000000
-5.87393697,3.33429897,1.36719436,1.72030095,0.00222946,0.80372161,0.23086982,0.26941523,0.51327188,0.00000000
-5.86793397,3.40789717,1.43441130,1.76272109,0.00210303,0.83921693,0.22749414,0.26489716,0.50335912,0.00000000
-5.86193097,3.47930366,1.50112393,1.80195033,0.00199149,0.87307872,0.22455011,0.26175870,0.49507332,0.00000000
-5.85592796,3.54745902,1.56646165,1.83754220,0.00189674,0.90492275,0.22200537,0.25996262,0.48834247,0.00000000
-5.84992496,3.61131160,1.62953902,1.86909508,0.00182042,0.93438115,0.21982586,0.25945332,0.48306548,0.00000000
-5.84392196,3.66985096,1.68947545,1.89626355,0.00176392,0.96111074,0.21797806,0.26016085,0.47911931,0.00000000
-5.83791896,3.72214176,1.74541669,1.91876841,0.00172835,0.98480117,0.21643131,0.26200529,0.47636720,0.00000000
-5.83191596,3.76735729,1.79655737,1.93640534,0.00171453,1.00518274,0.21516025,0.26490121,0.47466730,0.00000000
-5.82591296,3.80481108,1.84216401,1.94905201,0.00172298,1.02203357,0.21414712,0.26876188,0.47388160,0.00000000
-5.81990995,3.83398568,1.88159753,1.95667340,0.00175391,1.03518608,0.21338390,0.27350322,0.47388433,0.00000000
-5.81390695,3.85455727,1.91433439,1.95932545,0.00180717,1.04453250,0.21287408,0.27904701,0.47456980,0.00000000
-5.80790395,3.86641542,1.93998545,1.95715675,0.00188225,1.05002918,0.21263404,0.28532357,0.47585899,0.00000000
-5.80190095,3.86967681,1.95831172,1.95040850,0.00197827,1.05169958,0.21269384,0.29227342,0.47770481,0.00000000
-5.79589795,3.86469249,1.96923619,1.93941248,0.00209397,1.04963573,0.21309755,0.29984833,0.48009568,0.00000000
-5.78989495,3.85204814,1.97285108,1.92458714,0.00222768,1.04399808,0.21390281,0.30801134,0.48305737,0.00000000
-5.78389195,3.83255694,1.96942002,1.90643171,0.00237733,1.03501358,0.21517990,0.31673620,0.48665299,0.00000000
-5.77788894,3.80724516,1.95937483,1.88551833,0.00254049,1.02297189,0.21701013,0.32600606,0.49098123,0.00000000
-5.77188594,3.77733061,1.94330679,1.86248227,0.00271437,1.00821987,0.21948368,0.33581170,0.49617284,0.00000000
-5.76588294,3.74419433,1.92195261,1.83801010,0.00289585,0.99115420,0.22269706,0.34614941,0.50238573,0.00000000
-5.75987994,3.70934621,1.89617526,1.81282610,0.00308158,0.97221246,0.22675005,0.35701868,0.50979871,0.00000000
-5.75387694,3.67438549,1.86694038,1.78767696,0.00326801,0.95186262,0.23174245,0.36841986,0.51860423,0.00000000
-5.74787394,3.64095705,1.83528893,1.76331498,0.00345146,0.93059147,0.23777066,0.38035195,0.52900053,0.00000000
-5.74187094,3.61070492,1.80230688,1.74048013,0.00362826,0.90889201,0.24492417,0.39281058,0.54118322,0.00000000
-5.73586793,3.58522419,1.76909313,1.71988146,0.00379479,0.88725045,0.25328214,0.40578630,0.55533690,0.00000000
-5.72986493,3.56601299,1.73672660,1.70217823,0.00394763,0.86613303,0.26291012,0.41926318,0.57162689,0.00000000
-5.72386193,3.55442582,1.70623371,1.68796137,0.00408361,0.84597322,0.27385703,0.43321782,0.59019133,0.00000000
-5.71785893,3.55162994,1.67855728,1.67773598,0.00419996,0.82715968,0.28615248,0.44761857,0.61113403,0.00000000
-5.71185593,3.55856607,1.65452801,1.67190546,0.00429432,0.81002553,0.29980439,0.46242510,0.63451806,0.00000000
-5.70585293,3.57591489,1.63483952,1.67075786,0.00436488,0.79483915,0.31479714,0.47758813,0.66036034,0.00000000
-5.69984992,3.60407034,1.62002771,1.67445512,0.00441038,0.78179710,0.33109010,0.49304930,0.68862732,0.00000000
-5.69384692,3.64312086,1.61045520,1.68302567,0.00443017,0.77101929,0.34861668,0.50874114,0.71923187,0.00000000
-5.68784392,3.69283909,1.60630143,1.69636086,0.00442421,0.76254660,0.36728388,0.52458697,0.75203136,0.00000000
-5.68184092,3.75268065,1.60755856,1.71421532,0.00439303,0.75634119,0.38697233,0.54050092,0.78682709,0.00000000
-5.67583792,3.82179205,1.61403346,1.73621152,0.00433776,0.75228936,0.40753695,0.55638786,0.82336505,0.00000000
-5.66983492,3.89902762,1.62535553,1.76184834,0.00425998,0.75020684,0.42880801,0.57214338,0.86133801,0.00000000
-5.66383192,3.98297501,1.64099011,1.79051343,0.00416175,0.74984643,0.45059298,0.58765388,0.90038895,0.00000000
-5.65782891,4.07198866,1.66025693,1.82149902,0.00404542,0.75090757,0.47267882,0.60279682,0.94011595,0.00000000
-5.65182591,4.16423007,1.68235299,1.85402053,0.00391363,0.75304741,0.49483496,0.61744124,0.98007834,0.00000000
-5.64582291,4.25771393,1.70637886,1.88723736,0.00376915,0.75589305,0.51681692,0.63144871,1.01980417,0.00000000
-5.63981991,4.35035860,1.73136772,1.92027528,0.00361480,0.75905436,0.53837055,0.64467465,1.05879898,0.00000000
-5.63381691,4.44003961,1.75631588,1.95224936,0.00345336,0.76213697,0.55923693,0.65697033,1.09655562,0.00000000
-5.62781391,4.52464447,1.78021387,1.98228703,0.00328747,0.76475477,0.57915777,0.66818539,1.13256514,0.00000000
-5.62181091,4.60212741,1.80207702,2.00955025,0.00311960,0.76654170,0.59788135,0.67817102,1.16632842,0.00000000
-5.61580790,4.67056234,1.82097454,2.03325631,0.00295193,0.76716225,0.61516883,0.68678369,1.19736830,0.00000000
-5.60980490,4.72819264,1.83605620,2.05269665,0.00278636,0.76632042,0.63080074,0.69388938,1.22524195,0.00000000
-5.60380190,4.77347628,1.84657573,2.06725317,0.00262450,0.76376691,0.64458346,0.69936813,1.24955309,0.00000000
-5.59779890,4.80512519,1.85191040,2.07641175,0.00246758,0.75930439,0.65635556,0.70311878,1.26996357,0.00000000
-5.59179590,4.82213751,1.85157622,2.07977274,0.00231657,0.75279078,0.66599353,0.70506357,1.28620394,0.00000000
-5.58579290,4.82382209,1.84523832,2.07705818,0.00217213,0.74414062,0.67341685,0.70515244,1.29808249,0.00000000
-5.57978989,4.80981424,1.83271661,2.06811576,0.00203465,0.73332456,0.67859190,0.70336665,1.30549236,0.00000000
-5.57378689,4.78008249,1.81398640,2.05291961,0.00190433,0.72036733,0.68153467,0.69972161,1.30841617,0.00000000
-5.56778389,4.73492589,1.78917444,2.03156787,0.00178117,0.70534412,0.68231181,0.69426849,1.30692800,0.00000000
-5.56178089,4.67496201,1.75855044,2.00427724,0.00166506,0.68837592,0.68104001,0.68709457,1.30119220,0.00000000
-5.55577789,4.60110582,1.72251474,1.97137481,0.00155581,0.66962389,0.67788355,0.67832205,1.29145912,0.00000000
-5.54977489,4.51454001,1.68158247,1.93328723,0.00145319,0.64928312,0.67304991,0.66810543,1.27805761,0.00000000
-5.54377189,4.41667764,1.63636497,1.89052760,0.00135697,0.62757594,0.66678366,0.65662729,1.26138443,0.00000000
-5.53776888,4.30911813,1.58754908,1.84368043,0.00126693,0.60474510,0.65935863,0.64409271,1.24189093,0.00000000
-5.53176588,4.19359804,1.53587507,1.79338499,0.00118292,0.58104695,0.65106872,0.63072255,1.22006745,0.00000000
-5.52576288,4.07193814,1.48211385,1.74031741,0.00110484,0.55674481,0.64221765,0.61674569,1.19642604,0.00000000
-5.51975988,3.94598865,1.42704435,1.68517222,0.00103263,0.53210259,0.63310808,0.60239084,1.17148216,0.00000000
-5.51375688,3.81757450,1.37143160,1.62864359,0.00096633,0.50737895,0.62403052,0.58787809,1.14573632,0.00000000
-5.50775388,3.68844251,1.31600628,1.57140701,0.00090600,0.48282180,0.61525263,0.57341075,1.11965636,0.00000000
-5.50175088,3.56021256,1.26144617,1.51410193,0.00085175,0.45866347,0.60700931,0.55916790,1.09366123,0.00000000
-5.49574787,3.43433442,1.20836026,1.45731590,0.00080373,0.43511650,0.59949403,0.54529798,1.06810720,0.00000000
-5.48974487,3.31205197,1.15727558,1.40157083,0.00076204,0.41236997,0.59285196,0.53191383,1.04327694,0.00000000
-5.48374187,3.19437601,1.10862736,1.34731185,0.00072679,0.39058671,0.58717508,0.51908942,1.01937217,0.00000000
-5.47773887,3.08206672,1.06275250,1.29489916,0.00069805,0.36990101,0.58249953,0.50685848,0.99651022,0.00000000
-5.47173587,2.97562632,1.01988644,1.24460315,0.00067580,0.35041733,0.57880547,0.49521510,0.97472449,0.00000000
-5.46573287,2.87530188,0.98016355,1.19660310,0.00065997,0.33220956,0.57601921,0.48411620,0.95396892,0.00000000
-5.45972986,2.78109806,0.94362055,1.15098927,0.00065037,0.31532121,0.57401769,0.47348584,0.93412606,0.00000000
-5.45372686,2.69279892,0.91020301,1.10776841,0.00064672,0.29976630,0.57263500,0.46322110,0.91501829,0.00000000
-5.44772386,2.60999755,0.87977436,1.06687237,0.00064862,0.28553102,0.57167062,0.45319906,0.89642156,0.00000000
-5.44172086,2.53213202,0.85212705,1.02816928,0.00065558,0.27257605,0.57089893,0.44328483,0.87808085,0.00000000
-5.43571786,2.45852581,0.82699535,0.99147690,0.00066697,0.26083957,0.57007965,0.43333979,0.85972659,0.00000000
-5.42971486,2.38843095,0.80406924,0.95657741,0.00068210,0.25024071,0.56896860,0.42323003,0.84109109,0.00000000
-5.42371186,2.32107170,0.78300893,0.92323298,0.00070017,0.24068355,0.56732836,0.41283430,0.82192422,0.00000000
-5.41770885,2.25568707,0.76345935,0.89120140,0.00072035,0.23206131,0.56493841,0.40205118,0.80200757,0.00000000
-5.41170585,2.19157032,0.74506425,0.86025119,0.00074173,0.22426071,0.56160423,0.39080524,0.78116653,0.00000000
-5.40570285,2.12810414,0.72747939,0.83017544,0.00076340,0.21716644,0.55716523,0.37905190,0.75927974,0.00000000
-5.39969985,2.06479015,0.71038444,0.80080402,0.00078445,0.21066535,0.55150096,0.36678081,0.73628568,0.00000000
-5.39369685,2.00127218,0.69349334,0.77201360,0.00080400,0.20465051,0.54453583,0.35401780,0.71218629,0.00000000
-5.38769385,1.93735264,0.67656281,0.74373535,0.00082122,0.19902477,0.53624184,0.34082532,0.68704763,0.00000000
-5.38169085,1.87300208,0.65939900,0.71596019,0.00083537,0.19370389,0.52663976,0.32730155,0.66099789,0.00000000
-5.37568784,1.80836210,0.64186209,0.68874137,0.00084579,0.18861904,0.51579851,0.31357832,0.63422300,0.00000000
-5.36968484,1.74374216,0.62386895,0.66219485,0.00085197,0.18371870,0.50383311,0.29981803,0.60696038,0.00000000
-5.36368184,1.67961099,0.60539390,0.63649727,0.00085349,0.17896986,0.49090137,0.28620974,0.57949124,0.00000000
-5.35767884,1.61658339,0.58646776,0.61188214,0.00085011,0.17435856,0.47719948,0.27296483,0.55213204,0.00000000
-5.35167584,1.55540345,0.56717533,0.58863433,0.00084172,0.16988976,0.46295684,0.26031226,0.52522554,0.00000000
-5.34567284,1.49692494,0.54765153,0.56708318,0.00082835,0.16558655,0.44843040,0.24849369,0.49913194,0.00000000
-5.33966983,1.44208972,0.52807633,0.54759466,0.00081019,0.16148889,0.43389852,0.23775858,0.47422043,0.00000000
-5.33366683,1.39190495,0.50866894,0.53056270,0.00078754,0.15765170,0.41965488,0.22835947,0.45086146,0.00000000
-5.32766383,1.34741941,0.48968111,0.51639993,0.00076083,0.15414266,0.40600231,0.22054730,0.42941985,0.00000000
-5.32166083,1.30969950,0.47139001,0.50552801,0.00073060,0.15103953,0.39324669,0.21456691,0.41024875,0.00000000
-5.31565783,1.27980509,0.45409072,0.49836762,0.00069745,0.14842724,0.38169113,0.21065270,0.39368456,0.00000000
-5.30965483,1.25876516,0.43808849,0.49532807,0.00066204,0.14639479,0.37163025,0.20902426,0.38004238,0.00000000
-5.30365183,1.24755333,0.42369084,0.49679671,0.00062507,0.14503196,0.36334462,0.20988205,0.36961208,0.00000000
-5.29764882,1.24706324,0.41119963,0.50312794,0.00058726,0.14442593,0.35709539,0.21340296,0.36265454,0.00000000
-5.29164582,1.25808368,0.40090312,0.51463200,0.00054930,0.14465796,0.35311892,0.21973581,0.35939790,0.00000000
-5.28564282,1.28127350,0.39306804,0.53156351,0.00051186,0.14580004,0.35162144,0.22899664,0.36003357,0.00000000
-5.27963982,1.31713656,0.38793186,0.55410984,0.00047556,0.14791169,0.35277380,0.24126397,0.36471189,0.00000000
-5.27363682,1.36599701,0.38569523,0.58237970,0.00044094,0.15103692,0.35670614,0.25657407,0.37353724,0.00000000
-5.26763382,1.42797556,0.38651465,0.61639198,0.00040849,0.15520146,0.36350279,0.27491637,0.38656279,0.00000000
-5.26163082,1.50296735,0.39049573,0.65606544,0.00037857,0.16041029,0.37319726,0.29622926,0.40378479,0.00000000
-5.25562781,1.59062263,0.39768694,0.70120967,0.00035150,0.16664567,0.38576777,0.32039649,0.42513684,0.00000000
-5.24962481,1.69033125,0.40807430,0.75151783,0.00032745,0.17386554,0.40113327,0.34724453,0.45048436,0.00000000
-5.24362181,1.80121227,0.42157709,0.80656183,0.00030655,0.18200264,0.41915047,0.37654110,0.47961973,0.00000000
-5.23761881,1.92210990,0.43804502,0.86579046,0.00028881,0.19096427,0.43961201,0.40799522,0.51225856,0.00000000
-5.23161581,2.05159717,0.45725693,0.92853110,0.00027416,0.20063275,0.46224613,0.44125911,0.54803757,0.00000000
-5.22561281,2.18798802,0.47892150,0.99399544,0.00026246,0.21086676,0.48671810,0.47593194,0.58651465,0.00000000
-5.21960980,2.32935889,0.50267993,1.06128953,0.00025351,0.22150352,0.51263369,0.51156583,0.62717145,0.00000000
