energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,1.23158461,0.01949528,0.01870552,0.00668050,0.79682016,0.52790907,0.07648260,0.46034463,0.12923975
-5.99399700,1.26295874,0.01889284,0.01861708,0.00669598,0.81876610,0.53974421,0.07918561,0.46916123,0.13534533
-5.98799400,1.29771066,0.01830647,0.01855884,0.00675277,0.84288184,0.55234230,0.08223263,0.47823341,0.14222981
-5.98199100,1.33660094,0.01774310,0.01852814,0.00685547,0.86969499,0.56605631,0.08568669,0.48786158,0.14995838
-5.97598799,1.38043694,0.01721171,0.01852531,0.00700935,0.89975988,0.58125292,0.08961694,0.49837001,0.15859617
-5.96998499,1.43003127,0.01672295,0.01855304,0.00722004,0.93363026,0.59829539,0.09409572,0.51009288,0.16820323
-5.96398199,1.48615772,0.01628872,0.01861579,0.00749329,0.97183047,0.61752574,0.09919532,0.52335939,0.17882921
-5.95797899,1.54950633,0.01592167,0.01871917,0.00783464,1.01482609,0.63924695,0.10498444,0.53847837,0.19050822
-5.95197599,1.62063958,0.01563470,0.01886922,0.00824915,1.06299530,0.66370581,0.11152459,0.55572318,0.20325382
-5.94597299,1.69995121,0.01544036,0.01907188,0.00874107,1.11660204,0.69107727,0.11886635,0.57531719,0.21705462
-5.93996998,1.78762960,0.01535039,0.01933229,0.00931354,1.17577216,0.72145091,0.12704583,0.59742074,0.23187055
-5.93396698,1.88362720,0.01537510,0.01965435,0.00996834,1.24047353,0.75482010,0.13608136,0.62211979,0.24763010
-5.92796398,1.98763743,0.01552297,0.02004023,0.01070560,1.31050112,0.79107436,0.14597054,0.64941700,0.26422861
-5.92196098,2.09908027,0.01580017,0.02049002,0.01152363,1.38546769,0.82999535,0.15668782,0.67922545,0.28152781
-5.91595798,2.21709717,0.01621021,0.02100147,0.01241872,1.46480074,0.87125670,0.16818269,0.71136539,0.29935669
-5.90995498,2.34055597,0.01675362,0.02156988,0.01338504,1.54774590,0.91442775,0.18037864,0.74556420,0.31751362
-5.90395198,2.46806582,0.01742777,0.02218802,0.01441461,1.63337702,0.95898109,0.19317296,0.78145952,0.33576983
-5.89794897,2.59800179,0.01822677,0.02284625,0.01549728,1.72061253,1.00430387,0.20643737,0.81860570,0.35387402
-5.89194597,2.72853855,0.01914145,0.02353267,0.01662086,1.80823789,1.04971220,0.22001963,0.85648316,0.37155808
-5.88594297,2.85769216,0.02015944,0.02423340,0.01777123,1.89493326,1.09446848,0.23374603,0.89451057,0.38854359
-5.87993997,2.98336846,0.02126545,0.02493297,0.01893261,1.97930564,1.13780081,0.24742478,0.93205930,0.40454904
-5.87393697,3.10341667,0.02244150,0.02561471,0.02008785,2.05992439,1.17892389,0.26085021,0.96846986,0.41929731
-5.86793397,3.21568616,0.02366736,0.02626123,0.02121875,2.13535885,1.21706069,0.27380764,1.00306952,0.43252334
-5.86193097,3.31808462,0.02492105,0.02685497,0.02230652,2.20421691,1.25146405,0.28607881,1.03519076,0.44398146
-5.85592796,3.40863550,0.02617938,0.02737867,0.02333222,2.26518310,1.28143753,0.29744767,1.06418975,0.45345235
-5.84992496,3.48553272,0.02741857,0.02781592,0.02427720,2.31705490,1.30635469,0.30770638,1.08946430,0.46074925
-5.84392196,3.54719071,0.02861488,0.02815166,0.02512365,2.35877593,1.32567623,0.31666120,1.11047068,0.46572311
-5.83791896,3.59228813,0.02974527,0.02837264,0.02585502,2.38946502,1.33896435,0.32413816,1.12673863,0.46826670
-5.83191596,3.61980362,0.03078804,0.02846782,0.02645656,2.40843991,1.34589389,0.32998820,1.13788413,0.46831735
-5.82591296,3.62904242,0.03172340,0.02842870,0.02691567,2.41523506,1.34625994,0.33409164,1.14361955,0.46585837
-5.81990995,3.61965303,0.03253403,0.02824955,0.02722233,2.40961275,1.33998163,0.33636174,1.14376068,0.46091904
-5.81390695,3.59163343,0.03320546,0.02792765,0.02736936,2.39156727,1.32710227,0.33674724,1.13823061,0.45357321
-5.80790395,3.54532672,0.03372646,0.02746327,0.02735264,2.36132217,1.30778566,0.33523376,1.12706030,0.44393667
-5.80190095,3.48140661,0.03408926,0.02685970,0.02717124,2.31932073,1.28230905,0.33184398,1.11038585,0.43216330
-5.79589795,3.40085344,0.03428958,0.02612312,0.02682744,2.26621016,1.25105296,0.32663666,1.08844271,0.41844024
-5.78989495,3.30492183,0.03432665,0.02526239,0.02632665,2.20282025,1.21448846,0.31970449,1.06155712,0.40298236
-5.78389195,3.19510139,0.03420303,0.02428876,0.02567725,2.13013743,1.17316233,0.31117088,1.03013511,0.38602604
-5.77788894,3.07307205,0.03392436,0.02321554,0.02489030,2.04927525,1.12768084,0.30118582,0.99464957,0.36782274
-5.77188594,2.94065584,0.03349893,0.02205767,0.02397922,1.96144250,1.07869270,0.28992113,0.95562607,0.34863245
-5.76588294,2.79976702,0.03293733,0.02083128,0.02295939,1.86791022,1.02687193,0.27756505,0.91362769,0.32871726
-5.75987994,2.65236232,0.03225188,0.01955327,0.02184765,1.76997878,0.97290109,0.26431668,0.86923986,0.30833537
-5.75387694,2.50039320,0.03145615,0.01824077,0.02066186,1.66894628,0.91745564,0.25038030,0.82305536,0.28773554
-5.74787394,2.34576146,0.03056444,0.01691078,0.01942041,1.56607921,0.86118970,0.23595994,0.77566038,0.26715230
-5.74187094,2.19027989,0.02959128,0.01557966,0.01814167,1.46258630,0.80472375,0.22125422,0.72762174,0.24680192
-5.73586793,2.03563866,0.02855099,0.01426285,0.01684359,1.35959630,0.74863441,0.20645188,0.67947587,0.22687929
-5.72986493,1.88337839,0.02745730,0.01297445,0.01554325,1.25814008,0.69344657,0.19172791,0.63171976,0.20755565
-5.72386193,1.73487028,0.02632305,0.01172704,0.01425652,1.15913736,0.63962783,0.17724055,0.58480389,0.18897722
-5.71785893,1.59130320,0.02515996,0.01053145,0.01299771,1.06338812,0.58758524,0.16312901,0.53912741,0.17126473
-5.71185593,1.45367767,0.02397851,0.00939664,0.01177939,0.97156843,0.53766416,0.14951221,0.49503532,0.15451363
-5.70585293,1.32280608,0.02278787,0.00832966,0.01061223,0.88423047,0.49014899,0.13648814,0.45281762,0.13879508
-5.69984992,1.19931844,0.02159595,0.00733567,0.00950489,0.80180615,0.44526560,0.12413413,0.41271016,0.12415739
-5.69384692,1.08367269,0.02040943,0.00641797,0.00846405,0.72461376,0.40318489,0.11250766,0.37489697,0.11062802
-5.68784392,0.97616867,0.01923395,0.00557814,0.00749442,0.65286694,0.36402745,0.10164775,0.33951368,0.09821581
-5.68184092,0.87696455,0.01807421,0.00481622,0.00659888,0.58668537,0.32786871,0.09157672,0.30665184,0.08691340
-5.67583792,0.78609474,0.01693418,0.00413087,0.00577862,0.52610636,0.29474438,0.08230223,0.27636366,0.07669974
-5.66983492,0.70348830,0.01581727,0.00351955,0.00503334,0.47109679,0.26465591,0.07381944,0.24866701,0.06754262
-5.66383192,0.62898704,0.01472645,0.00297881,0.00436143,0.42156480,0.23757567,0.06611324,0.22355040,0.05940096
-5.65782891,0.56236244,0.01366443,0.00250443,0.00376021,0.37737076,0.21345164,0.05916033,0.20097757,0.05222702
-5.65182591,0.50333104,0.01263374,0.00209167,0.00322614,0.33833717,0.19221155,0.05293118,0.18089176,0.04596832
-5.64582291,0.45156776,0.01163680,0.00173547,0.00275506,0.30425724,0.17376632,0.04739179,0.16321940,0.04056928
-5.63981991,0.40671701,0.01067597,0.00143058,0.00234236,0.27490195,0.15801279,0.04250512,0.14787306,0.03597264
-5.63381691,0.36840147,0.00975352,0.00117176,0.00198319,0.25002568,0.14483576,0.03823232,0.13475398,0.03212049
-5.62781391,0.33622882,0.00887166,0.00095390,0.00167258,0.22937040,0.13410937,0.03453367,0.12375376,0.02895512
-5.62181091,0.30979637,0.00803242,0.00077210,0.00140563,0.21266855,0.12569805,0.03136920,0.11475571,0.02641960
-5.61580790,0.28869413,0.00723766,0.00062179,0.00117758,0.19964494,0.11945691,0.02869920,0.10763566,0.02445816
-5.60980490,0.27250659,0.00648896,0.00049877,0.00098390,0.19001773,0.11523199,0.02648447,0.10226247,0.02301638
-5.60380190,0.26081369,0.00578757,0.00039926,0.00082037,0.18349905,0.11286034,0.02468645,0.09849833,0.02204135
-5.59779890,0.25319131,0.00513436,0.00031991,0.00068311,0.17979533,0.11217018,0.02326730,0.09619909,0.02148164
-5.59179590,0.24921185,0.00452974,0.00025784,0.00056861,0.17860768,0.11298118,0.02218988,0.09521458,0.02128737
-5.58579290,0.24844511,0.00397367,0.00021062,0.00047373,0.17963267,0.11510513,0.02141775,0.09538913,0.02141020
-5.57978989,0.25045998,0.00346563,0.00017630,0.00039570,0.18256370,0.11834702,0.02091528,0.09656242,0.02180342
-5.57378689,0.25482699,0.00300464,0.00015336,0.00033212,0.18709293,0.12250656,0.02064768,0.09857066,0.02242215
-5.56778389,0.26112196,0.00258925,0.00014074,0.00028096,0.19291428,0.12738034,0.02058126,0.10124813,0.02322354
-5.56178089,0.26893088,0.00221764,0.00013780,0.00024047,0.19972708,0.13276445,0.02068367,0.10442922,0.02416721
-5.55577789,0.27785584,0.00188762,0.00014436,0.00020925,0.20724066,0.13845769,0.02092433,0.10795078,0.02521566
-5.54977489,0.28752197,0.00159672,0.00016063,0.00018617,0.21517965,0.14426513,0.02127483,0.11165481,0.02633491
-5.54377189,0.29758506,0.00134225,0.00018728,0.00017037,0.22328980,0.15000207,0.02170951,0.11539145,0.02749509
