energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,8.45931131,0.03350764,1.34709023,4.76176400,0.49072408,3.54177178,3.51699287,0.06502956,3.41318356
-5.99399700,8.69099359,0.03437827,1.37465472,4.94813132,0.50096526,3.67846947,3.60297615,0.06602767,3.53058677
-5.98799400,8.90757239,0.03520695,1.39935919,5.12685114,0.51053986,3.80696084,3.68248124,0.06691568,3.64237559
-5.98199100,9.10698330,0.03599017,1.42117560,5.29566374,0.51938284,3.92565635,3.75497247,0.06768078,3.74710888
-5.97598799,9.28736731,0.03672471,1.44010643,5.45242242,0.52744970,4.03304800,3.81996746,0.06831278,3.84343187
-5.96998499,9.44710310,0.03740758,1.45618194,5.59513600,0.53471734,4.12774530,3.87704169,0.06880426,3.93010579
-5.96398199,9.58483818,0.03803606,1.46945720,5.72201021,0.54118434,4.20851101,3.92583410,0.06915079,4.00603683
-5.95797899,9.69951762,0.03860764,1.48000912,5.83148667,0.54687086,4.27429537,3.96605360,0.06935107,4.07030342
-5.95197599,9.79040876,0.03912011,1.48793339,5.92227775,0.55181799,4.32426728,3.99748607,0.06940703,4.12218050
-5.94597299,9.85712030,0.03957155,1.49334146,5.99339577,0.55608637,4.35784096,4.02000112,0.06932386,4.16115960
-5.93996998,9.89961413,0.03996040,1.49635753,6.04417508,0.55975430,4.37469679,4.03355817,0.06910993,4.18696327
-5.93396698,9.91820837,0.04028546,1.49711564,6.07428569,0.56291504,4.37479507,4.03821095,0.06877665,4.19955322
-5.92796398,9.91357056,0.04054603,1.49575677,6.08373742,0.56567357,4.35838185,4.03411001,0.06833823,4.19913082
-5.92196098,9.88670025,0.04074186,1.49242616,6.07287380,0.56814261,4.32598621,4.02150251,0.06781126,4.18612994
-5.91595798,9.83890086,0.04087333,1.48727066,6.04235581,0.57043818,4.27840893,4.00072911,0.06721428,4.16120164
-5.90995498,9.77174145,0.04094138,1.48043641,5.99313550,0.57267466,4.21670268,3.97221779,0.06656719,4.12519118
-5.90395198,9.68700932,0.04094769,1.47206680,5.92642044,0.57495966,4.14214465,3.93647456,0.06589060,4.07910799
-5.89794897,9.58665546,0.04089462,1.46230083,5.84363043,0.57738868,4.05620247,3.89407169,0.06520506,4.02408981
-5.89194597,9.47273497,0.04078530,1.45127203,5.74634808,0.58004002,3.96049506,3.84563374,0.06453039,3.96136231
-5.88594297,9.34734522,0.04062364,1.43910790,5.63626560,0.58296998,3.85674995,3.79182222,0.06388485,3.89219616
-5.87993997,9.21256456,0.04041431,1.42593004,5.51512994,0.58620864,3.74675892,3.73331976,0.06328440,3.81786336
-5.87393697,9.07039460,0.04016281,1.41185495,5.38468898,0.58975653,3.63233381,3.67081459,0.06274207,3.73959491
-5.86793397,8.92270866,0.03987536,1.39699544,5.24664107,0.59358230,3.51526427,3.60498621,0.06226738,3.65854179
-5.86193097,8.77120894,0.03955892,1.38146259,5.10259010,0.59762160,3.39727895,3.53649287,0.06186585,3.57574106
-5.85592796,8.61739405,0.03922111,1.36536810,4.95400809,0.60177733,3.28001151,3.46596166,0.06153876,3.49208855
-5.84992496,8.46253825,0.03887011,1.34882687,4.80220667,0.60592134,3.16497226,3.39398132,0.06128298,3.40831945
-5.84392196,8.30768274,0.03851460,1.33195949,4.64831836,0.60989749,3.05352611,3.32109804,0.06109109,3.32499727
-5.83791896,8.15363875,0.03816359,1.31489447,4.49328802,0.61352618,2.94687696,3.24781411,0.06095159,3.24251164
-5.83191596,8.00100145,0.03782626,1.29776983,4.33787423,0.61661008,2.84605815,3.17458898,0.06084938,3.16108458
-5.82591296,7.85017298,0.03751181,1.28073385,4.18265970,0.61894088,2.75192877,3.10184244,0.06076631,3.08078455
-5.81990995,7.70139250,0.03722918,1.26394485,4.02806965,0.62030685,2.66517472,3.02995901,0.06068197,3.00154723
-5.81390695,7.55477086,0.03698688,1.24756964,3.87439626,0.62050093,2.58631367,2.95929299,0.06057449,2.92320149
-5.80790395,7.41032726,0.03679272,1.23178072,3.72182748,0.61932886,2.51570302,2.89017335,0.06042150,2.84549902
