energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,0.24029690,0.02093316,0.01686820,0.00136298,0.03070744,0.08760674,0.00000000
-5.99399700,0.26332877,0.02063792,0.01820309,0.00118535,0.03381729,0.09574879,0.00000000
-5.98799400,0.28810642,0.02082780,0.01974874,0.00107703,0.03722731,0.10441312,0.00000000
-5.98199100,0.31429541,0.02143288,0.02148080,0.00103318,0.04090402,0.11346337,0.00000000
-5.97598799,0.34154679,0.02239242,0.02337608,0.00105087,0.04481263,0.12275687,0.00000000
-5.96998499,0.36950271,0.02365458,0.02541279,0.00112899,0.04891768,0.13214706,0.00000000
-5.96398199,0.39780365,0.02517618,0.02757079,0.00126825,0.05318367,0.14148640,0.00000000
-5.95797899,0.42609705,0.02692255,0.02983193,0.00147097,0.05757607,0.15062981,0.00000000
-5.95197599,0.45404710,0.02886740,0.03218054,0.00174102,0.06206234,0.15943859,0.00000000
-5.94597299,0.48134522,0.03099285,0.03460380,0.00208367,0.06661318,0.16778452,0.00000000
-5.93996998,0.50772104,0.03328956,0.03709226,0.00250538,0.07120378,0.17555415,0.00000000
-5.93396698,0.53295308,0.03575692,0.03964030,0.00301361,0.07581519,0.18265291,0.00000000
-5.92796398,0.55687877,0.03840331,0.04224651,0.00361664,0.08043554,0.18900900,0.00000000
-5.92196098,0.57940326,0.04124640,0.04491406,0.00432332,0.08506125,0.19457669,0.00000000
-5.91595798,0.60050642,0.04431344,0.04765092,0.00514277,0.08969801,0.19933905,0.00000000
-5.90995498,0.62024776,0.04764151,0.05046990,0.00608413,0.09436154,0.20330974,0.00000000
-5.90395198,0.63876873,0.05127768,0.05338861,0.00715627,0.09907807,0.20653390,0.00000000
-5.89794897,0.65629237,0.05527907,0.05642917,0.00836741,0.10388448,0.20908806,0.00000000
-5.89194597,0.67312006,0.05971270,0.05961779,0.00972486,0.10882804,0.21107890,0.00000000
-5.88594297,0.68962546,0.06465521,0.06298409,0.01123465,0.11396584,0.21264108,0.00000000
-5.87993997,0.70624579,0.07019231,0.06656035,0.01290121,0.11936378,0.21393409,0.00000000
-5.87393697,0.72347075,0.07641794,0.07038050,0.01472711,0.12509520,0.21513821,0.00000000
-5.86793397,0.74182929,0.08343323,0.07447906,0.01671270,0.13123918,0.21644981,0.00000000
-5.86193097,0.76187484,0.09134501,0.07888994,0.01885595,0.13787851,0.21807611,0.00000000
-5.85592796,0.78416939,0.10026412,0.08364519,0.02115217,0.14509741,0.22022948,0.00000000
-5.84992496,0.80926685,0.11030321,0.08877373,0.02359389,0.15297910,0.22312160,0.00000000
