energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.80351035,0.27409323,1.01603964,0.00479088,0.16553271,0.01183077,0.61794173
-5.99399700,1.81772939,0.28652712,1.01858109,0.00484334,0.17154302,0.01228534,0.62307899
-5.98799400,1.83284621,0.29958547,1.02118674,0.00490002,0.17746713,0.01280642,0.62868960
-5.98199100,1.84950867,0.31323644,1.02429956,0.00496088,0.18334569,0.01339929,0.63496180
-5.97598799,1.86830804,0.32742649,1.02834058,0.00502569,0.18922706,0.01406816,0.64205843
-5.96998499,1.88975471,0.34208073,1.03369240,0.00509401,0.19516502,0.01481607,0.65011002
-5.96398199,1.91425732,0.35710424,1.04068441,0.00516527,0.20121600,0.01564474,0.65920936
-5.95797899,1.94210643,0.37238426,1.04958031,0.00523871,0.20743608,0.01655459,0.66940794
-5.95197599,1.97346317,0.38779324,1.06056836,0.00531354,0.21387781,0.01754463,0.68071421
-5.94597299,2.00835331,0.40319252,1.07375487,0.00538889,0.22058704,0.01861256,0.69309387
-5.93996998,2.04666673,0.41843647,1.08916089,0.00546395,0.22759995,0.01975470,0.70647185
-5.93396698,2.08816215,0.43337687,1.10672239,0.00553799,0.23494032,0.02096609,0.72073599
-5.92796398,2.13247646,0.44786725,1.12629348,0.00561047,0.24261734,0.02224053,0.73574196
-5.92196098,2.17913813,0.46176709,1.14765257,0.00568103,0.25062390,0.02357066,0.75131919
-5.91595798,2.22758367,0.47494548,1.17051101,0.00574955,0.25893562,0.02494801,0.76727729
-5.90995498,2.27717630,0.48728422,1.19452351,0.00581622,0.26751050,0.02636309,0.78341270
-5.90395198,2.32722568,0.49868022,1.21930009,0.00588145,0.27628937,0.02780550,0.79951509
-5.89794897,2.37700788,0.50904699,1.24441850,0.00594594,0.28519700,0.02926397,0.81537325
-5.89194597,2.42578455,0.51831538,1.26943695,0.00601057,0.29414383,0.03072649,0.83078017
-5.88594297,2.47282056,0.52643344,1.29390624,0.00607635,0.30302829,0.03218036,0.84553711
-5.87993997,2.51739951,0.53336564,1.31738100,0.00614439,0.31173947,0.03361235,0.85945659
-5.87393697,2.55883673,0.53909138,1.33942957,0.00621574,0.32016015,0.03500879,0.87236429
-5.86793397,2.59648947,0.54360317,1.35964230,0.00629130,0.32816990,0.03635572,0.88409985
-5.86193097,2.62976441,0.54690448,1.37763802,0.00637178,0.33564822,0.03763902,0.89451693
-5.85592796,2.65812254,0.54900752,1.39306884,0.00645753,0.34247752,0.03884463,0.90348243
-5.84992496,2.68108189,0.54993118,1.40562320,0.00654848,0.34854586,0.03995872,0.91087537
-5.84392196,2.69821853,0.54969913,1.41502750,0.00664410,0.35374939,0.04096794,0.91658566
-5.83791896,2.70916640,0.54833837,1.42104650,0.00674332,0.35799435,0.04185963,0.92051284
-5.83191596,2.71361649,0.54587820,1.42348298,0.00684455,0.36119871,0.04262210,0.92256530
-5.82591296,2.71131600,0.54234973,1.42217680,0.00694565,0.36329339,0.04324489,0.92265991
-5.81990995,2.70206793,0.53778581,1.41700390,0.00704400,0.36422312,0.04371902,0.92072239
-5.81390695,2.68573143,0.53222149,1.40787543,0.00713656,0.36394693,0.04403728,0.91668837
-5.80790395,2.66222301,0.52569472,1.39473734,0.00721998,0.36243844,0.04419442,0.91050512
-5.80190095,2.63151890,0.51824736,1.37757039,0.00729068,0.35968589,0.04418735,0.90213388
-5.79589795,2.59365812,0.50992620,1.35639087,0.00734505,0.35569201,0.04401531,0.89155267
-5.78989495,2.54874614,0.50078390,1.33125173,0.00737951,0.35047382,0.04367997,0.87875921
-5.78389195,2.49695869,0.49087974,1.30224420,0.00739070,0.34406227,0.04318542,0.86377389
-5.77788894,2.43854508,0.48028000,1.26949938,0.00737565,0.33650187,0.04253814,0.84664233
-5.77188594,2.37383060,0.46905786,1.23318979,0.00733184,0.32785020,0.04174691,0.82743742
-5.76588294,2.30321743,0.45729278,1.19353038,0.00725734,0.31817731,0.04082258,0.80626047
-5.75987994,2.22718342,0.44506943,1.15077870,0.00715094,0.30756495,0.03977782,0.78324139
-5.75387694,2.14627863,0.43247598,1.10523407,0.00701212,0.29610571,0.03862678,0.75853772
-5.74787394,2.06111919,0.41960207,1.05723537,0.00684117,0.28390186,0.03738475,0.73233247
-5.74187094,1.97237858,0.40653645,1.00715739,0.00663914,0.27106398,0.03606770,0.70483091
-5.73586793,1.88077645,0.39336448,0.95540584,0.00640783,0.25770938,0.03469188,0.67625623
-5.72986493,1.78706539,0.38016559,0.90241087,0.00614970,0.24396025,0.03327340,0.64684453
-5.72386193,1.69201606,0.36701105,0.84861945,0.00586783,0.22994164,0.03182778,0.61683918
-5.71785893,1.59640156,0.35396202,0.79448691,0.00556580,0.21577925,0.03036966,0.58648501
-5.71185593,1.50098157,0.34106822,0.74046792,0.00524758,0.20159722,0.02891241,0.55602252
-5.70585293,1.40648719,0.32836723,0.68700738,0.00491736,0.18751577,0.02746797,0.52568257
-5.69984992,1.31360716,0.31588451,0.63453164,0.00457951,0.17364915,0.02604663,0.49568169
-5.69384692,1.22297630,0.30363429,0.58344047,0.00423836,0.16010353,0.02465701,0.46621837
-5.68784392,1.13516648,0.29162118,0.53410017,0.00389815,0.14697535,0.02330604,0.43747047
-5.68184092,1.05068083,0.27984242,0.48683821,0.00356291,0.13434992,0.02199908,0.40959386
-5.67583792,0.96995119,0.26829086,0.44193942,0.00323633,0.12230038,0.02074011,0.38272230
-5.66983492,0.89333886,0.25695825,0.39964421,0.00292177,0.11088720,0.01953193,0.35696856
-5.66383192,0.82113862,0.24583886,0.36014851,0.00262214,0.10015804,0.01837646,0.33242664
