energy_ev,total_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.97062053,0.60984439,0.39761029,3.58762247,1.21635317,0.00642285,0.56085246,0.06413253,2.86092132
-5.99399700,5.03318915,0.60842237,0.39720969,3.61486708,1.25514854,0.00646401,0.57261886,0.06461250,2.90138927
-5.98799400,5.09078937,0.60594270,0.39645081,3.63508692,1.29367844,0.00655803,0.58350092,0.06512871,2.94015983
-5.98199100,5.14305613,0.60246890,0.39534947,3.64822497,1.33149980,0.00670809,0.59347632,0.06569310,2.97687912
-5.97598799,5.18975015,0.59810237,0.39393680,3.65436808,1.36816259,0.00691708,0.60253804,0.06631736,3.01124606
-5.96998499,5.23073469,0.59297699,0.39225702,3.65373021,1.40321348,0.00718744,0.61069084,0.06701196,3.04300190
-5.96398199,5.26595154,0.58725300,0.39036493,3.64663332,1.43620103,0.00752110,0.61794738,0.06778508,3.07192019
-5.95797899,5.29539813,0.58111011,0.38832342,3.63348688,1.46668225,0.00791938,0.62432446,0.06864174,3.09779797
-5.95197599,5.31910696,0.57474040,0.38620105,3.61476725,1.49423046,0.00838290,0.62983933,0.06958302,3.12044918
-5.94597299,5.33712885,0.56834109,0.38406971,3.59099763,1.51844446,0.00891149,0.63450650,0.07060552,3.13970053
-5.93996998,5.34952081,0.56210754,0.38200264,3.56272973,1.53895851,0.00950409,0.63833504,0.07170094,3.15539042
-5.93396698,5.35633910,0.55622675,0.38007265,3.53052765,1.55545283,0.01015876,0.64132669,0.07285608,3.16737085
-5.92796398,5.35763780,0.55087157,0.37835083,3.49495459,1.56766416,0.01087258,0.64347471,0.07405296,3.17551233
-5.92196098,5.35347264,0.54619582,0.37690551,3.45656267,1.57539584,0.01164167,0.64476368,0.07526929,3.17971125
-5.91595798,5.34390961,0.54233055,0.37580168,3.41588610,1.57852686,0.01246126,0.64517020,0.07647917,3.17989943
-5.90995498,5.32903761,0.53938138,0.37510069,3.37343747,1.57701941,0.01332569,0.64466451,0.07765406,3.17605498
-5.90395198,5.30898406,0.53742719,0.37486028,3.32970710,1.57092452,0.01422858,0.64321282,0.07876382,3.16821377
-5.89794897,5.28393212,0.53652002,0.37513475,3.28516501,1.56038522,0.01516291,0.64078043,0.07977803,3.15648062
-5.89194597,5.25413838,0.53668609,0.37597536,3.24026497,1.54563712,0.01612122,0.63733527,0.08066729,3.14103939
-5.88594297,5.21994938,0.53792800,0.37743072,3.19545009,1.52700610,0.01709582,0.63285180,0.08140454,3.12216113
-5.87993997,5.18181580,0.54022774,0.37954712,3.15115926,1.50490316,0.01807898,0.62731496,0.08196638,3.10020954
-5.87393697,5.14030289,0.54355049,0.38236878,3.10783370,1.47981630,0.01906317,0.62072405,0.08233420,3.07564314
-5.86793397,5.09609617,0.54784878,0.38593787,3.06592301,1.45229987,0.02004130,0.61309612,0.08249520,3.04901363
-5.86193097,5.05000158,0.55306705,0.39029426,3.02588998,1.42296152,0.02100691,0.60446888,0.08244311,3.02096027
-5.85592796,5.00293944,0.55914602,0.39547499,2.98821361,1.39244716,0.02195438,0.59490271,0.08217873,2.99220004
-5.84992496,4.95593207,0.56602689,0.40151345,2.95338986,1.36142445,0.02287910,0.58448186,0.08171011,2.96351388
-5.84392196,4.91008526,0.57365501,0.40843819,2.92192982,1.33056547,0.02377755,0.57331445,0.08105245,2.93572922
-5.83791896,4.86656395,0.58198291,0.41627157,2.89435502,1.30052891,0.02464739,0.56153153,0.08022771,2.90969936
-5.83191596,4.82656310,0.59097247,0.42502815,2.87118998,1.27194265,0.02548747,0.54928493,0.07926393,2.88628054
-5.82591296,4.79127472,0.60059625,0.43471300,2.85295208,1.24538717,0.02629775,0.53674414,0.07819430,2.86630740
-5.81990995,4.76185266,0.61083778,0.44532009,2.84013916,1.22138047,0.02707921,0.52409232,0.07705602,2.85056785
-5.81390695,4.73937636,0.62169107,0.45683069,2.83321528,1.20036495,0.02783369,0.51152151,0.07588902,2.83977854
-5.80790395,4.72481561,0.63315918,0.46921211,2.83259538,1.18269678,0.02856368,0.49922740,0.07473453,2.83456172
-5.80190095,4.71899760,0.64525210,0.48241682,2.83862954,1.16863808,0.02927206,0.48740374,0.07363371,2.83542471
