energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,1.84302845,0.00824937,0.20064797,1.14995359,0.64099307,0.00907744,0.60253938
-5.99399700,1.88452383,0.00902010,0.20485992,1.18048609,0.66088417,0.00932485,0.61026554
-5.98799400,1.93801378,0.00982192,0.21037768,1.21798234,0.68560669,0.00965008,0.62154270
-5.98199100,2.00331000,0.01064932,0.21710197,1.26232551,0.71516527,0.01004995,0.63631645
-5.97598799,2.08004874,0.01149624,0.22491466,1.31328567,0.74950832,0.01052030,0.65447437
-5.96998499,2.16769582,0.01235625,0.23368015,1.37052460,0.78852752,0.01105593,0.67584861
-5.96398199,2.26555686,0.01322265,0.24324755,1.43360426,0.83205858,0.01165064,0.70022039
-5.95797899,2.37279220,0.01408869,0.25345360,1.50199829,0.87988304,0.01229715,0.72732616
-5.95197599,2.48843531,0.01494770,0.26412603,1.57510570,0.93173093,0.01298724,0.75686495
-5.94597299,2.61141370,0.01579321,0.27508749,1.65226602,0.98728394,0.01371180,0.78850662
-5.93996998,2.74057101,0.01661915,0.28615961,1.73277467,1.04617895,0.01446098,0.82190037
-5.93396698,2.87468920,0.01741990,0.29716712,1.81589801,1.10801176,0.01522434,0.85668315
-5.92796398,3.01250966,0.01819040,0.30794182,1.90088699,1.17234070,0.01599104,0.89248747
-5.92196098,3.15275247,0.01892616,0.31832611,1.98698877,1.23869018,0.01675010,0.92894837
-5.91595798,3.29413306,0.01962334,0.32817614,2.07345597,1.30655403,0.01749060,0.96570910
-5.90995498,3.43537600,0.02027867,0.33736418,2.15955316,1.37539890,0.01820198,1.00242545
-5.90395198,3.57522581,0.02088943,0.34578033,2.24456065,1.44466746,0.01887427,1.03876871
-5.89794897,3.71245491,0.02145339,0.35333344,2.32777570,1.51378203,0.01949839,1.07442713
-5.89194597,3.84586928,0.02196871,0.35995118,2.40851179,1.58214842,0.02006640,1.10910632
-5.88594297,3.97431233,0.02243384,0.36557953,2.48609624,1.64916045,0.02057173,1.14252854
-5.87993997,4.09666786,0.02284746,0.37018146,2.55986723,1.71420526,0.02100944,1.17443139
-5.87393697,4.21186283,0.02320835,0.37373524,2.62917076,1.77666951,0.02137640,1.20456621
-5.86793397,4.31887071,0.02351531,0.37623231,2.69335850,1.83594667,0.02167138,1.23269643
-5.86193097,4.41671627,0.02376715,0.37767501,2.75178727,1.89144526,0.02189521,1.25859644
-5.85592796,4.50448218,0.02396262,0.37807423,2.80382067,1.94259818,0.02205076,1.28205111
-5.84992496,4.58131787,0.02410040,0.37744728,2.84883346,1.98887272,0.02214290,1.30285615
-5.84392196,4.64645071,0.02417914,0.37581600,2.88621889,2.02978118,0.02217840,1.32081973
-5.83791896,4.69919941,0.02419750,0.37320530,2.91539895,2.06489171,0.02216570,1.33576507
-5.83191596,4.73898917,0.02415425,0.36964216,2.93583746,2.09383897,0.02211468,1.34753417
-5.82591296,4.76536797,0.02404829,0.36515529,2.94705538,2.11633412,0.02203630,1.35599248
-5.81990995,4.77802322,0.02387884,0.35977513,2.94864778,2.13217382,0.02194218,1.36103420
-5.81390695,4.77679770,0.02364548,0.35353458,2.94030156,2.14124769,0.02184419,1.36258793
-5.80790395,4.76170387,0.02334830,0.34646996,2.92181297,2.14354381,0.02175392,1.36062230
-5.80190095,4.73293532,0.02298798,0.33862240,2.89310392,2.13915201,0.02168221,1.35515118
-5.79589795,4.69087464,0.02256588,0.33003941,2.85423588,2.12826463,0.02163865,1.34623795
-5.78989495,4.63609659,0.02208408,0.32077638,2.80542058,2.11117456,0.02163114,1.33399868
-5.78389195,4.56936615,0.02154544,0.31089808,2.74702659,2.08827055,0.02166542,1.31860357
-5.77788894,4.49163084,0.02095360,0.30047982,2.67958105,2.06002993,0.02174480,1.30027672
-5.77188594,4.40400743,0.02031294,0.28960820,2.60376617,2.02700873,0.02186988,1.27929383
-5.76588294,4.30776291,0.01962850,0.27838139,2.52041040,1.98982977,0.02203845,1.25597791
-5.75987994,4.20429043,0.01890597,0.26690881,2.43047427,1.94916880,0.02224542,1.23069299
-5.75387694,4.09508078,0.01815150,0.25531013,2.33503131,1.90573943,0.02248298,1.20383606
-5.74787394,3.98169028,0.01737160,0.24371378,2.23524478,1.86027710,0.02274085,1.17582745
-5.74187094,3.86570633,0.01657301,0.23225469,2.13234096,1.81352281,0.02300656,1.14709999
-5.73586793,3.74871167,0.01576253,0.22107167,2.02758008,1.76620696,0.02326600,1.11808745
-5.72986493,3.63224864,0.01494690,0.21030430,1.92222598,1.71903388,0.02350390,1.08921267
-5.72386193,3.51778467,0.01413260,0.20008950,1.81751579,1.67266741,0.02370447,1.06087578
-5.71785893,3.40668000,0.01332579,0.19055803,1.71463065,1.62771790,0.02385201,1.03344316
-5.71185593,3.30015882,0.01253215,0.18183091,1.61466867,1.58473094,0.02393159,1.00723734
-5.70585293,3.19928441,0.01175680,0.17401598,1.51862101,1.54417788,0.02392964,0.98252847
-5.69984992,3.10493913,0.01100422,0.16720482,1.42735196,1.50644849,0.02383453,0.95952753
-5.69384692,3.01780954,0.01027824,0.16146998,1.34158343,1.47184552,0.02363704,0.93838148
-5.68784392,2.93837692,0.00958200,0.15686273,1.26188444,1.44058137,0.02333075,0.91917069
-5.68184092,2.86691336,0.00891792,0.15341146,1.18866552,1.41277676,0.02291231,0.90190859
-5.67583792,2.80348317,0.00828780,0.15112072,1.12217811,1.38846124,0.02238155,0.88654353
-5.66983492,2.74794954,0.00769280,0.14997086,1.06251867,1.36757558,0.02174153,0.87296275
-5.66383192,2.69998602,0.00713352,0.14991851,1.00963703,1.34997589,0.02099836,0.86099845
-5.65782891,2.65909260,0.00661006,0.15089768,0.96334851,1.33543942,0.02016102,0.85043542
-5.65182591,2.62461576,0.00612214,0.15282152,0.92334919,1.32367198,0.01924101,0.84102030
-5.64582291,2.59577217,0.00566911,0.15558480,0.88923356,1.31431685,0.01825189,0.83247186
-5.63981991,2.57167543,0.00525010,0.15906680,0.86051398,1.30696522,0.01720887,0.82449209
-5.63381691,2.55136538,0.00486406,0.16313493,0.83664118,1.30116805,0.01612826,0.81677774
-5.62781391,2.53383927,0.00450988,0.16764856,0.81702514,1.29644911,0.01502698,0.80903179
-5.62181091,2.51808421,0.00418643,0.17246329,0.80105584,1.29231917,0.01392203,0.80097466
-5.61580790,2.50311025,0.00389265,0.17743554,0.78812318,1.28829114,0.01283007,0.79235462
-5.60980490,2.48798315,0.00362764,0.18242712,0.77763567,1.28389564,0.01176700,0.78295721
-5.60380190,2.47185624,0.00339069,0.18730998,0.76903755,1.27869692,0.01074757,0.77261323
-5.59779890,2.45400035,0.00318135,0.19197086,0.76182381,1.27230846,0.00978516,0.76120516
-5.59179590,2.43383097,0.00299951,0.19631577,0.75555302,1.26440794,0.00889155,0.74867175
-5.58579290,2.41093187,0.00284540,0.20027414,0.74985764,1.25475089,0.00807679,0.73501059
-5.57978989,2.38507416,0.00271965,0.20380267,0.74445171,1.24318261,0.00734915,0.72027877
-5.57378689,2.35623029,0.00262332,0.20688861,0.73913593,1.22964774,0.00671508,0.70459133
-5.56778389,2.32458212,0.00255792,0.20955246,0.73379990,1.21419708,0.00617928,0.68811790
-5.56178089,2.29052277,0.00252540,0.21184992,0.72842187,1.19699115,0.00574478,0.67107743
-5.55577789,2.25465196,0.00252818,0.21387312,0.72306587,1.17830027,0.00541297,0.65373131
-5.54977489,2.21776464,0.00256908,0.21575090,0.71787648,1.15850095,0.00518378,0.63637514
-5.54377189,2.18083328,0.00265132,0.21764815,0.71307153,1.13806852,0.00505574,0.61932950
-5.53776888,2.14498408,0.00277844,0.21976413,0.70893284,1.11756619,0.00502608,0.60292997
-5.53176588,2.11146777,0.00295425,0.22232973,0.70579549,1.09763061,0.00509084,0.58751681
-5.52576288,2.08162572,0.00318268,0.22560363,0.70403576,1.07895466,0.00524489,0.57342475
-5.51975988,2.05685241,0.00346770,0.22986731,0.70405823,1.06226759,0.00548209,0.56097308
-5.51375688,2.03855528,0.00381316,0.23541904,0.70628223,1.04831345,0.00579524,0.55045645
-5.50775388,2.02811309,0.00422262,0.24256667,0.71112810,1.03782833,0.00617619,0.54213672
-5.50175088,2.02683388,0.00469918,0.25161952,0.71900342,1.03151722,0.00661590,0.53623591
-5.49574787,2.03591390,0.00524529,0.26287930,0.73028959,1.03003112,0.00710447,0.53293056
-5.48974487,2.05639827,0.00586254,0.27663033,0.74532894,1.03394534,0.00763126,0.53234756
-5.48374187,2.08914469,0.00655146,0.29312912,0.76441251,1.04373937,0.00818497,0.53456142
-5.47773887,2.13479101,0.00731135,0.31259368,0.78776884,1.05977923,0.00875380,0.53959303
-5.47173587,2.19372737,0.00814006,0.33519283,0.81555381,1.08230260,0.00932559,0.54740974
-5.46573287,2.26607387,0.00903391,0.36103580,0.84784166,1.11140727,0.00988805,0.55792669
