energy_ev,total_up,Al_p_up,Al_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.25723293,0.00076853,0.00000000,0.13334772,0.13415370,0.00095592,0.18672056
-5.99399700,0.22327308,0.00066834,0.00000000,0.11568150,0.11646387,0.00083211,0.16204862
-5.98799400,0.19247650,0.00057802,0.00000000,0.09967641,0.10041312,0.00071930,0.13967278
-5.98199100,0.16480964,0.00049755,0.00000000,0.08531091,0.08598503,0.00061752,0.11956825
-5.97598799,0.14018947,0.00042682,0.00000000,0.07253846,0.07313688,0.00052659,0.10167370
-5.96998499,0.11849264,0.00036568,0.00000000,0.06129235,0.06180443,0.00044615,0.08589798
-5.96398199,0.09956527,0.00031397,0.00000000,0.05149061,0.05190688,0.00037572,0.07212720
-5.95797899,0.08323266,0.00027153,0.00000000,0.04304112,0.04335197,0.00031473,0.06023175
-5.95197599,0.06930878,0.00023833,0.00000000,0.03584646,0.03604076,0.00026254,0.05007307
-5.94597299,0.05760513,0.00021441,0.00000000,0.02980844,0.02987219,0.00021851,0.04151002
-5.93996998,0.04793877,0.00020002,0.00000000,0.02483230,0.02474715,0.00018197,0.03440450
-5.93396698,0.04013946,0.00019563,0.00000000,0.02083035,0.02057203,0.00015234,0.02862650
-5.92796398,0.03405578,0.00020198,0.00000000,0.01772511,0.01726182,0.00012905,0.02405831
-5.92196098,0.02956025,0.00022013,0.00000000,0.01545196,0.01474255,0.00011164,0.02059800
-5.91595798,0.02655345,0.00025152,0.00000000,0.01396125,0.01295332,0.00009973,0.01816218
-5.90995498,0.02496723,0.00029803,0.00000000,0.01321993,0.01184779,0.00009307,0.01668805
-5.90395198,0.02476699,0.00036199,0.00000000,0.01321265,0.01139517,0.00009152,0.01613483
-5.89794897,0.02595320,0.00044624,0.00000000,0.01394251,0.01158088,0.00009505,0.01648455
-5.89194597,0.02856202,0.00055418,0.00000000,0.01543128,0.01240678,0.00010378,0.01774233
-5.88594297,0.03266524,0.00068977,0.00000000,0.01771919,0.01389102,0.00011795,0.01993608
-5.87993997,0.03836932,0.00085757,0.00000000,0.02086431,0.01606754,0.00013794,0.02311574
-5.87393697,0.04581380,0.00106270,0.00000000,0.02494140,0.01898529,0.00016423,0.02735194
-5.86793397,0.05516864,0.00131088,0.00000000,0.03004031,0.02270697,0.00019743,0.03273415
-5.86193097,0.06663094,0.00160836,0.00000000,0.03626381,0.02730758,0.00023825,0.03936833
-5.85592796,0.08042052,0.00196188,0.00000000,0.04372493,0.03287246,0.00028748,0.04737395
-5.84992496,0.09677476,0.00237859,0.00000000,0.05254367,0.03949503,0.00034599,0.05688054
-5.84392196,0.11594242,0.00286596,0.00000000,0.06284324,0.04727422,0.00041470,0.06802363
-5.83791896,0.13817668,0.00343167,0.00000000,0.07474574,0.05631149,0.00049454,0.08094017
-5.83191596,0.16372734,0.00408346,0.00000000,0.08836743,0.06670758,0.00058646,0.09576361
-5.82591296,0.19283257,0.00482900,0.00000000,0.10381364,0.07855909,0.00069137,0.11261857
-5.81990995,0.22571011,0.00567568,0.00000000,0.12117352,0.09195485,0.00081011,0.13161530
-5.81390695,0.26254852,0.00663051,0.00000000,0.14051477,0.10697232,0.00094346,0.15284420
-5.80790395,0.30349856,0.00769990,0.00000000,0.16187850,0.12367402,0.00109204,0.17637041
-5.80190095,0.34866509,0.00888951,0.00000000,0.18527466,0.14210425,0.00125635,0.20222894
-5.79589795,0.39809999,0.01020407,0.00000000,0.21067798,0.16228616,0.00143671,0.23042033
-5.78989495,0.45179620,0.01164733,0.00000000,0.23802494,0.18421929,0.00163322,0.26090722
-5.78389195,0.50968346,0.01322184,0.00000000,0.26721181,0.20787786,0.00184578,0.29361203
-5.77788894,0.57162580,0.01492895,0.00000000,0.29809410,0.23320967,0.00207407,0.32841585
-5.77188594,0.63742112,0.01676875,0.00000000,0.33048736,0.26013588,0.00231751,0.36515880
-5.76588294,0.70680282,0.01874001,0.00000000,0.36416967,0.28855169,0.00257528,0.40364176
-5.75987994,0.77944361,0.02084026,0.00000000,0.39888559,0.31832775,0.00284634,0.44362962
-5.75387694,0.85496118,0.02306577,0.00000000,0.43435166,0.34931247,0.00312943,0.48485590
-5.74787394,0.93292573,0.02541165,0.00000000,0.47026318,0.38133494,0.00342305,0.52702859
-5.74187094,1.01286883,0.02787195,0.00000000,0.50630214,0.41420851,0.00372552,0.56983700
-5.73586793,1.09429334,0.03043971,0.00000000,0.54214595,0.44773471,0.00403501,0.61295933
-5.72986493,1.17668394,0.03310712,0.00000000,0.57747662,0.48170746,0.00434951,0.65607070
-5.72386193,1.25951779,0.03586559,0.00000000,0.61199000,0.51591730,0.00466689,0.69885125
-5.71785893,1.34227490,0.03870587,0.00000000,0.64540478,0.55015560,0.00498491,0.74099392
-5.71185593,1.42444790,0.04161817,0.00000000,0.67747075,0.58421844,0.00530125,0.78221179
-5.70585293,1.50555087,0.04459223,0.00000000,0.70797601,0.61791017,0.00561353,0.82224448
-5.69984992,1.58512698,0.04761750,0.00000000,0.73675293,0.65104652,0.00591930,0.86086356
-5.69384692,1.66275499,0.05068317,0.00000000,0.76368249,0.68345723,0.00621612,0.89787672
-5.68784392,1.73805443,0.05377836,0.00000000,0.78869692,0.71498818,0.00650152,0.93313067
-5.68184092,1.81068956,0.05689222,0.00000000,0.81178064,0.74550305,0.00677306,0.96651268
-5.67583792,1.88037243,0.06001415,0.00000000,0.83296931,0.77488452,0.00702832,0.99795096
-5.66983492,1.94686480,0.06313392,0.00000000,0.85234727,0.80303515,0.00726497,1.02741366
-5.66383192,2.00997943,0.06624191,0.00000000,0.87004333,0.82987781,0.00748080,1.05490695
-5.65782891,2.06958058,0.06932935,0.00000000,0.88622527,0.85535584,0.00767371,1.08047203
-5.65182591,2.12558390,0.07238852,0.00000000,0.90109296,0.87943289,0.00784182,1.10418132
-5.64582291,2.17795552,0.07541297,0.00000000,0.91487067,0.90209233,0.00798348,1.12613388
-5.63981991,2.22671037,0.07839773,0.00000000,0.92779849,0.92333630,0.00809730,1.14645016
-5.63381691,2.27190942,0.08133946,0.00000000,0.94012321,0.94318422,0.00818224,1.16526622
-5.62781391,2.31365570,0.08423655,0.00000000,0.95208897,0.96167071,0.00823764,1.18272737
-5.62181091,2.35208881,0.08708908,0.00000000,0.96392763,0.97884291,0.00826323,1.19898137
-5.61580790,2.38737784,0.08989877,0.00000000,0.97584934,0.99475699,0.00825920,1.21417126
-5.60980490,2.41971246,0.09266873,0.00000000,0.98803340,1.00947408,0.00822617,1.22842794
-5.60380190,2.44929234,0.09540316,0.00000000,1.00061970,1.02305540,0.00816521,1.24186269
-5.59779890,2.47631508,0.09810687,0.00000000,1.01370086,1.03555701,0.00807783,1.25455970
-5.59179590,2.50096293,0.10078473,0.00000000,1.02731567,1.04702416,0.00796593,1.26656921
-5.58579290,2.52338891,0.10344103,0.00000000,1.04144364,1.05748562,0.00783174,1.27790115
-5.57978989,2.54370307,0.10607880,0.00000000,1.05600143,1.06694832,0.00767778,1.28852013
-5.57378689,2.56195957,0.10869901,0.00000000,1.07084112,1.07539267,0.00750675,1.29834167
-5.56778389,2.57814557,0.11129992,0.00000000,1.08575063,1.08276885,0.00732146,1.30723054
-5.56178089,2.59217272,0.11387637,0.00000000,1.10045659,1.08899461,0.00712473,1.31500107
-5.55577789,2.60387213,0.11641927,0.00000000,1.11462964,1.09395465,0.00691928,1.32142000
-5.54977489,2.61299329,0.11891513,0.00000000,1.12789220,1.09750205,0.00670770,1.32621190
-5.54377189,2.61920752,0.12134581,0.00000000,1.13982862,1.09946161,0.00649230,1.32906700
-5.53776888,2.62211608,0.12368852,0.00000000,1.14999750,1.09963528,0.00627510,1.32965152
-5.53176588,2.62126275,0.12591595,0.00000000,1.15794565,1.09780939,0.00605776,1.32761998
-5.52576288,2.61615051,0.12799665,0.00000000,1.16322345,1.09376343,0.00584157,1.32262904
-5.51975988,2.60626161,0.12989568,0.00000000,1.16540079,1.08728003,0.00562744,1.31435235
-5.51375688,2.59108012,0.13157543,0.00000000,1.16408308,1.07815553,0.00541590,1.30249559
-5.50775388,2.57011583,0.13299657,0.00000000,1.15892651,1.06621065,0.00520716,1.28681101
-5.50175088,2.54292822,0.13411923,0.00000000,1.14965195,1.05130068,0.00500115,1.26711071
-5.49574787,2.50914939,0.13490424,0.00000000,1.13605686,1.03332458,0.00479755,1.24327790
-5.48974487,2.46850466,0.13531439,0.00000000,1.11802447,1.01223255,0.00459593,1.21527561
-5.48374187,2.42082980,0.13531573,0.00000000,1.09553001,0.98803150,0.00439573,1.18315228
-5.47773887,2.36608414,0.13487882,0.00000000,1.06864358,0.96078842,0.00419641,1.14704394
-5.47173587,2.30435875,0.13397984,0.00000000,1.03752948,0.93063109,0.00399749,1.10717298
-5.46573287,2.23587964,0.13260161,0.00000000,1.00244217,0.89774651,0.00379858,1.06384338
-5.45972986,2.16100569,0.13073436,0.00000000,0.96371905,0.86237686,0.00359945,1.01743286
-5.45372686,2.08022168,0.12837633,0.00000000,0.92177034,0.82481339,0.00340007,0.96838227
-5.44772386,1.99412682,0.12553411,0.00000000,0.87706669,0.78538868,0.00320062,0.91718277
-5.44172086,1.90341953,0.12222274,0.00000000,0.83012508,0.74446739,0.00300147,0.86436164
-5.43571786,1.80887922,0.11846550,0.00000000,0.78149362,0.70243635,0.00280320,0.81046709
-5.42971486,1.71134600,0.11429353,0.00000000,0.73173601,0.65969420,0.00260655,0.75605316
-5.42371186,1.61169930,0.10974515,0.00000000,0.68141632,0.61664125,0.00241242,0.70166508
-5.41770885,1.51083628,0.10486498,0.00000000,0.63108457,0.57366978,0.00222180,0.64782592
-5.41170585,1.40965086,0.09970292,0.00000000,0.58126391,0.53115537,0.00203572,0.59502485
-5.40570285,1.30901427,0.09431294,0.00000000,0.53243945,0.48944941,0.00185526,0.54370750
