energy_ev,total_up,As_p_up,As_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,0.77242093,0.15605644,0.00000000,0.63923464,0.34828646,0.00588956,0.22899496
-5.99399700,0.77720602,0.15150177,0.00000000,0.61809771,0.35531461,0.00633759,0.23514739
-5.98799400,0.78601858,0.14766896,0.00000000,0.59971487,0.36412329,0.00684558,0.24276369
-5.98199100,0.79946999,0.14467028,0.00000000,0.58458056,0.37500041,0.00741745,0.25202727
-5.97598799,0.81814738,0.14261523,0.00000000,0.57317557,0.38822320,0.00805628,0.26310856
-5.96998499,0.84258791,0.14160710,0.00000000,0.56594774,0.40404699,0.00876406,0.27615554
-5.96398199,0.87325528,0.14174000,0.00000000,0.56329428,0.42269513,0.00954149,0.29128494
-5.95797899,0.91051943,0.14309657,0.00000000,0.56554608,0.44435047,0.01038780,0.30857433
-5.95197599,0.95464030,0.14574647,0.00000000,0.57295458,0.46914864,0.01130067,0.32805557
-5.94597299,1.00575615,0.14974546,0.00000000,0.58568149,0.49717365,0.01227614,0.34970992
-5.93996998,1.06387706,0.15513540,0.00000000,0.60379160,0.52845585,0.01330862,0.37346498
-5.93396698,1.12888376,0.16194476,0.00000000,0.62724887,0.56297232,0.01439104,0.39919365
-5.92796398,1.20053163,0.17018981,0.00000000,0.65591578,0.60064967,0.01551497,0.42671530
-5.92196098,1.27845981,0.17987624,0.00000000,0.68955599,0.64136889,0.01667087,0.45579900
-5.91595798,1.36220455,0.19100109,0.00000000,0.72783999,0.68497206,0.01784839,0.48616880
-5.90995498,1.45121626,0.20355479,0.00000000,0.77035350,0.73127037,0.01903672,0.51751083
-5.90395198,1.54487904,0.21752313,0.00000000,0.81660824,0.78005279,0.02022497,0.54948197
-5.89794897,1.64253172,0.23288893,0.00000000,0.86605452,0.83109493,0.02140255,0.58171960
-5.89194597,1.74348887,0.24963326,0.00000000,0.91809508,0.88416737,0.02255962,0.61385220
-5.88594297,1.84706092,0.26773599,0.00000000,0.97209956,0.93904278,0.02368738,0.64551010
-5.87993997,1.95257169,0.28717554,0.00000000,1.02741896,0.99550138,0.02477847,0.67633607
-5.87393697,2.05937271,0.30792773,0.00000000,1.08339938,1.05333415,0.02582716,0.70599515
-5.86793397,2.16685322,0.32996374,0.00000000,1.13939459,1.11234367,0.02682960,0.73418332
-5.86193097,2.27444530,0.35324716,0.00000000,1.19477681,1.17234224,0.02778386,0.76063470
-5.85592796,2.38162412,0.37773023,0.00000000,1.24894546,1.23314757,0.02868990,0.78512679
-5.84992496,2.48790325,0.40334953,0.00000000,1.30133360,1.29457612,0.02954952,0.80748384
-5.84392196,2.59282562,0.43002128,0.00000000,1.35141201,1.35643473,0.03036609,0.82757800
-5.83791896,2.69595108,0.45763660,0.00000000,1.39869116,1.41851109,0.03114426,0.84532848
-5.83191596,2.79684164,0.48605712,0.00000000,1.44272122,1.48056382,0.03188959,0.86069889
-5.82591296,2.89504584,0.51511119,0.00000000,1.48309077,1.54231315,0.03260812,0.87369288
-5.81990995,2.99008383,0.54459124,0.00000000,1.51942450,1.60343297,0.03330592,0.88434859
-5.81390695,3.08143459,0.57425250,0.00000000,1.55138077,1.66354520,0.03398856,0.89273232
-5.80790395,3.16852690,0.60381339,0.00000000,1.57864956,1.72221729,0.03466075,0.89893172
-5.80190095,3.25073524,0.63295791,0.00000000,1.60095128,1.77896334,0.03532582,0.90304919
-5.79589795,3.32738158,0.66134001,0.00000000,1.61803716,1.83324936,0.03598548,0.90519568
-5.78989495,3.39774369,0.68859001,0.00000000,1.62969133,1.88450284,0.03663948,0.90548548
-5.78389195,3.46107001,0.71432299,0.00000000,1.63573478,1.93212641,0.03728547,0.90403207
-5.77788894,3.51660083,0.73814883,0.00000000,1.63603128,1.97551526,0.03791895,0.90094544
-5.77188594,3.56359494,0.75968361,0.00000000,1.63049475,2.01407775,0.03853331,0.89633078
-5.76588294,3.60136051,0.77856196,0.00000000,1.61909785,2.04725810,0.03912000,0.89028867
-5.75987994,3.62928875,0.79444967,0.00000000,1.60188098,2.07456041,0.03966881,0.88291657
-5.75387694,3.64688834,0.80705616,0.00000000,1.57896106,2.09557250,0.04016819,0.87431134
-5.74787394,3.65381892,0.81614616,0.00000000,1.55053924,2.10998861,0.04060568,0.86457266
-5.74187094,3.64992148,0.82154997,0.00000000,1.51690677,2.11762952,0.04096841,0.85380684
-5.73586793,3.63524382,0.82317186,0.00000000,1.47844823,2.11845908,0.04124361,0.84213080
-5.72986493,3.61005946,0.82099608,0.00000000,1.43564170,2.11259615,0.04141910,0.82967569
-5.72386193,3.57487859,0.81509025,0.00000000,1.38905514,2.10032110,0.04148380,0.81658992
-5.71785893,3.53045014,0.80560582,0.00000000,1.33933908,2.08207645,0.04142819,0.80304128
-5.71185593,3.47775433,0.79277550,0.00000000,1.28721546,2.05846123,0.04124475,0.78921774
-5.70585293,3.41798573,0.77690789,0.00000000,1.23346281,2.03021923,0.04092825,0.77532698
-5.69984992,3.35252713,0.75837924,0.00000000,1.17889846,1.99822136,0.04047602,0.76159435
-5.69384692,3.28291506,0.73762290,0.00000000,1.12435817,1.96344260,0.03988811,0.74825930
-5.68784392,3.21079809,0.71511666,0.00000000,1.07067420,1.92693453,0.03916733,0.73557038
-5.68184092,3.13788957,0.69136867,0.00000000,1.01865257,1.88979417,0.03831921,0.72377895
-5.67583792,3.06591645,0.66690234,0.00000000,0.96905058,1.85313047,0.03735186,0.71313171
-5.66983492,2.99656617,0.64224091,0.00000000,0.92255544,1.81802963,0.03627575,0.70386255
-5.66383192,2.93143376,0.61789216,0.00000000,0.87976497,1.78552047,0.03510336,0.69618388
-5.65782891,2.87197114,0.59433406,0.00000000,0.84117117,1.75654132,0.03384887,0.69027791
-5.65182591,2.81944059,0.57200155,0.00000000,0.80714720,1.73190960,0.03252768,0.68628832
-5.64582291,2.77487443,0.55127525,0.00000000,0.77793850,1.71229529,0.03115600,0.68431272
-5.63981991,2.73904234,0.53247223,0.00000000,0.75365810,1.69819943,0.02975037,0.68439628
-5.63381691,2.71242792,0.51583931,0.00000000,0.73428649,1.68993849,0.02832719,0.68652702
-5.62781391,2.69521541,0.50154892,0.00000000,0.71967591,1.68763529,0.02690234,0.69063300
-5.62181091,2.68728729,0.48969777,0.00000000,0.70955884,1.69121696,0.02549073,0.69658174
-5.61580790,2.68823309,0.48030818,0.00000000,0.70356035,1.70042023,0.02410600,0.70418205
-5.60980490,2.69736917,0.47333194,0.00000000,0.70121384,1.71480369,0.02276026,0.71318835
