energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.85473481,0.01123857,0.25165377,0.98282690,1.28889050,0.01038907,0.90209538,0.54706743,0.44537326
-5.99399700,2.82270479,0.01103663,0.24930597,0.98189235,1.26627182,0.01054292,0.89054410,0.54738064,0.44456058
-5.98799400,2.79321349,0.01078165,0.24738356,0.98181536,1.24568177,0.01068239,0.88001674,0.54875861,0.44316624
-5.98199100,2.76612692,0.01047867,0.24585663,0.98254090,1.22709305,0.01080489,0.87054534,0.55121296,0.44110560
-5.97598799,2.74127845,0.01013359,0.24469505,0.98401261,1.21043760,0.01090795,0.86214082,0.55473749,0.43831384
-5.96998499,2.71847368,0.00975306,0.24386829,0.98616870,1.19561180,0.01098923,0.85479150,0.55930528,0.43474816
-5.96398199,2.69749279,0.00934417,0.24334475,0.98893681,1.18248121,0.01104661,0.84846138,0.56486579,0.43038865
-5.95797899,2.67809036,0.00891426,0.24309080,0.99222801,1.17088464,0.01107827,0.84308843,0.57134235,0.42523794
-5.95197599,2.65999366,0.00847066,0.24306970,0.99593102,1.16063760,0.01108272,0.83858323,0.57863014,0.41931967
-5.94597299,2.64289989,0.00802048,0.24324055,0.99990700,1.15153524,0.01105882,0.83482823,0.58659523,0.41267605
-5.93996998,2.62647351,0.00757040,0.24355732,1.00398573,1.14335491,0.01100585,0.83167786,0.59507475,0.40536453
-5.93396698,2.61034446,0.00712649,0.24396824,1.00796365,1.13585871,0.01092344,0.82895989,0.60387844,0.39745403
-5.92796398,2.59410817,0.00669411,0.24441560,1.01160414,1.12879615,0.01081165,0.82647793,0.61279173,0.38902094
-5.92196098,2.57732800,0.00627777,0.24483593,1.01464030,1.12190731,0.01067091,0.82401535,0.62158021,0.38014512
-5.91595798,2.55954056,0.00588110,0.24516082,1.01678020,1.11492654,0.01050202,0.82134057,0.62999548,0.37090607
-5.90995498,2.54026413,0.00550685,0.24531810,1.01771448,1.10758697,0.01030612,0.81821338,0.63778213,0.36137972
-5.90395198,2.51900994,0.00515690,0.24523356,1.01712595,1.09962575,0.01008470,0.81439229,0.64468549,0.35163570
-5.89794897,2.49529603,0.00483232,0.24483296,1.01470066,1.09078994,0.00983952,0.80964241,0.65045986,0.34173541
-5.89194597,2.46866293,0.00453351,0.24404434,1.01013984,1.08084298,0.00957263,0.80374358,0.65487675,0.33173077
-5.88594297,2.43869030,0.00426022,0.24280037,1.00317205,1.06957131,0.00928631,0.79649820,0.65773270,0.32166380
-5.87993997,2.40501358,0.00401175,0.24104074,0.99356475,1.05679093,0.00898304,0.78773847,0.65885628,0.31156684
-5.87393697,2.36733956,0.00378704,0.23871429,0.98113475,1.04235347,0.00866550,0.77733258,0.65811395,0.30146334
-5.86793397,2.32545993,0.00358480,0.23578092,0.96575672,1.02615140,0.00833649,0.76518952,0.65541434,0.29136915
-5.86193097,2.27926184,0.00340362,0.23221309,0.94736956,1.00812208,0.00799892,0.75126225,0.65071097,0.28129410
-5.85592796,2.22873496,0.00324206,0.22799677,0.92598007,0.98825029,0.00765576,0.73554914,0.64400309,0.27124375
-5.84992496,2.17397439,0.00309874,0.22313198,0.90166389,0.96656907,0.00731000,0.71809358,0.63533483,0.26122118
-5.84392196,2.11517942,0.00297241,0.21763273,0.87456363,0.94315881,0.00696460,0.69898185,0.62479261,0.25122864
-5.83791896,2.05264818,0.00286194,0.21152648,0.84488453,0.91814458,0.00662245,0.67833949,0.61250117,0.24126910
-5.83191596,1.98676857,0.00276637,0.20485321,0.81288774,0.89169175,0.00628633,0.65632629,0.59861835,0.23134748
-5.82591296,1.91800600,0.00268489,0.19766402,0.77888186,0.86400031,0.00595885,0.63313041,0.58332914,0.22147156
-5.81990995,1.84688885,0.00261680,0.19001956,0.74321315,0.83529797,0.00564241,0.60896178,0.56683912,0.21165267
-5.81390695,1.77399236,0.00256151,0.18198821,0.70625504,0.80583268,0.00533918,0.58404537,0.54936795,0.20190600
-5.80790395,1.69992211,0.00251845,0.17364423,0.66839741,0.77586471,0.00505106,0.55861454,0.53114295,0.19225068
-5.80190095,1.62529766,0.00248704,0.16506591,0.63003623,0.74565896,0.00477966,0.53290486,0.51239335,0.18270966
-5.79589795,1.55073750,0.00246665,0.15633381,0.59156404,0.71547768,0.00452629,0.50714865,0.49334527,0.17330934
