energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,15.58358738,1.34794803,5.94826502,0.02727558,1.34065152,6.76580666,5.51899159,0.08142163,2.25359192
-5.99399700,15.56139158,1.33107803,5.94651178,0.02773771,1.34461992,6.72877295,5.49931290,0.08391997,2.24890909
-5.98799400,15.54153027,1.31451445,5.94104838,0.02814689,1.34977840,6.70788314,5.48270897,0.08643907,2.24391902
-5.98199100,15.52621421,1.29866662,5.93325129,0.02849705,1.35617385,6.70345585,5.46966121,0.08896344,2.23903019
-5.97598799,15.51730277,1.28387454,5.92446394,0.02878217,1.36381348,6.71541216,5.46048672,0.09147417,2.23458723
-5.96998499,15.51620176,1.27039334,5.91594057,0.02899633,1.37266011,6.74324745,5.45531606,0.09394911,2.23085040
-5.96398199,15.52377529,1.25838198,5.90879180,0.02913387,1.38262838,6.78601465,5.45407663,0.09636311,2.22797917
-5.95797899,15.54027551,1.24789670,5.90393452,0.02918948,1.39358212,6.84232014,5.45648220,0.09868847,2.22602035
-5.95197599,15.56529405,1.23888945,5.90204815,0.02915837,1.40533294,6.91033325,5.46202935,0.10089545,2.22490180
-5.94597299,15.59773801,1.23121132,5.90353968,0.02903643,1.41764039,6.98780993,5.47000131,0.10295291,2.22443172
-5.93996998,15.63583269,1.22462069,5.90851928,0.02882035,1.43021361,7.07213080,5.47947940,0.10482911,2.22430387
-5.93396698,15.67715228,1.21879569,5.91678799,0.02850783,1.44271495,7.16035306,5.48936218,0.10649245,2.22410832
-5.92796398,15.71867856,1.21335017,5.92783851,0.02809770,1.45476528,7.24927560,5.49839205,0.10791233,2.22334735
-5.92196098,15.75688653,1.20785253,5.94086962,0.02759006,1.46595135,7.33551578,5.50518880,0.10906003,2.22145573
-5.91595798,15.78785461,1.20184626,5.95481394,0.02698638,1.47583499,7.41559598,5.50828929,0.10990949,2.21782444
-5.90995498,15.80739601,1.19487139,5.96837828,0.02628962,1.48396399,7.48603746,5.50619222,0.11043810,2.21182672
-5.90395198,15.81120650,1.18648572,5.98009503,0.02550423,1.48988454,7.54345875,5.49740652,0.11062738,2.20284530
-5.89794897,15.79502326,1.17628490,5.98838256,0.02463618,1.49315482,7.58467518,5.48050184,0.11046357,2.19029952
-5.89194597,15.75478839,1.16392051,5.99161210,0.02369290,1.49335930,7.60679640,5.45415923,0.10993809,2.17367114
-5.88594297,15.68681060,1.14911544,5.98817800,0.02268320,1.49012328,7.60731808,5.41722026,0.10904779,2.15252777
-5.87993997,15.58791812,1.13167593,5.97656836,0.02161716,1.48312710,7.58420469,5.36873245,0.10779517,2.12654293
-5.87393697,15.45559645,1.11149999,5.95543257,0.02050590,1.47211933,7.53596001,5.30798934,0.10618836,2.09551188
-5.86793397,15.28810487,1.08858194,5.92364279,0.01936144,1.45692855,7.46168284,5.23456333,0.10424092,2.05936280
-5.86193097,15.08456660,1.06301312,5.88034636,0.01819642,1.43747289,7.36110557,5.14833003,0.10197158,2.01816284
-5.85592796,14.84502874,1.03497897,5.82500674,0.01702390,1.41376713,7.23461441,5.04948278,0.09940382,1.97211901
-5.84992496,14.57048929,1.00475284,5.75743121,0.01585704,1.38592674,7.08325038,4.93853698,0.09656526,1.92157406
-5.84392196,14.26289039,0.97268690,5.67778409,0.01470893,1.35416883,6.90869133,4.81632366,0.09348712,1.86699775
-5.83791896,13.92507812,0.93920086,5.58658501,0.01359228,1.31880970,6.71321578,4.68397275,0.09020347,1.80897390
-5.83191596,13.56073092,0.90476905,5.48469277,0.01251924,1.28025927,6.49965039,4.54288665,0.08675052,1.74818409
-5.82591296,13.17426021,0.86990644,5.37327565,0.01150121,1.23901243,6.27130310,4.39470523,0.08316594,1.68538865
-5.81990995,12.77068766,0.83515432,5.25376994,0.01054866,1.19563769,6.03188495,4.24126371,0.07948811,1.62140587
-5.81390695,12.35550468,0.80106602,5.12782911,0.00967100,1.15076376,5.78542342,4.08454519,0.07575545,1.55709019
-5.80790395,11.93452031,0.76819338,4.99726601,0.00887648,1.10506435,5.53617060,3.92662972,0.07200588,1.49331023
-5.80190095,11.51370363,0.73707408,4.86399115,0.00817217,1.05924208,5.28850943,3.76964187,0.06827624,1.43092741
-5.79589795,11.09902716,0.70822032,4.72994991,0.00756382,1.01401193,5.04686069,3.61569884,0.06460186,1.37077569
-5.78989495,10.69631667,0.68210881,4.59706145,0.00705592,0.97008499,4.81559366,3.46686080,0.06101622,1.31364304
-5.78389195,10.31111281,0.65917239,4.46716190,0.00665167,0.92815295,4.59894231,3.32508515,0.05755067,1.26025507
-5.77788894,9.94854833,0.63979295,4.34195388,0.00635296,0.88887395,4.40092870,3.19218594,0.05423425,1.21126089
-5.77188594,9.61324416,0.62429595,4.22296401,0.00616041,0.85286010,4.22529466,3.06979954,0.05109353,1.16722153
-5.76588294,9.30922627,0.61294602,4.11150952,0.00607337,0.82066687,4.07544232,2.95935709,0.04815258,1.12860087
-5.75987994,9.03986406,0.60594390,4.00867444,0.00608994,0.79278479,3.95438348,2.86206422,0.04543291,1.09575897
-5.75387694,8.80783030,0.60342437,3.91529539,0.00620696,0.76963311,3.86469763,2.77888784,0.04295345,1.06894790
-5.74787394,8.61508153,0.60545508,3.83195656,0.00642005,0.75155571,3.80849818,2.71054995,0.04073055,1.04830971
-5.74187094,8.46285732,0.61203645,3.75899290,0.00672363,0.73881902,3.78740620,2.65752793,0.03877794,1.03387650
-5.73586793,8.35169620,0.62310229,3.69650044,0.00711093,0.73161161,3.80253123,2.62006059,0.03710671,1.02557251
-5.72986493,8.28146603,0.63852151,3.64435248,0.00757405,0.73004551,3.85445863,2.59815936,0.03572521,1.02321792
-5.72386193,8.25140611,0.65810077,3.60222004,0.00810399,0.73415869,3.94324325,2.59162377,0.03463895,1.02653449
-5.71785893,8.26017871,0.68158815,3.56959539,0.00869080,0.74391870,4.06840936,2.60006037,0.03385048,1.03515279
-5.71185593,8.30592770,0.70867811,3.54581723,0.00932360,0.75922706,4.22895707,2.62290430,0.03335921,1.04862103
-5.70585293,8.38634229,0.73901749,3.53009644,0.00999082,0.77992425,4.42337549,2.65944267,0.03316126,1.06641532
-5.69984992,8.49872384,0.77221287,3.52154156,0.01068031,0.80579508,4.64966322,2.70883908,0.03324931,1.08795145
-5.69384692,8.64005449,0.80783893,3.51918308,0.01137955,0.83657426,4.90535648,2.77015842,0.03361240,1.11259780
-5.68784392,8.80706581,0.84544788,3.52199633,0.01207596,0.87195208,5.18756527,2.84239132,0.03423590,1.13968941
-5.68184092,8.99630661,0.88457959,3.52892254,0.01275705,0.91158001,5.49301757,2.92447768,0.03510144,1.16854281
-5.67583792,9.20420853,0.92477219,3.53888799,0.01341077,0.95507612,5.81811135,3.01532845,0.03618698,1.19847133
-5.66983492,9.42714836,0.96557262,3.55082135,0.01402575,1.00203028,6.15897368,3.11384527,0.03746692,1.22880052
-5.66383192,9.66150621,1.00654683,3.56366935,0.01459157,1.05200899,6.51152580,3.21893728,0.03891238,1.25888309
-5.65782891,9.90371828,1.04728896,3.57641092,0.01509904,1.10455975,6.87155254,3.32953479,0.04049157,1.28811302
-5.65182591,10.15032356,1.08742912,3.58807017,0.01554037,1.15921502,7.23477412,3.44459931,0.04217025,1.31593823
-5.64582291,10.39800338,1.12663936,3.59772822,0.01590937,1.21549545,7.59691813,3.56312977,0.04391235,1.34187131
-5.63981991,10.64361339,1.16463734,3.60453424,0.01620160,1.27291269,7.95378921,3.68416487,0.04568066,1.36549787
-5.63381691,10.88420737,1.20118749,3.60771573,0.01641442,1.33097147,8.30133407,3.80678164,0.04743759,1.38648216
-5.62781391,11.11705289,1.23609968,3.60658809,0.01654701,1.38917112,8.63569968,3.93009053,0.04914599,1.40456971
-5.62181091,11.33963897,1.26922520,3.60056342,0.01660034,1.44700669,8.95328290,4.05322749,0.05077000,1.41958684
-5.61580790,11.54967651,1.30045051,3.58915863,0.01657704,1.50396960,9.25077015,4.17534392,0.05227590,1.43143719
-5.60980490,11.74509239,1.32968908,3.57200245,0.01648130,1.55954817,9.52516649,4.29559520,0.05363286,1.44009538
-5.60380190,11.92401888,1.35687173,3.54884140,0.01631861,1.61322825,9.77381434,4.41312898,0.05481371,1.44559827
-5.59779890,12.08477989,1.38193641,3.51954433,0.01609556,1.66449412,9.99440233,4.52707440,0.05579550,1.44803436
-5.59179590,12.22587615,1.40481792,3.48410541,0.01581960,1.71283003,10.18496587,4.63653327,0.05656002,1.44753189
-5.58579290,12.34597137,1.42543852,3.44264533,0.01549876,1.75772263,10.34388125,4.74057449,0.05709413,1.44424639
-5.57978989,12.44388130,1.44370000,3.39541057,0.01514140,1.79866459,10.46985552,4.83823271,0.05738989,1.43834853
-5.57378689,12.51856765,1.45947817,3.34277051,0.01475596,1.83515952,10.56191455,4.92851190,0.05744460,1.43001279
-5.56778389,12.56913814,1.47261992,3.28521253,0.01435074,1.86672835,10.61939153,5.01039462,0.05726062,1.41940778
-5.56178089,12.59485377,1.48294361,3.22333490,0.01393372,1.89291728,10.64191787,5.08285693,0.05684507,1.40668873
-5.55577789,12.59514367,1.49024258,3.15783776,0.01351241,1.91330700,10.62941804,5.14488911,0.05620937,1.39199243
-5.54977489,12.56962719,1.49429192,3.08951218,0.01309374,1.92752312,10.58210895,5.19552138,0.05536869,1.37543498
-5.54377189,12.51814235,1.49485813,3.01922773,0.01268400,1.93524733,10.50050419,5.23385393,0.05434133,1.35711226
-5.53776888,12.44077895,1.49171108,2.94791872,0.01228879,1.93622893,10.38542205,5.25908996,0.05314804,1.33710300
-5.53176588,12.33791426,1.48463756,2.87656954,0.01191306,1.93029605,10.23799611,5.27057018,0.05181128,1.31547414
-5.52576288,12.21024853,1.47345565,2.80619944,0.01156113,1.91736592,10.05968610,5.26780710,0.05035462,1.29228785
-5.51975988,12.05883756,1.45802892,2.73784721,0.01123673,1.89745363,9.85228661,5.25051724,0.04880203,1.26760975
-5.51375688,11.88511924,1.43827948,2.67255591,0.01094311,1.87067865,9.61793080,5.21864940,0.04717730,1.24151752
-5.50775388,11.69093124,1.41419905,2.61135834,0.01068307,1.83726855,9.35908656,5.17240731,0.04550360,1.21410923
-5.50175088,11.47851733,1.38585735,2.55526310,0.01045903,1.79755945,9.07854265,5.11226505,0.04380298,1.18551076
-5.49574787,11.25052033,1.35340701,2.50524189,0.01027314,1.75199287,8.77938301,5.03897406,0.04209613,1.15588158
-5.48974487,11.00996034,1.31708482,2.46221791,0.01012724,1.70110894,8.46494828,4.95356088,0.04040211,1.12541858
-5.48374187,10.76019776,1.27720909,2.42705560,0.01002297,1.64553578,8.13878432,4.85731522,0.03873824,1.09435739
-5.47773887,10.50488145,1.23417321,2.40055173,0.00996170,1.58597564,7.80457849,4.75176846,0.03712001,1.06297121
-5.47173587,10.24788312,1.18843574,2.38342782,0.00994455,1.52318798,7.46608568,4.63866308,0.03556110,1.03156707
-5.46573287,9.99322004,1.14050765,2.37632374,0.00997237,1.45797028,7.12704649,4.51991407,0.03407344,1.00047957
-5.45972986,9.74496871,1.09093732,2.37979251,0.01004568,1.39113734,6.79110118,4.39756366,0.03266729,0.97006271
-5.45372686,9.50717265,1.04029418,2.39429600,0.01016459,1.32349992,6.46170306,4.27373108,0.03135132,0.94067987
-5.44772386,9.28374787,0.98915188,2.42020142,0.01032881,1.25584362,6.14203560,4.15055933,0.03013277,0.91269283
-5.44172086,9.07838970,0.93807182,2.45777844,0.01053755,1.18890900,5.83493717,4.03016094,0.02901753,0.88645019
-5.43571786,8.89448457,0.88758787,2.50719667,0.01078950,1.12337371,5.54283726,3.91456484,0.02801025,0.86227587
-5.42971486,8.73503008,0.83819301,2.56852353,0.01108282,1.05983741,5.26770725,3.80566636,0.02711443,0.84045835
-5.42371186,8.60256618,0.79032838,2.64172207,0.01141509,0.99881008,5.01102820,3.70518200,0.02633249,0.82124097
-5.41770885,8.49911982,0.74437513,2.72664906,0.01178342,0.94070410,4.77377696,3.61461081,0.02566582,0.80481402
