energy_ev,total_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.82092730,0.44637846,0.82731412,0.59980516,0.00000000,0.01995571,0.21591668,0.87465455,0.00000000
-5.99399700,1.80518976,0.44138590,0.82197760,0.58988495,0.00000000,0.01992945,0.21377228,0.86986393,0.00000000
-5.98799400,1.78915755,0.43650555,0.81627932,0.58040446,0.00000000,0.01993692,0.21140492,0.86485404,0.00000000
-5.98199100,1.77211328,0.43155611,0.80990765,0.57111713,0.00000000,0.01995886,0.20874899,0.85925606,0.00000000
-5.97598799,1.75332427,0.42634947,0.80254900,0.56176471,0.00000000,0.01997592,0.20573646,0.85269755,0.00000000
-5.96998499,1.73208658,0.42070253,0.79390651,0.55209308,0.00000000,0.01996940,0.20230140,0.84482460,0.00000000
-5.96398199,1.70776760,0.41444837,0.78371837,0.54186748,0.00000000,0.01992199,0.19838451,0.83532298,0.00000000
-5.95797899,1.67984475,0.40744649,0.77177432,0.53088658,0.00000000,0.01981834,0.19393709,0.82393722,0.00000000
-5.95197599,1.64793844,0.39959124,0.75792981,0.51899455,0.00000000,0.01964562,0.18892453,0.81048658,0.00000000
-5.94597299,1.61183743,0.39081842,0.74211672,0.50609061,0.00000000,0.01939388,0.18332896,0.79487717,0.00000000
-5.93996998,1.57151543,0.38110947,0.72435016,0.49213578,0.00000000,0.01905629,0.17715103,0.77710960,0.00000000
-5.93396698,1.52713827,0.37049326,0.70473111,0.47715639,0.00000000,0.01862930,0.17041073,0.75728181,0.00000000
-5.92796398,1.47906147,0.35904543,0.68344467,0.46124441,0.00000000,0.01811258,0.16314722,0.73558705,0.00000000
-5.92196098,1.42781841,0.34688531,0.66075413,0.44455472,0.00000000,0.01750890,0.15541767,0.71230728,0.00000000
-5.91595798,1.37410019,0.33417080,0.63699127,0.42729944,0.00000000,0.01682386,0.14729543,0.68780224,0.00000000
-5.90995498,1.31872810,0.32109143,0.61254329,0.40973977,0.00000000,0.01606553,0.13886731,0.66249495,0.00000000
-5.90395198,1.26262043,0.30785998,0.58783733,0.39217582,0.00000000,0.01524405,0.13023045,0.63685447,0.00000000
-5.89794897,1.20675538,0.29470318,0.56332310,0.37493482,0.00000000,0.01437113,0.12148882,0.61137659,0.00000000
-5.89194597,1.15213175,0.28185204,0.53945479,0.35835847,0.00000000,0.01345955,0.11274955,0.58656370,0.00000000
-5.88594297,1.09972947,0.26953203,0.51667282,0.34278973,0.00000000,0.01252266,0.10411925,0.56290453,0.00000000
-5.87993997,1.05047162,0.25795385,0.49538651,0.32855988,0.00000000,0.01157390,0.09570062,0.54085481,0.00000000
-5.87393697,1.00518962,0.24730503,0.47595828,0.31597605,0.00000000,0.01062635,0.08758924,0.52081964,0.00000000
-5.86793397,0.96459282,0.23774268,0.45869010,0.30530991,0.00000000,0.00969231,0.07987099,0.50313824,0.00000000
-5.86193097,0.92924373,0.22938778,0.44381257,0.29678764,0.00000000,0.00878299,0.07261982,0.48807169,0.00000000
-5.85592796,0.89953951,0.22232109,0.43147719,0.29058171,0.00000000,0.00790829,0.06589622,0.47579398,0.00000000
-5.84992496,0.87570032,0.21658077,0.42175175,0.28680442,0.00000000,0.00707655,0.05974619,0.46638669,0.00000000
-5.84392196,0.85776448,0.21216184,0.41461918,0.28550359,0.00000000,0.00629449,0.05420083,0.45983729,0.00000000
-5.83791896,0.84559049,0.20901727,0.40997952,0.28666026,0.00000000,0.00556716,0.04927643,0.45604107,0.00000000
-5.83191596,0.83886544,0.20706075,0.40765499,0.29018855,0.00000000,0.00489801,0.04497508,0.45480635,0.00000000
-5.82591296,0.83711915,0.20617084,0.40739767,0.29593759,0.00000000,0.00428891,0.04128565,0.45586282,0.00000000
-5.81990995,0.83974343,0.20619625,0.40889953,0.30369538,0.00000000,0.00374035,0.03818507,0.45887241,0.00000000
-5.81390695,0.84601539,0.20696221,0.41180423,0.31319463,0.00000000,0.00325157,0.03563999,0.46344229,0.00000000
-5.80790395,0.85512396,0.20827738,0.41572028,0.32412018,0.00000000,0.00282078,0.03360846,0.46913949,0.00000000
-5.80190095,0.86619854,0.20994127,0.42023490,0.33611797,0.00000000,0.00244533,0.03204183,0.47550646,0.00000000
-5.79589795,0.87833878,0.21175177,0.42492825,0.34880527,0.00000000,0.00212198,0.03088669,0.48207711,0.00000000
-5.78989495,0.89064449,0.21351250,0.42938726,0.36178192,0.00000000,0.00184704,0.03008673,0.48839275,0.00000000
-5.78389195,0.90224467,0.21503989,0.43321889,0.37464227,0.00000000,0.00161662,0.02958466,0.49401735,0.00000000
-5.77788894,0.91232495,0.21616962,0.43606213,0.38698745,0.00000000,0.00142681,0.02932393,0.49855173,0.00000000
-5.77188594,0.92015237,0.21676234,0.43759858,0.39843770,0.00000000,0.00127380,0.02925041,0.50164617,0.00000000
-5.76588294,0.92509711,0.21670851,0.43756118,0.40864433,0.00000000,0.00115407,0.02931386,0.50301122,0.00000000
-5.75987994,0.92665042,0.21593214,0.43574094,0.41730098,0.00000000,0.00106448,0.02946931,0.50242629,0.00000000
-5.75387694,0.92443840,0.21439357,0.43199157,0.42415373,0.00000000,0.00100240,0.02967813,0.49974589,0.00000000
-5.74787394,0.91823132,0.21209102,0.42623183,0.42900977,0.00000000,0.00096574,0.02990904,0.49490345,0.00000000
-5.74187094,0.90794834,0.20906109,0.41844578,0.43174435,0.00000000,0.00095301,0.03013879,0.48791258,0.00000000
-5.73586793,0.89365758,0.20537806,0.40868089,0.43230567,0.00000000,0.00096338,0.03035266,0.47886592,0.00000000
-5.72986493,0.87557179,0.20115225,0.39704425,0.43071746,0.00000000,0.00099666,0.03054471,0.46793160,0.00000000
-5.72386193,0.85403972,0.19652728,0.38369713,0.42707931,0.00000000,0.00105327,0.03071780,0.45534761,0.00000000
-5.71785893,0.82953370,0.19167650,0.36884803,0.42156449,0.00000000,0.00113423,0.03088335,0.44141414,0.00000000
-5.71185593,0.80263383,0.18679858,0.35274466,0.41441540,0.00000000,0.00124111,0.03106084,0.42648440,0.00000000
-5.70585293,0.77400937,0.18211245,0.33566522,0.40593680,0.00000000,0.00137590,0.03127709,0.41095395,0.00000000
-5.69984992,0.74439793,0.17785160,0.31790902,0.39648690,0.00000000,0.00154098,0.03156534,0.39524917,0.00000000
-5.69384692,0.71458314,0.17425796,0.29978720,0.38646673,0.00000000,0.00173895,0.03196400,0.37981493,0.00000000
-5.68784392,0.68537141,0.17157543,0.28161345,0.37630801,0.00000000,0.00197252,0.03251536,0.36510207,0.00000000
-5.68184092,0.65756847,0.17004313,0.26369532,0.36645994,0.00000000,0.00224435,0.03326402,0.35155469,0.00000000
-5.67583792,0.63195637,0.16988860,0.24632613,0.35737540,0.00000000,0.00255690,0.03425526,0.33959791,0.00000000
-5.66983492,0.60927142,0.17132096,0.22977788,0.34949684,0.00000000,0.00291224,0.03553329,0.32962616,0.00000000
-5.66383192,0.59018371,0.17452428,0.21429512,0.34324240,0.00000000,0.00331188,0.03713942,0.32199227,0.00000000
-5.65782891,0.57527871,0.17965122,0.20009002,0.33899276,0.00000000,0.00375660,0.03911034,0.31699775,0.00000000
-5.65182591,0.56504125,0.18681703,0.18733865,0.33707888,0.00000000,0.00424627,0.04147638,0.31488436,0.00000000
-5.64582291,0.55984239,0.19609435,0.17617843,0.33777128,0.00000000,0.00477971,0.04425990,0.31582711,0.00000000
-5.63981991,0.55992940,0.20750857,0.16670683,0.34127100,0.00000000,0.00535456,0.04747385,0.31992907,0.00000000
-5.63381691,0.56541906,0.22103436,0.15898118,0.34770261,0.00000000,0.00596718,0.05112065,0.32721783,0.00000000
-5.62781391,0.57629453,0.23659320,0.15301955,0.35710943,0.00000000,0.00661259,0.05519122,0.33764403,0.00000000
-5.62181091,0.59240568,0.25405228,0.14880252,0.36945122,0.00000000,0.00728449,0.05966447,0.35108177,0.00000000
-5.61580790,0.61347320,0.27322486,0.14627590,0.38460431,0.00000000,0.00797525,0.06450707,0.36733114,0.00000000
-5.60980490,0.63909604,0.29387218,0.14535402,0.40236432,0.00000000,0.00867605,0.06967374,0.38612270,0.00000000
-5.60380190,0.66876231,0.31570702,0.14592371,0.42245128,0.00000000,0.00937701,0.07510780,0.40712392,0.00000000
-5.59779890,0.70186321,0.33839896,0.14784865,0.44451712,0.00000000,0.01006739,0.08074233,0.42994752,0.00000000
-5.59179590,0.73770968,0.36158115,0.15097402,0.46815533,0.00000000,0.01073586,0.08650154,0.45416133,0.00000000
-5.58579290,0.77555122,0.38485864,0.15513136,0.49291236,0.00000000,0.01137077,0.09230264,0.47929956,0.00000000
-5.57978989,0.81459645,0.40781792,0.16014337,0.51830053,0.00000000,0.01196048,0.09805796,0.50487509,0.00000000
-5.57378689,0.85403457,0.43003754,0.16582867,0.54381196,0.00000000,0.01249373,0.10367727,0.53039244,0.00000000
-5.56778389,0.89305717,0.45109923,0.17200628,0.56893304,0.00000000,0.01295995,0.10907034,0.55536085,0.00000000
-5.56178089,0.93087954,0.47059946,0.17849970,0.59315886,0.00000000,0.01334963,0.11414943,0.57930717,0.00000000
-5.55577789,0.96676070,0.48816066,0.18514061,0.61600723,0.00000000,0.01365463,0.11883180,0.60178798,0.00000000
-5.54977489,1.00002148,0.50344191,0.19177191,0.63703159,0.00000000,0.01386841,0.12304205,0.62240047,0.00000000
-5.54377189,1.03005998,0.51614853,0.19825018,0.65583238,0.00000000,0.01398633,0.12671419,0.64079176,0.00000000
-5.53776888,1.05636379,0.52604017,0.20444741,0.67206653,0.00000000,0.01400576,0.12979332,0.65666619,0.00000000
-5.53176588,1.07851864,0.53293714,0.21025209,0.68545465,0.00000000,0.01392616,0.13223699,0.66979040,0.00000000
-5.52576288,1.09621319,0.53672462,0.21556955,0.69578569,0.00000000,0.01374915,0.13401596,0.67999601,0.00000000
-5.51975988,1.10924001,0.53735463,0.22032171,0.70291907,0.00000000,0.01347839,0.13511460,0.68717986,0.00000000
-5.51375688,1.11749273,0.53484568,0.22444622,0.70678412,0.00000000,0.01311948,0.13553068,0.69130198,0.00000000
-5.50775388,1.12095985,0.52928021,0.22789514,0.70737725,0.00000000,0.01267976,0.13527474,0.69238135,0.00000000
-5.50175088,1.11971571,0.52079984,0.23063336,0.70475679,0.00000000,0.01216804,0.13436905,0.69048996,0.00000000
-5.49574787,1.11390913,0.50959889,0.23263666,0.69903619,0.00000000,0.01159432,0.13284619,0.68574539,0.00000000
-5.48974487,1.10375060,0.49591633,0.23388988,0.69037581,0.00000000,0.01096947,0.13074737,0.67830248,0.00000000
-5.48374187,1.08949872,0.48002670,0.23438505,0.67897381,0.00000000,0.01030485,0.12812057,0.66834461,0.00000000
-5.47773887,1.07144665,0.46223034,0.23411979,0.66505684,0.00000000,0.00961200,0.12501866,0.65607492,0.00000000
-5.47173587,1.04990940,0.44284348,0.23309599,0.64887071,0.00000000,0.00890231,0.12149748,0.64170816,0.00000000
-5.46573287,1.02521235,0.42218851,0.23131886,0.63067176,0.00000000,0.00818671,0.11761411,0.62546328,0.00000000
-5.45972986,0.99768171,0.40058495,0.22879644,0.61071912,0.00000000,0.00747541,0.11342524,0.60755728,0.00000000
-5.45372686,0.96763708,0.37834132,0.22553950,0.58926818,0.00000000,0.00677766,0.10898585,0.58820045,0.00000000
-5.44772386,0.93538623,0.35574830,0.22156180,0.56656550,0.00000000,0.00610162,0.10434820,0.56759303,0.00000000
-5.44172086,0.90122216,0.33307320,0.21688076,0.54284511,0.00000000,0.00545421,0.09956101,0.54592328,0.00000000
-5.43571786,0.86542216,0.31055598,0.21151825,0.51832625,0.00000000,0.00484106,0.09466905,0.52336696,0.00000000
-5.42971486,0.82824860,0.28840667,0.20550159,0.49321237,0.00000000,0.00426652,0.08971292,0.50008779,0.00000000
-5.42371186,0.78995089,0.26680423,0.19886446,0.46769120,0.00000000,0.00373363,0.08472909,0.47623887,0.00000000
-5.41770885,0.75076840,0.24589663,0.19164781,0.44193563,0.00000000,0.00324426,0.07975013,0.45196458,0.00000000
-5.41170585,0.71093355,0.22580199,0.18390045,0.41610514,0.00000000,0.00279915,0.07480502,0.42740275,0.00000000
-5.40570285,0.67067488,0.20661057,0.17567936,0.39034749,0.00000000,0.00239809,0.06991961,0.40268676,0.00000000
-5.39969985,0.63021955,0.18838739,0.16704973,0.36480042,0.00000000,0.00204002,0.06511702,0.37794737,0.00000000
-5.39369685,0.58979504,0.17117517,0.15808445,0.33959317,0.00000000,0.00172320,0.06041808,0.35331407,0.00000000
-5.38769385,0.54962990,0.15499754,0.14886342,0.31484757,0.00000000,0.00144533,0.05584167,0.32891579,0.00000000
-5.38169085,0.50995342,0.13986219,0.13947240,0.29067880,0.00000000,0.00120374,0.05140502,0.30488102,0.00000000
-5.37568784,0.47099433,0.12576387,0.13000163,0.26719550,0.00000000,0.00099549,0.04712386,0.28133720,0.00000000
-5.36968484,0.43297866,0.11268721,0.12054434,0.24449952,0.00000000,0.00081747,0.04301256,0.25840963,0.00000000
-5.36368184,0.39612702,0.10060918,0.11119518,0.22268527,0.00000000,0.00066658,0.03908408,0.23621997,0.00000000
-5.35767884,0.36065157,0.08950118,0.10204870,0.20183871,0.00000000,0.00053972,0.03534999,0.21488437,0.00000000
-5.35167584,0.32675297,0.07933090,0.09319805,0.18203628,0.00000000,0.00043394,0.03182030,0.19451171,0.00000000
-5.34567284,0.29461776,0.07006378,0.08473400,0.16334381,0.00000000,0.00034646,0.02850344,0.17520180,0.00000000
-5.33966983,0.26441632,0.06166424,0.07674433,0.14581551,0.00000000,0.00027467,0.02540609,0.15704399,0.00000000
-5.33366683,0.23630174,0.05409674,0.06931368,0.12949336,0.00000000,0.00021625,0.02253317,0.14011618,0.00000000
-5.32766383,0.21040975,0.04732665,0.06252396,0.11440676,0.00000000,0.00016908,0.01988782,0.12448439,0.00000000
-5.32166083,0.18685986,0.04132104,0.05645527,0.10057269,0.00000000,0.00013130,0.01747150,0.11020296,0.00000000
-5.31565783,0.16575769,0.03604948,0.05118728,0.08799636,0.00000000,0.00010128,0.01528413,0.09731538,0.00000000
-5.30965483,0.14719844,0.03148475,0.04680116,0.07667230,0.00000000,0.00007762,0.01332435,0.08585576,0.00000000
-5.30365183,0.13127139,0.02760362,0.04338179,0.06658600,0.00000000,0.00005914,0.01158985,0.07585076,0.00000000
-5.29764882,0.11806514,0.02438766,0.04102029,0.05771581,0.00000000,0.00004482,0.01007777,0.06732207,0.00000000
-5.29164582,0.10767340,0.02182401,0.03981665,0.05003529,0.00000000,0.00003385,0.00878522,0.06028907,0.00000000
-5.28564282,0.10020101,0.01990616,0.03988230,0.04351569,0.00000000,0.00002553,0.00770975,0.05477164,0.00000000
-5.27963982,0.09576974,0.01863476,0.04134253,0.03812852,0.00000000,0.00001931,0.00684994,0.05079293,0.00000000
-5.27363682,0.09452362,0.01801821,0.04433837,0.03384817,0.00000000,0.00001474,0.00620597,0.04838190,0.00000000
-5.26763382,0.09663333,0.01807322,0.04902803,0.03065431,0.00000000,0.00001148,0.00578015,0.04757542,0.00000000
-5.26163082,0.10229935,0.01882516,0.05558743,0.02853407,0.00000000,0.00000926,0.00557744,0.04841981,0.00000000
-5.25562781,0.11175349,0.02030812,0.06420979,0.02748386,0.00000000,0.00000786,0.00560590,0.05097164,0.00000000
-5.24962481,0.12525854,0.02256473,0.07510418,0.02751074,0.00000000,0.00000713,0.00587702,0.05529777,0.00000000
-5.24362181,0.14310573,0.02564559,0.08849266,0.02863320,0.00000000,0.00000696,0.00640604,0.06147439,0.00000000
-5.23761881,0.16560989,0.02960840,0.10460625,0.03088139,0.00000000,0.00000728,0.00721197,0.06958512,0.00000000
-5.23161581,0.19310226,0.03451653,0.12367938,0.03429661,0.00000000,0.00000802,0.00831761,0.07971821,0.00000000
-5.22561281,0.22592076,0.04043737,0.14594317,0.03893019,0.00000000,0.00000917,0.00974928,0.09196276,0.00000000
-5.21960980,0.26439812,0.04744007,0.17161726,0.04484155,0.00000000,0.00001070,0.01153645,0.10640416,0.00000000
-5.21360680,0.30884785,0.05559305,0.20090076,0.05209562,0.00000000,0.00001263,0.01371110,0.12311880,0.00000000
-5.20760380,0.35954858,0.06496108,0.23396220,0.06075958,0.00000000,0.00001495,0.01630688,0.14216839,0.00000000
