energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,5.44580673,0.02008773,0.89332358,0.20436387,2.57732481,2.80657206,0.07491868,1.90551279
-5.99399700,5.58157185,0.01984583,0.91931536,0.20814437,2.62242592,2.88369599,0.07660650,1.94975763
-5.98799400,5.72646103,0.01970718,0.94568904,0.21256707,2.67640649,2.96244926,0.07845528,1.99832606
-5.98199100,5.87885322,0.01967087,0.97211465,0.21757305,2.73890532,3.04177751,0.08046042,2.05076603
-5.97598799,6.03708070,0.01973390,0.99827835,0.22308417,2.80945992,3.12065964,0.08261613,2.10657951
-5.96998499,6.19946163,0.01989124,1.02388937,0.22900487,2.88751363,3.19812978,0.08491547,2.16523176
-5.96398199,6.36433045,0.02013604,1.04868577,0.23522463,2.97242352,3.27329668,0.08735041,2.22616084
-5.95797899,6.53006474,0.02045983,1.07243882,0.24162083,3.06346864,3.34535949,0.08991184,2.28878695
-5.95197599,6.69510751,0.02085274,1.09495571,0.24806200,3.15985814,3.41361953,0.09258956,2.35252137
-5.94597299,6.85798430,0.02130381,1.11608055,0.25441139,3.26073882,3.47748748,0.09537230,2.41677453
-5.93996998,7.01731437,0.02180122,1.13569350,0.26053054,3.36520183,3.53648583,0.09824765,2.48096306
-5.93396698,7.17181619,0.02233263,1.15370824,0.26628304,3.47228855,3.59024670,0.10120200,2.54451566
-5.92796398,7.32030725,0.02288544,1.17006781,0.27153801,3.58099557,3.63850525,0.10422049,2.60687781
-5.92196098,7.46169915,0.02344710,1.18473914,0.27617351,3.69027915,3.68108919,0.10728686,2.66751520
-5.91595798,7.59498859,0.02400542,1.19770670,0.28007952,3.79905944,3.71790525,0.11038343,2.72591607
-5.90995498,7.71924581,0.02454877,1.20896550,0.28316063,3.90622500,3.74892345,0.11349102,2.78159275
-5.90395198,7.83360163,0.02506641,1.21851409,0.28533810,4.01063817,3.77416019,0.11658888,2.83408237
-5.89794897,7.93723462,0.02554865,1.22634791,0.28655157,4.11114174,3.79366128,0.11965471,2.88294725
-5.89194597,8.02935981,0.02598707,1.23245349,0.28676005,4.20656757,3.80748597,0.12266468,2.92777510
-5.88594297,8.10922014,0.02637466,1.23680392,0.28594251,4.29574740,3.81569296,0.12559356,2.96817923
-5.87993997,8.17608178,0.02670595,1.23935582,0.28409772,4.37752616,3.81832914,0.12841484,3.00379913
-5.87393697,8.22923392,0.02697703,1.24004821,0.28124375,4.45077782,3.81542181,0.13110099,3.03430140
-5.86793397,8.26799355,0.02718564,1.23880329,0.27741685,4.51442364,3.80697473,0.13362373,3.05938133
-5.86193097,8.29171521,0.02733107,1.23552906,0.27266997,4.56745238,3.79296803,0.13595443,3.07876506
-5.85592796,8.29980535,0.02741416,1.23012390,0.26707088,4.60894210,3.77336211,0.13806450,3.09221229
-5.84992496,8.29174071,0.02743714,1.22248255,0.26070008,4.63808259,3.74810497,0.13992588,3.09951963
-5.84392196,8.26708968,0.02740351,1.21250345,0.25364842,4.65419779,3.71714250,0.14151156,3.10052438
-5.83791896,8.22553560,0.02731788,1.20009678,0.24601470,4.65676717,3.68043103,0.14279618,3.09510859
-5.83191596,8.16690064,0.02718574,1.18519292,0.23790318,4.64544508,3.63795120,0.14375652,3.08320329
-5.82591296,8.09116885,0.02701327,1.16775069,0.22942114,4.62007732,3.58972242,0.14437216,3.06479274
-5.81990995,7.99850724,0.02680716,1.14776500,0.22067659,4.58071389,3.53581684,0.14462599,3.03991833
-5.81390695,7.88928342,0.02657436,1.12527339,0.21177612,4.52761741,3.47637218,0.14450471,3.00868220
-5.80790395,7.76407898,0.02632192,1.10036111,0.20282297,4.46126649,3.41160241,0.14399936,2.97125013
-5.80190095,7.62369757,0.02605683,1.07316441,0.19391538,4.38235403,3.34180601,0.14310564,2.92785375
-5.79589795,7.46916714,0.02578585,1.04387192,0.18514512,4.29177996,3.26737102,0.14182428,2.87879166
-5.78989495,7.30173611,0.02551545,1.01272390,0.17659647,4.19063898,3.18877690,0.14016115,2.82442958
-5.78389195,7.12286327,0.02525167,0.98000945,0.16834527,4.08020323,3.10659294,0.13812742,2.76519917
-5.77788894,6.93420177,0.02500011,0.94606188,0.16045841,3.96190080,3.02147342,0.13573942,2.70159563
-5.77188594,6.73757758,0.02476589,0.91125226,0.15299346,3.83729048,2.93414971,0.13301852,2.63417388
-5.76588294,6.53496328,0.02455365,0.87598167,0.14599855,3.70803383,2.84541978,0.12999076,2.56354341
-5.75987994,6.32844794,0.02436758,0.84067239,0.13951244,3.57586543,2.75613570,0.12668641,2.49036185
-5.75387694,6.12020428,0.02421142,0.80575847,0.13356477,3.44256225,2.66718952,0.12313938,2.41532727
-5.74787394,5.91245420,0.02408852,0.77167607,0.12817640,3.30991319,2.57949847,0.11938656,2.33916949
-5.74187094,5.70743391,0.02400184,0.73885408,0.12335990,3.17968984,2.49398993,0.11546703,2.26264056
-5.73586793,5.50735995,0.02395404,0.70770531,0.11912009,3.05361904,2.41158691,0.11142126,2.18650466
-5.72986493,5.31439703,0.02394741,0.67861866,0.11545469,2.93335838,2.33319457,0.10729027,2.11152771
-5.72386193,5.13062894,0.02398399,0.65195243,0.11235495,2.82047477,2.25968833,0.10311474,2.03846711
-5.71785893,4.95803317,0.02406550,0.62802920,0.10980639,2.71642681,2.19190387,0.09893423,1.96806179
-5.71185593,4.79845991,0.02419338,0.60713201,0.10778953,2.62255087,2.13062933,0.09478643,1.90102296
-5.70585293,4.65361566,0.02436878,0.58950229,0.10628060,2.54005095,2.07659968,0.09070647,1.83802583
-5.69984992,4.52505162,0.02459255,0.57533901,0.10525236,2.46999187,2.03049331,0.08672641,1.77970250
-5.69384692,4.41415631,0.02486527,0.56479924,0.10467482,2.41329550,1.99293041,0.08287481,1.72663605
-5.68784392,4.32215202,0.02518717,0.55799965,0.10451594,2.37073911,1.96447294,0.07917644,1.67935601
-5.68184092,4.25009410,0.02555824,0.55501874,0.10474240,2.34295528,1.94562549,0.07565218,1.63833503
-5.67583792,4.19887212,0.02597813,0.55589939,0.10532020,2.33043228,1.93683647,0.07231902,1.60398665
-5.66983492,4.16921146,0.02644622,0.56065151,0.10621528,2.33351432,1.93849894,0.06919020,1.57666384
-5.66383192,4.16167435,0.02696162,0.56925429,0.10739403,2.35240069,1.95095044,0.06627546,1.55665814
-5.65782891,4.17665892,0.02752314,0.58165784,0.10882368,2.38714325,1.97447102,0.06358137,1.54419892
-5.65182591,4.21439537,0.02812931,0.59778400,0.11047267,2.43764193,2.00927913,0.06111174,1.53945255
-5.64582291,4.27493851,0.02877836,0.61752611,0.11231082,2.50363806,2.05552485,0.05886802,1.54252101
-5.63981991,4.35815627,0.02946819,0.64074776,0.11430944,2.58470574,2.11328034,0.05684977,1.55343993
-5.63381691,4.46371420,0.03019634,0.66728051,0.11644135,2.68024180,2.18252760,0.05505497,1.57217571
-5.62781391,4.59105673,0.03095991,0.69692082,0.11868078,2.78945519,2.26314381,0.05348046,1.59862182
-5.62181091,4.73938594,0.03175552,0.72942646,0.12100326,2.91135694,2.35488495,0.05212216,1.63259440
