energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,3.97240092,2.28804042,2.03287598,0.02291170,1.09440484,0.04818952,1.43469265
-5.99399700,4.01439210,2.31543245,2.05214738,0.02295290,1.10670454,0.04902871,1.45201461
-5.98799400,4.04994636,2.33910649,2.06842576,0.02295930,1.11634191,0.04970437,1.46772790
-5.98199100,4.07785906,2.35831914,2.08116751,0.02292895,1.12309663,0.05020018,1.48127183
-5.97598799,4.09710694,2.37243388,2.08991832,0.02286045,1.12681023,0.05050369,1.49213820
-5.96998499,4.10688969,2.38094739,2.09433253,0.02275308,1.12739215,0.05060658,1.49989248
-5.96398199,4.10666589,2.38351327,2.09418945,0.02260692,1.12482392,0.05050491,1.50419336
-5.95797899,4.09618225,2.37996217,2.08940641,0.02242295,1.11916142,0.05019919,1.50481008
-5.95197599,4.07549540,2.37031802,2.08004796,0.02220314,1.11053530,0.04969442,1.50163698
-5.94597299,4.04498530,2.35480963,2.06633088,0.02195058,1.09914959,0.04899999,1.49470453
-5.93996998,4.00536017,2.33387730,2.04862499,0.02166950,1.08527855,0.04812945,1.48418657
-5.93396698,3.95765234,2.30817410,2.02744946,0.02136536,1.06926203,0.04710031,1.47040323
-5.92796398,3.90320519,2.27856129,2.00346488,0.02104485,1.05149934,0.04593362,1.45381948
-5.92196098,3.84365124,2.24609798,1.97746106,0.02071585,1.03244193,0.04465357,1.43503892
-5.91595798,3.78088161,2.21202457,1.95034092,0.02038741,1.01258494,0.04328699,1.41479307
-5.90995498,3.71700756,2.17774027,1.92310081,0.02006964,0.99245781,0.04186283,1.39392621
-5.90395198,3.65431451,2.14477467,1.89680762,0.01977355,0.97261405,0.04041160,1.37337596
-5.89794897,3.59520955,2.11475374,1.87257317,0.01951088,0.95362034,0.03896468,1.35415013
-5.89194597,3.54216331,2.08936071,1.85152649,0.01929385,0.93604499,0.03755379,1.33730034
-5.88594297,3.49764728,2.07029254,1.83478442,0.01913486,0.92044593,0.03621028,1.32389301
-5.87993997,3.46406796,2.05921281,1.82342135,0.01904619,0.90735827,0.03496453,1.31497849
-5.87393697,3.44369920,2.05770221,1.81843856,0.01903960,0.89728159,0.03384533,1.31155916
-5.86793397,3.43861433,2.06720775,1.82073401,0.01912596,0.89066723,0.03287924,1.31455748
-5.86193097,3.45061996,2.08899239,1.83107335,0.01931482,0.88790556,0.03209007,1.32478484
-5.85592796,3.48119313,2.12408657,1.85006285,0.01961401,0.88931373,0.03149834,1.34291231
-5.84992496,3.53142417,2.17324353,1.87812512,0.02002922,0.89512415,0.03112087,1.36944435
-5.84392196,3.60196699,2.23690014,1.91547864,0.02056366,0.90547401,0.03097034,1.40469631
-5.83791896,3.69299925,2.31514524,1.96212173,0.02121775,0.92039644,0.03105505,1.44877694
-5.83191596,3.80419428,2.40769713,2.01782203,0.02198881,0.93981366,0.03137871,1.50157656
-5.82591296,3.93470660,2.51389172,2.08211211,0.02287100,0.96353261,0.03194034,1.56276176
-5.81990995,4.08317272,2.63268278,2.15429201,0.02385518,0.99124360,0.03273431,1.63177718
-5.81390695,4.24772828,2.76265505,2.23343917,0.02492899,1.02252229,0.03375048,1.70785466
-5.80790395,4.42604221,2.90205061,2.31842592,0.02607706,1.05683533,0.03497443,1.79002996
-5.80190095,4.61536783,3.04880845,2.40794470,0.02728128,1.09354980,0.03638783,1.87716672
-5.79589795,4.81261027,3.20061641,2.50054055,0.02852121,1.13194657,0.03796890,1.96798734
-5.78989495,5.01440841,3.35497409,2.59465024,0.02977467,1.17123717,0.03969295,2.06110965
-5.78389195,5.21722927,3.50926485,2.68864697,0.03101829,1.21058404,0.04153299,2.15508849
-5.77788894,5.41747166,3.66083418,2.78088915,0.03222826,1.24912343,0.04346036,2.24846058
-5.77188594,5.61157528,3.80707165,2.86977176,0.03338106,1.28599020,0.04544542,2.33979098
-5.76588294,5.79613119,3.94549291,2.95377802,0.03445416,1.32034373,0.04745820,2.42771942
-5.75987994,5.96798897,4.07381843,3.03152946,0.03542683,1.35139371,0.04946904,2.51100438
-5.75387694,6.12435610,4.19004544,3.10183209,0.03628073,1.37842496,0.05144916,2.58856305
-5.74787394,6.26288499,4.29250990,3.16371661,0.03700056,1.40082008,0.05337115,2.65950540
-5.74187094,6.38174391,4.37993562,3.21647070,0.03757451,1.41807894,0.05520940,2.72316071
-5.73586793,6.47966835,4.45146847,3.25966184,0.03799457,1.42983418,0.05694040,2.77909539
-5.72986493,6.55599059,4.50669399,3.29314943,0.03825676,1.43586198,0.05854296,2.82712107
-5.72386193,6.61064617,4.54563787,3.31708563,0.03836112,1.43608770,0.05999832,2.86729284
-5.71785893,6.64415713,4.56874944,3.33190474,0.03831155,1.43058610,0.06129014,2.89989751
-5.71185593,6.65759302,4.57686930,3.33830168,0.03811559,1.41957633,0.06240451,2.92543270
-5.70585293,6.65251197,4.57118284,3.33720061,0.03778390,1.40341180,0.06332981,2.94457776
-5.69984992,6.63088493,4.55316219,3.32971511,0.03732979,1.38256579,0.06405657,2.95815808
-5.69384692,6.59500696,4.52449974,3.31710207,0.03676858,1.35761330,0.06457731,2.96710448
-5.68784392,6.54740014,4.48703642,3.30071131,0.03611694,1.32921020,0.06488646,2.97240989
-5.68184092,6.49071280,4.44268830,3.28193344,0.03539217,1.29807067,0.06498017,2.97508515
-5.67583792,6.42761971,4.39337486,3.26214829,0.03461159,1.26494392,0.06485628,2.97611630
-5.66983492,6.36072773,4.34095196,3.24267608,0.03379188,1.23059126,0.06451431,2.97642487
-5.66383192,6.29249063,4.28715229,3.22473342,0.03294858,1.19576437,0.06395543,2.97683310
-5.65782891,6.22513615,4.23353508,3.20939560,0.03209564,1.16118555,0.06318255,2.97803514
-5.65182591,6.16060761,4.18144679,3.19756645,0.03124508,1.12753065,0.06220044,2.98057528
-5.64582291,6.10052115,4.13199322,3.18995636,0.03040680,1.09541490,0.06101579,2.98483344
-5.63981991,6.04613902,4.08602335,3.18706881,0.02958852,1.06538200,0.05963737,2.99101826
-5.63381691,5.99835837,4.04412413,3.18919501,0.02879577,1.03789645,0.05807611,2.99916713
-5.62781391,5.95771415,4.00662548,3.19641620,0.02803207,1.01333888,0.05634512,3.00915288
