energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.72315604,1.09012134,0.00000000,0.78458918,0.00000000,0.88988227,0.74720703
-5.99399700,2.66119265,1.09043131,0.00000000,0.73856819,0.00000000,0.86684917,0.74344818
-5.98799400,2.60002581,1.08855172,0.00000000,0.69550852,0.00000000,0.84488064,0.73811346
-5.98199100,2.53867980,1.08386449,0.00000000,0.65541525,0.00000000,0.82377428,0.73086146
-5.97598799,2.47637412,1.07587996,0.00000000,0.61828988,0.00000000,0.80338463,0.72142861
-5.96998499,2.41254906,1.06425093,0.00000000,0.58413360,0.00000000,0.78363043,0.70963828
-5.96398199,2.34688207,1.04878135,0.00000000,0.55294977,0.00000000,0.76449836,0.69540665
-5.95797899,2.27929426,1.02942953,0.00000000,0.52474540,0.00000000,0.74604319,0.67874500
-5.95197599,2.20994652,1.00630552,0.00000000,0.49953158,0.00000000,0.72838432,0.65975852
-5.94597299,2.13922549,0.97966319,0.00000000,0.47732255,0.00000000,0.71169858,0.63864169
-5.93996998,2.06772014,0.94988714,0.00000000,0.45813346,0.00000000,0.69620996,0.61567054
-5.93396698,1.99619006,0.91747533,0.00000000,0.44197703,0.00000000,0.68217641,0.59119212
-5.92796398,1.92552721,0.88301815,0.00000000,0.42885921,0.00000000,0.66987475,0.56561191
-5.92196098,1.85671301,0.84717503,0.00000000,0.41877421,0.00000000,0.65958416,0.53937959
-5.91595798,1.79077299,0.81064950,0.00000000,0.41169934,0.00000000,0.65156936,0.51297392
-5.90995498,1.72873144,0.77416405,0.00000000,0.40759003,0.00000000,0.64606424,0.48688742
-5.90395198,1.67156809,0.73843546,0.00000000,0.40637566,0.00000000,0.64325692,0.46161136
-5.89794897,1.62017903,0.70415190,0.00000000,0.40795651,0.00000000,0.64327690,0.43762174
-5.89194597,1.57534367,0.67195237,0.00000000,0.41220227,0.00000000,0.64618519,0.41536658
-5.88594297,1.53769901,0.64240911,0.00000000,0.41895252,0.00000000,0.65196773,0.39525498
