energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,9.35389789,0.84722525,7.90965579,0.02758121,0.15070372,0.87536650,0.00000000
-5.99399700,9.11382084,0.85188530,7.68522838,0.02910223,0.14766170,0.86479910,0.00000000
-5.98799400,8.87576017,0.85855576,7.46081800,0.03066265,0.14484040,0.85568344,0.00000000
-5.98199100,8.63970622,0.86719505,7.23665920,0.03224660,0.14227437,0.84784085,0.00000000
-5.97598799,8.40561354,0.87773761,7.01300680,0.03383668,0.13999342,0.84105141,0.00000000
-5.96998499,8.17345134,0.89010195,6.79016426,0.03541433,0.13802294,0.83506860,0.00000000
-5.96398199,7.94325102,0.90419824,6.56850891,0.03696018,0.13638421,0.82963442,0.00000000
-5.95797899,7.71514814,0.91993501,6.34851264,0.03845450,0.13509453,0.82449435,0.00000000
-5.95197599,7.48941662,0.93722445,6.13075659,0.03987761,0.13416734,0.81941137,0.00000000
-5.94597299,7.26649341,0.95598611,5.91593912,0.04121038,0.13361215,0.81417842,0.00000000
-5.93996998,7.04699261,0.97614878,5.70487677,0.04243465,0.13343436,0.80862892,0.00000000
-5.93396698,6.83170861,0.99765053,5.49849807,0.04353370,0.13363497,0.80264483,0.00000000
-5.92796398,6.62160851,1.02043700,5.29783068,0.04449269,0.13421017,0.79616207,0.00000000
-5.92196098,6.41781459,1.04445813,5.10398273,0.04529908,0.13515094,0.78917320,0.00000000
-5.91595798,6.22157806,1.06966374,4.91811933,0.04594299,0.13644262,0.78172742,0.00000000
-5.90995498,6.03424590,1.09599822,4.74143556,0.04641760,0.13806458,0.77392790,0.00000000
-5.90395198,5.85722255,1.12339499,4.57512735,0.04671943,0.13998998,0.76592685,0.00000000
-5.89794897,5.69192869,1.15177101,4.42036171,0.04684862,0.14218576,0.75791854,0.00000000
-5.89194597,5.53975911,1.18102195,4.27824767,0.04680916,0.14461281,0.75013074,0.00000000
-5.88594297,5.40204163,1.21101844,4.14980924,0.04660900,0.14722641,0.74281486,0.00000000
-5.87993997,5.27999885,1.24160372,4.03596139,0.04626021,0.14997695,0.73623542,0.00000000
-5.87393697,5.17471403,1.27259293,3.93748985,0.04577891,0.15281093,0.73065908,0.00000000
-5.86793397,5.08710225,1.30377430,3.85503520,0.04518527,0.15567217,0.72634381,0.00000000
-5.86193097,5.01788730,1.33491213,3.78908139,0.04450328,0.15850327,0.72352840,0.00000000
-5.85592796,4.96758447,1.36575142,3.73994850,0.04376052,0.16124724,0.72242280,0.00000000
-5.84992496,4.93648910,1.39602412,3.70778926,0.04298775,0.16384911,0.72319951,0.00000000
-5.84392196,4.92467009,1.42545629,3.69258859,0.04221841,0.16625772,0.72598617,0.00000000
-5.83791896,4.93196773,1.45377610,3.69416537,0.04148803,0.16842723,0.73085970,0.00000000
-5.83191596,4.95799474,1.48072183,3.71217536,0.04083345,0.17031862,0.73784197,0.00000000
-5.82591296,5.00213949,1.50604962,3.74611439,0.04029204,0.17190083,0.74689717,0.00000000
-5.81990995,5.06357054,1.52954031,3.79532113,0.03990071,0.17315164,0.75793099,0.00000000
-5.81390695,5.14124181,1.55100502,3.85897868,0.03969495,0.17405817,0.77079143,0.00000000
-5.80790395,5.23389775,1.57028903,3.93611492,0.03970774,0.17461690,0.78527149,0.00000000
-5.80190095,5.34007877,1.58727385,4.02560152,0.03996851,0.17483340,0.80111341,0.00000000
-5.79589795,5.45812701,1.60187735,4.12615234,0.04050211,0.17472152,0.81801464,0.00000000
-5.78989495,5.58619327,1.61405200,4.23632175,0.04132779,0.17430232,0.83563515,0.00000000
-5.78389195,5.72224614,1.62378143,4.35450444,0.04245841,0.17360262,0.85360621,0.00000000
-5.77788894,5.86408463,1.63107580,4.47893778,0.04389970,0.17265339,0.87154011,0.00000000
-5.77188594,6.00935559,1.63596620,4.60770848,0.04564976,0.17148800,0.88904097,0.00000000
-5.76588294,6.15557735,1.63849884,4.73876499,0.04769884,0.17014042,0.90571595,0.00000000
-5.75987994,6.30017070,1.63872939,4.86993696,0.05002936,0.16864356,0.92118689,0.00000000
-5.75387694,6.44049783,1.63671820,4.99896271,0.05261621,0.16702773,0.93510189,0.00000000
-5.74787394,6.57390963,1.63252659,5.12352531,0.05542738,0.16531945,0.94714638,0.00000000
-5.74187094,6.69780071,1.62621491,5.24129700,0.05842487,0.16354054,0.95705349,0.00000000
-5.73586793,6.80967118,1.61784220,5.34999135,0.06156588,0.16170762,0.96461321,0.00000000
-5.72986493,6.90719318,1.60746778,5.44742152,0.06480423,0.15983203,0.96967990,0.00000000
-5.72386193,6.98827966,1.59515449,5.53156246,0.06809191,0.15792006,0.97217804,0.00000000
-5.71785893,7.05115233,1.58097331,5.60061448,0.07138084,0.15597365,0.97210566,0.00000000
-5.71185593,7.09440506,1.56500890,5.65306471,0.07462455,0.15399124,0.96953542,0.00000000
-5.70585293,7.11705936,1.54736551,5.68774331,0.07777989,0.15196893,0.96461309,0.00000000
-5.69984992,7.11860793,1.52817259,5.70387079,0.08080852,0.14990167,0.95755343,0.00000000
-5.69384692,7.09904334,1.50758958,5.70109329,0.08367829,0.14778453,0.94863349,0.00000000
-5.68784392,7.05886901,1.48580913,5.67950311,0.08636423,0.14561377,0.93818357,0.00000000
-5.68184092,6.99909068,1.46305848,5.63964250,0.08884925,0.14338783,0.92657607,0.00000000
-5.67583792,6.92118784,1.43959844,5.58248945,0.09112444,0.14110805,0.91421270,0.00000000
-5.66983492,6.82706531,1.41572006,5.50942562,0.09318900,0.13877903,0.90151049,0.00000000
-5.66383192,6.71898687,1.39173892,5.42218717,0.09504974,0.13640876,0.88888731,0.00000000
-5.65782891,6.59949359,1.36798740,5.32280068,0.09672028,0.13400842,0.87674742,0.00000000
-5.65182591,6.47131099,1.34480542,5.21350722,0.09821991,0.13159186,0.86546779,0.00000000
-5.64582291,6.33724954,1.32253018,5.09667833,0.09957229,0.12917498,0.85538594,0.00000000
-5.63981991,6.20010392,1.30148586,4.97472840,0.10080393,0.12677484,0.84678976,0.00000000
-5.63381691,6.06255640,1.28197388,4.85002808,0.10194273,0.12440882,0.83991000,0.00000000
-5.62781391,5.92708977,1.26426464,4.72482339,0.10301655,0.12209379,0.83491582,0.00000000
-5.62181091,5.79591436,1.24859134,4.60116495,0.10405191,0.11984536,0.83191355,0.00000000
-5.61580790,5.67091329,1.23514642,4.48085086,0.10507296,0.11767742,0.83094892,0.00000000
-5.60980490,5.55360842,1.22408098,4.36538613,0.10610076,0.11560181,0.83201250,0.00000000
