energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
0.50125063,0.32341466,0.00000131,0.03285468,0.06087917,0.01904695,0.00102601,0.09301552,0.03631056,0.15791305
0.50725363,0.33731871,0.00000145,0.03048868,0.06369249,0.01905666,0.00113918,0.08782740,0.03508504,0.17415011
0.51325663,0.35202247,0.00000160,0.02815142,0.06668775,0.01911309,0.00125576,0.08273192,0.03391031,0.19089720
0.51925963,0.36732836,0.00000175,0.02586685,0.06981968,0.01921184,0.00137432,0.07778125,0.03279671,0.20795013
0.52526263,0.38299392,0.00000190,0.02365653,0.07303485,0.01934646,0.00149329,0.07301980,0.03175112,0.22507725
0.53126563,0.39873610,0.00000205,0.02153911,0.07627258,0.01950853,0.00161090,0.06848310,0.03077677,0.24202385
0.53726863,0.41423765,0.00000219,0.01952998,0.07946624,0.01968784,0.00172529,0.06419718,0.02987320,0.25851783
0.54327164,0.42915572,0.00000233,0.01764104,0.08254491,0.01987267,0.00183455,0.06017839,0.02903642,0.27427659
0.54927464,0.44313209,0.00000247,0.01588065,0.08543547,0.02005015,0.00193673,0.05643368,0.02825924,0.28901476
0.55527764,0.45580479,0.00000259,0.01425375,0.08806476,0.02020673,0.00202993,0.05296131,0.02753180,0.30245257
0.56128064,0.46682055,0.00000270,0.01276206,0.09036205,0.02032866,0.00211235,0.04975188,0.02684218,0.31432457
0.56728364,0.47584747,0.00000280,0.01140437,0.09226150,0.02040253,0.00218237,0.04678957,0.02617710,0.32438827
0.57328664,0.48258741,0.00000288,0.01017698,0.09370451,0.02041582,0.00223856,0.04405367,0.02552269,0.33243229
0.57928964,0.48678739,0.00000295,0.00907414,0.09464198,0.02035740,0.00227976,0.04152005,0.02486521,0.33828377
0.58529265,0.48824956,0.00000301,0.00808851,0.09503621,0.02021797,0.00230514,0.03916278,0.02419183,0.34181455
0.59129565,0.48683918,0.00000306,0.00721163,0.09486254,0.01999046,0.00231419,0.03695556,0.02349121,0.34294598
0.59729865,0.48249036,0.00000311,0.00643442,0.09411048,0.01967032,0.00230677,0.03487302,0.02275410,0.34165197
0.60330165,0.47520918,0.00000315,0.00574756,0.09278438,0.01925572,0.00228311,0.03289187,0.02197373,0.33796031
0.60930465,0.46507418,0.00000320,0.00514189,0.09090370,0.01874759,0.00224382,0.03099182,0.02114609,0.33195210
0.61530765,0.45223427,0.00000327,0.00460873,0.08850273,0.01814961,0.00218987,0.02915614,0.02027013,0.32375942
0.62131066,0.43690420,0.00000337,0.00414012,0.08562991,0.01746810,0.00212253,0.02737214,0.01934771,0.31356129
0.62731366,0.41935790,0.00000352,0.00372908,0.08234681,0.01671171,0.00204342,0.02563127,0.01838356,0.30157828
0.63331666,0.39992012,0.00000374,0.00336970,0.07872683,0.01589118,0.00195439,0.02392907,0.01738498,0.28806591
0.63931966,0.37895688,0.00000406,0.00305732,0.07485366,0.01501894,0.00185750,0.02226490,0.01636161,0.27330732
0.64532266,0.35686519,0.00000451,0.00278852,0.07081975,0.01410871,0.00175499,0.02064161,0.01532507,0.25760550
0.65132566,0.33406257,0.00000513,0.00256121,0.06672472,0.01317509,0.00164923,0.01906497,0.01428852,0.24127546
0.65732866,0.31097696,0.00000597,0.00237460,0.06267386,0.01223312,0.00154266,0.01754322,0.01326630,0.22463672
0.66333167,0.28803734,0.00000708,0.00222925,0.05877692,0.01129793,0.00143775,0.01608639,0.01227355,0.20800643
0.66933467,0.26566553,0.00000854,0.00212697,0.05514692,0.01038435,0.00133697,0.01470587,0.01132586,0.19169329
0.67533767,0.24426932,0.00001042,0.00207084,0.05189942,0.00950665,0.00124279,0.01341380,0.01043895,0.17599258
0.68134067,0.22423714,0.00001282,0.00206520,0.04915183,0.00867829,0.00115762,0.01222270,0.00962844,0.16118233
0.68734367,0.20593427,0.00001583,0.00211552,0.04702305,0.00791177,0.00108381,0.01114508,0.00890965,0.14752056
0.69334667,0.18970045,0.00001958,0.00222843,0.04563319,0.00721847,0.00102366,0.01019311,0.00829746,0.13524372
0.69934967,0.17584873,0.00002419,0.00241160,0.04510328,0.00660864,0.00097940,0.00937848,0.00780622,0.12456601
0.70535268,0.16466528,0.00002982,0.00267365,0.04555500,0.00609138,0.00095316,0.00871217,0.00744968,0.11567942
0.71135568,0.15640976,0.00003660,0.00302405,0.04711014,0.00567465,0.00094705,0.00820439,0.00724096,0.10875436
0.71735868,0.15131584,0.00004472,0.00347289,0.04988974,0.00536529,0.00096305,0.00786449,0.00719243,0.10394043
0.72336168,0.14959166,0.00005433,0.00403074,0.05401284,0.00516913,0.00100310,0.00770089,0.00731574,0.10136725
0.72936468,0.15141957,0.00006561,0.00470834,0.05959463,0.00509097,0.00106902,0.00772101,0.00762160,0.10114491
0.73536768,0.15695518,0.00007873,0.00551629,0.06674403,0.00513461,0.00116250,0.00793118,0.00811968,0.10336399
0.74137069,0.16632520,0.00009385,0.00646467,0.07556057,0.00530287,0.00128508,0.00833646,0.00881836,0.10809484
0.74737369,0.17962414,0.00011111,0.00756262,0.08613070,0.00559750,0.00143812,0.00894052,0.00972447,0.11538618
0.75337669,0.19690985,0.00013064,0.00881786,0.09852349,0.00601915,0.00162272,0.00974533,0.01084291,0.12526283
0.75937969,0.21819793,0.00015254,0.01023620,0.11278586,0.00656722,0.00183967,0.01075097,0.01217626,0.13772278
0.76538269,0.24345537,0.00017686,0.01182099,0.12893761,0.00723974,0.00208945,0.01195522,0.01372435,0.15273368
