energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.24627811,0.00597425,0.12998177,0.94422609,0.80173055,0.01968412,0.92671023
-5.99399700,2.18750624,0.00549771,0.12688160,0.92047849,0.78486638,0.01924543,0.89972825
-5.98799400,2.13185399,0.00503873,0.12431656,0.89676352,0.76913872,0.01891426,0.87336950
-5.98199100,2.08022838,0.00460176,0.12238309,0.87347204,0.75484054,0.01870749,0.84795153
-5.97598799,2.03338578,0.00419052,0.12116323,0.85095357,0.74220895,0.01863864,0.82374017
-5.96998499,1.99191394,0.00380798,0.12072202,0.82950772,0.73141937,0.01871740,0.80094460
-5.96398199,1.95622093,0.00345639,0.12110537,0.80937844,0.72258219,0.01894922,0.77971504
-5.95797899,1.92653114,0.00313733,0.12233852,0.79075119,0.71574196,0.01933505,0.76014321
-5.95197599,1.90288801,0.00285176,0.12442503,0.77375286,0.71087885,0.01987121,0.74226528
-5.94597299,1.88516282,0.00260010,0.12734644,0.75845418,0.70791226,0.02054950,0.72606688
-5.93996998,1.87306881,0.00238231,0.13106242,0.74487429,0.70670627,0.02135729,0.71148984
-5.93396698,1.86617957,0.00219801,0.13551170,0.73298696,0.70707663,0.02227795,0.69844006
-5.92796398,1.86395064,0.00204650,0.14061334,0.72272800,0.70879891,0.02329123,0.68679606
-5.92196098,1.86574328,0.00192691,0.14626872,0.71400325,0.71161728,0.02437394,0.67641768
-5.91595798,1.87084922,0.00183826,0.15236386,0.70669678,0.71525388,0.02550060,0.66715450
-5.90995498,1.87851553,0.00177950,0.15877221,0.70067865,0.71941811,0.02664420,0.65885354
-5.90395198,1.88796863,0.00174964,0.16535775,0.69581201,0.72381563,0.02777710,0.65136587
-5.89794897,1.89843663,0.00174770,0.17197831,0.69195915,0.72815690,0.02887180,0.64455207
-5.89194597,1.90916951,0.00177283,0.17848901,0.68898624,0.73216485,0.02990182,0.63828614
-5.88594297,1.91945661,0.00182427,0.18474583,0.68676674,0.73558163,0.03084251,0.63245808
-5.87993997,1.92864110,0.00190138,0.19060901,0.68518340,0.73817419,0.03167171,0.62697496
-5.87393697,1.93613127,0.00200360,0.19594639,0.68412891,0.73973874,0.03237046,0.62176071
-5.86793397,1.94140876,0.00213046,0.20063645,0.68350545,0.74010395,0.03292339,0.61675478
-5.86193097,1.94403361,0.00228149,0.20457107,0.68322318,0.73913290,0.03331913,0.61190991
-5.85592796,1.94364654,0.00245620,0.20765782,0.68319812,0.73672392,0.03355048,0.60718913
-5.84992496,1.93996868,0.00265403,0.20982187,0.68334962,0.73281030,0.03361445,0.60256258
-5.84392196,1.93279916,0.00287425,0.21100736,0.68359772,0.72735914,0.03351210,0.59800398
-5.83791896,1.92201099,0.00311591,0.21117827,0.68386074,0.72036930,0.03324831,0.59348748
-5.83191596,1.90754575,0.00337779,0.21031876,0.68405336,0.71186883,0.03283136,0.58898474
-5.82591296,1.88940745,0.00365832,0.20843303,0.68408543,0.70191195,0.03227245,0.58446267
-5.81990995,1.86765625,0.00395553,0.20554467,0.68386169,0.69057580,0.03158513,0.57988199
-5.81390695,1.84240214,0.00426705,0.20169565,0.68328243,0.67795714,0.03078472,0.57519648
-5.80790395,1.81379931,0.00459003,0.19694492,0.68224539,0.66416922,0.02988767,0.57035334
-5.80190095,1.78204120,0.00492121,0.19136668,0.68064852,0.64933886,0.02891101,0.56529435
-5.79589795,1.74735659,0.00525689,0.18504856,0.67839375,0.63360400,0.02787183,0.55995789
-5.78989495,1.71000683,0.00559299,0.17808952,0.67539159,0.61711167,0.02678679,0.55428174
-5.78389195,1.67028417,0.00592512,0.17059776,0.67156616,0.60001650,0.02567184,0.54820643
