energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.48861690,0.00740897,0.08219408,0.01131937,0.74424968,0.38825717,0.11884931
-5.99399700,1.53229013,0.00763690,0.08319311,0.01223642,0.76878211,0.39496272,0.12302567
-5.98799400,1.57462232,0.00787625,0.08402939,0.01316741,0.79283142,0.40114437,0.12715162
-5.98199100,1.61586214,0.00813171,0.08472687,0.01410776,0.81650553,0.40692335,0.13124429
-5.97598799,1.65628807,0.00840808,0.08531162,0.01505315,0.83992615,0.41242833,0.13532291
-5.96998499,1.69619519,0.00871009,0.08581092,0.01599958,0.86322235,0.41779057,0.13940781
-5.96398199,1.73588002,0.00904227,0.08625243,0.01694338,0.88652297,0.42313869,0.14351917
-5.95797899,1.77562375,0.00940869,0.08666316,0.01788123,0.90994819,0.42859336,0.14767564
-5.95197599,1.81567431,0.00981285,0.08706858,0.01881006,0.93360036,0.43426193,0.15189286
-5.94597299,1.85622792,0.01025745,0.08749167,0.01972695,0.95755458,0.44023327,0.15618184
-5.93996998,1.89741083,0.01074423,0.08795200,0.02062899,0.98184926,0.44657294,0.16054746
-5.93396698,1.93926222,0.01127382,0.08846494,0.02151312,1.00647737,0.45331900,0.16498696
-5.92796398,1.98171922,0.01184560,0.08904086,0.02237593,1.03137875,0.46047856,0.16948861
-5.92196098,2.02460518,0.01245763,0.08968463,0.02321352,1.05643414,0.46802533,0.17403077
-5.91595798,2.06762218,0.01310659,0.09039510,0.02402135,1.08146158,0.47589848,0.17858115
-5.90995498,2.11034865,0.01378776,0.09116490,0.02479413,1.10621552,0.48400275,0.18309670
-5.90395198,2.15224309,0.01449511,0.09198044,0.02552578,1.13038917,0.49221017,0.18752393
-5.89794897,2.19265415,0.01522135,0.09282211,0.02620944,1.15362039,0.50036331,0.19179984
-5.89194597,2.23083738,0.01595816,0.09366479,0.02683757,1.17550103,0.50828007,0.19585348
-5.88594297,2.26597840,0.01669634,0.09447861,0.02740215,1.19558977,0.51575998,0.19960801
-5.87993997,2.29722189,0.01742616,0.09522985,0.02789487,1.21342802,0.52259176,0.20298337
-5.87393697,2.32370536,0.01813757,0.09588224,0.02830752,1.22855830,0.52856188,0.20589932
-5.86793397,2.34459627,0.01882063,0.09639825,0.02863229,1.24054429,0.53346383,0.20827882
-5.86193097,2.35913082,0.01946582,0.09674061,0.02886220,1.24899169,0.53710759,0.21005153
-5.85592796,2.36665251,0.02006443,0.09687389,0.02899150,1.25356869,0.53932898,0.21115730
-5.84992496,2.36664832,0.02060893,0.09676606,0.02901606,1.25402509,0.53999829,0.21154944
-5.84392196,2.35878055,0.02109327,0.09638998,0.02893371,1.25020877,0.53902781,0.21119759
-5.83791896,2.34291255,0.02151320,0.09572477,0.02874454,1.24207867,0.53637782,0.21009008
-5.83191596,2.31912647,0.02186653,0.09475703,0.02845109,1.22971335,0.53206065,0.20823547
-5.82591296,2.28773215,0.02215329,0.09348172,0.02805840,1.21331447,0.52614261,0.20566342
-5.81990995,2.24926613,0.02237584,0.09190286,0.02757408,1.19320482,0.51874361,0.20242455
-5.81390695,2.20448073,0.02253893,0.09003386,0.02700808,1.16982091,0.51003431,0.19858948
-5.80790395,2.15432344,0.02264959,0.08789754,0.02637248,1.14370027,0.50023117,0.19424694
-5.80190095,2.09990751,0.02271709,0.08552586,0.02568114,1.11546389,0.48958927,0.18950117
-5.79589795,2.04247509,0.02275266,0.08295926,0.02494925,1.08579486,0.47839351,0.18446853
-5.78989495,1.98335459,0.02276923,0.08024584,0.02419278,1.05541390,0.46694839,0.17927367
-5.78389195,1.92391430,0.02278111,0.07744020,0.02342800,1.02505315,0.45556696,0.17404534
-5.77788894,1.86551453,0.02280358,0.07460210,0.02267082,0.99542943,0.44455939,0.16891202
-5.77188594,1.80946035,0.02285247,0.07179503,0.02193632,0.96721820,0.43422178,0.16399766
-5.76588294,1.75695724,0.02294369,0.06908455,0.02123817,0.94102944,0.42482559,0.15941758
-5.75987994,1.70907145,0.02309279,0.06653672,0.02058820,0.91738666,0.41660816,0.15527485
-5.75387694,1.66669679,0.02331443,0.06421638,0.01999606,0.89670974,0.40976487,0.15165722
-5.74787394,1.63052909,0.02362200,0.06218559,0.01946891,0.87930247,0.40444301,0.14863469
-5.74187094,1.60104920,0.02402712,0.06050200,0.01901132,0.86534524,0.40073773,0.14625788
-5.73586793,1.57851482,0.02453928,0.05921743,0.01862520,0.85489282,0.39869009,0.14455710
-5.72986493,1.56296130,0.02516548,0.05837656,0.01830990,0.84787749,0.39828720,0.14354235
-5.72386193,1.55421076,0.02590989,0.05801573,0.01806238,0.84411689,0.39946445,0.14320391
-5.71785893,1.55188890,0.02677368,0.05816201,0.01787756,0.84332623,0.40210944,0.14351378
-5.71185593,1.55544833,0.02775478,0.05883242,0.01774859,0.84513407,0.40606763,0.14442757
-5.70585293,1.56419716,0.02884786,0.06003346,0.01766740,0.84910090,0.41114920,0.14588700
-5.69984992,1.57733150,0.03004422,0.06176084,0.01762506,0.85473951,0.41713681,0.14782275
-5.69384692,1.59397036,0.03133198,0.06399954,0.01761237,0.86153636,0.42379411,0.15015751
-5.68784392,1.61319153,0.03269615,0.06672421,0.01762029,0.86897298,0.43087443,0.15280928
-5.68184092,1.63406729,0.03411895,0.06989983,0.01764046,0.87654658,0.43812947,0.15569460
-5.67583792,1.65569847,0.03558013,0.07348273,0.01766559,0.88378908,0.44531774,0.15873175
-5.66983492,1.67724616,0.03705743,0.07742193,0.01768989,0.89028413,0.45221237,0.16184379
-5.66383192,1.69796004,0.03852710,0.08166081,0.01770935,0.89568140,0.45860832,0.16496133
-5.65782891,1.71720266,0.03996451,0.08613894,0.01772197,0.89970797,0.46432856,0.16802500
-5.65182591,1.73446930,0.04134480,0.09079424,0.01772794,0.90217664,0.46922945,0.17098755
-5.64582291,1.74940296,0.04264360,0.09556516,0.01772969,0.90299090,0.47320482,0.17381549
-5.63981991,1.76180436,0.04383773,0.10039301,0.01773186,0.90214674,0.47618917,0.17649028
-5.63381691,1.77163665,0.04490595,0.10522413,0.01774119,0.89973143,0.47815952,0.17900905
-5.62781391,1.77902509,0.04582961,0.11001200,0.01776631,0.89591925,0.47913627,0.18138476
-5.62181091,1.78425153,0.04659329,0.11471903,0.01781747,0.89096468,0.47918278,0.18364580
-5.61580790,1.78774390,0.04718532,0.11931796,0.01790617,0.88519315,0.47840392,0.18583502
-5.60980490,1.79006104,0.04759820,0.12379283,0.01804473,0.87898963,0.47694343,0.18800831
