energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.69768864,-1.69768864,0.59886515,-0.59886515,0.35930690,-0.35930690,0.39420059,-0.39420059,0.44141494,-0.44141494,0.00675164,-0.00675164,0.39209495,-0.39209495,0.39466864,-0.39466864,0.00000000,-0.00000000
-5.99399700,1.71252455,-1.71252455,0.61194547,-0.61194547,0.36202600,-0.36202600,0.40501339,-0.40501339,0.43861379,-0.43861379,0.00668590,-0.00668590,0.39913646,-0.39913646,0.39969291,-0.39969291,0.00000000,-0.00000000
-5.98799400,1.72869338,-1.72869338,0.62292858,-0.62292858,0.36449483,-0.36449483,0.41596959,-0.41596959,0.43744478,-0.43744478,0.00662028,-0.00662028,0.40482446,-0.40482446,0.40608169,-0.40608169,0.00000000,-0.00000000
-5.98199100,1.74598559,-1.74598559,0.63163245,-0.63163245,0.36666075,-0.36666075,0.42695648,-0.42695648,0.43791551,-0.43791551,0.00655180,-0.00655180,0.40904115,-0.40904115,0.41382502,-0.41382502,0.00000000,-0.00000000
-5.97598799,1.76422804,-1.76422804,0.63794561,-0.63794561,0.36848766,-0.36848766,0.43786234,-0.43786234,0.44001489,-0.44001488,0.00647730,-0.00647730,0.41171579,-0.41171579,0.42289324,-0.42289324,0.00000000,-0.00000000
-5.96998499,1.78328700,-1.78328700,0.64182949,-0.64182949,0.36995590,-0.36995590,0.44858051,-0.44858051,0.44371491,-0.44371491,0.00639361,-0.00639361,0.41282474,-0.41282474,0.43323832,-0.43323832,0.00000000,-0.00000000
-5.96398199,1.80306868,-1.80306868,0.64331807,-0.64331807,0.37106159,-0.37106159,0.45901316,-0.45901316,0.44897249,-0.44897249,0.00629774,-0.00629774,0.41238988,-0.41238988,0.44479539,-0.44479539,0.00000000,-0.00000000
-5.95797899,1.82351698,-1.82351698,0.64251476,-0.64251476,0.37181541,-0.37181541,0.46907464,-0.46907464,0.45573107,-0.45573107,0.00618700,-0.00618700,0.41047554,-0.41047554,0.45748424,-0.45748424,0.00000000,-0.00000000
-5.95197599,1.84460836,-1.84460836,0.63958659,-0.63958659,0.37224084,-0.37224084,0.47869417,-0.47869417,0.46392185,-0.46392185,0.00605920,-0.00605920,0.40718401,-0.40718401,0.47121074,-0.47121074,0.00000000,-0.00000000
-5.94597299,1.86634393,-1.86634393,0.63475588,-0.63475588,0.37237189,-0.37237189,0.48781771,-0.48781771,0.47346467,-0.47346467,0.00591272,-0.00591272,0.40264977,-0.40264977,0.48586804,-0.48586804,0.00000000,-0.00000000
-5.93996998,1.88873930,-1.88873930,0.62828977,-0.62828977,0.37225046,-0.37225046,0.49640893,-0.49640893,0.48426840,-0.48426840,0.00574661,-0.00574661,0.39703275,-0.39703275,0.50133750,-0.50133750,0.00000000,-0.00000000
-5.93396698,1.91181260,-1.91181260,0.62048808,-0.62048808,0.37192340,-0.37192340,0.50444923,-0.50444923,0.49623097,-0.49623097,0.00556066,-0.00556066,0.39051091,-0.39051091,0.51748938,-0.51748938,0.00000000,-0.00000000
-5.92796398,1.93557168,-1.93557168,0.61167000,-0.61167000,0.37143953,-0.37143953,0.51193687,-0.51193687,0.50923908,-0.50923908,0.00535537,-0.00535537,0.38327254,-0.38327254,0.53418341,-0.53418341,0.00000000,-0.00000000
