energy_ev,total_up,Rh_p_up,Rh_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,2.08571358,0.32831888,0.97620319,0.44326816,0.00011586,0.85233629,0.00000000
-5.99399700,2.00347308,0.31348873,0.94081580,0.42756429,0.00011430,0.81891061,0.00000000
-5.98799400,1.92136905,0.29988710,0.90481027,0.41173107,0.00011359,0.78561511,0.00000000
-5.98199100,1.84124253,0.28770426,0.86907443,0.39596337,0.00011394,0.75336415,0.00000000
-5.97598799,1.76496428,0.27714444,0.83451324,0.38048234,0.00011552,0.72306742,0.00000000
-5.96998499,1.69438949,0.26842189,0.80202730,0.36552941,0.00011853,0.69560735,0.00000000
-5.96398199,1.63131388,0.26175640,0.77249204,0.35135933,0.00012315,0.67181818,0.00000000
-5.95797899,1.57743252,0.25736829,0.74673826,0.33823252,0.00012955,0.65246723,0.00000000
-5.95197599,1.53430231,0.25547322,0.72553440,0.32640711,0.00013787,0.63823882,0.00000000
-5.94597299,1.50330908,0.25627689,0.70957111,0.31613107,0.00014826,0.62972091,0.00000000
-5.93996998,1.48563987,0.25996989,0.69944825,0.30763457,0.00016082,0.62739461,0.00000000
-5.93396698,1.48226085,0.26672283,0.69566466,0.30112321,0.00017562,0.63162663,0.00000000
-5.92796398,1.49390126,0.27668189,0.69861072,0.29677207,0.00019271,0.64266438,0.00000000
-5.92196098,1.52104323,0.28996490,0.70856370,0.29472112,0.00021208,0.66063376,0.00000000
-5.91595798,1.56391753,0.30665808,0.72568585,0.29507198,0.00023371,0.68553923,0.00000000
-5.90995498,1.62250498,0.32681338,0.75002508,0.29788620,0.00025753,0.71726594,0.00000000
-5.90395198,1.69654303,0.35044665,0.78151794,0.30318509,0.00028343,0.75558375,0.00000000
-5.89794897,1.78553713,0.37753637,0.81999464,0.31095112,0.00031126,0.80015265,0.00000000
-5.89194597,1.88877611,0.40802314,0.86518585,0.32113064,0.00034084,0.85052956,0.00000000
-5.88594297,2.00535106,0.44180971,0.91673080,0.33363784,0.00037196,0.90617611,0.00000000
-5.87993997,2.13417663,0.47876158,0.97418641,0.34835961,0.00040438,0.96646732,0.00000000
-5.87393697,2.27401423,0.51870797,1.03703701,0.36516106,0.00043784,1.03070091,0.00000000
-5.86793397,2.42349610,0.56144310,1.10470429,0.38389126,0.00047207,1.09810727,0.00000000
-5.86193097,2.58114943,0.60672767,1.17655713,0.40438883,0.00050679,1.16785995,0.00000000
-5.85592796,2.74541986,0.65429039,1.25192101,0.42648710,0.00054171,1.23908650,0.00000000
-5.84992496,2.91469357,0.70382958,1.33008681,0.45001844,0.00057655,1.31087994,0.00000000
-5.84392196,3.08731756,0.75501465,1.41031873,0.47481742,0.00061105,1.38231060,0.00000000
-5.83791896,3.26161765,0.80748759,1.49186131,0.50072268,0.00064494,1.45243842,0.00000000
-5.83191596,3.43591410,0.86086439,1.57394564,0.52757743,0.00067799,1.52032573,0.00000000
-5.82591296,3.60853504,0.91473659,1.65579473,0.55522842,0.00070998,1.58505055,0.00000000
-5.81990995,3.77782786,0.96867306,1.73662836,0.58352375,0.00074071,1.64572022,0.00000000
-5.81390695,3.94216927,1.02222217,1.81566770,0.61230955,0.00077000,1.70148539,0.00000000
-5.80790395,4.09997473,1.07491469,1.89214008,0.64142600,0.00079769,1.75155433,0.00000000
-5.80190095,4.24970810,1.12626762,1.96528431,0.67070318,0.00082364,1.79520709,0.00000000
-5.79589795,4.38989258,1.17578916,2.03435699,0.69995716,0.00084772,1.83180974,0.00000000
-5.78989495,4.51912390,1.22298525,2.09864029,0.72898701,0.00086982,1.86082796,0.00000000
-5.78389195,4.63608651,1.26736761,2.15745145,0.75757307,0.00088983,1.88184008,0.00000000
-5.77788894,4.73957366,1.30846365,2.21015428,0.78547725,0.00090765,1.89454895,0.00000000
-5.77188594,4.82851162,1.34582804,2.25617283,0.81244539,0.00092322,1.89879247,0.00000000
-5.76588294,4.90198809,1.37905599,2.29500702,0.83821225,0.00093645,1.89455234,0.00000000
-5.75987994,4.95928449,1.40779788,2.32625007,0.86250889,0.00094730,1.88196075,0.00000000
-5.75387694,4.99991114,1.43177477,2.34960717,0.88507256,0.00095574,1.86130468,0.00000000
-5.74787394,5.02364407,1.45079441,2.36491473,0.90565853,0.00096176,1.83302749,0.00000000
-5.74187094,5.03056177,1.46476676,2.37215924,0.92405360,0.00096540,1.79772773,0.00000000
-5.73586793,5.02107945,1.47371850,2.37149479,0.94009018,0.00096673,1.75615478,0.00000000
-5.72986493,4.99597880,1.47780536,2.36325805,0.95366055,0.00096588,1.70920156,0.00000000
-5.72386193,4.95643030,1.47732155,2.34797937,0.96472987,0.00096304,1.65789386,0.00000000
-5.71785893,4.90400578,1.47270525,2.32638901,0.97334738,0.00095845,1.60337677,0.00000000
-5.71185593,4.84067873,1.46453942,2.29941724,0.97965446,0.00095245,1.54689793,0.00000000
-5.70585293,4.76881041,1.45354718,2.26818738,0.98388897,0.00094540,1.48978804,0.00000000
-5.69984992,4.69112007,1.44058133,2.23400123,0.98638500,0.00093776,1.43343861,0.00000000
-5.69384692,4.61063867,1.42660769,2.19831629,0.98756758,0.00093003,1.37927737,0.00000000
-5.68784392,4.53064571,1.41268238,2.16271501,0.98794216,0.00092276,1.32874161,0.00000000
-5.68184092,4.45459020,1.39992329,2.12886629,0.98807898,0.00091654,1.28324971,0.00000000
-5.67583792,4.38599715,1.38947639,2.09848006,0.98859255,0.00091196,1.24417145,0.00000000
-5.66983492,4.32836234,1.38247802,2.07325625,0.99011719,0.00090961,1.21279744,0.00000000
-5.66383192,4.28503857,1.38001412,2.05482973,0.99327934,0.00091004,1.19030828,0.00000000
-5.65782891,4.25911752,1.38307817,2.04471308,0.99866813,0.00091375,1.17774414,0.00000000
-5.65182591,4.25331184,1.39252942,2.04423959,1.00680535,0.00092116,1.17597539,0.00000000
-5.64582291,4.26984242,1.40905316,2.05450864,1.01811653,0.00093257,1.18567521,0.00000000
-5.63981991,4.31033610,1.43312499,2.07633620,1.03290461,0.00094820,1.20729486,0.00000000
-5.63381691,4.37573867,1.46498085,2.11021256,1.05132763,0.00096807,1.24104277,0.00000000
-5.62781391,4.46624800,1.50459443,2.15626976,1.07338184,0.00099210,1.28686828,0.00000000
-5.62181091,4.58127131,1.55166336,2.21426060,1.09889132,0.00102001,1.34445095,0.00000000
-5.61580790,4.71940976,1.60560531,2.28355078,1.12750502,0.00105141,1.41319635,0.00000000
-5.60980490,4.87847256,1.66556476,2.36312513,1.15870152,0.00108571,1.49223912,0.00000000
-5.60380190,5.05552144,1.73043049,2.45160864,1.19180179,0.00112223,1.58045378,0.00000000
-5.59779890,5.24694523,1.79886375,2.54730183,1.22598958,0.00116014,1.67647361,0.00000000
