energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.37048596,0.07626957,0.00157818,0.49849822,0.59779267,0.00467585,0.64227146
-5.99399700,1.33710637,0.07222304,0.00152338,0.47990731,0.59452883,0.00467155,0.63262069
-5.98799400,1.30585378,0.06817677,0.00146796,0.46304828,0.59232282,0.00464565,0.62537768
-5.98199100,1.27725883,0.06419713,0.00141334,0.44807660,0.59132151,0.00459905,0.62059189
-5.97598799,1.25188769,0.06034821,0.00136100,0.43515105,0.59170162,0.00453316,0.61833849
-5.96998499,1.23032632,0.05669079,0.00131244,0.42443198,0.59366133,0.00444988,0.61871376
-5.96398199,1.21316084,0.05328136,0.00126911,0.41607794,0.59740946,0.00435161,0.62182750
-5.95797899,1.20095473,0.05017128,0.00123245,0.41024078,0.60315254,0.00424114,0.62779256
-5.95197599,1.19422368,0.04740593,0.00120378,0.40705942,0.61108055,0.00412157,0.63671231
-5.94597299,1.19340943,0.04502396,0.00118427,0.40665249,0.62135206,0.00399624,0.64866662
-5.93996998,1.19885347,0.04305669,0.00117495,0.40911013,0.63407939,0.00386863,0.66369726
-5.93396698,1.21077220,0.04152748,0.00117663,0.41448557,0.64931478,0.00374218,0.68179349
-5.92796398,1.22923460,0.04045128,0.00118991,0.42278669,0.66703821,0.00362025,0.70287883
-5.92196098,1.25414384,0.03983422,0.00121510,0.43396823,0.68714777,0.00350596,0.72679979
-5.91595798,1.28522376,0.03967341,0.00125223,0.44792510,0.70945300,0.00340207,0.75331744
-5.90995498,1.32201139,0.03995677,0.00130105,0.46448723,0.73367191,0.00331092,0.78210229
-5.90395198,1.36385606,0.04066309,0.00136098,0.48341642,0.75943183,0.00323431,0.81273326
-5.89794897,1.40992553,0.04176227,0.00143113,0.50440555,0.78627444,0.00317347,0.84470073
-5.89194597,1.45921953,0.04321566,0.00151033,0.52708037,0.81366473,0.00312898,0.87741399
-5.88594297,1.51059022,0.04497673,0.00159709,0.55100409,0.84100380,0.00310079,0.91021288
-5.87993997,1.56276931,0.04699189,0.00168969,0.57568468,0.86764494,0.00308820,0.94238326
-5.87393697,1.61440086,0.04920152,0.00178619,0.60058487,0.89291258,0.00308993,0.97317578
-5.86793397,1.66407883,0.05154121,0.00188445,0.62513458,0.91612304,0.00310412,1.00182729
-5.86193097,1.71038787,0.05394326,0.00198222,0.64874528,0.93660663,0.00312846,1.02758390
-5.85592796,1.75194599,0.05633824,0.00207720,0.67082603,0.95372976,0.00316027,1.04972477
-5.84992496,1.78744730,0.05865673,0.00216706,0.69080030,0.96691647,0.00319659,1.06758574
-5.84392196,1.81570334,0.06083118,0.00224956,0.70812327,0.97566824,0.00323433,1.08058155
-5.83791896,1.83568126,0.06279765,0.00232258,0.72229855,0.97958137,0.00327037,1.08822591
-5.83191596,1.84653728,0.06449769,0.00238422,0.73289390,0.97836119,0.00330171,1.09014843
-5.82591296,1.84764429,0.06587996,0.00243280,0.73955519,0.97183245,0.00332556,1.08610781
-5.81990995,1.83861242,0.06690172,0.00246698,0.74201798,0.95994571,0.00333948,1.07600066
-5.81390695,1.81930181,0.06753015,0.00248578,0.74011631,0.94277931,0.00334146,1.05986572
-5.80790395,1.78982734,0.06774330,0.00248858,0.73378819,0.92053711,0.00333001,1.03788335
-5.80190095,1.75055511,0.06753076,0.00247518,0.72307777,0.89354214,0.00330422,1.01037039
-5.79589795,1.70209112,0.06689397,0.00244580,0.70813398,0.86222657,0.00326382,0.97777081
-5.78989495,1.64526275,0.06584615,0.00240105,0.68920578,0.82711848,0.00320916,0.94064249
-5.78389195,1.58109400,0.06441190,0.00234194,0.66663430,0.78882621,0.00314124,0.89964099
-5.77788894,1.51077561,0.06262644,0.00226983,0.64084219,0.74802082,0.00306170,0.85550088
-5.77188594,1.43563140,0.06053456,0.00218639,0.61232074,0.70541765,0.00297275,0.80901555
-5.76588294,1.35708228,0.05818928,0.00209355,0.58161532,0.66175747,0.00287711,0.76101635
-5.75987994,1.27660920,0.05565035,0.00199345,0.54930970,0.61778815,0.00277798,0.71235171
-5.75387694,1.19571638,0.05298257,0.00188836,0.51601002,0.57424724,0.00267889,0.66386713
-5.74787394,1.11589607,0.05025403,0.00178063,0.48232878,0.53184618,0.00258368,0.61638650
-5.74187094,1.03859570,0.04753435,0.00167265,0.44886970,0.49125623,0.00249635,0.57069530
-5.73586793,0.96518821,0.04489290,0.00156673,0.41621360,0.45309661,0.00242095,0.52752600
-5.72986493,0.89694602,0.04239719,0.00146511,0.38490590,0.41792477,0.00236153,0.48754574
-5.72386193,0.83501895,0.04011124,0.00136985,0.35544586,0.38622887,0.00232197,0.45134648
-5.71785893,0.78041608,0.03809423,0.00128286,0.32827780,0.35842218,0.00230591,0.41943736
-5.71185593,0.73399141,0.03639923,0.00120577,0.30378418,0.33483945,0.00231665,0.39223924
-5.70585293,0.69643309,0.03507214,0.00113998,0.28228075,0.31573471,0.00235705,0.37008107
-5.69984992,0.66825574,0.03415077,0.00108661,0.26401334,0.30128043,0.00242941,0.35319779
-5.69384692,0.64979573,0.03366417,0.00104648,0.24915640,0.29156773,0.00253543,0.34172966
-5.68784392,0.64120880,0.03363204,0.00102010,0.23781282,0.28660737,0.00267612,0.33572252
-5.68184092,0.64246998,0.03406444,0.00100767,0.23001514,0.28633142,0.00285171,0.33512905
-5.67583792,0.65337551,0.03496152,0.00100911,0.22572763,0.29059556,0.00306163,0.33981071
-5.66983492,0.67354686,0.03631358,0.00102402,0.22484933,0.29918183,0.00330447,0.34954055
