energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,1.23948953,0.03384777,0.06718944,0.62596227,0.49271518,0.01705215,0.48026643
-5.99399700,1.23632621,0.03386787,0.06702350,0.63465292,0.49251151,0.01628404,0.47818605
-5.98799400,1.23917436,0.03374281,0.06708798,0.64860879,0.49356237,0.01568205,0.47899249
-5.98199100,1.24831104,0.03348653,0.06737849,0.66781537,0.49600878,0.01525502,0.48280561
-5.97598799,1.26390621,0.03311615,0.06788718,0.69216363,0.49997285,0.01500769,0.48969309
-5.96998499,1.28600650,0.03265110,0.06860211,0.72144309,0.50554997,0.01494065,0.49966434
-5.96398199,1.31452208,0.03211230,0.06950680,0.75533814,0.51280158,0.01505047,0.51266582
-5.95797899,1.34921738,0.03152116,0.07058007,0.79342769,0.52174882,0.01532981,0.52857807
-5.95197599,1.38970646,0.03089867,0.07179596,0.83518865,0.53236752,0.01576768,0.54721476
-5.94597299,1.43545371,0.03026450,0.07312403,0.88000323,0.54458484,0.01634977,0.56832399
-5.93996998,1.48578027,0.02963622,0.07452983,0.92717023,0.55827799,0.01705881,0.59159189
-5.93396698,1.53987638,0.02902864,0.07597565,0.97592003,0.57327518,0.01787500,0.61664872
-5.92796398,1.59681963,0.02845326,0.07742145,1.02543290,0.58935893,0.01877656,0.64307732
-5.92196098,1.65559862,0.02791796,0.07882600,1.07486027,0.60627168,0.01974021,0.67042375
-5.91595798,1.71514145,0.02742684,0.08014816,1.12334805,0.62372362,0.02074182,0.69820979
-5.90995498,1.77434799,0.02698027,0.08134817,1.17006131,0.64140239,0.02175698,0.72594696
-5.90395198,1.83212459,0.02657511,0.08238899,1.21420928,0.65898432,0.02276163,0.75315148
-5.89794897,1.88741999,0.02620504,0.08323757,1.25506974,0.67614658,0.02373267,0.77935958
-5.89194597,1.93926056,0.02586116,0.08386600,1.29201165,0.69257977,0.02464856,0.80414249
-5.88594297,1.98678346,0.02553251,0.08425244,1.32451506,0.70800026,0.02548983,0.82712045
-5.87993997,2.02926605,0.02520683,0.08438181,1.35218743,0.72216175,0.02623957,0.84797513
-5.87393697,2.06615008,0.02487122,0.08424626,1.37477549,0.73486524,0.02688382,0.86645977
-5.86793397,2.09705953,0.02451289,0.08384523,1.39217218,0.74596721,0.02741181,0.88240662
-5.86193097,2.12181115,0.02411978,0.08318526,1.40441823,0.75538528,0.02781616,0.89573131
-5.85592796,2.14041724,0.02368119,0.08227954,1.41169823,0.76310122,0.02809294,0.90643388
-5.84992496,2.15308048,0.02318827,0.08114706,1.41433152,0.76916118,0.02824155,0.91459651
-5.84392196,2.16018109,0.02263436,0.07981167,1.41275812,0.77367302,0.02826457,0.92037788
-5.83791896,2.16225699,0.02201532,0.07830083,1.40752035,0.77680093,0.02816743,0.92400470
-5.83191596,2.15997795,0.02132957,0.07664436,1.39924106,0.77875766,0.02795805,0.92576059
-5.82591296,2.15411495,0.02057814,0.07487309,1.38859932,0.77979472,0.02764635,0.92597292
-5.81990995,2.14550625,0.01976455,0.07301754,1.37630451,0.78019089,0.02724377,0.92499825
-5.81390695,2.13502166,0.01889453,0.07110668,1.36307019,0.78023984,0.02676271,0.92320700
-5.80790395,2.12352668,0.01797578,0.06916690,1.34958834,0.78023714,0.02621605,0.92096798
-5.80190095,2.11184785,0.01701753,0.06722111,1.33650532,0.78046731,0.02561662,0.91863346
-5.79589795,2.10074083,0.01603017,0.06528814,1.32440017,0.78119161,0.02497677,0.91652532
-5.78989495,2.09086229,0.01502480,0.06338232,1.31376592,0.78263663,0.02430800,0.91492285
-5.78389195,2.08274654,0.01401278,0.06151340,1.30499462,0.78498459,0.02362067,0.91405246
-5.77788894,2.07678754,0.01300534,0.05968664,1.29836628,0.78836521,0.02292376,0.91407978
-5.77188594,2.07322677,0.01201321,0.05790319,1.29404186,0.79284979,0.02222484,0.91510414
-5.76588294,2.07214712,0.01104629,0.05616058,1.29206062,0.79844734,0.02152998,0.91715578
-5.75987994,2.07347267,0.01011339,0.05445346,1.29234133,0.80510308,0.02084381,0.92019541
-5.75387694,2.07697413,0.00922205,0.05277429,1.29468755,0.81269925,0.02016971,0.92411647
-5.74787394,2.08227966,0.00837839,0.05111422,1.29879627,0.82105813,0.01950992,0.92874960
-5.74187094,2.08889036,0.00758708,0.04946386,1.30426988,0.82994722,0.01886582,0.93386921
-5.73586793,2.09619996,0.00685130,0.04781404,1.31063082,0.83908643,0.01823813,0.93920206
-5.72986493,2.10351784,0.00617282,0.04615650,1.31733856,0.84815693,0.01762717,0.94443727
-5.72386193,2.11009476,0.00555210,0.04448443,1.32380828,0.85681161,0.01703310,0.94923766
-5.71785893,2.11515046,0.00498840,0.04279288,1.32943093,0.86468658,0.01645615,0.95325202
-5.71185593,2.11790209,0.00447995,0.04107908,1.33359380,0.87141357,0.01589674,0.95612776
-5.70585293,2.11759282,0.00402414,0.03934254,1.33570130,0.87663260,0.01535566,0.95752390
-5.69984992,2.11351953,0.00361769,0.03758510,1.33519517,0.88000474,0.01483413,0.95712348
-5.69384692,2.10505875,0.00325684,0.03581076,1.33157351,0.88122421,0.01433386,0.95464548
-5.68784392,2.09168982,0.00293752,0.03402550,1.32440811,0.88002964,0.01385699,0.94985540
