energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.52068987,0.01550502,0.27032795,1.25130224,0.99419707,1.07680444,0.00000000,0.62008521,0.19793763
-5.99399700,2.47337840,0.01496907,0.26839557,1.22393489,0.97566079,1.05735348,0.00000000,0.60982461,0.19475735
-5.98799400,2.42375895,0.01439062,0.26595629,1.19540928,0.95522719,1.03851227,0.00000000,0.60018008,0.19174679
-5.98199100,2.37263822,0.01377845,0.26303494,1.16601349,0.93325520,1.02062918,0.00000000,0.59134822,0.18896073
-5.97598799,2.32074706,0.01314191,0.25965557,1.13601155,0.91009174,1.00398488,0.00000000,0.58347806,0.18644190
-5.96998499,2.26872844,0.01249093,0.25584196,1.10564566,0.88606365,0.98878770,0.00000000,0.57666869,0.18422074
-5.96398199,2.21712917,0.01183585,0.25161823,1.07513928,0.86147063,0.97517142,0.00000000,0.57096860,0.18231547
-5.95797899,2.16639529,0.01118736,0.24700951,1.04470073,0.83657952,0.96319560,0.00000000,0.56637682,0.18073270
-5.95197599,2.11687129,0.01055640,0.24204259,1.01452708,0.81162000,0.95284839,0.00000000,0.56284574,0.17946836
-5.94597299,2.06880294,0.00995404,0.23674648,0.98480773,0.78678184,0.94405166,0.00000000,0.56028554,0.17850896
-5.93996998,2.02234338,0.00939142,0.23115290,0.95572774,0.76221377,0.93666832,0.00000000,0.55856990,0.17783320
-5.93396698,1.97756220,0.00887957,0.22529650,0.92747031,0.73802398,0.93051149,0.00000000,0.55754298,0.17741375
-5.92796398,1.93445697,0.00842933,0.21921508,0.90021851,0.71428204,0.92535513,0.00000000,0.55702708,0.17721916
-5.92196098,1.89296663,0.00805125,0.21294942,0.87415588,0.69102230,0.92094578,0.00000000,0.55683101,0.17721589
-5.91595798,1.85298604,0.00775535,0.20654310,0.84946601,0.66824843,0.91701486,0.00000000,0.55675852,0.17737017
-5.90995498,1.81438110,0.00755107,0.20004199,0.82633100,0.64593895,0.91329109,0.00000000,0.55661664,0.17764989
-5.90395198,1.77700353,0.00744702,0.19349373,0.80492876,0.62405336,0.90951235,0.00000000,0.55622350,0.17802607
-5.89794897,1.74070464,0.00745085,0.18694689,0.78542930,0.60253867,0.90543656,0.00000000,0.55541527,0.17847419
-5.89194597,1.70534749,0.00756900,0.18045020,0.76799013,0.58133591,0.90085115,0.00000000,0.55405205,0.17897495
-5.88594297,1.67081669,0.00780658,0.17405156,0.75275088,0.56038638,0.89558045,0.00000000,0.55202227,0.17951478
-5.87993997,1.63702542,0.00816710,0.16779707,0.73982742,0.53963724,0.88949094,0.00000000,0.54924565,0.18008569
-5.87393697,1.60391948,0.00865231,0.16173002,0.72930567,0.51904629,0.88249406,0.00000000,0.54567447,0.18068478
-5.86793397,1.57147814,0.00926204,0.15588991,0.72123549,0.49858566,0.87454640,0.00000000,0.54129317,0.18131327
-5.86193097,1.53971198,0.00999407,0.15031152,0.71562489,0.47824435,0.86564758,0.00000000,0.53611653,0.18197509
-5.85592796,1.50865801,0.01084397,0.14502409,0.71243502,0.45802946,0.85583587,0.00000000,0.53018635,0.18267530
-5.84992496,1.47837266,0.01180514,0.14005062,0.71157631,0.43796626,0.84518208,0.00000000,0.52356710,0.18341823
-5.84392196,1.44892339,0.01286878,0.13540738,0.71290603,0.41809711,0.83378202,0.00000000,0.51634090,0.18420566
-5.83791896,1.42037959,0.01402400,0.13110357,0.71622786,0.39847942,0.82174843,0.00000000,0.50860195,0.18503507
-5.83191596,1.39280386,0.01525802,0.12714134,0.72129347,0.37918298,0.80920268,0.00000000,0.50045121,0.18589820
-5.82591296,1.36624455,0.01655642,0.12351600,0.72780664,0.36028666,0.79626709,0.00000000,0.49199134,0.18677995
-5.81990995,1.34073026,0.01790353,0.12021656,0.73542979,0.34187513,0.78305846,0.00000000,0.48332253,0.18765790
-5.81390695,1.31626718,0.01928288,0.11722660,0.74379309,0.32403556,0.76968323,0.00000000,0.47453946,0.18850240
-5.80790395,1.29283965,0.02067765,0.11452539,0.75250591,0.30685472,0.75623465,0.00000000,0.46572956,0.18927731
-5.80190095,1.27041428,0.02207135,0.11208934,0.76117038,0.29041669,0.74279236,0.00000000,0.45697271,0.18994148
