energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.85621079,0.30411631,0.00150497,0.33020285,2.27901677,1.56650874,0.76796890,0.00000000
-5.99399700,2.84524279,0.30011503,0.00144281,0.33007979,2.25234647,1.56267786,0.76432428,0.00000000
-5.98799400,2.82960757,0.29496828,0.00138600,0.32962791,2.22614603,1.55576886,0.75920671,0.00000000
-5.98199100,2.80825780,0.28874538,0.00133306,0.32873411,2.19959473,1.54514658,0.75239997,0.00000000
-5.97598799,2.78038994,0.28154685,0.00128263,0.32730487,2.17201385,1.53031667,0.74376067,0.00000000
-5.96998499,2.74546333,0.27350038,0.00123361,0.32526794,2.14288636,1.51093708,0.73322202,0.00000000
-5.96398199,2.70320737,0.26475576,0.00118508,0.32257302,2.11186705,1.48682313,0.72079423,0.00000000
-5.95797899,2.65361752,0.25547901,0.00113637,0.31919137,2.07878335,1.45794623,0.70656159,0.00000000
-5.95197599,2.59694069,0.24584590,0.00108703,0.31511469,2.04362746,1.42442677,0.69067661,0.00000000
-5.94597299,2.53365152,0.23603528,0.00103685,0.31035314,2.00654092,1.38652171,0.67335158,0.00000000
-5.93996998,2.46442112,0.22622250,0.00098582,0.30493286,1.96779297,1.34460796,0.65484801,0.00000000
-5.93396698,2.39008026,0.21657321,0.00093414,0.29889321,1.92775421,1.29916234,0.63546457,0.00000000
-5.92796398,2.31157892,0.20723782,0.00088220,0.29228368,1.88686749,1.25073936,0.61552413,0.00000000
-5.92196098,2.22994448,0.19834691,0.00083056,0.28516094,1.84561756,1.19994790,0.59536052,0.00000000
-5.91595798,2.14624038,0.19000765,0.00077996,0.27758603,1.80450123,1.14742787,0.57530568,0.00000000
-5.90995498,2.06152722,0.18230152,0.00073125,0.26962182,1.76399963,1.09382788,0.55567771,0.00000000
-5.90395198,1.97682786,0.17528327,0.00068546,0.26133093,1.72455381,1.03978484,0.53677031,0.00000000
-5.89794897,1.89309782,0.16898120,0.00064375,0.25277414,1.68654470,0.98590616,0.51884411,0.00000000
-5.89194597,1.81120192,0.16339867,0.00060740,0.24400928,1.65027819,0.93275516,0.50212005,0.00000000
-5.88594297,1.73189774,0.15851677,0.00057787,0.23509072,1.61597575,0.88084002,0.48677518,0.00000000
-5.87993997,1.65582612,0.15429791,0.00055676,0.22606926,1.58377050,0.83060645,0.47294071,0.00000000
-5.87393697,1.58350846,0.15069026,0.00054587,0.21699253,1.55370880,0.78243398,0.46070251,0.00000000
-5.86793397,1.51535047,0.14763267,0.00054716,0.20790570,1.52575661,0.73663581,0.45010377,0.00000000
-5.86193097,1.45165147,0.14505997,0.00056284,0.19885246,1.49980996,0.69346170,0.44114953,0.00000000
-5.85592796,1.39261838,0.14290823,0.00059533,0.18987609,1.47570885,0.65310357,0.43381295,0.00000000
-5.84992496,1.33838327,0.14111986,0.00064730,0.18102067,1.45325339,0.61570312,0.42804276,0.00000000
-5.84392196,1.28902315,0.13964824,0.00072170,0.17233214,1.43222125,0.58136105,0.42377153,0.00000000
-5.83791896,1.24458086,0.13846170,0.00082170,0.16385925,1.41238551,0.55014706,0.42092440,0.00000000
-5.83191596,1.20508589,0.13754659,0.00095071,0.15565424,1.39353187,0.52211009,0.41942766,0.00000000
-5.82591296,1.17057379,0.13690938,0.00111238,0.14777328,1.37547435,0.49728828,0.41921699,0.00000000
-5.81990995,1.14110339,0.13657766,0.00131047,0.14027655,1.35806892,0.47571800,0.42024472,0.00000000
-5.81390695,1.11677076,0.13659993,0.00154887,0.13322796,1.34122431,0.45744159,0.42248594,0.00000000
-5.80790395,1.09771932,0.13704428,0.00183145,0.12669454,1.32490973,0.44251333,0.42594308,0.00000000
-5.80190095,1.08414554,0.13799588,0.00216197,0.12074548,1.30915912,0.43100357,0.43064870,0.00000000
-5.79589795,1.07629983,0.13955347,0.00254393,0.11545090,1.29407188,0.42300052,0.43666638,0.00000000
-5.78989495,1.07448271,0.14182497,0.00298047,0.11088031,1.27981011,0.41860990,0.44408960,0.00000000
-5.78389195,1.07903598,0.14492233,0.00347414,0.10710087,1.26659250,0.41795230,0.45303853,0.00000000
-5.77788894,1.09032952,0.14895594,0.00402677,0.10417559,1.25468511,0.42115839,0.46365483,0.00000000
-5.77188594,1.10874396,0.15402870,0.00463925,0.10216130,1.24438950,0.42836215,0.47609474,0.00000000
-5.76588294,1.13464982,0.16023009,0.00531142,0.10110676,1.23602862,0.43969248,0.49052036,0.00000000
-5.75987994,1.16838418,0.16763054,0.00604188,0.10105070,1.22993104,0.45526341,0.50708991,0.00000000
-5.75387694,1.21022557,0.17627616,0.00682783,0.10202012,1.22641409,0.47516339,0.52594687,0.00000000
-5.74787394,1.26036833,0.18618438,0.00766501,0.10402861,1.22576679,0.49944427,0.54720888,0.00000000
-5.74187094,1.31889760,0.19734035,0.00854766,0.10707510,1.22823291,0.52811021,0.57095664,0.00000000
-5.73586793,1.38576615,0.20969462,0.00946845,0.11114277,1.23399538,0.56110737,0.59722351,0.00000000
-5.72986493,1.46077435,0.22316202,0.01041857,0.11619844,1.24316235,0.59831479,0.62598632,0.00000000
-5.72386193,1.54355446,0.23762190,0.01138786,0.12219227,1.25575581,0.63953696,0.65715789,0.00000000
-5.71785893,1.63356032,0.25291979,0.01236496,0.12905795,1.27170340,0.68449871,0.69058193,0.00000000
-5.71185593,1.73006340,0.26887043,0.01333752,0.13671329,1.29083381,0.73284277,0.72603045,0.00000000
-5.70585293,1.83215574,0.28526204,0.01429255,0.14506137,1.31287619,0.78413034,0.76320435,0.00000000
-5.69984992,1.93876042,0.30186185,0.01521672,0.15399200,1.33746384,0.83784488,0.80173705,0.00000000
-5.69384692,2.04864925,0.31842243,0.01609674,0.16338371,1.36414198,0.89339920,0.84120136,0.00000000
-5.68784392,2.16046773,0.33468883,0.01691978,0.17310609,1.39237972,0.95014577,0.88111941,0.00000000
-5.68184092,2.27276619,0.35040609,0.01767383,0.18302244,1.42158546,1.00739003,0.92097525,0.00000000
-5.67583792,2.38403642,0.36532694,0.01834815,0.19299263,1.45112535,1.06440619,0.96022978,0.00000000
-5.66983492,2.49275216,0.37921921,0.01893359,0.20287625,1.48034393,1.12045518,0.99833722,0.00000000
-5.66383192,2.59741197,0.39187285,0.01942294,0.21253565,1.50858604,1.17480390,1.03476245,0.00000000
-5.65782891,2.69658261,0.40310609,0.01981117,0.22183910,1.53521898,1.22674517,1.06899847,0.00000000
-5.65182591,2.78894118,0.41277063,0.02009565,0.23066372,1.55965393,1.27561751,1.10058302,0.00000000
-5.64582291,2.87331407,0.42075558,0.02027621,0.23889826,1.58136558,1.32082403,1.12911366,0.00000000
-5.63981991,2.94871123,0.42699008,0.02035519,0.24644547,1.59990906,1.36184966,1.15426050,0.00000000
-5.63381691,3.01435421,0.43144442,0.02033737,0.25322422,1.61493356,1.39827600,1.17577607,0.00000000
-5.62781391,3.06969682,0.43412985,0.02022980,0.25917109,1.62619189,1.42979339,1.19350175,0.00000000
-5.62181091,3.11443799,0.43509690,0.02004155,0.26424149,1.63354579,1.45620960,1.20737069,0.00000000
-5.61580790,3.14852623,0.43443259,0.01978343,0.26841038,1.63696695,1.47745511,1.21740704,0.00000000
-5.60980490,3.17215600,0.43225652,0.01946760,0.27167240,1.63653375,1.49358476,1.22372179,0.00000000
-5.60380190,3.18575662,0.42871619,0.01910720,0.27404160,1.63242429,1.50477589,1.22650545,0.00000000
-5.59779890,3.18997443,0.42398173,0.01871588,0.27555073,1.62490616,1.51132329,1.22601827,0.00000000
