energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.35507042,0.37692781,0.42279883,0.11795479,0.36046718,0.12100043,0.00018481
-5.99399700,1.31194047,0.36786179,0.40887295,0.11461674,0.35050578,0.11749834,0.00017650
-5.98799400,1.26333284,0.35710029,0.39321838,0.11075958,0.33881103,0.11352586,0.00016783
-5.98199100,1.21008585,0.34482501,0.37611671,0.10646594,0.32559874,0.10914137,0.00015893
-5.97598799,1.15310815,0.33124386,0.35787048,0.10182637,0.31111058,0.10440988,0.00014992
-5.96998499,1.09335853,0.31658676,0.33879605,0.09693707,0.29560772,0.09940194,0.00014093
-5.96398199,1.03182515,0.30110098,0.31921634,0.09189770,0.27936425,0.09419244,0.00013207
-5.95797899,0.96950494,0.28504616,0.29945371,0.08680910,0.26266043,0.08885942,0.00012347
-5.95197599,0.90738374,0.26868918,0.27982326,0.08177112,0.24577609,0.08348278,0.00011524
-5.94597299,0.84641759,0.25229907,0.26062653,0.07688054,0.22898441,0.07814301,0.00010750
-5.93996998,0.78751582,0.23614197,0.24214599,0.07222922,0.21254612,0.07291994,0.00010036
-5.93396698,0.73152601,0.22047638,0.22464016,0.06790237,0.19670449,0.06789159,0.00009391
-5.92796398,0.67922120,0.20554888,0.20833958,0.06397715,0.18168100,0.06313307,0.00008826
-5.92196098,0.63128949,0.19159012,0.19344364,0.06052136,0.16767183,0.05871559,0.00008349
-5.91595798,0.58832587,0.17881150,0.18011821,0.05759250,0.15484524,0.05470561,0.00007969
-5.90995498,0.55082640,0.16740225,0.16849402,0.05523703,0.14333979,0.05116404,0.00007693
-5.90395198,0.51918441,0.15752715,0.15866590,0.05348978,0.13326331,0.04814564,0.00007529
-5.89794897,0.49368879,0.14932469,0.15069258,0.05237369,0.12469265,0.04569843,0.00007484
-5.89194597,0.47452381,0.14290584,0.14459719,0.05189968,0.11767403,0.04386324,0.00007561
-5.88594297,0.46177060,0.13835315,0.14036827,0.05206671,0.11222399,0.04267335,0.00007767
-5.87993997,0.45540985,0.13572032,0.13796135,0.05286211,0.10833083,0.04215413,0.00008104
-5.87393697,0.45532559,0.13503214,0.13730088,0.05426197,0.10595639,0.04232275,0.00008575
-5.86793397,0.46131006,0.13628471,0.13828265,0.05623179,0.10503817,0.04318800,0.00009182
-5.86193097,0.47306932,0.13944594,0.14077653,0.05872729,0.10549174,0.04475000,0.00009924
-5.85592796,0.49022979,0.14445637,0.14462959,0.06169537,0.10721332,0.04700013,0.00010800
-5.84992496,0.51234549,0.15123022,0.14966950,0.06507526,0.11008252,0.04992090,0.00011806
-5.84392196,0.53890613,0.15965668,0.15570827,0.06879982,0.11396528,0.05348590,0.00012938
-5.83791896,0.56934597,0.16960159,0.16254617,0.07279701,0.11871681,0.05765995,0.00014190
-5.83191596,0.60305347,0.18090931,0.16997596,0.07699144,0.12418470,0.06239927,0.00015551
-5.82591296,0.63938183,0.19340504,0.17778717,0.08130613,0.13021211,0.06765185,0.00017011
-5.81990995,0.67766013,0.20689747,0.18577056,0.08566418,0.13664085,0.07335802,0.00018557
-5.81390695,0.71720522,0.22118171,0.19372252,0.08999068,0.14331462,0.07945112,0.00020173
-5.80790395,0.75733412,0.23604272,0.20144942,0.09421435,0.15008208,0.08585851,0.00021844
-5.80190095,0.79737663,0.25125895,0.20877170,0.09826935,0.15679977,0.09250261,0.00023550
-5.79589795,0.83668806,0.26660628,0.21552770,0.10209676,0.16333496,0.09930225,0.00025270
-5.78989495,0.87466157,0.28186218,0.22157705,0.10564596,0.16956811,0.10617408,0.00026984
-5.78389195,0.91073990,0.29680985,0.22680350,0.10887574,0.17539506,0.11303411,0.00028669
-5.77788894,0.94442610,0.31124241,0.23111708,0.11175512,0.18072882,0.11979930,0.00030303
-5.77188594,0.97529272,0.32496685,0.23445564,0.11426377,0.18550080,0.12638912,0.00031864
-5.76588294,1.00298928,0.33780765,0.23678549,0.11639213,0.18966163,0.13272702,0.00033330
-5.75987994,1.02724760,0.34960992,0.23810130,0.11814110,0.19318133,0.13874183,0.00034681
