energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,5.25040520,2.31721973,2.16949077,1.51920472,0.01390211,1.17561708,0.00000000
-5.99399700,5.38233240,2.39691251,2.22439132,1.55174164,0.01404318,1.21237847,0.00000000
-5.98799400,5.51631875,2.47650033,2.28058996,1.58514496,0.01422915,1.24859532,0.00000000
-5.98199100,5.64937778,2.55448220,2.33682900,1.61848430,0.01445496,1.28353800,0.00000000
-5.97598799,5.77821041,2.62921083,2.39171977,1.65072521,0.01471443,1.31643809,0.00000000
-5.96998499,5.89931789,2.69894081,2.44379254,1.68076524,0.01500057,1.34651265,0.00000000
-5.96398199,6.00912889,2.76188466,2.49155204,1.70747407,0.01530588,1.37299135,0.00000000
-5.95797899,6.10413508,2.81627406,2.53353603,1.72973619,0.01562266,1.39514498,0.00000000
-5.95197599,6.18102877,2.86042392,2.56837388,1.74649416,0.01594341,1.41231412,0.00000000
-5.94597299,6.23683603,2.89279614,2.59484258,1.75679044,0.01626105,1.42393638,0.00000000
-5.93996998,6.26903883,2.91206015,2.61191744,1.75980606,0.01656923,1.42957091,0.00000000
-5.93396698,6.27568039,2.91714729,2.61881492,1.75489423,0.01686250,1.42891874,0.00000000
-5.92796398,6.25544856,2.90729637,2.61502572,1.74160744,0.01713647,1.42183805,0.00000000
-5.92196098,6.20773347,2.88208814,2.60033662,1.71971696,0.01738790,1.40835348,0.00000000
-5.91595798,6.13265683,2.84146705,2.57484004,1.68922376,0.01761467,1.38865897,0.00000000
-5.90995498,6.03107176,2.78574919,2.53893130,1.65036066,0.01781575,1.36311397,0.00000000
-5.90395198,5.90453382,2.71561610,2.49329370,1.60358570,0.01799106,1.33223328,0.00000000
-5.89794897,5.75524502,2.63209488,2.43887274,1.54956717,0.01814133,1.29667096,0.00000000
-5.89194597,5.58597409,2.53652556,2.37684068,1.48916123,0.01826787,1.25719915,0.00000000
-5.88594297,5.39995752,2.43051755,2.30855367,1.42338332,0.01837237,1.21468280,0.00000000
-5.87993997,5.20078634,2.31589727,2.23550351,1.35337467,0.01845666,1.17005157,0.00000000
-5.87393697,4.99228437,2.19464946,2.15926658,1.28036569,0.01852252,1.12427020,0.00000000
-5.86793397,4.77838367,2.06885498,2.08145221,1.20563762,0.01857147,1.07830865,0.00000000
-5.86193097,4.56300274,1.94062783,2.00365286,1.13048429,0.01860464,1.03311325,0.00000000
-5.85592796,4.34993253,1.81205406,1.92739809,1.05617528,0.01862265,0.98958011,0.00000000
-5.84992496,4.14273443,1.68513484,1.85411394,0.98392196,0.01862561,0.94853168,0.00000000
-5.84392196,3.94465374,1.56173597,1.78508912,0.91484729,0.01861311,0.91069723,0.00000000
-5.83791896,3.75855085,1.44354514,1.72144856,0.84996029,0.01858430,0.87669779,0.00000000
