energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.44379656,0.00668784,0.01746611,0.15301932,0.03347943,0.27272283,0.00000000,0.09060480,0.03450779
-5.99399700,0.38279620,0.00577418,0.01510043,0.13205270,0.02887339,0.23518525,0.00000000,0.07816616,0.02977668
-5.98799400,0.32784911,0.00495005,0.01296280,0.11314750,0.02472888,0.20138188,0.00000000,0.06695805,0.02551248
-5.98199100,0.27882203,0.00421367,0.01104960,0.09626104,0.02103643,0.17122848,0.00000000,0.05695319,0.02170550
-5.97598799,0.23548834,0.00356181,0.00935345,0.08131754,0.01777984,0.14458349,0.00000000,0.04810523,0.01833868
-5.96998499,0.19754903,0.00299015,0.00786400,0.06821522,0.01493787,0.12126091,0.00000000,0.04035290,0.01538931
-5.96398199,0.16465323,0.00249352,0.00656873,0.05683320,0.01248593,0.10104303,0.00000000,0.03362414,0.01283056
-5.95797899,0.13641785,0.00206622,0.00545369,0.04703819,0.01039781,0.08369239,0.00000000,0.02783994,0.01063308
-5.95197599,0.11244569,0.00170228,0.00450427,0.03869043,0.00864720,0.06896293,0.00000000,0.02291797,0.00876636
-5.94597299,0.09234174,0.00139568,0.00370579,0.03164910,0.00720925,0.05660992,0.00000000,0.01877571,0.00720008
-5.93996998,0.07572753,0.00114054,0.00304414,0.02577691,0.00606197,0.04639874,0.00000000,0.01533329,0.00590521
-5.93396698,0.06225351,0.00093133,0.00250630,0.02094403,0.00518750,0.03811231,0.00000000,0.01251581,0.00485507
-5.92796398,0.05160957,0.00076299,0.00208081,0.01703117,0.00457347,0.03155741,0.00000000,0.01025531,0.00402614
-5.92196098,0.04353383,0.00063098,0.00175814,0.01393211,0.00421410,0.02656994,0.00000000,0.00849229,0.00339889
-5.91595798,0.03782003,0.00053146,0.00153114,0.01155561,0.00411144,0.02301919,0.00000000,0.00717702,0.00295842
-5.90995498,0.03432379,0.00046126,0.00139533,0.00982682,0.00427654,0.02081142,0.00000000,0.00627044,0.00269507
-5.90395198,0.03296782,0.00041795,0.00134924,0.00868830,0.00473061,0.01989277,0.00000000,0.00574495,0.00260501
-5.89794897,0.03374660,0.00039984,0.00139477,0.00810076,0.00550623,0.02025170,0.00000000,0.00558494,0.00269081
-5.89194597,0.03673046,0.00040601,0.00153748,0.00804354,0.00664858,0.02192112,0.00000000,0.00578727,0.00296198
-5.88594297,0.04206921,0.00043626,0.00178699,0.00851498,0.00821662,0.02498011,0.00000000,0.00636156,0.00343555
