energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,5.26811442,0.13374201,0.00000000,0.04360157,3.53904933,2.14681265,2.41761939
-5.99399700,5.14908427,0.12948866,0.00000000,0.04228215,3.47623825,2.09239769,2.37286828
-5.98799400,5.01714215,0.12503180,0.00000000,0.04085315,3.40268376,2.03226091,2.32066467
-5.98199100,4.87353517,0.12043685,0.00000000,0.03933659,3.31905875,1.96711643,2.26139549
-5.97598799,4.71971896,0.11576865,0.00000000,0.03775514,3.22623758,1.89775131,2.19559549
-5.96998499,4.55732397,0.11108976,0.00000000,0.03613140,3.12527413,1.82500682,2.12393539
-5.96398199,4.38811745,0.10645894,0.00000000,0.03448738,3.01737510,1.74975951,2.04720568
-5.95797899,4.21396234,0.10192988,0.00000000,0.03284394,2.90386934,1.67290271,1.96629652
-5.95197599,4.03677456,0.09755011,0.00000000,0.03122034,2.78617456,1.59532883,1.88217482
-5.94597299,3.85848029,0.09336028,0.00000000,0.02963388,2.66576276,1.51791325,1.79585924
-5.93996998,3.68097498,0.08939361,0.00000000,0.02809958,2.54412569,1.44150004,1.70839451
-5.93396698,3.50608544,0.08567577,0.00000000,0.02663001,2.42274176,1.36689001,1.62082590
-5.92796398,3.33553659,0.08222492,0.00000000,0.02523520,2.30304559,1.29483120,1.53417512
-5.92196098,3.17092389,0.07905207,0.00000000,0.02392266,2.18640132,1.22601213,1.44941848
-5.91595798,3.01369222,0.07616166,0.00000000,0.02269743,2.07408059,1.16105770,1.36746821
-5.90995498,2.86512188,0.07355233,0.00000000,0.02156225,1.96724557,1.10052764,1.28915748
-5.90395198,2.72632166,0.07121789,0.00000000,0.02051784,1.86693749,1.04491746,1.21522945
-5.89794897,2.59822873,0.06914833,0.00000000,0.01956310,1.77407066,0.99466141,1.14633062
-5.89194597,2.48161490,0.06733098,0.00000000,0.01869550,1.68943150,0.95013726,1.08300820
-5.88594297,2.37709821,0.06575164,0.00000000,0.01791137,1.61368224,0.91167232,1.02571130
-5.87993997,2.28515888,0.06439574,0.00000000,0.01720629,1.54736842,0.87955032,0.97479543
-5.87393697,2.20615812,0.06324939,0.00000000,0.01657540,1.49092920,0.85401853,0.93052956
-5.86793397,2.14035867,0.06230038,0.00000000,0.01601375,1.44470967,0.83529479,0.89310522
-5.86193097,2.08794548,0.06153902,0.00000000,0.01551659,1.40897390,0.82357373,0.86264660
-5.85592796,2.04904520,0.06095886,0.00000000,0.01507968,1.38391778,0.81903196,0.83922109
-5.84992496,2.02374339,0.06055722,0.00000000,0.01469946,1.36968081,0.82183168,0.82284939
-5.84392196,2.01209828,0.06033550,0.00000000,0.01437329,1.36635588,0.83212249,0.81351461
-5.83791896,2.01415040,0.06029933,0.00000000,0.01409960,1.37399649,0.85004118,0.81116990
-5.83191596,2.02992744,0.06045851,0.00000000,0.01387793,1.39262106,0.87570942,0.81574404
-5.82591296,2.05944428,0.06082670,0.00000000,0.01370901,1.42221401,0.90922931,0.82714506
-5.81990995,2.10269814,0.06142099,0.00000000,0.01359478,1.46272372,0.95067706,0.84526153
-5.81390695,2.15965929,0.06226120,0.00000000,0.01353828,1.51405764,1.00009497,0.86996188
-5.80790395,2.23025798,0.06336910,0.00000000,0.01354362,1.57607501,1.05748213,0.90109177
-5.80190095,2.31436844,0.06476742,0.00000000,0.01361579,1.64857777,1.12278438,0.93847013
-5.79589795,2.41179110,0.06647883,0.00000000,0.01376053,1.73130051,1.19588401,0.98188404
-5.78989495,2.52223416,0.06852480,0.00000000,0.01398409,1.82390033,1.27658993,1.03108324
-5.78389195,2.64529593,0.07092444,0.00000000,0.01429299,1.92594743,1.36462890,1.08577470
-5.77788894,2.78044910,0.07369339,0.00000000,0.01469379,2.03691734,1.45963847,1.14561778
-5.77188594,2.92702821,0.07684275,0.00000000,0.01519276,2.15618564,1.56116224,1.21022065
-5.76588294,3.08422146,0.08037814,0.00000000,0.01579562,2.28302581,1.66864792,1.27913821
-5.75987994,3.25106766,0.08429887,0.00000000,0.01650722,2.41661070,1.78144864,1.35187212
-5.75387694,3.42645901,0.08859742,0.00000000,0.01733124,2.55601803,1.89882766,1.42787291
-5.74787394,3.60914995,0.09325901,0.00000000,0.01826991,2.70023989,2.01996666,1.50654456
-5.74187094,3.79777226,0.09826155,0.00000000,0.01932375,2.84819616,2.14397741,1.58725123
-5.73586793,3.99085583,0.10357577,0.00000000,0.02049132,2.99875150,2.26991655,1.66932626
-5.72986493,4.18685473,0.10916571,0.00000000,0.02176903,3.15073529,2.39680309,1.75208295
-5.72386193,4.38417747,0.11498938,0.00000000,0.02315100,3.30296376,2.52363786,1.83482679
-5.71785893,4.58122029,0.12099975,0.00000000,0.02462898,3.45426348,2.64942434,1.91686871
-5.71185593,4.77640217,0.12714589,0.00000000,0.02619233,3.60349510,2.77318980,1.99753868
-5.70585293,4.96820012,0.13337430,0.00000000,0.02782809,3.74957646,2.89400614,2.07619923
-5.69984992,5.15518314,0.13963033,0.00000000,0.02952110,3.89150408,3.01100935,2.15225818
-5.69384692,5.33604345,0.14585964,0.00000000,0.03125422,4.02837203,3.12341688,2.22518022
-5.68784392,5.50962372,0.15200965,0.00000000,0.03300866,4.15938753,3.23054217,2.29449667
-5.68184092,5.67493910,0.15803094,0.00000000,0.03476431,4.28388263,3.33180580,2.35981330
-5.67583792,5.83119321,0.16387845,0.00000000,0.03650022,4.40132159,3.42674280,2.42081559
-5.66983492,5.97778753,0.16951252,0.00000000,0.03819510,4.51130386,3.51500609,2.47727171
-5.66383192,6.11432391,0.17489969,0.00000000,0.03982783,4.61356257,3.59636582,2.52903273
-5.65782891,6.24060028,0.18001326,0.00000000,0.04137809,4.70795889,3.67070497,2.57603055
-5.65182591,6.35659999,0.18483354,0.00000000,0.04282688,4.79447275,3.73801168,2.61827340
-5.64582291,6.46247539,0.18934779,0.00000000,0.04415713,4.87319033,3.79836857,2.65583942
-5.63981991,6.55852657,0.19354997,0.00000000,0.04535420,4.94428928,3.85194007,2.68886861
-5.63381691,6.64517638,0.19744016,0.00000000,0.04640640,5.00802222,3.89895822,2.71755347
-5.62781391,6.72294293,0.20102380,0.00000000,0.04730534,5.06469949,3.93970788,2.74212887
-5.62181091,6.79241073,0.20431077,0.00000000,0.04804630,5.11467185,3.97451203,2.76286148
-5.61580790,6.85420195,0.20731434,0.00000000,0.04862839,5.15831388,4.00371781,2.78003936
-5.60980490,6.90894871,0.21005006,0.00000000,0.04905466,5.19600870,4.02768406,2.79396179
-5.60380190,6.95726779,0.21253467,0.00000000,0.04933213,5.22813458,4.04677051,2.80492996
-5.59779890,6.99973837,0.21478507,0.00000000,0.04947159,5.25505372,4.06132933,2.81323864
-5.59179590,7.03688378,0.21681740,0.00000000,0.04948746,5.27710356,4.07169875,2.81916906
-5.58579290,7.06915774,0.21864629,0.00000000,0.04939738,5.29459073,4.07819916,2.82298321
-5.57978989,7.09693535,0.22028435,0.00000000,0.04922187,5.30778747,4.08113124,2.82491948
-5.57378689,7.12050911,0.22174185,0.00000000,0.04898386,5.31693071,4.08077605,2.82518984
-5.56778389,7.14008975,0.22302671,0.00000000,0.04870819,5.32222327,4.07739671,2.82397846
-5.56178089,7.15581175,0.22414474,0.00000000,0.04842110,5.32383719,4.07124119,2.82144160
-5.55577789,7.16774309,0.22510010,0.00000000,0.04814970,5.32191874,4.06254597,2.81770885
-5.54977489,7.17589863,0.22589607,0.00000000,0.04792148,5.31659475,4.05154002,2.81288537
-5.54377189,7.18025656,0.22653588,0.00000000,0.04776376,5.30798003,4.03844886,2.80705514
-5.53776888,7.18077696,0.22702380,0.00000000,0.04770331,5.29618543,4.02349832,2.80028497
-5.53176588,7.17742181,0.22736618,0.00000000,0.04776582,5.28132621,4.00691781,2.79262907
-5.52576288,7.17017532,0.22757256,0.00000000,0.04797549,5.26353043,3.98894292,2.78413405
-5.51975988,7.15906386,0.22765660,0.00000000,0.04835464,5.24294703,3.96981729,2.77484405
-5.51375688,7.14417434,0.22763692,0.00000000,0.04892329,5.21975329,3.94979368,2.76480589
-5.50775388,7.12567027,0.22753761,0.00000000,0.04969870,5.19416128,3.92913420,2.75407398
-5.50175088,7.10380463,0.22738849,0.00000000,0.05069500,5.16642324,3.90810984,2.74271482
-5.49574787,7.07892881,0.22722496,0.00000000,0.05192273,5.13683537,3.88699930,2.73081080
-5.48974487,7.05149702,0.22708750,0.00000000,0.05338838,5.10573991,3.86608705,2.71846327
-5.48374187,7.02206576,0.22702074,0.00000000,0.05509396,5.07352531,3.84566092,2.70579455
-5.47773887,6.99128824,0.22707222,0.00000000,0.05703654,5.04062418,3.82600892,2.69294888
-5.47173587,6.95990353,0.22729077,0.00000000,0.05920791,5.00750909,3.80741568,2.68009209
-5.46573287,6.92872101,0.22772468,0.00000000,0.06159423,4.97468592,3.79015813,2.66741007
-5.45972986,6.89860026,0.22841973,0.00000000,0.06417580,4.94268509,3.77450084,2.65510592
-5.45372686,6.87042746,0.22941716,0.00000000,0.06692701,4.91205056,3.76069073,2.64339595
-5.44772386,6.84508888,0.23075168,0.00000000,0.06981643,4.88332693,3.74895147,2.63250450
-5.44172086,6.82344277,0.23244973,0.00000000,0.07280708,4.85704509,3.73947762,2.62265801
-5.43571786,6.80629069,0.23452803,0.00000000,0.07585694,4.83370671,3.73242853,2.61407831
-5.42971486,6.79434960,0.23699245,0.00000000,0.07891972,4.81376833,3.72792254,2.60697556
-5.42371186,6.78822587,0.23983745,0.00000000,0.08194579,4.79762549,3.72603140,2.60154120
-5.41770885,6.78839243,0.24304598,0.00000000,0.08488337,4.78559775,3.72677548,2.59794106
-5.41170585,6.79517003,0.24658988,0.00000000,0.08767991,4.77791525,3.73011993,2.59630919
-5.40570285,6.80871350,0.25043084,0.00000000,0.09028353,4.77470749,3.73597217,2.59674258
-5.39969985,6.82900368,0.25452179,0.00000000,0.09264464,4.77599501,3.74418105,2.59929705
-5.39369685,6.85584531,0.25880866,0.00000000,0.09471748,4.78168446,3.75453781,2.60398463
-5.38769385,6.88887099,0.26323246,0.00000000,0.09646161,4.79156757,3.76677914,2.61077253
-5.38169085,6.92755114,0.26773147,0.00000000,0.09784335,4.80532416,3.78059227,2.61958377
-5.37568784,6.97120940,0.27224349,0.00000000,0.09883690,4.82252939,3.79562227,2.63029945
-5.36968484,7.01904283,0.27670803,0.00000000,0.09942524,4.84266489,3.81148109,2.64276265
-5.36368184,7.07014609,0.28106824,0.00000000,0.09960073,4.86513375,3.82775839,2.65678360
-5.35767884,7.12353839,0.28527259,0.00000000,0.09936533,4.88927851,3.84403348,2.67214608
-5.35167584,7.17819220,0.28927612,0.00000000,0.09873044,4.91440163,3.85988808,2.68861448
-5.34567284,7.23306243,0.29304127,0.00000000,0.09771647,4.93978751,3.87491917,2.70594133
-5.33966983,7.28711487,0.29653824,0.00000000,0.09635189,4.96472504,3.88875150,2.72387481
-5.33366683,7.33935279,0.29974491,0.00000000,0.09467220,4.98852979,3.90104896,2.74216587
-5.32766383,7.38884066,0.30264632,0.00000000,0.09271850,5.01056466,3.91152436,2.76057454
-5.32166083,7.43472415,0.30523380,0.00000000,0.09053594,5.03025820,3.91994717,2.77887521
-5.31565783,7.47624575,0.30750379,0.00000000,0.08817210,5.04711964,3.92614864,2.79686044
-5.30965483,7.51275578,0.30945654,0.00000000,0.08567535,5.06075006,3.93002438,2.81434340
-5.30365183,7.54371851,0.31109466,0.00000000,0.08309324,5.07084931,3.93153395,2.83115859
-5.29764882,7.56871361,0.31242171,0.00000000,0.08047111,5.07721832,3.93069797,2.84716112
-5.29164582,7.58743338,0.31344095,0.00000000,0.07785082,5.07975707,3.92759264,2.86222456
-5.28564282,7.59967638,0.31415426,0.00000000,0.07526981,5.07845841,3.92234238,2.87623762
-5.27963982,7.60533820,0.31456137,0.00000000,0.07276038,5.07339836,3.91511098,2.88910007
-5.27363682,7.60440040,0.31465941,0.00000000,0.07034934,5.06472361,3.90609190,2.90071817
-5.26763382,7.59691854,0.31444284,0.00000000,0.06805792,5.05263710,3.89549851,2.91100010
-5.26163082,7.58301036,0.31390374,0.00000000,0.06590198,5.03738271,3.88355480,2.91985180
-5.25562781,7.56284498,0.31303244,0.00000000,0.06389245,5.01923002,3.87048722,2.92717356
-5.24962481,7.53663388,0.31181846,0.00000000,0.06203603,4.99846004,3.85651812,2.93285776
-5.24362181,7.50462432,0.31025173,0.00000000,0.06033599,4.97535289,3.84186128,2.93678803
-5.23761881,7.46709543,0.30832388,0.00000000,0.05879308,4.95017782,3.82671947,2.93883997
-5.23161581,7.42435720,0.30602974,0.00000000,0.05740652,4.92318639,3.81128431,2.93888341
-5.22561281,7.37675207,0.30336868,0.00000000,0.05617490,4.89460860,3.79573801,2.93678641
-5.21960980,7.32465885,0.30034600,0.00000000,0.05509705,4.86465236,3.78025678,2.93242047
-5.21360680,7.26849815,0.29697399,0.00000000,0.05417278,4.83350565,3.76501532,2.92566704
-5.20760380,7.20873860,0.29327280,0.00000000,0.05340347,4.80134123,3.75019180,2.91642474
