energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,1.64983700,0.09248978,0.06207910,0.63312883,0.36630693,0.69675197,0.00000000,0.03531591,0.73847065
-5.99399700,1.62584206,0.09290686,0.05880470,0.62350436,0.35846405,0.69876498,0.00000000,0.03572552,0.73175762
-5.98799400,1.60011945,0.09292799,0.05557859,0.61252590,0.35056541,0.69873862,0.00000000,0.03641747,0.72373329
-5.98199100,1.57270919,0.09253093,0.05242948,0.60016735,0.34262342,0.69647438,0.00000000,0.03740751,0.71438355
-5.97598799,1.54367926,0.09170276,0.04938379,0.58643012,0.33464821,0.69183008,0.00000000,0.03870336,0.70372091
-5.96998499,1.51311956,0.09043998,0.04646482,0.57134214,0.32664708,0.68472134,0.00000000,0.04030394,0.69178180
-5.96398199,1.48113521,0.08874834,0.04369211,0.55495637,0.31862410,0.67512110,0.00000000,0.04219886,0.67862305
-5.95797899,1.44783970,0.08664240,0.04108090,0.53734877,0.31057985,0.66305757,0.00000000,0.04436820,0.66431802
-5.95197599,1.41334847,0.08414490,0.03864186,0.51861585,0.30251138,0.64861047,0.00000000,0.04678255,0.64895231
-5.94597299,1.37777312,0.08128585,0.03638093,0.49887199,0.29441235,0.63190617,0.00000000,0.04940339,0.63261969
-5.93996998,1.34121685,0.07810153,0.03429939,0.47824654,0.28627343,0.61311179,0.00000000,0.05218389,0.61541817
-5.93396698,1.30377115,0.07463338,0.03239414,0.45688081,0.27808285,0.59242853,0.00000000,0.05506991,0.59744661
-5.92796398,1.26551410,0.07092673,0.03065805,0.43492503,0.26982722,0.57008470,0.00000000,0.05800143,0.57880188
-5.92196098,1.22651021,0.06702957,0.02908054,0.41253527,0.26149238,0.54632856,0.00000000,0.06091418,0.55957680
-5.91595798,1.18681188,0.06299132,0.02764818,0.38987050,0.25306454,0.52142121,0.00000000,0.06374157,0.53985883
-5.90995498,1.14646227,0.05886162,0.02634542,0.36708969,0.24453137,0.49562997,0.00000000,0.06641675,0.51972956
-5.90395198,1.10549950,0.05468917,0.02515535,0.34434914,0.23588322,0.46922219,0.00000000,0.06887482,0.49926492
-5.89794897,1.06396178,0.05052072,0.02406041,0.32179999,0.22711433,0.44245984,0.00000000,0.07105502,0.47853603
-5.89194597,1.02189326,0.04640016,0.02304312,0.29958598,0.21822398,0.41559485,0.00000000,0.07290289,0.45761067
-5.88594297,0.97935016,0.04236776,0.02208681,0.27784157,0.20921755,0.38886540,0.00000000,0.07437229,0.43655499
-5.87993997,0.93640693,0.03845953,0.02117614,0.25669036,0.20010753,0.36249315,0.00000000,0.07542719,0.41543561
-5.87393697,0.89316191,0.03470681,0.02029769,0.23624391,0.19091420,0.33668134,0.00000000,0.07604316,0.39432167
-5.86793397,0.84974236,0.03113599,0.01944034,0.21660099,0.18166631,0.31161379,0.00000000,0.07620850,0.37328681
-5.86193097,0.80630836,0.02776833,0.01859558,0.19784720,0.17240135,0.28745480,0.00000000,0.07592495,0.35241101
-5.85592796,0.76305561,0.02462009,0.01775777,0.18005511,0.16316566,0.26434961,0.00000000,0.07520800,0.33178193
-5.84992496,0.72021673,0.02170261,0.01692421,0.16328471,0.15401428,0.24242568,0.00000000,0.07408666,0.31149593
-5.84392196,0.67806115,0.01902264,0.01609518,0.14758439,0.14501047,0.22179430,0.00000000,0.07260291,0.29165860
-5.83791896,0.63689359,0.01658274,0.01527392,0.13299219,0.13622506,0.20255269,0.00000000,0.07081057,0.27238469
-5.83191596,0.59705112,0.01438175,0.01446651,0.11953744,0.12773552,0.18478634,0.00000000,0.06877394,0.25379770
-5.82591296,0.55889905,0.01241529,0.01368171,0.10724271,0.11962483,0.16857150,0.00000000,0.06656599,0.23602891
-5.81990995,0.52282574,0.01067638,0.01293083,0.09612591,0.11198018,0.15397777,0.00000000,0.06426635,0.21921612
-5.81390695,0.48923674,0.00915597,0.01222752,0.08620268,0.10489153,0.14107058,0.00000000,0.06195908,0.20350204
-5.80790395,0.45854821,0.00784351,0.01158761,0.07748880,0.09845010,0.12991367,0.00000000,0.05973032,0.18903253
-5.80190095,0.43118023,0.00672753,0.01102897,0.07000266,0.09274678,0.12057127,0.00000000,0.05766590,0.17595478
-5.79589795,0.40754988,0.00579607,0.01057135,0.06376768,0.08787053,0.11311017,0.00000000,0.05584894,0.16441537
-5.78989495,0.38806451,0.00503719,0.01023632,0.05881467,0.08390678,0.10760138,0.00000000,0.05435758,0.15455850
-5.78389195,0.37311522,0.00443927,0.01004714,0.05518385,0.08093586,0.10412154,0.00000000,0.05326281,0.14652425
-5.77788894,0.36307075,0.00399137,0.01002874,0.05292668,0.07903151,0.10275387,0.00000000,0.05262652,0.14044701
-5.77188594,0.35827166,0.00368340,0.01020765,0.05210719,0.07825942,0.10358873,0.00000000,0.05249976,0.13645404
-5.76588294,0.35902504,0.00350627,0.01061188,0.05280286,0.07867585,0.10672359,0.00000000,0.05292131,0.13466413
-5.75987994,0.36559942,0.00345198,0.01127087,0.05510484,0.08032633,0.11226258,0.00000000,0.05391653,0.13518630
-5.75387694,0.37822002,0.00351358,0.01221526,0.05911738,0.08324439,0.12031522,0.00000000,0.05549651,0.13811852
-5.74787394,0.39706419,0.00368509,0.01347662,0.06495658,0.08745046,0.13099467,0.00000000,0.05765757,0.14354635
-5.74187094,0.42225687,0.00396139,0.01508711,0.07274802,0.09295068,0.14441508,0.00000000,0.06038117,0.15154142
-5.73586793,0.45386601,0.00433798,0.01707887,0.08262362,0.09973598,0.16068824,0.00000000,0.06363409,0.16215971
-5.72986493,0.49189804,0.00481081,0.01948344,0.09471729,0.10778113,0.17991938,0.00000000,0.06736904,0.17543947
-5.72386193,0.53629305,0.00537596,0.02233083,0.10915975,0.11704394,0.20220221,0.00000000,0.07152560,0.19139890
-5.71785893,0.58692009,0.00602941,0.02564853,0.12607231,0.12746465,0.22761315,0.00000000,0.07603148,0.21003349
-5.71185593,0.64357236,0.00676673,0.02946036,0.14555986,0.13896546,0.25620487,0.00000000,0.08080419,0.23131300
-5.70585293,0.70596267,0.00758282,0.03378516,0.16770322,0.15145029,0.28799934,0.00000000,0.08575288,0.25517831
-5.69984992,0.77371931,0.00847169,0.03863533,0.19255108,0.16480489,0.32298045,0.00000000,0.09078055,0.28153809
-5.69384692,0.84638259,0.00942621,0.04401548,0.22011187,0.17889720,0.36108663,0.00000000,0.09578634,0.31026557
-5.68784392,0.92340253,0.01043795,0.04992091,0.25034593,0.19357811,0.40220354,0.00000000,0.10066812,0.34119552
-5.68184092,1.00413799,0.01149715,0.05633632,0.28315827,0.20868275,0.44615752,0.00000000,0.10532494,0.37412177
-5.67583792,1.08785770,0.01259262,0.06323460,0.31839258,0.22403210,0.49270989,0.00000000,0.10965967,0.40879540
-5.66983492,1.17374368,0.01371183,0.07057595,0.35582670,0.23943522,0.54155272,0.00000000,0.11358141,0.44492405
-5.66383192,1.26089732,0.01484107,0.07830727,0.39517014,0.25469194,0.59230643,0.00000000,0.11700782,0.48217241
-5.65782891,1.34834855,0.01596561,0.08636206,0.43606389,0.26959611,0.64451972,0.00000000,0.11986714,0.52016428
-5.65182591,1.43506838,0.01707007,0.09466066,0.47808302,0.28393923,0.69767204,0.00000000,0.12209995,0.55848633
-5.64582291,1.51998474,0.01813877,0.10311122,0.52074200,0.29751462,0.75117895,0.00000000,0.12366054,0.59669367
-5.63981991,1.60200177,0.01915614,0.11161106,0.56350303,0.31012183,0.80440060,0.00000000,0.12451784,0.63431736
-5.63381691,1.68002208,0.02010724,0.12004869,0.60578725,0.32157134,0.85665315,0.00000000,0.12465597,0.67087368
-5.62781391,1.75297184,0.02097825,0.12830630,0.64698846,0.33168930,0.90722324,0.00000000,0.12407432,0.70587511
-5.62181091,1.81982762,0.02175697,0.13626277,0.68648918,0.34032225,0.95538492,0.00000000,0.12278712,0.73884266
-5.61580790,1.87964452,0.02243331,0.14379701,0.72367830,0.34734156,1.00041876,0.00000000,0.12082272,0.76931917
-5.60980490,1.93158423,0.02299975,0.15079154,0.75796980,0.35264747,1.04163239,0.00000000,0.11822240,0.79688313
-5.60380190,1.97494201,0.02345168,0.15713624,0.78882162,0.35617252,1.07838168,0.00000000,0.11503886,0.82116237
-5.59779890,2.00917130,0.02378767,0.16273196,0.81575392,0.35788413,1.11009160,0.00000000,0.11133453,0.84184700
-5.59179590,2.03390454,0.02400964,0.16749392,0.83836581,0.35778634,1.13627597,0.00000000,0.10717958,0.85870095
-5.58579290,2.04896923,0.02412291,0.17135476,0.85634974,0.35592038,1.15655485,0.00000000,0.10264993,0.87157146
-5.57978989,2.05439783,0.02413605,0.17426696,0.86950277,0.35236407,1.17066890,0.00000000,0.09782506,0.88039584
-5.57378689,2.05043090,0.02406065,0.17620459,0.87773406,0.34723011,1.17848975,0.00000000,0.09278601,0.88520520
-5.56778389,2.03751277,0.02391097,0.17716429,0.88106815,0.34066302,1.18002570,0.00000000,0.08761330,0.88612447
-5.56178089,2.01627941,0.02370336,0.17716534,0.87964373,0.33283506,1.17542241,0.00000000,0.08238510,0.88336887
-5.55577789,1.98753884,0.02345574,0.17624884,0.87370790,0.32394098,1.16495830,0.00000000,0.07717553,0.87723648
-5.54977489,1.95224445,0.02318681,0.17447602,0.86360611,0.31419213,1.14903481,0.00000000,0.07205312,0.86809732
-5.54377189,1.91146220,0.02291537,0.17192578,0.84976815,0.30380966,1.12816171,0.00000000,0.06707964,0.85637927
-5.53776888,1.86633301,0.02265950,0.16869146,0.83269087,0.29301762,1.10293828,0.00000000,0.06230904,0.84255133
-5.53176588,1.81803195,0.02243585,0.16487712,0.81291851,0.28203574,1.07403109,0.00000000,0.05778673,0.82710505
-5.52576288,1.76772589,0.02225888,0.16059348,0.79102137,0.27107252,1.04214935,0.00000000,0.05354914,0.81053492
-5.51975988,1.71653174,0.02214026,0.15595361,0.76757413,0.26031883,1.00801921,0.00000000,0.04962346,0.79331874
-5.51375688,1.66547712,0.02208832,0.15106872,0.74313454,0.24994214,0.97235795,0.00000000,0.04602767,0.77589884
-5.50775388,1.61546527,0.02210770,0.14604417,0.71822376,0.24008194,0.93584953,0.00000000,0.04277084,0.75866509
-5.50175088,1.56724598,0.02219910,0.14097590,0.69330905,0.23084617,0.89912252,0.00000000,0.03985354,0.74194062
-5.49574787,1.52139385,0.02235921,0.13594747,0.66878965,0.22230915,0.86273134,0.00000000,0.03726854,0.72597091
-5.48974487,1.47829477,0.02258085,0.13102778,0.64498651,0.21451079,0.82714180,0.00000000,0.03500158,0.71091674
