energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.32936658,-3.32936664,1.98965838,-1.98965840,0.68609009,-0.68609011,0.00564122,-0.00564122,0.88451551,-0.88451553,0.00696362,-0.00696362,1.08677248,-1.08677249,0.52098045,-0.52098045,0.15647498,-0.15647498
-5.99399700,3.19498881,-3.19498887,1.91827716,-1.91827718,0.65508189,-0.65508191,0.00590825,-0.00590825,0.85230033,-0.85230035,0.00685498,-0.00685498,1.03989212,-1.03989213,0.49731977,-0.49731978,0.15076327,-0.15076328
-5.98799400,3.05188604,-3.05188610,1.83868646,-1.83868649,0.62343780,-0.62343783,0.00615782,-0.00615782,0.81760181,-0.81760183,0.00675958,-0.00675958,0.99000948,-0.99000949,0.47206071,-0.47206072,0.14456098,-0.14456098
-5.98199100,2.90244443,-2.90244449,1.75229548,-1.75229551,0.59167341,-0.59167343,0.00638502,-0.00638502,0.78103284,-0.78103286,0.00667943,-0.00667943,0.93793117,-0.93793118,0.44561538,-0.44561539,0.13798035,-0.13798035
-5.97598799,2.74907810,-2.74907816,1.66058816,-1.66058819,0.56028327,-0.56028329,0.00658525,-0.00658525,0.74321604,-0.74321606,0.00661732,-0.00661732,0.88447759,-0.88447760,0.41840364,-0.41840365,0.13113716,-0.13113716
-5.96998499,2.59417230,-2.59417236,1.56508332,-1.56508334,0.52973145,-0.52973147,0.00675432,-0.00675432,0.70476898,-0.70476900,0.00657660,-0.00657660,0.83046328,-0.83046329,0.39084281,-0.39084282,0.12414791,-0.12414791
-5.96398199,2.44003226,-2.44003232,1.46729636,-1.46729639,0.50044390,-0.50044392,0.00688867,-0.00688867,0.66629058,-0.66629060,0.00656113,-0.00656113,0.77667929,-0.77667931,0.36333845,-0.36333846,0.11712729,-0.11712729
-5.95797899,2.28883940,-2.28883945,1.36870389,-1.36870392,0.47280276,-0.47280277,0.00698547,-0.00698547,0.62834908,-0.62834910,0.00657510,-0.00657510,0.72387825,-0.72387827,0.33627645,-0.33627645,0.11018600,-0.11018600
-5.95197599,2.14261582,-2.14261587,1.27071238,-1.27071240,0.44714257,-0.44714259,0.00704277,-0.00704277,0.59147191,-0.59147192,0.00662291,-0.00662291,0.67276242,-0.67276243,0.31001664,-0.31001664,0.10342903,-0.10342903
-5.94597299,2.00319803,-2.00319807,1.17463175,-1.17463177,0.42374864,-0.42374865,0.00705961,-0.00705961,0.55613773,-0.55613775,0.00670913,-0.00670913,0.62397503,-0.62397504,0.28488815,-0.28488815,0.09695442,-0.09695442
-5.93996998,1.87221992,-1.87221995,1.08165458,-1.08165460,0.40285706,-0.40285707,0.00703610,-0.00703610,0.52277081,-0.52277082,0.00683841,-0.00683841,0.57809496,-0.57809497,0.26118641,-0.26118641,0.09085249,-0.09085249
-5.93396698,1.75110496,-1.75110499,0.99284107,-0.99284110,0.38465665,-0.38465666,0.00697347,-0.00697347,0.49173760,-0.49173761,0.00701546,-0.00701546,0.53563460,-0.53563461,0.23917180,-0.23917181,0.08520551,-0.08520551
