energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.16808613,1.18052484,0.68810985,1.40735605,0.83823689,0.00383668,0.75165360,0.01434002,1.89178513
-5.99399700,4.24375016,1.20281165,0.68738020,1.47330348,0.85822585,0.00385672,0.77913235,0.01384276,1.91435160
-5.98799400,4.31710055,1.22478636,0.68588526,1.54303973,0.87709271,0.00387659,0.80615619,0.01335544,1.93621602
-5.98199100,4.38716462,1.24618798,0.68360782,1.61574109,0.89456517,0.00389655,0.83241288,0.01288406,1.95710471
-5.97598799,4.45301641,1.26677285,0.68054079,1.69050837,0.91039498,0.00391693,0.85760044,0.01243348,1.97675833
-5.96998499,4.51378845,1.28631787,0.67668566,1.76638197,0.92436229,0.00393799,0.88143288,0.01200738,1.99493262
-5.96398199,4.56868374,1.30462333,0.67205113,1.84235969,0.93627967,0.00395997,0.90364606,0.01160824,2.01139954
-5.95797899,4.61698815,1.32151549,0.66665178,1.91741715,0.94599558,0.00398298,0.92400341,0.01123735,2.02594887
-5.95197599,4.65808333,1.33684883,0.66050714,1.99053002,0.95339732,0.00400702,0.94230158,0.01089493,2.03839051
-5.94597299,4.69145978,1.35050798,0.65364109,2.06069778,0.95841339,0.00403194,0.95837558,0.01058027,2.04855755
-5.93996998,4.71672975,1.36240921,0.64608170,2.12696774,0.96101521,0.00405745,0.97210344,0.01029188,2.05631003
-5.93396698,4.73363922,1.37250151,0.63786156,2.18845880,0.96121801,0.00408309,0.98340996,0.01002774,2.06153909
-5.92796398,4.74207821,1.38076695,0.62901837,2.24438363,0.95908084,0.00410827,0.99226942,0.00978548,2.06417145
-5.92196098,4.74208846,1.38722034,0.61959589,2.29406850,0.95470561,0.00413227,0.99870700,0.00956264,2.06417354
-5.91595798,4.73386769,1.39190796,0.60964504,2.33696980,0.94823499,0.00415425,1.00279870,0.00935686,2.06155516
-5.90995498,4.71776935,1.39490538,0.59922492,2.37268642,0.93984922,0.00417332,1.00466960,0.00916606,2.05637195
-5.90395198,4.69429748,1.39631414,0.58840370,2.40096742,0.92976174,0.00418854,1.00449051,0.00898864,2.04872647
-5.89794897,4.66409599,1.39625748,0.57725915,2.42171478,0.91821365,0.00419896,1.00247284,0.00882359,2.03876741
-5.89194597,4.62793243,1.39487508,0.56587874,2.43498080,0.90546723,0.00420366,0.99886198,0.00867052,2.02668687
-5.88594297,4.58667633,1.39231692,0.55435907,2.44096067,0.89179853,0.00420176,0.99392930,0.00852974,2.01271540
-5.87993997,4.54127288,1.38873671,0.54280470,2.43998037,0.87748940,0.00419249,0.98796313,0.00840222,1.99711502
-5.87393697,4.49271270,1.38428483,0.53132631,2.43248068,0.86281916,0.00417516,0.98125901,0.00828948,1.98017043
-5.86793397,4.44199906,1.37910140,0.52003822,2.41899800,0.84805623,0.00414922,0.97410965,0.00819352,1.96217872
-5.86193097,4.39011408,1.37330978,0.50905539,2.40014311,0.83345014,0.00411425,0.96679519,0.00811663,1.94343802
-5.85592796,4.33798527,1.36701076,0.49849000,2.37657872,0.81922421,0.00406996,0.95957392,0.00806124,1.92423589
-5.84992496,4.28645445,1.36027796,0.48844785,2.34899696,0.80556918,0.00401625,0.95267417,0.00802970,1.90483786
-5.84392196,4.23625014,1.35315454,0.47902473,2.31809772,0.79263826,0.00395313,0.94628755,0.00802406,1.88547691
-5.83791896,4.18796536,1.34565172,0.47030302,2.28456867,0.78054360,0.00388078,0.94056385,0.00804591,1.86634457
-5.83191596,4.14204143,1.33774901,0.46234872,2.24906777,0.76935447,0.00379952,0.93560789,0.00809617,1.84758402
-5.82591296,4.09875904,1.32939632,0.45520912,2.21220867,0.75909721,0.00370979,0.93147824,0.00817496,1.82928590
-5.81990995,4.05823666,1.32051788,0.44891129,2.17454938,0.74975687,0.00361216,0.92818791,0.00828144,1.81148686
-5.81390695,4.02043653,1.31101783,0.44346150,2.13658433,0.74128048,0.00350732,0.92570679,0.00841378,1.79417125
-5.80790395,3.98517772,1.30078713,0.43884568,2.09873979,0.73358172,0.00339606,0.92396575,0.00856914,1.77727574
-5.80190095,3.95215554,1.28971158,0.43503088,2.06137237,0.72654683,0.00327923,0.92286193,0.00874367,1.76069682
-5.79589795,3.92096627,1.27768046,0.43196782,2.02477039,0.72004128,0.00315779,0.92226510,0.00893260,1.74430066
-5.78989495,3.89113586,1.26459542,0.42959423,1.98915760,0.71391706,0.00303275,0.92202449,0.00913037,1.72793506
-5.78389195,3.86215125,1.25037919,0.42783902,1.95469883,0.70802008,0.00290514,0.92197601,0.00933081,1.71144267
-5.77788894,3.83349259,1.23498356,0.42662703,1.92150715,0.70219749,0.00277606,0.92194926,0.00952734,1.69467497
-5.77188594,3.80466503,1.21839649,0.42588402,1.88965195,0.69630444,0.00264657,0.92177424,0.00971318,1.67750621
-5.76588294,3.77522867,1.20064776,0.42554185,1.85916771,0.69021023,0.00251778,0.92128745,0.00988162,1.65984666
-5.75987994,3.74482517,1.18181309,0.42554343,1.83006286,0.68380343,0.00239072,0.92033721,0.01002626,1.64165447
-5.75387694,3.71320039,1.16201645,0.42584730,1.80232862,0.67699594,0.00226642,0.91878804,0.01014125,1.62294555
-5.74787394,3.68022185,1.14143053,0.42643153,1.77594732,0.66972590,0.00214583,0.91652427,0.01022147,1.60380111
-5.74187094,3.64589078,1.12027540,0.42729686,1.75090019,0.66195938,0.00202983,0.91345257,0.01026278,1.58437228
-5.73586793,3.61034849,1.09881527,0.42846887,1.72717423,0.65369093,0.00191921,0.90950371,0.01026212,1.56488179
-5.72986493,3.57387683,1.07735372,0.42999906,1.70476810,0.64494300,0.00181468,0.90463352,0.01021762,1.54562260
-5.72386193,3.53689332,1.05622747,0.43196484,1.68369680,0.63576443,0.00171682,0.89882311,0.01012868,1.52695351
-5.71785893,3.49994112,1.03579897,0.43446852,1.66399500,0.62622809,0.00162611,0.89207849,0.00999596,1.50929196
-5.71185593,3.46367451,1.01644801,0.43763513,1.64571890,0.61642785,0.00154292,0.88442964,0.00982135,1.49310441
-5.70585293,3.42884063,0.99856283,0.44160944,1.62894652,0.60647501,0.00146752,0.87592904,0.00960786,1.47889464
