energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.21892156,0.90861283,1.27743144,0.01416910,0.10425000,0.35461633,0.27932366,0.00783371,0.31766519
-5.99399700,2.30983024,0.93676411,1.33159434,0.01389277,0.11123433,0.37181178,0.29313467,0.00804416,0.33013234
-5.98799400,2.41180531,0.96750789,1.39300469,0.01355905,0.11874067,0.38971867,0.30878118,0.00833892,0.34360622
-5.98199100,2.52385251,1.00043768,1.46113119,0.01317199,0.12671511,0.40822580,0.32609143,0.00871232,0.35796330
-5.97598799,2.64486910,1.03514480,1.53537542,0.01273648,0.13509953,0.42722847,0.34486459,0.00915760,0.37307003
-5.96998499,2.77364335,1.07121994,1.61506945,0.01225808,0.14383088,0.44662809,0.36487151,0.00966689,0.38878296
-5.96398199,2.90885466,1.10825354,1.69947360,0.01174301,0.15284068,0.46633116,0.38585606,0.01023125,0.40494896
-5.95797899,3.04907557,1.14583517,1.78777520,0.01119790,0.16205466,0.48624793,0.40753738,0.01084062,0.42140561
-5.95197599,3.19277665,1.18355248,1.87908907,0.01062976,0.17139264,0.50629069,0.42961306,0.01148398,0.43798209
-5.94597299,3.33833542,1.22099029,1.97246047,0.01004574,0.18076878,0.52637204,0.45176339,0.01214935,0.45450038
-5.93996998,3.48405015,1.25773025,2.06687114,0.00945303,0.19009210,0.54640316,0.47365661,0.01282404,0.47077710
-5.93396698,3.62815899,1.29335166,2.16124886,0.00885867,0.19926739,0.56629227,0.49495514,0.01349473,0.48662592
-5.92796398,3.76886459,1.32743360,2.25448069,0.00826941,0.20819646,0.58594353,0.51532270,0.01414782,0.50186047
-5.92196098,3.90436400,1.35955875,2.34542988,0.00769162,0.21677970,0.60525626,0.53443205,0.01476963,0.51629787
-5.91595798,4.03288309,1.38931894,2.43295613,0.00713111,0.22491794,0.62412481,0.55197317,0.01534674,0.52976260
-5.90995498,4.15271432,1.41632220,2.51593855,0.00659309,0.23251455,0.64243890,0.56766145,0.01586633,0.54209071
-5.90395198,4.26225654,1.44020116,2.59330048,0.00608209,0.23947755,0.66008454,0.58124571,0.01631654,0.55313406
-5.89794897,4.36005498,1.46062240,2.66403524,0.00560190,0.24572193,0.67694537,0.59251542,0.01668676,0.56276450
-5.89194597,4.44483951,1.47729608,2.72723152,0.00515556,0.25117176,0.69290450,0.60130710,0.01696801,0.57087772
-5.88594297,4.51555940,1.48998545,2.78209740,0.00474538,0.25576216,0.70784649,0.60750926,0.01715319,0.57739646
-5.87993997,4.57141255,1.49851549,2.82798162,0.00437296,0.25944107,0.72165961,0.61106573,0.01723733,0.58227311
-5.87393697,4.61186788,1.50278016,2.86439114,0.00403920,0.26217058,0.73423804,0.61197727,0.01721773,0.58549130
-5.86793397,4.63667928,1.50274760,2.89100421,0.00374440,0.26392789,0.74548399,0.61030109,0.01709413,0.58706643
-5.86193097,4.64589070,1.49846313,2.90767798,0.00348828,0.26470585,0.75530960,0.60614855,0.01686862,0.58704521
-5.85592796,4.63983167,1.49004948,2.91445070,0.00327010,0.26451288,0.76363853,0.59968089,0.01654570,0.58550400
-5.84992496,4.61910370,1.47770432,2.91153803,0.00308868,0.26337260,0.77040724,0.59110331,0.01613206,0.58254610
-5.84392196,4.58455808,1.46169514,2.89932397,0.00294252,0.26132283,0.77556584,0.58065760,0.01563637,0.57829819
-5.83791896,4.53726636,1.44235158,2.87834673,0.00282984,0.25841437,0.77907856,0.56861373,0.01506908,0.57290594
-5.83191596,4.47848472,1.42005574,2.84928046,0.00274865,0.25470927,0.78092394,0.55526072,0.01444200,0.56652914
-5.82591296,4.40961438,1.39523083,2.81291358,0.00269685,0.25027905,0.78109472,0.54089728,0.01376802,0.55933648
-5.81990995,4.33215961,1.36832874,2.77012487,0.00267222,0.24520260,0.77959746,0.52582264,0.01306069,0.55150035
-5.81390695,4.24768544,1.33981714,2.72185842,0.00267254,0.23956418,0.77645208,0.51032795,0.01233385,0.54319184
-5.80790395,4.15777687,1.31016673,2.66909847,0.00269560,0.23345131,0.77169138,0.49468870,0.01160124,0.53457614
-5.80190095,4.06400122,1.27983909,2.61284518,0.00273927,0.22695290,0.76536043,0.47915834,0.01087621,0.52580868
-5.79589795,3.96787484,1.24927567,2.55409211,0.00280154,0.22015753,0.75751617,0.46396342,0.01017133,0.51703195
-5.78989495,3.87083530,1.21888821,2.49380621,0.00288053,0.21315188,0.74822691,0.44930030,0.00949818,0.50837334
-5.78389195,3.77421943,1.18905100,2.43291063,0.00297461,0.20601960,0.73757209,0.43533356,0.00886715,0.49994379
-5.77788894,3.67924764,1.16009480,2.37227079,0.00308235,0.19884029,0.72564187,0.42219594,0.00828721,0.49183743
-5.77188594,3.58701403,1.13230277,2.31268364,0.00320265,0.19168886,0.71253698,0.40998978,0.00776589,0.48413205
-5.76588294,3.49848213,1.10590807,2.25487005,0.00333471,0.18463512,0.69836826,0.39878958,0.00730916,0.47689024
-5.75987994,3.41448522,1.08109310,2.19947010,0.00347809,0.17774354,0.68325632,0.38864570,0.00692146,0.47016115
-5.75387694,3.33573049,1.05799010,2.14704090,0.00363277,0.17107326,0.66733086,0.37958858,0.00660573,0.46398263
