energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.28755533,0.06008147,0.01869740,0.68200353,1.19684042,0.03949373,1.31175193,0.51620148,0.12179247
-5.99399700,2.24033399,0.05824753,0.01856105,0.67066339,1.16467492,0.03941705,1.28863448,0.50129566,0.12099027
-5.98799400,2.18893207,0.05633288,0.01837188,0.65827127,1.13075168,0.03919819,1.26287366,0.48560713,0.11983640
-5.98199100,2.13376403,0.05438973,0.01813070,0.64489314,1.09540566,0.03883382,1.23462064,0.46935392,0.11831035
-5.97598799,2.07532486,0.05247030,0.01783909,0.63062003,1.05899738,0.03832397,1.20408231,0.45276605,0.11640020
-5.96998499,2.01418317,0.05062553,0.01749949,0.61556751,1.02190656,0.03767210,1.17151943,0.43608087,0.11410313
-5.96398199,1.95097219,0.04890388,0.01711523,0.59987463,0.98452515,0.03688520,1.13724305,0.41953827,0.11142573
-5.95797899,1.88637855,0.04735016,0.01669051,0.58370191,0.94724979,0.03597370,1.10160925,0.40337609,0.10838391
-5.95197599,1.82112902,0.04600460,0.01623040,0.56722874,0.91047388,0.03495130,1.06501222,0.38782561,0.10500253
-5.94597299,1.75597541,0.04490189,0.01574080,0.55064985,0.87457945,0.03383463,1.02787583,0.37310723,0.10131476
-5.93996998,1.69167800,0.04407057,0.01522826,0.53417097,0.83992911,0.03264294,0.99064381,0.35942640,0.09736110
-5.93396698,1.62898792,0.04353238,0.01469995,0.51800386,0.80685826,0.03139753,0.95376884,0.34696984,0.09318821
-5.92796398,1.56862907,0.04330196,0.01416342,0.50236060,0.77566799,0.03012120,0.91770100,0.33590206,0.08884750
-5.92196098,1.51128038,0.04338659,0.01362644,0.48744759,0.74661899,0.02883763,0.88287590,0.32636227,0.08439364
-5.91595798,1.45755887,0.04378624,0.01309679,0.47345918,0.71992667,0.02757068,0.84970302,0.31846181,0.07988295
-5.90995498,1.40800456,0.04449368,0.01258204,0.46057144,0.69575798,0.02634376,0.81855483,0.31228202,0.07537181
-5.90395198,1.36306781,0.04549487,0.01208930,0.44893622,0.67422999,0.02517908,0.78975706,0.30787273,0.07091514
-5.89794897,1.32309972,0.04676946,0.01162503,0.43867577,0.65541056,0.02409710,0.76358065,0.30525144,0.06656497
-5.89194597,1.28834618,0.04829146,0.01119481,0.42987828,0.63932104,0.02311589,0.74023583,0.30440319,0.06236921
-5.88594297,1.25894601,0.05003008,0.01080321,0.42259458,0.62594109,0.02225067,0.71986853,0.30528115,0.05837063
-5.87993997,1.23493313,0.05195060,0.01045361,0.41683606,0.61521542,0.02151344,0.70255934,0.30780807,0.05460613
-5.87393697,1.21624308,0.05401546,0.01014813,0.41257424,0.60706206,0.02091267,0.68832519,0.31187837,0.05110623
-5.86793397,1.20272329,0.05618526,0.00988758,0.40974180,0.60138211,0.02045316,0.67712352,0.31736105,0.04789485
-5.86193097,1.19414690,0.05841989,0.00967148,0.40823520,0.59807014,0.02013605,0.66885889,0.32410321,0.04498942
-5.85592796,1.19022933,0.06067961,0.00949807,0.40791887,0.59702490,0.01995889,0.66339156,0.33193413,0.04240119
-5.84992496,1.19064685,0.06292602,0.00936449,0.40863068,0.59815984,0.01991585,0.66054782,0.34066972,0.04013575
-5.84392196,1.19505627,0.06512306,0.00926687,0.41018856,0.60141258,0.01999812,0.66013128,0.35011735,0.03819377
-5.83791896,1.20311462,0.06723778,0.00920057,0.41239808,0.60675313,0.02019424,0.66193487,0.36008065,0.03657185
-5.83191596,1.21449808,0.06924099,0.00916034,0.41506041,0.61419007,0.02049067,0.66575270,0.37036440,0.03526346
-5.82591296,1.22891892,0.07110782,0.00914065,0.41798062,0.62377440,0.02087228,0.67139135,0.38077908,0.03425994
-5.81990995,1.24613987,0.07281796,0.00913587,0.42097575,0.63560085,0.02132293,0.67867998,0.39114503,0.03355139
-5.81390695,1.26598507,0.07435583,0.00914055,0.42388239,0.64980629,0.02182607,0.68747881,0.40129621,0.03312762
-5.80790395,1.28834707,0.07571051,0.00914966,0.42656344,0.66656539,0.02236524,0.69768557,0.41108312,0.03297891
-5.80190095,1.31318963,0.07687549,0.00915881,0.42891382,0.68608357,0.02292456,0.70923966,0.42037520,0.03309669
-5.79589795,1.34054626,0.07784832,0.00916447,0.43086476,0.70858750,0.02348923,0.72212384,0.42906230,0.03347400
-5.78989495,1.37051447,0.07863005,0.00916406,0.43238678,0.73431359,0.02404581,0.73636349,0.43705550,0.03410587
-5.78389195,1.40324626,0.07922463,0.00915612,0.43349100,0.76349490,0.02458252,0.75202338,0.44428708,0.03498945
-5.77788894,1.43893532,0.07963824,0.00914035,0.43422900,0.79634708,0.02508944,0.76920245,0.45070988,0.03612405
-5.77188594,1.47780164,0.07987860,0.00911765,0.43469118,0.83305406,0.02555852,0.78802666,0.45629607,0.03751097
-5.76588294,1.52007441,0.07995422,0.00909007,0.43500379,0.87375399,0.02598363,0.80864052,0.46103538,0.03915323
-5.75987994,1.56597413,0.07987381,0.00906076,0.43532481,0.91852622,0.02636042,0.83119763,0.46493314,0.04105522
-5.75387694,1.61569483,0.07964568,0.00903388,0.43583892,0.96737991,0.02668622,0.85585094,0.46800800,0.04322224
-5.74787394,1.66938738,0.07927727,0.00901441,0.43675176,1.02024484,0.02695976,0.88274301,0.47028968,0.04566003
-5.74187094,1.72714475,0.07877479,0.00900806,0.43828381,1.07696484,0.02718098,0.91199694,0.47181677,0.04837427
-5.73586793,1.78898987,0.07814302,0.00902102,0.44066408,1.13729425,0.02735075,0.94370837,0.47263483,0.05137005
-5.72986493,1.85486673,0.07738521,0.00905979,0.44412378,1.20089756,0.02747065,0.97793877,0.47279463,0.05465147
-5.72386193,1.92463502,0.07650318,0.00913097,0.44889027,1.26735240,0.02754271,1.01471044,0.47235082,0.05822119
-5.71785893,1.99806847,0.07549745,0.00924107,0.45518131,1.33615567,0.02756924,1.05400325,0.47136100,0.06208005
-5.71185593,2.07485688,0.07436757,0.00939627,0.46319978,1.40673274,0.02755269,1.09575311,0.46988500,0.06622676
-5.70585293,2.15461142,0.07311250,0.00960226,0.47312880,1.47844926,0.02749550,1.13985218,0.46798462,0.07065763
-5.69984992,2.23687283,0.07173105,0.00986401,0.48512737,1.55062500,0.02740009,1.18615041,0.46572340,0.07536630
-5.69384692,2.32112185,0.07022236,0.01018563,0.49932640,1.62254947,0.02726883,1.23445840,0.46316667,0.08034351
-5.68784392,2.40679111,0.06858639,0.01057018,0.51582515,1.69349824,0.02710411,1.28455088,0.46038146,0.08557692
