energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.70827385,0.00302677,0.17108933,0.25097319,0.30025244,0.00000000,0.13133101,0.18930584
-5.99399700,0.70508966,0.00298458,0.17357631,0.24582311,0.29630934,0.00000000,0.12601693,0.18871159
-5.98799400,0.69973088,0.00292280,0.17527447,0.23956604,0.29182907,0.00000000,0.12106424,0.18746751
-5.98199100,0.69240793,0.00284295,0.17620633,0.23231326,0.28689866,0.00000000,0.11651206,0.18565245
-5.97598799,0.68341786,0.00274700,0.17641164,0.22420581,0.28164169,0.00000000,0.11241669,0.18337136
-5.96998499,0.67313914,0.00263723,0.17594566,0.21541051,0.27621738,0.00000000,0.10885293,0.18075342
-5.96398199,0.66202386,0.00251621,0.17487698,0.20611510,0.27081850,0.00000000,0.10591462,0.17794940
-5.95797899,0.65058797,0.00238673,0.17328498,0.19652267,0.26566839,0.00000000,0.10371445,0.17512852
-5.95197599,0.63939968,0.00225171,0.17125711,0.18684555,0.26101710,0.00000000,0.10238308,0.17247469
-5.94597299,0.62906662,0.00211410,0.16888602,0.17729907,0.25713679,0.00000000,0.10206750,0.17018253
-5.93996998,0.62022209,0.00197685,0.16626681,0.16809535,0.25431661,0.00000000,0.10292865,0.16845291
-5.93396698,0.61351075,0.00184284,0.16349432,0.15943731,0.25285709,0.00000000,0.10513838,0.16748848
-5.92796398,0.60957409,0.00171477,0.16066078,0.15151315,0.25306412,0.00000000,0.10887565,0.16748889
-5.92196098,0.60903584,0.00159516,0.15785366,0.14449150,0.25524260,0.00000000,0.11432206,0.16864615
-5.91595798,0.61248758,0.00148626,0.15515393,0.13851731,0.25968979,0.00000000,0.12165682,0.17113980
-5.90995498,0.62047446,0.00139006,0.15263469,0.13370854,0.26668835,0.00000000,0.13105095,0.17513222
-5.90395198,0.63348136,0.00130822,0.15036008,0.13015379,0.27649908,0.00000000,0.14266112,0.18076404
-5.89794897,0.65191931,0.00124208,0.14838459,0.12791079,0.28935335,0.00000000,0.15662291,0.18814954
-5.89194597,0.67611241,0.00119264,0.14675255,0.12700575,0.30544532,0.00000000,0.17304385,0.19737242
-5.88594297,0.70628529,0.00116054,0.14549791,0.12743356,0.32492403,0.00000000,0.19199636,0.20848171
-5.87993997,0.74255135,0.00114610,0.14464411,0.12915874,0.34788545,0.00000000,0.21351070,0.22148811
-5.87393697,0.78490220,0.00114928,0.14420409,0.13211704,0.37436479,0.00000000,0.23756847,0.23636080
-5.86793397,0.83319848,0.00116972,0.14418038,0.13621766,0.40432931,0.00000000,0.26409665,0.25302500
-5.86193097,0.88716283,0.00120676,0.14456518,0.14134603,0.43767199,0.00000000,0.29296285,0.27136029
-5.85592796,0.94637540,0.00125941,0.14534058,0.14736696,0.47420654,0.00000000,0.32397185,0.29120000
-5.84992496,1.01027265,0.00132644,0.14647877,0.15412817,0.51366412,0.00000000,0.35686397,0.31233177
-5.84392196,1.07814995,0.00140634,0.14794241,0.16146415,0.55569220,0.00000000,0.39131542,0.33449958
-5.83791896,1.14916868,0.00149741,0.14968511,0.16920015,0.59985613,0.00000000,0.42694111,0.35740718
-5.83191596,1.22236818,0.00159773,0.15165214,0.17715641,0.64564362,0.00000000,0.46329986,0.38072314
-5.82591296,1.29668279,0.00170525,0.15378137,0.18515244,0.69247248,0.00000000,0.49990227,0.40408755
