energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.61580790,7.65775809,0.04142763,0.11412207,2.16433738,4.48772225,2.70321153,0.00000000
-5.60980490,7.71326641,0.04099995,0.11727682,2.19139695,4.52993482,2.70414691,0.00000000
-5.60380190,7.76705042,0.04041395,0.12015954,2.21463836,4.57544204,2.70171116,0.00000000
-5.59779890,7.81768239,0.03966955,0.12272341,2.23367073,4.62341402,2.69542844,0.00000000
-5.59179590,7.86382219,0.03876992,0.12492510,2.24814194,4.67303208,2.68488710,0.00000000
-5.58579290,7.90422222,0.03772146,0.12672559,2.25774436,4.72348091,2.66974799,0.00000000
-5.57978989,7.93772280,0.03653364,0.12809091,2.26221869,4.77393532,2.64974924,0.00000000
-5.57378689,7.96323974,0.03521884,0.12899284,2.26135605,4.82354316,2.62470758,0.00000000
-5.56778389,7.97974651,0.03379198,0.12940944,2.25499840,4.87140679,2.59451675,0.00000000
-5.56178089,7.98625370,0.03227012,0.12932545,2.24303782,4.91656533,2.55914319,0.00000000
-5.55577789,7.98178894,0.03067197,0.12873259,2.22541472,4.95798023,2.51861987,0.00000000
-5.54977489,7.96538012,0.02901743,0.12762967,2.20211576,4.99452652,2.47303880,0.00000000
-5.54377189,7.93604482,0.02732697,0.12602260,2.17317142,5.02499146,2.42254304,0.00000000
-5.53776888,7.89278801,0.02562113,0.12392418,2.13865404,5.04808250,2.36731866,0.00000000
-5.53176588,7.83460978,0.02392001,0.12135381,2.09867615,5.06244485,2.30758752,0.00000000
-5.52576288,7.76052357,0.02224274,0.11833701,2.05338958,5.06668924,2.24360106,0.00000000
-5.51975988,7.66958482,0.02060706,0.11490493,2.00298517,5.05942877,2.17563553,0.00000000
-5.51375688,7.56092875,0.01902895,0.11109358,1.94769319,5.03932369,2.10398871,0.00000000
-5.50775388,7.43381527,0.01752234,0.10694319,1.88778413,5.00513167,2.02897816,0.00000000
-5.50175088,7.28767811,0.01609885,0.10249732,1.82356967,4.95576112,1.95094067,0.00000000
-5.49574787,7.12217498,0.01476770,0.09780208,1.75540344,4.89032426,1.87023264,0.00000000
-5.48974487,6.93723508,0.01353560,0.09290527,1.68368133,4.80818677,1.78723092,0.00000000
-5.48374187,6.73310025,0.01240682,0.08785549,1.60884076,4.70901092,1.70233373,0.00000000
-5.47773887,6.51035670,0.01138319,0.08270136,1.53135885,4.59278911,1.61596102,0.00000000
-5.47173587,6.26995425,0.01046432,0.07749071,1.45174906,4.45986575,1.52855395,0.00000000
-5.46573287,6.01321122,0.00964775,0.07226990,1.37055629,4.31094542,1.44057324,0.00000000
-5.45972986,5.74180386,0.00892921,0.06708307,1.28835030,4.14708684,1.35249591,0.00000000
-5.45372686,5.45774013,0.00830285,0.06197165,1.20571774,3.96968221,1.26481072,0.00000000
-5.44772386,5.16331870,0.00776155,0.05697384,1.12325281,3.78042315,1.17801200,0.00000000
-5.44172086,4.86107518,0.00729723,0.05212419,1.04154710,3.58125449,1.09259237,0.00000000
-5.43571786,4.55371791,0.00690112,0.04745333,0.96117887,3.37431855,1.00903456,0.00000000
-5.42971486,4.24405673,0.00656408,0.04298779,0.88270236,3.16189235,0.92780275,0.00000000
-5.42371186,3.93492826,0.00627687,0.03874987,0.80663763,2.94632120,0.84933402,0.00000000
-5.41770885,3.62912136,0.00603038,0.03475770,0.73346132,2.72995164,0.77403022,0.00000000
-5.41170585,3.32930630,0.00581595,0.03102530,0.66359892,2.51506692,0.70225092,0.00000000
-5.40570285,3.03797103,0.00562547,0.02756283,0.59741883,2.30382785,0.63430776,0.00000000
-5.39969985,2.75736703,0.00545165,0.02437688,0.53522841,2.09822138,0.57046052,0.00000000
-5.39369685,2.48946689,0.00528809,0.02147080,0.47727237,1.90001877,0.51091515,0.00000000
-5.38769385,2.23593492,0.00512946,0.01884517,0.42373331,1.71074445,0.45582388,0.00000000
-5.38169085,1.99811110,0.00497148,0.01649829,0.37473444,1.53165629,0.40528731,0.00000000
-5.37568784,1.77700832,0.00481104,0.01442666,0.33034428,1.36373700,0.35935843,0.00000000
-5.36968484,1.57332193,0.00464615,0.01262559,0.29058295,1.20769628,0.31804823,0.00000000
-5.36368184,1.38745007,0.00447598,0.01108969,0.25542984,1.06398240,0.28133267,0.00000000
-5.35767884,1.21952301,0.00430072,0.00981347,0.22483203,0.93280195,0.24916056,0.00000000
