energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.60122122,0.01222667,1.56916392,0.05286704,0.27470706,1.67962440,0.94741544
-5.99399700,3.59631603,0.01249886,1.56776069,0.05341254,0.27364730,1.66405806,0.95559818
-5.98799400,3.58299842,0.01280279,1.56261928,0.05391474,0.27197313,1.64137983,0.96287266
-5.98199100,3.56167532,0.01313312,1.55395748,0.05435693,0.26969626,1.61215611,0.96920616
-5.97598799,3.53284930,0.01348369,1.54203463,0.05472334,0.26683524,1.57706993,0.97456144
-5.96998499,3.49708876,0.01384755,1.52713639,0.05499947,0.26341462,1.53689101,0.97889319
-5.96398199,3.45499770,0.01421715,1.50955939,0.05517241,0.25946397,1.49244418,0.98214509
-5.95797899,3.40718658,0.01458448,1.48959672,0.05523105,0.25501677,1.44457787,0.98424761
-5.95197599,3.35424553,0.01494119,1.46752481,0.05516630,0.25010931,1.39413398,0.98511677
-5.94597299,3.29672131,0.01527885,1.44359232,0.05497112,0.24477960,1.34192032,0.98465396
-5.93996998,3.23509898,0.01558908,1.41801173,0.05464061,0.23906634,1.28868682,0.98274692
-5.93396698,3.16978911,0.01586376,1.39095368,0.05417195,0.23300801,1.23510626,0.97927196
-5.92796398,3.10112098,0.01609520,1.36254454,0.05356435,0.22664205,1.18176002,0.97409741
-5.92196098,3.02934198,0.01627636,1.33286709,0.05281890,0.22000440,1.12912924,0.96708810
-5.91595798,2.95462302,0.01640097,1.30196412,0.05193847,0.21312910,1.07759123,0.95811092
-5.90995498,2.87706945,0.01646368,1.26984477,0.05092756,0.20604822,1.02742100,0.94704102
-5.90395198,2.79673668,0.01646024,1.23649310,0.04979218,0.19879208,0.97879724,0.93376861
-5.89794897,2.71364961,0.01638753,1.20187833,0.04853976,0.19138962,0.93181219,0.91820589
-5.89194597,2.62782456,0.01624368,1.16596622,0.04717906,0.18386904,0.88648447,0.90029390
-5.88594297,2.53929249,0.01602811,1.12873077,0.04572016,0.17625861,0.84277411,0.88000888
-5.87993997,2.44812222,0.01574153,1.09016584,0.04417446,0.16858763,0.80059867,0.85736790
-5.87393697,2.35444239,0.01538592,1.05029583,0.04255472,0.16088741,0.75984968,0.83243340
-5.86793397,2.25846102,0.01496451,1.00918509,0.04087509,0.15319237,0.72040861,0.80531643
-5.86193097,2.16048173,0.01448166,0.96694547,0.03915124,0.14554103,0.68216146,0.77617847
-5.85592796,2.06091594,0.01394275,0.92374177,0.03740038,0.13797698,0.64501176,0.74523156
-5.84992496,1.96029049,0.01335409,0.87979486,0.03564139,0.13054977,0.60889109,0.71273693
-5.84392196,1.85925043,0.01272272,0.83538243,0.03389481,0.12331554,0.57376740,0.67900195
-5.83791896,1.75855710,0.01205623,0.79083738,0.03218289,0.11633762,0.53965057,0.64437566
-5.83191596,1.65908173,0.01136264,0.74654400,0.03052953,0.10968691,0.50659563,0.60924299
-5.82591296,1.56179483,0.01065014,0.70293223,0.02896019,0.10344205,0.47470356,0.57401785
-5.81990995,1.46775226,0.00992695,0.66047031,0.02750176,0.09768949,0.44412018,0.53913553
-5.81390695,1.37807839,0.00920111,0.61965616,0.02618232,0.09252342,0.41503335,0.50504446
-5.80790395,1.29394735,0.00848034,0.58100785,0.02503088,0.08804556,0.38766896,0.47219772
-5.80190095,1.21656300,0.00777191,0.54505369,0.02407700,0.08436488,0.36228618,0.44104471
-5.79589795,1.14713843,0.00708246,0.51232207,0.02335038,0.08159729,0.33917226,0.41202296
-5.78989495,1.08687573,0.00641795,0.48333162,0.02288041,0.07986528,0.31863750,0.38555055
-5.78389195,1.03694658,0.00578357,0.45858189,0.02269562,0.07929760,0.30101046,0.36201926
-5.77788894,0.99847429,0.00518372,0.43854472,0.02282312,0.08002896,0.28663401,0.34178855
-5.77188594,0.97251766,0.00462194,0.42365673,0.02328803,0.08219975,0.27586205,0.32518052
-5.76588294,0.96005707,0.00410100,0.41431278,0.02411286,0.08595589,0.26905733,0.31247598
-5.75987994,0.96198298,0.00362289,0.41086085,0.02531690,0.09144864,0.26659025,0.30391157
-5.75387694,0.97908713,0.00318888,0.41359809,0.02691570,0.09883452,0.26883850,0.29967810
-5.74787394,1.01205644,0.00279960,0.42276838,0.02892050,0.10827520,0.27618756,0.29991987
-5.74187094,1.06146962,0.00245514,0.43856120,0.03133783,0.11993737,0.28903170,0.30473525
-5.73586793,1.12779649,0.00215512,0.46111185,0.03416916,0.13399243,0.30777523,0.31417815
-5.72986493,1.21139970,0.00189880,0.49050304,0.03741065,0.15061610,0.33283353,0.32826060
-5.72386193,1.31253864,0.00168519,0.52676759,0.04105308,0.16998761,0.36463361,0.34695613
