energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.52082130,0.18429345,0.00000000,0.08399754,2.48551573,1.22838628,1.16277924
-5.99399700,4.50087470,0.18495203,0.00000000,0.08321517,2.46270126,1.23722845,1.15011182
-5.98799400,4.46389096,0.18482666,0.00000000,0.08206504,2.43092666,1.24400480,1.13295422
-5.98199100,4.41058421,0.18394790,0.00000000,0.08056502,2.39068626,1.24845269,1.11158629
-5.97598799,4.34192686,0.18235597,0.00000000,0.07873812,2.34260589,1.25036681,1.08635019
-5.96998499,4.25911038,0.18009892,0.00000000,0.07661173,2.28742129,1.24959444,1.05764165
-5.96398199,4.16350411,0.17723068,0.00000000,0.07421677,2.22595593,1.24603094,1.02590092
-5.95797899,4.05661377,0.17380919,0.00000000,0.07158682,2.15909915,1.23961606,0.99160349
-5.95197599,3.94004104,0.16989457,0.00000000,0.06875727,2.08778501,1.23033086,0.95525067
-5.94597299,3.81544540,0.16554754,0.00000000,0.06576450,2.01297250,1.21819566,0.91736039
-5.93996998,3.68450894,0.16082804,0.00000000,0.06264513,1.93562715,1.20326853,0.87845799
-5.93396698,3.54890481,0.15579417,0.00000000,0.05943532,1.85670439,1.18564437,0.83906734
-5.92796398,3.41026936,0.15050139,0.00000000,0.05617015,1.77713455,1.16545417,0.79970215
-5.92196098,3.27017813,0.14500206,0.00000000,0.05288311,1.69780947,1.14286419,0.76085760
-5.91595798,3.13012540,0.13934516,0.00000000,0.04960567,1.61957064,1.11807465,0.72300238
-5.90995498,2.99150705,0.13357637,0.00000000,0.04636696,1.54319876,1.09131773,0.68657114
-5.90395198,2.85560624,0.12773814,0.00000000,0.04319352,1.46940455,1.06285456,0.65195755
-5.89794897,2.72358175,0.12187002,0.00000000,0.04010915,1.39882091,1.03297110,0.61950807
-5.89194597,2.59645849,0.11600899,0.00000000,0.03713481,1.33199623,1.00197286,0.58951659
-5.88594297,2.47512011,0.11018973,0.00000000,0.03428866,1.26938906,0.97017850,0.56222015
