energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.59579738,0.08588788,0.35195465,1.78744903,0.00000000,1.52410424,0.92423233,0.50806299,0.17434546
-5.99399700,3.53727570,0.08691082,0.35192027,1.74856575,0.00000000,1.50209449,0.91153342,0.49289224,0.17294934
-5.98799400,3.48051559,0.08777301,0.35260061,1.70992880,0.00000000,1.47978843,0.89981570,0.47769152,0.17157468
-5.98199100,3.42606295,0.08845765,0.35401754,1.67192620,0.00000000,1.45732637,0.88924490,0.46268448,0.17020615
-5.97598799,3.37441409,0.08894897,0.35619364,1.63491208,0.00000000,1.43484462,0.87998561,0.44807966,0.16882947
-5.96998499,3.32601206,0.08923285,0.35915292,1.59920152,0.00000000,1.41247685,0.87220137,0.43406643,0.16743165
-5.96398199,3.28124445,0.08929734,0.36292129,1.56506661,0.00000000,1.39035545,0.86605469,0.42081145,0.16600113
-5.95797899,3.24044236,0.08913327,0.36752680,1.53273364,0.00000000,1.36861252,0.86170676,0.40845583,0.16452789
-5.95197599,3.20388003,0.08873470,0.37299951,1.50238129,0.00000000,1.34738038,0.85931658,0.39711286,0.16300351
-5.94597299,3.17177467,0.08809936,0.37937100,1.47413980,0.00000000,1.32679147,0.85903937,0.38686642,0.16142111
-5.93996998,3.14428629,0.08722896,0.38667325,1.44809095,0.00000000,1.30697738,0.86102404,0.37777005,0.15977527
-5.93396698,3.12151719,0.08612941,0.39493708,1.42426897,0.00000000,1.28806715,0.86540968,0.36984676,0.15806189
-5.92796398,3.10351100,0.08481080,0.40419009,1.40266206,0.00000000,1.27018487,0.87232093,0.36308944,0.15627797
-5.92196098,3.09025137,0.08328736,0.41445399,1.38321487,0.00000000,1.25344664,0.88186247,0.35746208,0.15442144
-5.91595798,3.08166028,0.08157718,0.42574169,1.36583153,0.00000000,1.23795713,0.89411262,0.35290163,0.15249092
-5.90995498,3.07759655,0.07970185,0.43805398,1.35037966,0.00000000,1.22380604,0.90911640,0.34932060,0.15048550
-5.90395198,3.07785445,0.07768591,0.45137621,1.33669494,0.00000000,1.21106460,0.92687835,0.34661031,0.14840458
-5.89794897,3.08216329,0.07555632,0.46567496,1.32458658,0.00000000,1.19978252,0.94735555,0.34464478,0.14624771
-5.89194597,3.09018796,0.07334170,0.48089498,1.31384334,0.00000000,1.18998552,0.97045120,0.34328515,0.14401453
-5.88594297,3.10153108,0.07107170,0.49695675,1.30424024,0.00000000,1.18167379,0.99600935,0.34238454,0.14170474
-5.87993997,3.11573699,0.06877620,0.51375456,1.29554560,0.00000000,1.17482146,1.02381114,0.34179320,0.13931818
-5.87393697,3.13229765,0.06648461,0.53115566,1.28752841,0.00000000,1.16937713,1.05357305,0.34136376,0.13685491
-5.86793397,3.15066077,0.06422525,0.54900031,1.27996566,0.00000000,1.16526565,1.08494743,0.34095644,0.13431538
-5.86193097,3.17023987,0.06202466,0.56710315,1.27264946,0.00000000,1.16239085,1.11752566,0.34044400,0.13170065
-5.85592796,3.19042624,0.05990713,0.58525566,1.26539360,0.00000000,1.16063926,1.15084402,0.33971620,0.12901258
-5.84992496,3.21060237,0.05789427,0.60322996,1.25803930,0.00000000,1.15988458,1.18439227,0.33868360,0.12625410
-5.84392196,3.23015639,0.05600463,0.62078369,1.25045990,0.00000000,1.15999249,1.21762486,0.33728046,0.12342932
-5.83791896,3.24849699,0.05425353,0.63766599,1.24256419,0.00000000,1.16082576,1.24997437,0.33546675,0.12054375
-5.83191596,3.26506824,0.05265290,0.65362423,1.23429830,0.00000000,1.16224904,1.28086687,0.33322894,0.11760433
-5.82591296,3.27936359,0.05121123,0.66841140,1.22564589,0.00000000,1.16413337,1.30973857,0.33057970,0.11461948
-5.81990995,3.29093848,0.04993362,0.68179373,1.21662678,0.00000000,1.16635979,1.33605312,0.32755641,0.11159899
-5.81390695,3.29942102,0.04882192,0.69355827,1.20729390,0.00000000,1.16882214,1.35931890,0.32421860,0.10855390
-5.80790395,3.30452015,0.04787483,0.70352017,1.19772878,0.00000000,1.17142865,1.37910542,0.32064434,0.10549625
-5.80190095,3.30603107,0.04708821,0.71152913,1.18803578,0.00000000,1.17410241,1.39505831,0.31692589,0.10243878
-5.79589795,3.30383759,0.04645524,0.71747499,1.17833530,0.00000000,1.17678059,1.40691195,0.31316463,0.09939462
-5.78989495,3.29791143,0.04596678,0.72129192,1.16875629,0.00000000,1.17941265,1.41449935,0.30946570,0.09637685
-5.78389195,3.28830845,0.04561163,0.72296124,1.15942854,0.00000000,1.18195755,1.41775871,0.30593251,0.09339820
-5.77788894,3.27516220,0.04537688,0.72251255,1.15047495,0.00000000,1.18438023,1.41673630,0.30266133,0.09047063
-5.77188594,3.25867493,0.04524825,0.72002324,1.14200431,0.00000000,1.18664777,1.41158556,0.29973636,0.08760502
-5.76588294,3.23910679,0.04521042,0.71561627,1.13410493,0.00000000,1.18872532,1.40256231,0.29722545,0.08481091
-5.75987994,3.21676358,0.04524743,0.70945637,1.12683933,0.00000000,1.19057227,1.39001634,0.29517660,0.08209628
-5.75387694,3.19198367,0.04534299,0.70174486,1.12024038,0.00000000,1.19213895,1.37437964,0.29361551,0.07946744
-5.74787394,3.16512479,0.04548090,0.69271315,1.11430896,0.00000000,1.19336406,1.35615174,0.29254426,0.07692897
-5.74187094,3.13655111,0.04564538,0.68261535,1.10901328,0.00000000,1.19417311,1.33588277,0.29194109,0.07448379
-5.73586793,3.10662115,0.04582144,0.67172009,1.10428988,0.00000000,1.19447799,1.31415484,0.29176137,0.07213328
-5.72986493,3.07567697,0.04599520,0.66030207,1.10004620,0.00000000,1.19417775,1.29156249,0.29193964,0.06987746
-5.72386193,3.04403493,0.04615419,0.64863344,1.09616457,0.00000000,1.19316061,1.26869295,0.29239258,0.06771519
-5.71785893,3.01197819,0.04628763,0.63697550,1.09250736,0.00000000,1.19130699,1.24610695,0.29302283,0.06564451
-5.71185593,2.97975112,0.04638666,0.62557085,1.08892308,0.00000000,1.18849361,1.22432066,0.29372338,0.06366289
-5.70585293,2.94755549,0.04644447,0.61463634,1.08525299,0.00000000,1.18459826,1.20378952,0.29438229,0.06176749
-5.69984992,2.91554864,0.04645645,0.60435704,1.08133804,0.00000000,1.17950508,1.18489449,0.29488768,0.05995549
-5.69384692,2.88384318,0.04642022,0.59488137,1.07702559,0.00000000,1.17311001,1.16793100,0.29513247,0.05822425
-5.68784392,2.85250840,0.04633558,0.58631763,1.07217589,0.00000000,1.16532626,1.15310123,0.29501896,0.05657155
-5.68184092,2.82157311,0.04620450,0.57873191,1.06666772,0.00000000,1.15608945,1.14050975,0.29446285,0.05499572
-5.67583792,2.79102976,0.04603090,0.57214753,1.06040335,0.00000000,1.14536212,1.13016271,0.29339666,0.05349568
-5.66983492,2.76083987,0.04582057,0.56654609,1.05331235,0.00000000,1.13313773,1.12197067,0.29177232,0.05207105
-5.66383192,2.73094061,0.04558089,0.56186990,1.04535449,0.00000000,1.11944369,1.11575483,0.28956300,0.05072205
-5.65782891,2.70125256,0.04532063,0.55802597,1.03652149,0.00000000,1.10434364,1.11125657,0.28676413,0.04944952
-5.65182591,2.67168848,0.04504976,0.55489118,1.02683786,0.00000000,1.08793874,1.10814997,0.28339347,0.04825484
