energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.64917131,0.43698300,0.00000000,0.48962543,0.00000000,1.36032597,0.64197102
-5.99399700,1.68192742,0.46481002,0.00000000,0.48913551,0.00000000,1.38516634,0.66455847
-5.98799400,1.71830594,0.49547997,0.00000000,0.48892922,0.00000000,1.40934532,0.69002110
-5.98199100,1.75837276,0.52903953,0.00000000,0.48901438,0.00000000,1.43293648,0.71839105
-5.97598799,1.80211984,0.56548750,0.00000000,0.48938991,0.00000000,1.45600585,0.74964771
-5.96998499,1.84945789,0.60476798,0.00000000,0.49004621,0.00000000,1.47860463,0.78371300
-5.96398199,1.90021033,0.64676455,0.00000000,0.49096556,0.00000000,1.50076238,0.82044786
-5.95797899,1.95410913,0.69129581,0.00000000,0.49212245,0.00000000,1.52248086,0.85965002
-5.95197599,2.01079279,0.73811275,0.00000000,0.49348396,0.00000000,1.54372929,0.90105341
-5.94597299,2.06980703,0.78689803,0.00000000,0.49501015,0.00000000,1.56444114,0.94432937
-5.93996998,2.13060836,0.83726763,0.00000000,0.49665460,0.00000000,1.58451301,0.98908977
-5.93396698,2.19257082,0.88877475,0.00000000,0.49836499,0.00000000,1.60380557,1.03489215
-5.92796398,2.25499585,0.94091620,0.00000000,0.50008392,0.00000000,1.62214668,1.08124677
-5.92196098,2.31712522,0.99314106,0.00000000,0.50174982,0.00000000,1.63933667,1.12762567
-5.91595798,2.37815675,1.04486151,0.00000000,0.50329810,0.00000000,1.65515535,1.17347323
-5.90995498,2.43726229,1.09546547,0.00000000,0.50466239,0.00000000,1.66937062,1.21821838
-5.90395198,2.49360763,1.14433076,0.00000000,0.50577597,0.00000000,1.68174797,1.26128766
-5.89794897,2.54637337,1.19084021,0.00000000,0.50657325,0.00000000,1.69206070,1.30211914
-5.89194597,2.59477636,1.23439727,0.00000000,0.50699132,0.00000000,1.70009994,1.34017645
-5.88594297,2.63809067,1.27444159,0.00000000,0.50697152,0.00000000,1.70568429,1.37496262
-5.87993997,2.67566753,1.31046397,0.00000000,0.50646093,0.00000000,1.70866837,1.40603324
-5.87393697,2.70695343,1.34202013,0.00000000,0.50541385,0.00000000,1.70894995,1.43300836
-5.86793397,2.73150580,1.36874283,0.00000000,0.50379310,0.00000000,1.70647537,1.45558296
-5.86193097,2.74900574,1.39035196,0.00000000,0.50157124,0.00000000,1.70124296,1.47353531
-5.85592796,2.75926736,1.40666207,0.00000000,0.49873158,0.00000000,1.69330448,1.48673326
-5.84992496,2.76224347,1.41758729,0.00000000,0.49526907,0.00000000,1.68276449,1.49513797
-5.84392196,2.75802756,1.42314328,0.00000000,0.49119105,0.00000000,1.66977772,1.49880512
-5.83791896,2.74685192,1.42344638,0.00000000,0.48651775,0.00000000,1.65454486,1.49788355
-5.83191596,2.72908218,1.41870975,0.00000000,0.48128270,0.00000000,1.63730676,1.49261130
-5.82591296,2.70520842,1.40923695,0.00000000,0.47553295,0.00000000,1.61833756,1.48330930
-5.81990995,2.67583330,1.39541298,0.00000000,0.46932909,0.00000000,1.59793693,1.47037294
-5.81390695,2.64165745,1.37769326,0.00000000,0.46274518,0.00000000,1.57642189,1.45426165
-5.80790395,2.60346290,1.35659090,0.00000000,0.45586832,0.00000000,1.55411846,1.43548715
-5.80190095,2.56209478,1.33266273,0.00000000,0.44879821,0.00000000,1.53135349,1.41460046
-5.79589795,2.51844214,1.30649458,0.00000000,0.44164631,0.00000000,1.50844693,1.39217833
-5.78989495,2.47341818,1.27868632,0.00000000,0.43453483,0.00000000,1.48570471,1.36880935
-5.78389195,2.42794074,1.24983711,0.00000000,0.42759542,0.00000000,1.46341264,1.34508038
-5.77788894,2.38291329,1.22053139,0.00000000,0.42096758,0.00000000,1.44183117,1.32156343
