energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.49872494,0.74252774,0.20346805,0.00074932,0.17298819,0.40733381,0.35556139,0.00746831,0.79783087
-5.99399700,1.54942146,0.76255010,0.20865661,0.00075811,0.18281233,0.42859380,0.36127893,0.00747465,0.83075180
-5.98799400,1.60179843,0.78288543,0.21392249,0.00077638,0.19282314,0.45001836,0.36736196,0.00753141,0.86460475
-5.98199100,1.65518080,0.80317990,0.21919973,0.00080414,0.20283790,0.47129468,0.37374111,0.00763991,0.89899490
-5.97598799,1.70888189,0.82308452,0.22442446,0.00084153,0.21267221,0.49210566,0.38034475,0.00780160,0.93352016
-5.96998499,1.76221465,0.84226137,0.22953595,0.00088881,0.22214377,0.51213510,0.38710000,0.00801793,0.96777801
-5.96398199,1.81450355,0.86038996,0.23447754,0.00094637,0.23107596,0.53107336,0.39393393,0.00829023,1.00137275
-5.95797899,1.86509704,0.87717366,0.23919762,0.00101471,0.23930144,0.54862337,0.40077516,0.00861951,1.03392284
-5.95197599,1.91338004,0.89234565,0.24365046,0.00109444,0.24666558,0.56450668,0.40755550,0.00900625,1.06506820
-5.94597299,1.95878625,0.90567456,0.24779692,0.00118625,0.25302949,0.57846949,0.41421193,0.00945028,1.09447727
-5.93996998,2.00080962,0.91696917,0.25160505,0.00129092,0.25827285,0.59028840,0.42068855,0.00995046,1.12185331
-5.93396698,2.03901473,0.92608224,0.25505042,0.00140924,0.26229614,0.59977561,0.42693856,0.01050462,1.14694009
-5.92796398,2.07304544,0.93291308,0.25811625,0.00154200,0.26502246,0.60678338,0.43292609,0.01110930,1.16952626
-5.92196098,2.10263149,0.93740882,0.26079330,0.00168998,0.26639880,0.61120768,0.43862772,0.01175967,1.18944862
-5.91595798,2.12759268,0.93956413,0.26307953,0.00185383,0.26639671,0.61299064,0.44403374,0.01244943,1.20659383
-5.90995498,2.14784046,0.93941958,0.26497949,0.00203409,0.26501233,0.61212197,0.44914876,0.01317077,1.22089864
-5.90395198,2.16337662,0.93705837,0.26650357,0.00223112,0.26226596,0.60863899,0.45399192,0.01391443,1.23234853
-5.89794897,2.17428933,0.93260188,0.26766702,0.00244503,0.25820095,0.60262545,0.45859637,0.01466976,1.24097485
-5.89194597,2.18074640,0.92620385,0.26848891,0.00267565,0.25288214,0.59420909,0.46300817,0.01542491,1.24685056
-5.88594297,2.18298623,0.91804371,0.26899100,0.00292245,0.24639379,0.58355796,0.46728461,0.01616706,1.25008474
-5.87993997,2.18130670,0.90831921,0.26919665,0.00318456,0.23883720,0.57087576,0.47149188,0.01688267,1.25081625
-5.87393697,2.17605255,0.89723865,0.26912975,0.00346067,0.23032785,0.55639620,0.47570239,0.01755790,1.24920660
-5.86793397,2.16760184,0.88501318,0.26881380,0.00374901,0.22099252,0.54037680,0.47999169,0.01817892,1.24543276
-5.86193097,2.15635211,0.87184932,0.26827116,0.00404738,0.21096604,0.52309211,0.48443524,0.01873236,1.23967987
-5.85592796,2.14270690,0.85794229,0.26752249,0.00435311,0.20038822,0.50482682,0.48910517,0.01920573,1.23213454
-5.84992496,2.12706329,0.84347023,0.26658645,0.00466307,0.18940062,0.48586897,0.49406716,0.01958781,1.22297900
-5.84392196,2.10980109,0.82858975,0.26547966,0.00497373,0.17814357,0.46650335,0.49937777,0.01986905,1.21238636
-5.83791896,2.09127418,0.81343292,0.26421692,0.00528116,0.16675340,0.44700562,0.50508211,0.02004188,1.20051735
-5.83191596,2.07180439,0.79810582,0.26281164,0.00558117,0.15535988,0.42763702,0.51121226,0.02010104,1.18751861
-5.82591296,2.05167819,0.78268880,0.26127656,0.00586930,0.14408404,0.40864007,0.51778642,0.02004370,1.17352270
-5.81990995,2.03114634,0.76723828,0.25962454,0.00614099,0.13303641,0.39023528,0.52480872,0.01986966,1.15864982
-5.81390695,2.01042618,0.75179000,0.25786963,0.00639166,0.12231560,0.37261886,0.53226996,0.01958130,1.14301094
-5.80790395,1.98970664,0.73636363,0.25602803,0.00661683,0.11200734,0.35596148,0.54014903,0.01918361,1.12671238
-5.80190095,1.96915512,0.72096817,0.25411916,0.00681225,0.10218395,0.34040802,0.54841498,0.01868397,1.10986121
-5.79589795,1.94892599,0.70560808,0.25216663,0.00697403,0.09290420,0.32607819,0.55702963,0.01809195,1.09257125
-5.78989495,1.92916978,0.69028960,0.25019897,0.00709874,0.08421350,0.31306773,0.56595049,0.01741904,1.07496908
-5.78389195,1.91004236,0.67502683,0.24825028,0.00718356,0.07614448,0.30145026,0.57513389,0.01667830,1.05719967
-5.77788894,1.89171332,0.65984726,0.24636046,0.00722634,0.06871779,0.29127933,0.58453796,0.01588397,1.03943095
-5.77188594,1.87437287,0.64479631,0.24457516,0.00722571,0.06194313,0.28259056,0.59412540,0.01505107,1.02185705
-5.76588294,1.85823640,0.62994062,0.24294539,0.00718111,0.05582041,0.27540375,0.60386569,0.01419504,1.00469974
-5.75987994,1.84354638,0.61536975,0.24152668,0.00709285,0.05034103,0.26972466,0.61373679,0.01333130,0.98820775
-5.75387694,1.83057118,0.60119631,0.24037790,0.00696208,0.04548915,0.26554643,0.62372591,0.01247489,0.97265387
-5.74787394,1.81960059,0.58755426,0.23955974,0.00679079,0.04124296,0.26285057,0.63382953,0.01164017,0.95832980
-5.74187094,1.81093831,0.57459566,0.23913287,0.00658174,0.03757590,0.26160742,0.64405254,0.01084046,0.94553891
-5.73586793,1.80489147,0.56248580,0.23915583,0.00633839,0.03445773,0.26177613,0.65440651,0.01008790,0.93458706
-5.72986493,1.80175787,0.55139716,0.23968283,0.00606479,0.03185555,0.26330431,0.66490723,0.00939312,0.92577210
