energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.45465046,0.10776499,0.00187944,0.02107457,1.56386933,1.22599277,0.50266095
-5.99399700,2.42762088,0.10734400,0.00191686,0.02013574,1.54346909,1.20378721,0.49755006
-5.98799400,2.39639617,0.10656621,0.00195027,0.01919026,1.52086167,1.17981145,0.49181464
-5.98199100,2.36157376,0.10543034,0.00197942,0.01824663,1.49651842,1.15460667,0.48557263
-5.97598799,2.32388602,0.10394499,0.00200424,0.01731384,1.47098608,1.12875972,0.47896982
-5.96998499,2.28417645,0.10212861,0.00202478,0.01640105,1.44486882,1.10288331,0.47217455
-5.96398199,2.24337220,0.10000917,0.00204122,0.01551722,1.41880848,1.07759593,0.46537160
-5.95797899,2.20245416,0.09762343,0.00205390,0.01467079,1.39346369,1.05350242,0.45875534
-5.95197599,2.16242554,0.09501585,0.00206321,0.01386935,1.36948866,1.03117551,0.45252259
-5.94597299,2.12428012,0.09223720,0.00206967,0.01311937,1.34751251,1.01113905,0.44686550
-5.93996998,2.08897152,0.08934290,0.00207384,0.01242601,1.32811985,0.99385326,0.44196489
-5.93396698,2.05738443,0.08639121,0.00207635,0.01179294,1.31183326,0.97970238,0.43798418
-5.92796398,2.03030886,0.08344126,0.00207782,0.01122225,1.29909844,0.96898502,0.43506438
-5.92196098,2.00841842,0.08055107,0.00207890,0.01071443,1.29027234,0.96190726,0.43332021
-5.91595798,1.99225308,0.07777560,0.00208024,0.01026841,1.28561477,0.95857879,0.43283748
-5.90995498,1.98220693,0.07516497,0.00208242,0.00988164,1.28528343,0.95901180,0.43367192
-5.90395198,1.97852120,0.07276284,0.00208602,0.00955027,1.28933259,0.96312278,0.43584917
-5.89794897,1.98128225,0.07060507,0.00209154,0.00926931,1.29771506,0.97073676,0.43936606
-5.89194597,1.99042438,0.06871869,0.00209940,0.00903287,1.31028716,0.98159400,0.44419281
-5.88594297,2.00573678,0.06712121,0.00210998,0.00883444,1.32681618,0.99535851,0.45027603
-5.87993997,2.02687411,0.06582028,0.00212356,0.00866711,1.34698988,1.01162829,0.45754214
-5.87393697,2.05336962,0.06481373,0.00214031,0.00852381,1.37042728,1.02994668,0.46590102
-5.86793397,2.08465029,0.06408996,0.00216034,0.00839764,1.39669009,1.04981447,0.47524953
-5.86193097,2.12005284,0.06362859,0.00218365,0.00828199,1.42529435,1.07070244,0.48547474
-5.85592796,2.15884013,0.06340145,0.00221014,0.00817081,1.45572161,1.09206375,0.49645658
-5.84992496,2.20021713,0.06337378,0.00223958,0.00805870,1.48742926,1.11334606,0.50806990
-5.84392196,2.24334617,0.06350559,0.00227169,0.00794110,1.51985986,1.13400291,0.52018578
-5.83791896,2.28736102,0.06375314,0.00230603,0.00781429,1.55244916,1.15350426,0.53267222
-5.83191596,2.33137991,0.06407050,0.00234209,0.00767546,1.58463301,1.17134589,0.54539420
-5.82591296,2.37451746,0.06441108,0.00237926,0.00752273,1.61585315,1.18705778,0.55821335
-5.81990995,2.41589580,0.06472914,0.00241683,0.00735502,1.64556234,1.20021115,0.57098750
-5.81390695,2.45465521,0.06498116,0.00245402,0.00717209,1.67322897,1.21042445,0.58357016
-5.80790395,2.48996461,0.06512711,0.00249000,0.00697437,1.69834161,1.21736819,0.59581034
-5.80190095,2.52103227,0.06513154,0.00252387,0.00676286,1.72041386,1.22076872,0.60755292
-5.79589795,2.54711698,0.06496446,0.00255474,0.00653906,1.73898970,1.22041112,0.61863958
-5.78989495,2.56753985,0.06460201,0.00258169,0.00630477,1.75364964,1.21614118,0.62891073
-5.78389195,2.58169665,0.06402690,0.00260387,0.00606205,1.76401764,1.20786666,0.63820807
-5.77788894,2.58907055,0.06322867,0.00262047,0.00581308,1.76976869,1.19555778,0.64637816
-5.77188594,2.58924484,0.06220366,0.00263077,0.00556004,1.77063699,1.17924703,0.65327652
-5.76588294,2.58191510,0.06095487,0.00263416,0.00530507,1.76642414,1.15902828,0.65877239
