energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.81390695,1.59124547,0.20830045,0.00000000,0.36131942,0.00000000,0.65392982,0.26579868
-5.80790395,1.47702603,0.19255788,0.00000000,0.33868433,0.00000000,0.60723237,0.24479249
-5.80190095,1.36857812,0.17825132,0.00000000,0.31686943,0.00000000,0.56332095,0.22450468
-5.79589795,1.26745879,0.16559513,0.00000000,0.29620417,0.00000000,0.52276845,0.20519158
-5.78989495,1.17501859,0.15477289,0.00000000,0.27698071,0.00000000,0.48607168,0.18707376
-5.78389195,1.09238620,0.14593643,0.00000000,0.25944908,0.00000000,0.45364651,0.17033376
-5.77788894,1.02045943,0.13920569,0.00000000,0.24381372,0.00000000,0.42582521,0.15511511
-5.77188594,0.95990234,0.13466889,0.00000000,0.23023143,0.00000000,0.40285576,0.14152251
-5.76588294,0.91114760,0.13238326,0.00000000,0.21881063,0.00000000,0.38490286,0.12962300
-5.75987994,0.87440331,0.13237591,0.00000000,0.20961187,0.00000000,0.37205039,0.11944788
-5.75387694,0.84966358,0.13464490,0.00000000,0.20264951,0.00000000,0.36430507,0.11099539
-5.74787394,0.83672193,0.13916032,0.00000000,0.19789421,0.00000000,0.36160094,0.10423378
-5.74187094,0.83518700,0.14586546,0.00000000,0.19527636,0.00000000,0.36380449,0.09910470
-5.73586793,0.84449971,0.15467792,0.00000000,0.19469002,0.00000000,0.37072019,0.09552675
-5.72986493,0.86395162,0.16549069,0.00000000,0.19599732,0.00000000,0.38209615,0.09339911
-5.72386193,0.89270387,0.17817336,0.00000000,0.19903322,0.00000000,0.39762990,0.09260508
-5.71785893,0.92980659,0.19257334,0.00000000,0.20361027,0.00000000,0.41697405,0.09301547
-5.71185593,0.97421848,0.20851720,0.00000000,0.20952359,0.00000000,0.43974189,0.09449187
-5.70585293,1.02482648,0.22581226,0.00000000,0.21655558,0.00000000,0.46551286,0.09688969
-5.69984992,1.08046544,0.24424842,0.00000000,0.22448057,0.00000000,0.49383790,0.10006096
-5.69384692,1.13993764,0.26360031,0.00000000,0.23306923,0.00000000,0.52424478,0.10385696
-5.68784392,1.20203224,0.28362976,0.00000000,0.24209273,0.00000000,0.55624339,0.10813059
-5.68184092,1.26554439,0.30408868,0.00000000,0.25132651,0.00000000,0.58933121,0.11273854
-5.67583792,1.32929406,0.32472229,0.00000000,0.26055386,0.00000000,0.62299884,0.11754332
-5.66983492,1.39214428,0.34527267,0.00000000,0.26956912,0.00000000,0.65673592,0.12241503
-5.66383192,1.45301871,0.36548266,0.00000000,0.27818058,0.00000000,0.69003730,0.12723297
-5.65782891,1.51091824,0.38510002,0.00000000,0.28621314,0.00000000,0.72240954,0.13188706
-5.65182591,1.56493654,0.40388167,0.00000000,0.29351063,0.00000000,0.75337788,0.13627913
-5.64582291,1.61427409,0.42159817,0.00000000,0.29993793,0.00000000,0.78249358,0.14032391
-5.63981991,1.65825067,0.43803803,0.00000000,0.30538284,0.00000000,0.80934147,0.14394991
-5.63381691,1.69631590,0.45301202,0.00000000,0.30975768,0.00000000,0.83354782,0.14710003
-5.62781391,1.72805775,0.46635716,0.00000000,0.31300075,0.00000000,0.85478820,0.14973200
-5.62181091,1.75320868,0.47794036,0.00000000,0.31507737,0.00000000,0.87279519,0.15181855
-5.61580790,1.77164929,0.48766164,0.00000000,0.31598083,0.00000000,0.88736572,0.15334738
-5.60980490,1.78340939,0.49545663,0.00000000,0.31573288,0.00000000,0.89836762,0.15432082
-5.60380190,1.78866624,0.50129848,0.00000000,0.31438389,0.00000000,0.90574524,0.15475535
-5.59779890,1.78773988,0.50519883,0.00000000,0.31201254,0.00000000,0.90952360,0.15468083
-5.59179590,1.78108563,0.50720801,0.00000000,0.30872504,0.00000000,0.90981089,0.15413944
-5.58579290,1.76928355,0.50741411,0.00000000,0.30465371,0.00000000,0.90679884,0.15318447
-5.57978989,1.75302509,0.50594120,0.00000000,0.29995488,0.00000000,0.90076090,0.15187888
-5.57378689,1.73309686,0.50294642,0.00000000,0.29480612,0.00000000,0.89204770,0.15029360
-5.56778389,1.71036185,0.49861616,0.00000000,0.28940267,0.00000000,0.88108002,0.14850571
-5.56178089,1.68573829,0.49316124,0.00000000,0.28395309,0.00000000,0.86833899,0.14659647
-5.55577789,1.66017650,0.48681137,0.00000000,0.27867421,0.00000000,0.85435371,0.14464915
-5.54977489,1.63463427,0.47980884,0.00000000,0.27378536,0.00000000,0.83968656,0.14274685
-5.54377189,1.61005115,0.47240179,0.00000000,0.26950205,0.00000000,0.82491656,0.14097031
-5.53776888,1.58732253,0.46483712,0.00000000,0.26602924,0.00000000,0.81062119,0.13939560
-5.53176588,1.56727397,0.45735338,0.00000000,0.26355436,0.00000000,0.79735736,0.13809205
-5.52576288,1.55063671,0.45017383,0.00000000,0.26224041,0.00000000,0.78564221,0.13712013
-5.51975988,1.53802514,0.44349989,0.00000000,0.26221932,0.00000000,0.77593446,0.13652970
-5.51375688,1.52991695,0.43750528,0.00000000,0.26358587,0.00000000,0.76861708,0.13635832
-5.50775388,1.52663677,0.43233097,0.00000000,0.26639252,0.00000000,0.76398213,0.13663003
-5.50175088,1.52834405,0.42808123,0.00000000,0.27064536,0.00000000,0.76221841,0.13735434
-5.49574787,1.53502556,0.42482085,0.00000000,0.27630148,0.00000000,0.76340252,0.13852573
-5.48974487,1.54649324,0.42257372,0.00000000,0.28326789,0.00000000,0.76749395,0.14012350
-5.48374187,1.56238736,0.42132264,0.00000000,0.29140236,0.00000000,0.77433442,0.14211213
-5.47773887,1.58218528,0.42101066,0.00000000,0.30051591,0.00000000,0.78365175,0.14444199
-5.47173587,1.60521561,0.42154358,0.00000000,0.31037730,0.00000000,0.79506805,0.14705062
-5.46573287,1.63067728,0.42279377,0.00000000,0.32071920,0.00000000,0.80811225,0.14986431
-5.45972986,1.65766322,0.42460500,0.00000000,0.33124600,0.00000000,0.82223632,0.15280012
-5.45372686,1.68518765,0.42679816,0.00000000,0.34164282,0.00000000,0.83683461,0.15576813
-5.44772386,1.71221621,0.42917770,0.00000000,0.35158569,0.00000000,0.85126569,0.15867401
-5.44172086,1.73769776,0.43153844,0.00000000,0.36075217,0.00000000,0.86487556,0.16142165
-5.43571786,1.76059688,0.43367261,0.00000000,0.36883217,0.00000000,0.87702153,0.16391594
-5.42971486,1.77992568,0.43537680,0.00000000,0.37553853,0.00000000,0.88709553,0.16606541
-5.42371186,1.79477402,0.43645866,0.00000000,0.38061677,0.00000000,0.89454606,0.16778486
-5.41770885,1.80433675,0.43674300,0.00000000,0.38385376,0.00000000,0.89889775,0.16899770
-5.41170585,1.80793731,0.43607719,0.00000000,0.38508477,0.00000000,0.89976777,0.16963800
-5.40570285,1.80504669,0.43433568,0.00000000,0.38419874,0.00000000,0.89687849,0.16965225
-5.39969985,1.79529715,0.43142342,0.00000000,0.38114156,0.00000000,0.89006586,0.16900059
-5.39369685,1.77849044,0.42727822,0.00000000,0.37591710,0.00000000,0.87928326,0.16765774
-5.38769385,1.75460022,0.42187193,0.00000000,0.36858616,0.00000000,0.86460078,0.16561336
-5.38169085,1.72376887,0.41521037,0.00000000,0.35926340,0.00000000,0.84620016,0.16287202
-5.37568784,1.68629898,0.40733223,0.00000000,0.34811239,0.00000000,0.82436556,0.15945268
-5.36968484,1.64264002,0.39830679,0.00000000,0.33533904,0.00000000,0.79947096,0.15538783
-5.36368184,1.59337090,0.38823079,0.00000000,0.32118393,0.00000000,0.77196457,0.15072225
-5.35767884,1.53917921,0.37722441,0.00000000,0.30591370,0.00000000,0.74235123,0.14551143
-5.35167584,1.48083812,0.36542666,0.00000000,0.28981207,0.00000000,0.71117357,0.13981988
-5.34567284,1.41918188,0.35299025,0.00000000,0.27317083,0.00000000,0.67899271,0.13371918
-5.33966983,1.35508083,0.34007628,0.00000000,0.25628119,0.00000000,0.64636939,0.12728598
-5.33366683,1.28941685,0.32684877,0.00000000,0.23942589,0.00000000,0.61384625,0.12060004
-5.32766383,1.22306028,0.31346937,0.00000000,0.22287224,0.00000000,0.58193197,0.11374223
-5.32166083,1.15684869,0.30009240,0.00000000,0.20686646,0.00000000,0.55108769,0.10679273
-5.31565783,1.09156845,0.28686029,0.00000000,0.19162925,0.00000000,0.52171622,0.09982931
-5.30965483,1.02793938,0.27389979,0.00000000,0.17735285,0.00000000,0.49415427,0.09292585
-5.30365183,0.96660278,0.26131879,0.00000000,0.16419948,0.00000000,0.46866772,0.08615110
-5.29764882,0.90811305,0.24920413,0.00000000,0.15230098,0.00000000,0.44544997,0.07956762
-5.29164582,0.85293276,0.23762018,0.00000000,0.14175968,0.00000000,0.42462317,0.07323102
-5.28564282,0.80143119,0.22660850,0.00000000,0.13265015,0.00000000,0.40624199,0.06718944
-5.27963982,0.75388583,0.21618824,0.00000000,0.12502171,0.00000000,0.39029955,0.06148325
-5.27363682,0.71048661,0.20635757,0.00000000,0.11890128,0.00000000,0.37673517,0.05614497
-5.26763382,0.67134229,0.19709573,0.00000000,0.11429663,0.00000000,0.36544319,0.05119939
-5.26163082,0.63648846,0.18836584,0.00000000,0.11119937,0.00000000,0.35628254,0.04666388
-5.25562781,0.60589666,0.18011819,0.00000000,0.10958790,0.00000000,0.34908649,0.04254880
-5.24962481,0.57948401,0.17229379,0.00000000,0.10942983,0.00000000,0.34367206,0.03885799
-5.24362181,0.55712275,0.16482827,0.00000000,0.11068385,0.00000000,0.33984863,0.03558943
-5.23761881,0.53864936,0.15765557,0.00000000,0.11330105,0.00000000,0.33742549,0.03273585
-5.23161581,0.52387279,0.15071162,0.00000000,0.11722556,0.00000000,0.33621803,0.03028537
-5.22561281,0.51258155,0.14393764,0.00000000,0.12239455,0.00000000,0.33605228,0.02822219
-5.21960980,0.50454944,0.13728294,0.00000000,0.12873776,0.00000000,0.33676799,0.02652717
-5.21360680,0.49953997,0.13070725,0.00000000,0.13617659,0.00000000,0.33821997,0.02517845
-5.20760380,0.49730948,0.12418233,0.00000000,0.14462297,0.00000000,0.34027818,0.02415197
-5.20160080,0.49760909,0.11769300,0.00000000,0.15397824,0.00000000,0.34282645,0.02342196
