energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,4.52983159,0.03575972,0.62880253,1.11126932,0.33726882,1.24094357,0.99932212,2.10707306,0.00000000
-5.99399700,4.44000289,0.03575138,0.58300107,1.12439211,0.33585235,1.20205150,0.92734296,2.12289786,0.00000000
-5.98799400,4.35542374,0.03569579,0.53917655,1.13679724,0.33490751,1.16455882,0.85905781,2.13901462,0.00000000
-5.98199100,4.27618429,0.03558861,0.49754840,1.14834921,0.33431761,1.12864118,0.79486463,2.15506973,0.00000000
-5.97598799,4.20220206,0.03542471,0.45829645,1.15888555,0.33396385,1.09443368,0.73508950,2.17065462,0.00000000
-5.96998499,4.13326178,0.03519852,0.42156213,1.16822758,0.33373209,1.06203923,0.67998714,2.18533158,0.00000000
-5.96398199,4.06905974,0.03490452,0.38745045,1.17619301,0.33351907,1.03153814,0.62974310,2.19866153,0.00000000
-5.95797899,4.00925009,0.03453765,0.35603263,1.18260929,0.33323780,1.00299834,0.58447751,2.21023229,0.00000000
-5.95197599,3.95349020,0.03409385,0.32734931,1.18732715,0.33282190,0.97648532,0.54425006,2.21968562,0.00000000
-5.94597299,3.90148238,0.03357044,0.30141408,1.19023327,0.33222863,0.95207129,0.50906581,2.22674127,0.00000000
-5.93996998,3.85300935,0.03296654,0.27821709,1.19126122,0.33144070,0.92984271,0.47888153,2.23121694,0.00000000
-5.93396698,3.80796128,0.03228331,0.25772865,1.19040003,0.33046647,0.90990558,0.45361214,2.23304244,0.00000000
-5.92796398,3.76635275,0.03152422,0.23990255,1.18769967,0.32933893,0.89238821,0.43313694,2.23226751,0.00000000
-5.92196098,3.72832853,0.03069507,0.22467903,1.18327308,0.32811327,0.87744085,0.41730537,2.22906255,0.00000000
-5.91595798,3.69415805,0.02980400,0.21198724,1.17729447,0.32686330,0.86523234,0.40594199,2.22371220,0.00000000
-5.90995498,3.66421884,0.02886130,0.20174726,1.16999400,0.32567698,0.85594378,0.39885069,2.21660212,0.00000000
-5.90395198,3.63897027,0.02787916,0.19387145,1.16164904,0.32465125,0.84975943,0.39581799,2.20819976,0.00000000
-5.89794897,3.61891929,0.02687128,0.18826545,1.15257255,0.32388639,0.84685547,0.39661552,2.19903018,0.00000000
-5.89194597,3.60458066,0.02585245,0.18482868,1.14309918,0.32348042,0.84738721,0.40100189,2.18964834,0.00000000
-5.88594297,3.59643422,0.02483806,0.18345463,1.13357000,0.32352358,0.85147555,0.40872398,2.18060968,0.00000000
-5.87993997,3.59488223,0.02384354,0.18403090,1.12431662,0.32409336,0.85919353,0.41951811,2.17244044,0.00000000
-5.87393697,3.60020962,0.02288382,0.18643929,1.11564577,0.32525029,0.87055390,0.43311117,2.16560976,0.00000000
-5.86793397,3.61254983,0.02197287,0.19055608,1.10782505,0.32703458,0.88549856,0.44922206,2.16050493,0.00000000
-5.86193097,3.63185852,0.02112322,0.19625244,1.10107084,0.32946396,0.90389070,0.46756368,2.15741126,0.00000000
-5.85592796,3.65789703,0.02034552,0.20339540,1.09553886,0.33253260,0.92551015,0.48784561,2.15649763,0.00000000
-5.84992496,3.69022664,0.01964830,0.21184918,1.09131792,0.33621128,0.95005262,0.50977766,2.15780841,0.00000000
-5.84392196,3.72821422,0.01903772,0.22147714,1.08842710,0.34044860,0.97713294,0.53307429,2.16126201,0.00000000
-5.83791896,3.77104885,0.01851741,0.23214424,1.08681640,0.34517329,1.00629241,0.55746000,2.16665587,0.00000000
-5.83191596,3.81776874,0.01808854,0.24372007,1.08637077,0.35029734,1.03701009,0.58267541,2.17367753,0.00000000
-5.82591296,3.86729674,0.01774977,0.25608237,1.08691699,0.35571978,1.06871764,0.60848411,2.18192071,0.00000000
-5.81990995,3.91848257,0.01749752,0.26912094,1.08823307,0.36133087,1.10081702,0.63467987,2.19090547,0.00000000
-5.81390695,3.97014946,0.01732610,0.28274183,1.09005944,0.36701647,1.13270046,0.66109401,2.20010094,0.00000000
-5.80790395,4.02114263,0.01722803,0.29687174,1.09211119,0.37266242,1.16377169,0.68760275,2.20894946,0.00000000
-5.80190095,4.07037717,0.01719432,0.31146231,1.09409077,0.37815852,1.19346754,0.71413404,2.21689050,0.00000000
-5.79589795,4.11688295,0.01721486,0.32649433,1.09570027,0.38340219,1.22127898,0.74067368,2.22338333,0.00000000
-5.78989495,4.15984437,0.01727869,0.34198151,1.09665286,0.38830146,1.24677058,0.76727045,2.22792715,0.00000000
-5.78389195,4.19863319,0.01737440,0.35797371,1.09668271,0.39277724,1.26959769,0.79403980,2.23007791,0.00000000
-5.77788894,4.23283330,0.01749043,0.37455942,1.09555313,0.39676492,1.28952047,0.82116600,2.22946128,0.00000000
-5.77188594,4.26225628,0.01761535,0.39186726,1.09306261,0.40021514,1.30641429,0.84890238,2.22578139,0.00000000
-5.76588294,4.28694763,0.01773815,0.41006637,1.08904875,0.40309394,1.32027606,0.87756946,2.21882542,0.00000000
-5.75987994,4.30718358,0.01784847,0.42936539,1.08339006,0.40538216,1.33122613,0.90755072,2.20846419,0.00000000
-5.75387694,4.32345890,0.01793680,0.45000995,1.07600595,0.40707444,1.33950591,0.93928600,2.19464933,0.00000000
-5.74787394,4.33646645,0.01799463,0.47227849,1.06685494,0.40817773,1.34547106,0.97326204,2.17740755,0.00000000
-5.74187094,4.34706947,0.01801463,0.49647618,1.05593171,0.40870956,1.34958058,1.01000054,2.15683271,0.00000000
-5.73586793,4.35626763,0.01799072,0.52292697,1.04326313,0.40869616,1.35238217,1.05004327,2.13307654,0.00000000
-5.72986493,4.36515804,0.01791815,0.55196373,1.02890378,0.40817047,1.35449411,1.09393454,2.10633849,0.00000000
-5.72386193,4.37489242,0.01779360,0.58391643,1.01293124,0.40717030,1.35658450,1.14220120,2.07685554,0.00000000
-5.71785893,4.38663182,0.01761513,0.61909851,0.99544150,0.40573655,1.35934806,1.19533031,2.04489244,0.00000000
-5.71185593,4.40149979,0.01738230,0.65779186,0.97654470,0.40391158,1.36348148,1.25374505,2.01073264,0.00000000
-5.70585293,4.42053567,0.01709604,0.70023053,0.95636141,0.40173783,1.36965770,1.31777953,1.97467033,0.00000000
-5.69984992,4.44464881,0.01675868,0.74658378,0.93501951,0.39925665,1.37850013,1.38765314,1.93700372,0.00000000
-5.69384692,4.47457546,0.01637386,0.79693918,0.91265183,0.39650726,1.39055738,1.46344555,1.89802939,0.00000000
-5.68784392,4.51083932,0.01594642,0.85128628,0.88939438,0.39352601,1.40627936,1.54507352,1.85803796,0.00000000
-5.68184092,4.55371745,0.01548231,0.90950183,0.86538529,0.39034575,1.42599563,1.63227055,1.81731073,0.00000000
-5.67583792,4.60321285,0.01498839,0.97133745,0.84076431,0.38699543,1.44989684,1.72457095,1.77611732,0.00000000
-5.66983492,4.65903518,0.01447231,1.03641043,0.81567277,0.38349983,1.47801992,1.82129941,1.73471416,0.00000000
-5.66383192,4.72059108,0.01394225,1.10419880,0.79025397,0.37987948,1.51023811,1.92156739,1.69334367,0.00000000
-5.65782891,4.78698514,0.01340676,1.17404116,0.76465379,0.37615080,1.54625613,2.02427737,1.65223418,0.00000000
-5.65182591,4.85703263,0.01287453,1.24514203,0.73902158,0.37232637,1.58561140,2.12813558,1.61160047,0.00000000
-5.64582291,4.92928434,0.01235413,1.31658295,0.71351109,0.36841545,1.62768138,2.23167377,1.57164489,0.00000000
-5.63981991,5.00206373,0.01185382,1.38733954,0.68828148,0.36442475,1.67169733,2.33327986,1.53255909,0.00000000
-5.63381691,5.07351577,0.01138135,1.45630429,0.66349827,0.36035938,1.71676426,2.43123699,1.49452633,0.00000000
-5.62781391,5.14166629,0.01094378,1.52231448,0.63933404,0.35622403,1.76188670,2.52376994,1.45772424,0.00000000
-5.62181091,5.20448994,0.01054730,1.58418445,0.61596905,0.35202437,1.80599939,2.60909752,1.42232800,0.00000000
-5.61580790,5.25998443,0.01019712,1.64074110,0.59359132,0.34776854,1.84800199,2.68548874,1.38851371,0.00000000
-5.60980490,5.30624777,0.00989743,1.69086111,0.57239637,0.34346873,1.88679642,2.75132071,1.35646169,0.00000000
-5.60380190,5.34155525,0.00965130,1.73350836,0.55258632,0.33914279,1.92132519,2.80513556,1.32635952,0.00000000
-5.59779890,5.36443234,0.00946070,1.76776996,0.53436830,0.33481562,1.95060924,2.84569385,1.29840433,0.00000000
-5.59179590,5.37371976,0.00932653,1.79288894,0.51795202,0.33052045,1.97378331,2.87202164,1.27280413,0.00000000
-5.58579290,5.36862717,0.00924866,1.80829226,0.50354656,0.32629963,1.99012737,2.88344913,1.24977771,0.00000000
-5.57978989,5.34877230,0.00922604,1.81361257,0.49135612,0.32220511,1.99909242,2.87963848,1.22955281,0.00000000
-5.57378689,5.31420311,0.00925674,1.80870260,0.48157500,0.31829823,2.00031941,2.86059954,1.21236232,0.00000000
-5.56778389,5.26540109,0.00933812,1.79364156,0.47438162,0.31464889,1.99365037,2.82669234,1.19843846,0.00000000
-5.56178089,5.20326522,0.00946688,1.76873285,0.46993194,0.31133411,1.97913112,2.77861611,1.18800471,0.00000000
-5.55577789,5.12907672,0.00963919,1.73449355,0.46835228,0.30843586,1.95700549,2.71738530,1.18126584,0.00000000
-5.54977489,5.04444616,0.00985076,1.69163584,0.46973191,0.30603816,1.92770144,2.64429352,1.17839631,0.00000000
-5.54377189,4.95124522,0.01009694,1.64104142,0.47411578,0.30422374,1.89180975,2.56086726,1.17952737,0.00000000
-5.53776888,4.85152650,0.01037279,1.58373023,0.48149753,0.30307023,1.85005666,2.46881158,1.18473377,0.00000000
-5.53176588,4.74743538,0.01067314,1.52082480,0.49181352,0.30264602,1.80327178,2.36995034,1.19402052,0.00000000
-5.52576288,4.64111850,0.01099260,1.45351214,0.50493791,0.30300616,1.75235312,2.26616381,1.20731078,0.00000000
-5.51975988,4.53463362,0.01132571,1.38300483,0.52067952,0.30418843,1.69823110,2.15932669,1.22443572,0.00000000
-5.51375688,4.42986560,0.01166688,1.31050318,0.53878061,0.30620984,1.64183343,2.05124925,1.24512713,0.00000000
-5.50775388,4.32845287,0.01201057,1.23716000,0.55891796,0.30906386,1.58405257,1.94362428,1.26901373,0.00000000
-5.50175088,4.23172831,0.01235128,1.16404955,0.58070647,0.31271857,1.52571740,1.83798185,1.29562176,0.00000000
-5.49574787,4.14067745,0.01268371,1.09214170,0.60370536,0.31711593,1.46757032,1.73565385,1.32438039,0.00000000
-5.48974487,4.05591620,0.01300287,1.02228224,0.62742697,0.32217243,1.41025073,1.63774919,1.35463222,0.00000000
-5.48374187,3.97768896,0.01330420,0.95517978,0.65134799,0.32778103,1.35428528,1.54514034,1.38564880,0.00000000
-5.47773887,3.90588692,0.01358379,0.89139933,0.67492289,0.33381455,1.30008513,1.45846100,1.41665091,0.00000000
-5.47173587,3.84008538,0.01383851,0.83136234,0.69759904,0.34013045,1.24794973,1.37811440,1.44683307,0.00000000
-5.46573287,3.77959754,0.01406626,0.77535266,0.71883312,0.34657665,1.19807646,1.30429094,1.47539123,0.00000000
-5.45972986,3.72354172,0.01426609,0.72352759,0.73810807,0.35299850,1.15057515,1.23699370,1.50155263,0.00000000
-5.45372686,3.67091786,0.01443844,0.67593302,0.75494994,0.35924623,1.10548624,1.17606989,1.52460650,0.00000000
-5.44772386,3.62068888,0.01458527,0.63252154,0.76894393,0.36518273,1.06280110,1.12124616,1.54393398,0.00000000
-5.44172086,3.57186232,0.01471019,0.59317225,0.77974884,0.37069122,1.02248309,1.07216577,1.55903595,0.00000000
-5.43571786,3.52356743,0.01481848,0.55771123,0.78710924,0.37568228,0.98448804,1.02842535,1.56955697,0.00000000
-5.42971486,3.47512350,0.01491715,0.52593135,0.79086478,0.38009990,0.94878260,0.98960947,1.57530424,0.00000000
-5.42371186,3.42609547,0.01501482,0.49761071,0.79095616,0.38392611,0.91535963,0.95532130,1.57626009,0.00000000
-5.41770885,3.37633376,0.01512160,0.47252855,0.78742727,0.38718384,0.88424942,0.92520797,1.57258726,0.00000000
-5.41170585,3.32599614,0.01524885,0.45047837,0.78042351,0.38993778,0.85552651,0.89897962,1.56462629,0.00000000
-5.40570285,3.27555037,0.01540885,0.43127753,0.77018617,0.39229297,0.82931140,0.87642157,1.55288490,0.00000000
-5.39969985,3.22575750,0.01561444,0.41477345,0.75704305,0.39439126,0.80576758,0.85739947,1.53801938,0.00000000
-5.39369685,3.17763683,0.01587851,0.40084611,0.74139577,0.39640551,0.78509381,0.84185742,1.52080892,0.00000000
-5.38769385,3.13241430,0.01621358,0.38940734,0.72370419,0.39853187,0.76751256,0.82980984,1.50212362,0.00000000
-5.38169085,3.09145735,0.01663115,0.38039708,0.70446880,0.40098040,0.75325516,0.82132780,1.48288769,0.00000000
-5.37568784,3.05619963,0.01714123,0.37377725,0.68421163,0.40396449,0.74254478,0.81652100,1.46403958,0.00000000
-5.36968484,3.02805977,0.01775175,0.36952372,0.66345677,0.40768955,0.73557835,0.81551659,1.44649075,0.00000000
-5.36368184,3.00835864,0.01846807,0.36761715,0.64271128,0.41234163,0.73250847,0.81843642,1.43108528,0.00000000
-5.35767884,2.99823958,0.01929250,0.36803330,0.62244727,0.41807651,0.73342664,0.82537394,1.41856213,0.00000000
-5.35167584,2.99859605,0.02022398,0.37073352,0.60308619,0.42500983,0.73834873,0.83637239,1.40952219,0.00000000
