energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-2.35617809,11.77767794,0.00986539,0.07742997,0.25012575,2.08795276,0.82498789,8.93197979,0.06289229,0.69454635
-2.35017509,11.96603548,0.01000893,0.07507978,0.25015992,2.12576346,0.82629356,9.09707997,0.06079987,0.68362556
-2.34417209,12.17051959,0.01022617,0.07284531,0.25120601,2.16789769,0.82954613,9.27172798,0.05887764,0.67500693
-2.33816908,12.38987012,0.01052621,0.07073119,0.25330675,2.21417755,0.83490472,9.45466682,0.05713629,0.66882008
-2.33216608,12.62265224,0.01091720,0.06874110,0.25648750,2.26442874,0.84248701,9.64451014,0.05558151,0.66514453
-2.32616308,12.86729870,0.01140613,0.06687781,0.26075608,2.31848971,0.85236757,9.83977499,0.05421411,0.66401073
-2.32016008,13.12215167,0.01199861,0.06514322,0.26610306,2.37622053,0.86457725,10.03891323,0.05303029,0.66540239
-2.31415708,13.38550094,0.01269869,0.06353854,0.27250242,2.43751094,0.87910337,10.24033902,0.05202196,0.66925987
-2.30815408,13.65561591,0.01350871,0.06206438,0.27991257,2.50228721,0.89589081,10.44245049,0.05117735,0.67548435
-2.30215108,13.93076894,0.01442917,0.06072099,0.28827743,2.57051750,0.91484365,10.64364383,0.05048164,0.68394238
-2.29614807,14.20924902,0.01545865,0.05950836,0.29752761,2.64221544,0.93582734,10.84231925,0.04991766,0.69447065
-2.29014507,14.48936531,0.01659379,0.05842636,0.30758165,2.71744174,0.95867124,11.03687875,0.04946673,0.70688068
-2.28414207,14.76944141,0.01782920,0.05747487,0.31834712,2.79630392,0.98317152,11.22571670,0.04910947,0.72096326
-2.27813907,15.04780200,0.01915757,0.05665387,0.32972162,2.87895413,1.00909435,11.40720490,0.04882666,0.73649261
-2.27213607,15.32275471,0.02056968,0.05596339,0.34159382,2.96558533,1.03617938,11.57967480,0.04860009,0.75323013
-2.26613307,15.59257042,0.02205450,0.05540358,0.35384432,3.05642623,1.06414358,11.74139952,0.04841332,0.77092785
-2.26013007,15.85546584,0.02359934,0.05497458,0.36634666,3.15173541,1.09268550,11.89057917,0.04825241,0.78933165
-2.25412706,16.10959216,0.02519006,0.05467651,0.37896832,3.25179505,1.12148998,12.02533240,0.04810658,0.80818450
-2.24812406,16.35303335,0.02681124,0.05450934,0.39157208,3.35690488,1.15023340,12.14369716,0.04796872,0.82722972
-2.24212106,16.58381707,0.02844644,0.05447288,0.40401747,3.46737683,1.17858950,12.24364297,0.04783587,0.84621463
-2.23611806,16.79994027,0.03007852,0.05456665,0.41616275,3.58353074,1.20623578,12.32309602,0.04770949,0.86489465
-2.23011506,16.99941030,0.03168992,0.05478996,0.42786719,3.70569157,1.23286039,12.37997771,0.04759570,0.88303797
