energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.96671718,-1.96672693,0.01405381,-0.01405387,0.08255894,-0.08255949,0.66328799,-0.66329176,0.35491274,-0.35491490,0.02463201,-0.02463226,1.14185245,-1.14185768,0.53718406,-0.53718638,0.20170878,-0.20170971
-5.99399700,2.03485714,-2.03486699,0.01461650,-0.01461656,0.08476703,-0.08476759,0.68284803,-0.68285183,0.36650036,-0.36650260,0.02700026,-0.02700052,1.18242113,-1.18242641,0.55438645,-0.55438875,0.20993672,-0.20993766
-5.98799400,2.10316965,-2.10317958,0.01514170,-0.01514176,0.08695436,-0.08695492,0.70252829,-0.70253211,0.37829845,-0.37830076,0.02942356,-0.02942382,1.22316723,-1.22317253,0.57144297,-0.57144523,0.21822220,-0.21822316
-5.98199100,2.17128194,-2.17129193,0.01562391,-0.01562396,0.08911447,-0.08911504,0.72225965,-0.72226348,0.39028187,-0.39028425,0.03187498,-0.03187525,1.26386451,-1.26386983,0.58827543,-0.58827766,0.22650954,-0.22651051
-5.97598799,2.23875803,-2.23876804,0.01605771,-0.01605776,0.09124049,-0.09124106,0.74195920,-0.74196304,0.40240993,-0.40241240,0.03432478,-0.03432504,1.30424744,-1.30425275,0.60479708,-0.60479927,0.23473500,-0.23473598
-5.96998499,2.30510585,-2.30511583,0.01643786,-0.01643791,0.09332529,-0.09332587,0.76153194,-0.76153576,0.41462618,-0.41462873,0.03674092,-0.03674119,1.34401554,-1.34402082,0.62091427,-0.62091640,0.24282790,-0.24282887
-5.96398199,2.36978610,-2.36979600,0.01675938,-0.01675943,0.09536161,-0.09536219,0.78087235,-0.78087616,0.42685860,-0.42686123,0.03908976,-0.03909002,1.38283890,-1.38284411,0.63652824,-0.63653032,0.25071200,-0.25071295
-5.95797899,2.43222244,-2.43223221,0.01701760,-0.01701765,0.09734198,-0.09734256,0.79986588,-0.79986966,0.43902029,-0.43902298,0.04133677,-0.04133702,1.42036464,-1.42036975,0.65153696,-0.65153897,0.25830716,-0.25830809
-5.95197599,2.49181256,-2.49182211,0.01720832,-0.01720835,0.09925863,-0.09925920,0.81839003,-0.81839375,0.45101047,-0.45101322,0.04344738,-0.04344761,1.45622397,-1.45622893,0.66583677,-0.66583870,0.26553111,-0.26553201
-5.94597299,2.54793982,-2.54794909,0.01732786,-0.01732789,0.10110326,-0.10110383,0.83631524,-0.83631890,0.46271599,-0.46271877,0.04538785,-0.04538806,1.49003973,-1.49004451,0.67932389,-0.67932574,0.27230136,-0.27230223
-5.93996998,2.59998535,-2.59999425,0.01737326,-0.01737329,0.10286675,-0.10286732,0.85350561,-0.85350918,0.47401309,-0.47401589,0.04712617,-0.04712636,1.52143427,-1.52143881,0.69189591,-0.69189765,0.27853714,-0.27853795
-5.93396698,2.64734016,-2.64734860,0.01734233,-0.01734234,0.10453887,-0.10453943,0.86981953,-0.86982299,0.48476961,-0.48477241,0.04863292,-0.04863308,1.55003737,-1.55004161,0.70345296,-0.70345458,0.28416133,-0.28416209
-5.92796398,2.68941739,-2.68942528,0.01723377,-0.01723378,0.10610789,-0.10610844,0.88511039,-0.88511371,0.49484755,-0.49485032,0.04988209,-0.04988222,1.57549419,-1.57549808,0.71389903,-0.71390052,0.28910236,-0.28910305
-5.92196098,2.72566435,-2.72567159,0.01704731,-0.01704731,0.10756036,-0.10756090,0.89922757,-0.89923073,0.50410590,-0.50410862,0.05085184,-0.05085194,1.59747311,-1.59747661,0.72314309,-0.72314443,0.29329598,-0.29329659
-5.91595798,2.75557447,-2.75558096,0.01678373,-0.01678372,0.10888094,-0.10888146,0.91201794,-0.91202090,0.51240389,-0.51240652,0.05152510,-0.05152517,1.61567334,-1.61567638,0.73110042,-0.73110160,0.29668683,-0.29668735
-5.90995498,2.77869878,-2.77870444,0.01644494,-0.01644492,0.11005230,-0.11005280,0.92332784,-0.92333057,0.51960434,-0.51960685,0.05189007,-0.05189010,1.62983211,-1.62983465,0.73769394,-0.73769493,0.29922990,-0.29923033
-5.90395198,2.79465699,-2.79466172,0.01603398,-0.01603396,0.11105535,-0.11105582,0.93300575,-0.93300820,0.52557732,-0.52557968,0.05194054,-0.05194054,1.63973143,-1.63973340,0.74285570,-0.74285648,0.30089170,-0.30089201
-5.89794897,2.80314772,-2.80315143,0.01555504,-0.01555501,0.11186949,-0.11186992,0.94090563,-0.94090777,0.53020377,-0.53020596,0.05167607,-0.05167603,1.64520405,-1.64520543,0.74652846,-0.74652902,0.30165111,-0.30165131
-5.89194597,2.80395765,-2.80396026,0.01501335,-0.01501331,0.11247311,-0.11247351,0.94689079,-0.94689259,0.53337917,-0.53338115,0.05110197,-0.05110190,1.64613868,-1.64613941,0.74866739,-0.74866771,0.30150003,-0.30150012
-5.88594297,2.79696918,-2.79697064,0.01441514,-0.01441510,0.11284436,-0.11284470,0.95083827,-0.95083968,0.53501689,-0.53501863,0.05022910,-0.05022899,1.64248392,-1.64248397,0.74924162,-0.74924168,0.30044361,-0.30044358
-5.87993997,2.78216620,-2.78216644,0.01376751,-0.01376746,0.11296187,-0.11296216,0.95264323,-0.95264423,0.53505125,-0.53505274,0.04907354,-0.04907340,1.63425088,-1.63425024,0.74823575,-0.74823554,0.29850014,-0.29849999
-5.87393697,2.75963744,-2.75963642,0.01307824,-0.01307819,0.11280578,-0.11280601,0.95222342,-0.95222398,0.53344011,-0.53344133,0.04765611,-0.04765594,1.62151427,-1.62151290,0.74565101,-0.74565052,0.29570061,-0.29570032
-5.86793397,2.72957706,-2.72957476,0.01235567,-0.01235560,0.11235865,-0.11235880,0.94952310,-0.94952319,0.53016665,-0.53016757,0.04600171,-0.04600150,1.60441152,-1.60440943,0.74150600,-0.74150522,0.29208783,-0.29208742
-5.86193097,2.69228216,-2.69227859,0.01160844,-0.01160837,0.11160641,-0.11160649,0.94451625,-0.94451586,0.52524046,-0.52524108,0.04413861,-0.04413839,1.58314012,-1.58313732,0.73583681,-0.73583574,0.28771529,-0.28771476
-5.85592796,2.64814690,-2.64814208,0.01084535,-0.01084528,0.11053928,-0.11053929,0.93720874,-0.93720785,0.51869770,-0.51869801,0.04209770,-0.04209745,1.55795287,-1.55794937,0.72869655,-0.72869518,0.28264560,-0.28264496
-5.84992496,2.59765333,-2.59764728,0.01007511,-0.01007504,0.10915245,-0.10915238,0.92763921,-0.92763783,0.51060028,-0.51060030,0.03991158,-0.03991131,1.52915116,-1.52914699,0.72015403,-0.72015237,0.27694868,-0.27694793
-5.84392196,2.54135888,-2.54135167,0.00930616,-0.00930609,0.10744659,-0.10744644,0.91587855,-0.91587668,0.50103417,-0.50103388,0.03761375,-0.03761347,1.49707651,-1.49707170,0.71029177,-0.71028984,0.27069973,-0.27069887
