energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.52114382,0.77285922,0.00000000,0.14009006,0.26411303,1.02428209,1.06058917
-5.99399700,2.40572281,0.73966343,0.00000000,0.13559229,0.24980360,0.96969218,1.02269495
-5.98799400,2.29334283,0.70740812,0.00000000,0.13112848,0.23584430,0.91648406,0.98583252
-5.98199100,2.18500834,0.67640065,0.00000000,0.12672680,0.22235037,0.86507090,0.95038325
-5.97598799,2.08152037,0.64689163,0.00000000,0.12240669,0.20941181,0.81577029,0.91666458
-5.96998499,1.98349086,0.61907967,0.00000000,0.11817985,0.19709481,0.76881266,0.88493571
-5.96398199,1.89136200,0.59311762,0.00000000,0.11405146,0.18544371,0.72435240,0.85540472
-5.95797899,1.80542878,0.56911947,0.00000000,0.11002151,0.17448354,0.68248063,0.82823622
-5.95197599,1.72586273,0.54716753,0.00000000,0.10608610,0.16422275,0.64323853,0.80355897
-5.94597299,1.65273538,0.52731916,0.00000000,0.10223867,0.15465605,0.60663049,0.78147276
-5.93996998,1.58603983,0.50961268,0.00000000,0.09847115,0.14576719,0.57263614,0.76205409
-5.93396698,1.52570950,0.49407213,0.00000000,0.09477484,0.13753155,0.54122068,0.74536045
-5.92796398,1.47163319,0.48071060,0.00000000,0.09114118,0.12991842,0.51234307,0.73143272
-5.92196098,1.42366630,0.46953212,0.00000000,0.08756228,0.12289297,0.48596182,0.72029600
-5.91595798,1.38163794,0.46053197,0.00000000,0.08403130,0.11641788,0.46203828,0.71195863
-5.90995498,1.34535438,0.45369567,0.00000000,0.08054258,0.11045463,0.44053758,0.70640992
-5.90395198,1.31459924,0.44899681,0.00000000,0.07709180,0.10496441,0.42142738,0.70361659
-5.89794897,1.28913109,0.44639397,0.00000000,0.07367588,0.09990884,0.40467496,0.70351848
-5.89194597,1.26867921,0.44582704,0.00000000,0.07029296,0.09525040,0.39024289,0.70602387
-5.88594297,1.25293843,0.44721332,0.00000000,0.06694230,0.09095275,0.37808402,0.71100479
-5.87993997,1.24156365,0.45044380,0.00000000,0.06362416,0.08698084,0.36813605,0.71829278
